"dataset_name","instances_n","attributes_num","attributes_nom","dataset_type"
"badges2",294,10,0,0
"banknote",1372,4,0,0
"blood-transfusion-service-center",748,4,0,0
"climate-model-simulation-crashes",540,18,0,0
"cmc",1473,9,0,0
"credit-g",1000,7,13,0
"diabetes",768,8,0,0
"eucalyptus",641,14,5,0
"iris",150,4,0,1
"kc1",2109,21,0,0
"mfeat-factors",2000,216,0,1
"mfeat-karhunen",2000,64,0,1
"mfeat-zernike",2000,47,0,0
"ozone-level-8hr",2534,72,0,0
"pc4",1458,37,0,0
"phoneme",3172,5,0,0
"qsar-biodeg",1055,41,0,0
"tic-tac-toe",958,0,9,0
"vowel",990,10,0,0
"waveform-5000",5000,40,0,0
"wdbc",569,30,0,0
"wilt",4839,5,0,0
