dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
banknote,C5.0,0.1,0.1,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.2,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.25,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.3,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.4,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.5,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.6,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.7,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.75,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.8,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.9,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,1,0.998,0.996,0.004,0.002,0.004
banknote,C5.0,0.2,0.1,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.2,0.2,0.996,0.993,0.007,0.004,0.007
banknote,C5.0,0.2,0.25,0.996,0.993,0.007,0.004,0.007
banknote,C5.0,0.2,0.3,0.996,0.993,0.007,0.004,0.007
banknote,C5.0,0.2,0.4,0.996,0.991,0.009,0.003,0.006
banknote,C5.0,0.2,0.5,0.993,0.987,0.013,0.005,0.01
banknote,C5.0,0.2,0.6,0.992,0.984,0.016,0.005,0.01
banknote,C5.0,0.2,0.7,0.991,0.982,0.018,0.006,0.011
banknote,C5.0,0.2,0.75,0.991,0.982,0.018,0.006,0.011
banknote,C5.0,0.2,0.8,0.99,0.979,0.021,0.007,0.014
banknote,C5.0,0.2,0.9,0.988,0.975,0.025,0.007,0.013
banknote,C5.0,0.2,1,0.986,0.972,0.028,0.007,0.013
banknote,C5.0,0.3,0.1,0.997,0.994,0.006,0.002,0.003
banknote,C5.0,0.3,0.2,0.996,0.993,0.007,0,0
banknote,C5.0,0.3,0.25,0.996,0.993,0.007,0,0
banknote,C5.0,0.3,0.3,0.994,0.988,0.012,0.003,0.007
banknote,C5.0,0.3,0.4,0.994,0.988,0.012,0.003,0.007
banknote,C5.0,0.3,0.5,0.992,0.984,0.016,0.004,0.008
banknote,C5.0,0.3,0.6,0.991,0.982,0.018,0.006,0.011
banknote,C5.0,0.3,0.7,0.991,0.982,0.018,0.006,0.011
banknote,C5.0,0.3,0.75,0.99,0.979,0.021,0.006,0.012
banknote,C5.0,0.3,0.8,0.988,0.976,0.024,0.007,0.014
banknote,C5.0,0.3,0.9,0.987,0.973,0.027,0.009,0.018
banknote,C5.0,0.3,1,0.984,0.968,0.032,0.008,0.017
banknote,C5.0,0.4,0.1,0.999,0.997,0.003,0.002,0.004
banknote,C5.0,0.4,0.2,0.995,0.99,0.01,0.002,0.004
banknote,C5.0,0.4,0.25,0.994,0.988,0.012,0.002,0.004
banknote,C5.0,0.4,0.3,0.993,0.987,0.013,0.002,0.003
banknote,C5.0,0.4,0.4,0.992,0.984,0.016,0.002,0.003
banknote,C5.0,0.4,0.5,0.987,0.973,0.027,0.004,0.008
banknote,C5.0,0.4,0.6,0.983,0.966,0.034,0.007,0.013
banknote,C5.0,0.4,0.7,0.982,0.963,0.037,0.008,0.016
banknote,C5.0,0.4,0.75,0.981,0.962,0.038,0.009,0.018
banknote,C5.0,0.4,0.8,0.979,0.957,0.043,0.009,0.019
banknote,C5.0,0.4,0.9,0.977,0.953,0.047,0.013,0.025
banknote,C5.0,0.4,1,0.974,0.947,0.053,0.013,0.027
banknote,C5.0,0.5,0.1,0.995,0.99,0.01,0.002,0.004
banknote,C5.0,0.5,0.2,0.988,0.976,0.024,0.005,0.01
banknote,C5.0,0.5,0.25,0.988,0.975,0.025,0.006,0.011
banknote,C5.0,0.5,0.3,0.983,0.965,0.035,0.008,0.016
banknote,C5.0,0.5,0.4,0.976,0.951,0.049,0.004,0.008
banknote,C5.0,0.5,0.5,0.97,0.94,0.06,0.002,0.003
banknote,C5.0,0.5,0.6,0.965,0.929,0.071,0.006,0.012
banknote,C5.0,0.5,0.7,0.959,0.917,0.083,0.005,0.011
banknote,C5.0,0.5,0.75,0.957,0.913,0.087,0.004,0.008
banknote,C5.0,0.5,0.8,0.953,0.904,0.096,0.006,0.012
banknote,C5.0,0.5,0.9,0.946,0.891,0.109,0.008,0.015
banknote,C5.0,0.5,1,0.94,0.879,0.121,0.008,0.015
banknote,C5.0,0.6,0.1,0.994,0.988,0.012,0.003,0.007
banknote,C5.0,0.6,0.2,0.988,0.976,0.024,0.005,0.01
banknote,C5.0,0.6,0.25,0.987,0.973,0.027,0.007,0.013
banknote,C5.0,0.6,0.3,0.986,0.972,0.028,0.006,0.012
banknote,C5.0,0.6,0.4,0.979,0.957,0.043,0.006,0.013
banknote,C5.0,0.6,0.5,0.97,0.939,0.061,0.007,0.014
banknote,C5.0,0.6,0.6,0.964,0.926,0.074,0.007,0.014
banknote,C5.0,0.6,0.7,0.956,0.911,0.089,0.007,0.014
banknote,C5.0,0.6,0.75,0.954,0.907,0.093,0.008,0.017
