dataset,fold,method,noise_levels,instance_level,accuracy,kappa
credit-g,Fold_1,bayesglm,0.1,0.1,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.2,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.25,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.3,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.4,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.5,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.6,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.7,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.75,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.8,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,0.9,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.1,1,0.985,0.957325746799431
credit-g,Fold_1,bayesglm,0.2,0.1,1,1
credit-g,Fold_1,bayesglm,0.2,0.2,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,0.25,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,0.3,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,0.4,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,0.5,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,0.6,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,0.7,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,0.75,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,0.8,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,0.9,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.2,1,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.3,0.1,0.995,0.985549132947977
credit-g,Fold_1,bayesglm,0.3,0.2,0.995,0.985549132947977
credit-g,Fold_1,bayesglm,0.3,0.25,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.3,0.3,0.985,0.957325746799431
credit-g,Fold_1,bayesglm,0.3,0.4,0.985,0.957325746799431
credit-g,Fold_1,bayesglm,0.3,0.5,0.98,0.942652329749104
credit-g,Fold_1,bayesglm,0.3,0.6,0.98,0.942652329749104
credit-g,Fold_1,bayesglm,0.3,0.7,0.98,0.942652329749104
credit-g,Fold_1,bayesglm,0.3,0.75,0.98,0.942652329749104
credit-g,Fold_1,bayesglm,0.3,0.8,0.98,0.942652329749104
credit-g,Fold_1,bayesglm,0.3,0.9,0.97,0.913978494623656
credit-g,Fold_1,bayesglm,0.3,1,0.96,0.885304659498208
credit-g,Fold_1,bayesglm,0.4,0.1,0.995,0.985549132947977
credit-g,Fold_1,bayesglm,0.4,0.2,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.4,0.25,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.4,0.3,0.98,0.941733430444283
credit-g,Fold_1,bayesglm,0.4,0.4,0.975,0.927745664739884
credit-g,Fold_1,bayesglm,0.4,0.5,0.97,0.912600145666424
credit-g,Fold_1,bayesglm,0.4,0.6,0.97,0.912600145666424
credit-g,Fold_1,bayesglm,0.4,0.7,0.97,0.912600145666424
credit-g,Fold_1,bayesglm,0.4,0.75,0.96,0.881569207994078
credit-g,Fold_1,bayesglm,0.4,0.8,0.96,0.881569207994078
credit-g,Fold_1,bayesglm,0.4,0.9,0.95,0.851961509992598
credit-g,Fold_1,bayesglm,0.4,1,0.935,0.809104258443466
credit-g,Fold_1,bayesglm,0.5,0.1,1,1
credit-g,Fold_1,bayesglm,0.5,0.2,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.5,0.25,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.5,0.3,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.5,0.4,0.99,0.971326164874552
credit-g,Fold_1,bayesglm,0.5,0.5,0.975,0.928876244665718
credit-g,Fold_1,bayesglm,0.5,0.6,0.975,0.928876244665718
credit-g,Fold_1,bayesglm,0.5,0.7,0.97,0.913978494623656
credit-g,Fold_1,bayesglm,0.5,0.75,0.96,0.885304659498208
credit-g,Fold_1,bayesglm,0.5,0.8,0.96,0.885304659498208
credit-g,Fold_1,bayesglm,0.5,0.9,0.95,0.854333576110706
credit-g,Fold_1,bayesglm,0.5,1,0.945,0.838472834067548
credit-g,Fold_1,bayesglm,0.6,0.1,0.995,0.985549132947977
credit-g,Fold_1,bayesglm,0.6,0.2,0.985,0.956647398843931
credit-g,Fold_1,bayesglm,0.6,0.25,0.975,0.927745664739884
credit-g,Fold_1,bayesglm,0.6,0.3,0.975,0.927745664739884
credit-g,Fold_1,bayesglm,0.6,0.4,0.975,0.927745664739884
credit-g,Fold_1,bayesglm,0.6,0.5,0.96,0.885304659498208
credit-g,Fold_1,bayesglm,0.6,0.6,0.955,0.869942196531792
credit-g,Fold_1,bayesglm,0.6,0.7,0.945,0.838472834067548
credit-g,Fold_1,bayesglm,0.6,0.75,0.94,0.825200291332848
credit-g,Fold_1,bayesglm,0.6,0.8,0.94,0.825200291332848
credit-g,Fold_1,bayesglm,0.6,0.9,0.93,0.796067006554989
credit-g,Fold_1,bayesglm,0.6,1,0.925,0.779735682819383
credit-g,Fold_1,bayesglm,0.7,0.1,0.995,0.985549132947977
credit-g,Fold_1,bayesglm,0.7,0.2,0.975,0.926578560939794
credit-g,Fold_1,bayesglm,0.7,0.25,0.97,0.911176905995559
credit-g,Fold_1,bayesglm,0.7,0.3,0.97,0.911176905995559
credit-g,Fold_1,bayesglm,0.7,0.4,0.97,0.911176905995559
credit-g,Fold_1,bayesglm,0.7,0.5,0.965,0.895522388059701
credit-g,Fold_1,bayesglm,0.7,0.6,0.96,0.881569207994078
credit-g,Fold_1,bayesglm,0.7,0.7,0.96,0.881569207994078
credit-g,Fold_1,bayesglm,0.7,0.75,0.95,0.851961509992598
credit-g,Fold_1,bayesglm,0.7,0.8,0.95,0.851961509992598
credit-g,Fold_1,bayesglm,0.7,0.9,0.935,0.802731411229135
credit-g,Fold_1,bayesglm,0.7,1,0.915,0.733124018838305
credit-g,Fold_1,bayesglm,0.8,0.1,0.995,0.985549132947977
credit-g,Fold_1,bayesglm,0.8,0.2,0.97,0.913978494623656
credit-g,Fold_1,bayesglm,0.8,0.25,0.965,0.900426742532006
credit-g,Fold_1,bayesglm,0.8,0.3,0.955,0.869942196531792
credit-g,Fold_1,bayesglm,0.8,0.4,0.955,0.869942196531792
credit-g,Fold_1,bayesglm,0.8,0.5,0.945,0.841040462427746
credit-g,Fold_1,bayesglm,0.8,0.6,0.945,0.841040462427746
credit-g,Fold_1,bayesglm,0.8,0.7,0.935,0.8121387283237
credit-g,Fold_1,bayesglm,0.8,0.75,0.935,0.8121387283237
credit-g,Fold_1,bayesglm,0.8,0.8,0.935,0.8121387283237
credit-g,Fold_1,bayesglm,0.8,0.9,0.935,0.8121387283237
credit-g,Fold_1,bayesglm,0.8,1,0.925,0.783236994219653
credit-g,Fold_1,bayesglm,0.9,0.1,0.995,0.985549132947977
credit-g,Fold_1,bayesglm,0.9,0.2,0.985,0.955947136563877
credit-g,Fold_1,bayesglm,0.9,0.25,0.98,0.941733430444283
credit-g,Fold_1,bayesglm,0.9,0.3,0.98,0.941733430444283
credit-g,Fold_1,bayesglm,0.9,0.4,0.965,0.898843930635838
credit-g,Fold_1,bayesglm,0.9,0.5,0.96,0.883466860888565
credit-g,Fold_1,bayesglm,0.9,0.6,0.955,0.869942196531792
credit-g,Fold_1,bayesglm,0.9,0.7,0.945,0.841040462427746
credit-g,Fold_1,bayesglm,0.9,0.75,0.945,0.841040462427746
credit-g,Fold_1,bayesglm,0.9,0.8,0.945,0.841040462427746
credit-g,Fold_1,bayesglm,0.9,0.9,0.93,0.792746113989637
credit-g,Fold_1,bayesglm,0.9,1,0.925,0.779735682819383
credit-g,Fold_1,bayesglm,1,0.1,1,1
credit-g,Fold_1,bayesglm,1,0.2,0.985,0.957983193277311
credit-g,Fold_1,bayesglm,1,0.25,0.975,0.929971988795518
credit-g,Fold_1,bayesglm,1,0.3,0.97,0.91531404375441106
credit-g,Fold_1,bayesglm,1,0.4,0.97,0.91531404375441106
credit-g,Fold_1,bayesglm,1,0.5,0.96,0.887085391672548
credit-g,Fold_1,bayesglm,1,0.6,0.955,0.871977240398293
credit-g,Fold_1,bayesglm,1,0.7,0.955,0.871977240398293
credit-g,Fold_1,bayesglm,1,0.75,0.94,0.830628087508821
credit-g,Fold_1,bayesglm,1,0.8,0.94,0.830628087508821
credit-g,Fold_1,bayesglm,1,0.9,0.925,0.783236994219653
credit-g,Fold_1,bayesglm,1,1,0.915,0.750367107195301
credit-g,Fold_2,bayesglm,0.1,0.1,1,1
credit-g,Fold_2,bayesglm,0.1,0.2,0.995,0.987241643276346
credit-g,Fold_2,bayesglm,0.1,0.25,0.995,0.987241643276346
credit-g,Fold_2,bayesglm,0.1,0.3,0.99,0.974635383639822
credit-g,Fold_2,bayesglm,0.1,0.4,0.98,0.948658708766525
credit-g,Fold_2,bayesglm,0.1,0.5,0.98,0.948658708766525
credit-g,Fold_2,bayesglm,0.1,0.6,0.975,0.935433884297521
credit-g,Fold_2,bayesglm,0.1,0.7,0.97,0.922047550993894
credit-g,Fold_2,bayesglm,0.1,0.75,0.97,0.922047550993894
credit-g,Fold_2,bayesglm,0.1,0.8,0.97,0.922047550993894
credit-g,Fold_2,bayesglm,0.1,0.9,0.97,0.922047550993894
credit-g,Fold_2,bayesglm,0.1,1,0.96,0.896063401325191
credit-g,Fold_2,bayesglm,0.2,0.1,0.995,0.987086776859504
credit-g,Fold_2,bayesglm,0.2,0.2,0.995,0.987086776859504
credit-g,Fold_2,bayesglm,0.2,0.25,0.995,0.987086776859504
credit-g,Fold_2,bayesglm,0.2,0.3,0.995,0.987086776859504
credit-g,Fold_2,bayesglm,0.2,0.4,0.995,0.987086776859504
credit-g,Fold_2,bayesglm,0.2,0.5,0.99,0.974015850331298
credit-g,Fold_2,bayesglm,0.2,0.6,0.99,0.974015850331298
credit-g,Fold_2,bayesglm,0.2,0.7,0.98,0.947389188478232
credit-g,Fold_2,bayesglm,0.2,0.75,0.975,0.934640522875817
credit-g,Fold_2,bayesglm,0.2,0.8,0.975,0.934640522875817
credit-g,Fold_2,bayesglm,0.2,0.9,0.96,0.896063401325191
credit-g,Fold_2,bayesglm,0.2,1,0.96,0.896063401325191
credit-g,Fold_2,bayesglm,0.3,0.1,1,1
credit-g,Fold_2,bayesglm,0.3,0.2,0.995,0.987241643276346
credit-g,Fold_2,bayesglm,0.3,0.25,0.995,0.987241643276346
credit-g,Fold_2,bayesglm,0.3,0.3,0.995,0.987241643276346
credit-g,Fold_2,bayesglm,0.3,0.4,0.99,0.974329354383263
