dataset,fold,method,noise_levels,instance_level,accuracy,kappa
vowel,Fold_1,bayesglm,0.1,0.1,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.2,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.25,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.3,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.4,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.5,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.6,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.7,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.75,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.8,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.1,0.9,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.1,1,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.2,0.1,1,1
vowel,Fold_1,bayesglm,0.2,0.2,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.2,0.25,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.2,0.3,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.2,0.4,0.98989898989899,0.917671517671518
vowel,Fold_1,bayesglm,0.2,0.5,0.98989898989899,0.917671517671518
vowel,Fold_1,bayesglm,0.2,0.6,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.2,0.7,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.2,0.75,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.2,0.8,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.2,0.9,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.2,1,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.3,0.1,1,1
vowel,Fold_1,bayesglm,0.3,0.2,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.3,0.25,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.3,0.3,0.984848484848485,0.888471648516711
vowel,Fold_1,bayesglm,0.3,0.4,0.984848484848485,0.888471648516711
vowel,Fold_1,bayesglm,0.3,0.5,0.97979797979798,0.855947617315387
vowel,Fold_1,bayesglm,0.3,0.6,0.97979797979798,0.855947617315387
vowel,Fold_1,bayesglm,0.3,0.7,0.974747474747475,0.825396825396825
vowel,Fold_1,bayesglm,0.3,0.75,0.974747474747475,0.825396825396825
vowel,Fold_1,bayesglm,0.3,0.8,0.96969696969697,0.783921425973081
vowel,Fold_1,bayesglm,0.3,0.9,0.96969696969697,0.783921425973081
vowel,Fold_1,bayesglm,0.3,1,0.96969696969697,0.783921425973081
vowel,Fold_1,bayesglm,0.4,0.1,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.4,0.2,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.4,0.25,0.994949494949495,0.960256924929747
vowel,Fold_1,bayesglm,0.4,0.3,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.4,0.4,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.4,0.5,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.4,0.6,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.4,0.7,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.4,0.75,0.98989898989899,0.923166472642608
vowel,Fold_1,bayesglm,0.4,0.8,0.984848484848485,0.888471648516711
vowel,Fold_1,bayesglm,0.4,0.9,0.974747474747475,0.825396825396825
vowel,Fold_1,bayesglm,0.4,1,0.974747474747475,0.825396825396825
vowel,Fold_1,bayesglm,0.5,0.1,0.98989898989899,0.917671517671518
vowel,Fold_1,bayesglm,0.5,0.2,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.5,0.25,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.5,0.3,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.5,0.4,0.974747474747475,0.801284624648735
vowel,Fold_1,bayesglm,0.5,0.5,0.974747474747475,0.801284624648735
vowel,Fold_1,bayesglm,0.5,0.6,0.96969696969697,0.769499417927823
vowel,Fold_1,bayesglm,0.5,0.7,0.96969696969697,0.769499417927823
vowel,Fold_1,bayesglm,0.5,0.75,0.95959595959596,0.711895234630775
vowel,Fold_1,bayesglm,0.5,0.8,0.954545454545455,0.685714285714286
vowel,Fold_1,bayesglm,0.5,0.9,0.954545454545455,0.685714285714286
vowel,Fold_1,bayesglm,0.5,1,0.954545454545455,0.685714285714286
vowel,Fold_1,bayesglm,0.6,0.1,0.98989898989899,0.917671517671518
vowel,Fold_1,bayesglm,0.6,0.2,0.984848484848485,0.880770774789241
vowel,Fold_1,bayesglm,0.6,0.25,0.97979797979798,0.846332945285215
vowel,Fold_1,bayesglm,0.6,0.3,0.97979797979798,0.846332945285215
vowel,Fold_1,bayesglm,0.6,0.4,0.97979797979798,0.846332945285215
vowel,Fold_1,bayesglm,0.6,0.5,0.974747474747475,0.814119414194517
vowel,Fold_1,bayesglm,0.6,0.6,0.96969696969697,0.783921425973081
