"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","gbm",0.1,0.1,0.999,0.997743763763041
"waveform-5000","Fold_1","gbm",0.1,0.2,0.998,0.995484104046243
"waveform-5000","Fold_1","gbm",0.1,0.25,0.997,0.99322101305181
"waveform-5000","Fold_1","gbm",0.1,0.3,0.994,0.986452312138728
"waveform-5000","Fold_1","gbm",0.1,0.4,0.993,0.984206346341287
"waveform-5000","Fold_1","gbm",0.1,0.5,0.991,0.979693873867369
"waveform-5000","Fold_1","gbm",0.1,0.6,0.991,0.979693873867369
"waveform-5000","Fold_1","gbm",0.1,0.7,0.99,0.977420520231214
"waveform-5000","Fold_1","gbm",0.1,0.75,0.989,0.975181401393451
"waveform-5000","Fold_1","gbm",0.1,0.8,0.988,0.972904624277457
"waveform-5000","Fold_1","gbm",0.1,0.9,0.987,0.970624389891175
"waveform-5000","Fold_1","gbm",0.1,1,0.984,0.963817931832984
"waveform-5000","Fold_1","gbm",0.2,0.1,0.997,0.993231291289123
"waveform-5000","Fold_1","gbm",0.2,0.2,0.995,0.988718818815205
"waveform-5000","Fold_1","gbm",0.2,0.25,0.995,0.988718818815205
"waveform-5000","Fold_1","gbm",0.2,0.3,0.994,0.986452312138728
"waveform-5000","Fold_1","gbm",0.2,0.4,0.991,0.979693873867369
"waveform-5000","Fold_1","gbm",0.2,0.5,0.991,0.979693873867369
"waveform-5000","Fold_1","gbm",0.2,0.6,0.989,0.975218974155643
"waveform-5000","Fold_1","gbm",0.2,0.7,0.986,0.968436620734435
"waveform-5000","Fold_1","gbm",0.2,0.75,0.984,0.96392756655364
"waveform-5000","Fold_1","gbm",0.2,0.8,0.984,0.96392756655364
"waveform-5000","Fold_1","gbm",0.2,0.9,0.984,0.96392756655364
"waveform-5000","Fold_1","gbm",0.2,1,0.983,0.961702050967812
"waveform-5000","Fold_1","gbm",0.3,0.1,0.997,0.993241538406084
"waveform-5000","Fold_1","gbm",0.3,0.2,0.996,0.990995533784757
"waveform-5000","Fold_1","gbm",0.3,0.25,0.995,0.988735897343474
"waveform-5000","Fold_1","gbm",0.3,0.3,0.99,0.977454729096025
"waveform-5000","Fold_1","gbm",0.3,0.4,0.986,0.968436620734435
"waveform-5000","Fold_1","gbm",0.3,0.5,0.985,0.966207692030422
"waveform-5000","Fold_1","gbm",0.3,0.6,0.982,0.959479902031408
"waveform-5000","Fold_1","gbm",0.3,0.7,0.979,0.95276228180673
"waveform-5000","Fold_1","gbm",0.3,0.75,0.977,0.94818512777998
"waveform-5000","Fold_1","gbm",0.3,0.8,0.972,0.937063943033878
"waveform-5000","Fold_1","gbm",0.3,0.9,0.968,0.928181557023844
"waveform-5000","Fold_1","gbm",0.3,1,0.965,0.921389298163654
"waveform-5000","Fold_1","gbm",0.4,0.1,0.997,0.993231291289123
"waveform-5000","Fold_1","gbm",0.4,0.2,0.993,0.984182363787556
"waveform-5000","Fold_1","gbm",0.4,0.25,0.992,0.981908965916492
"waveform-5000","Fold_1","gbm",0.4,0.3,0.986,0.968340690353861
"waveform-5000","Fold_1","gbm",0.4,0.4,0.979,0.952474924865119
"waveform-5000","Fold_1","gbm",0.4,0.5,0.978,0.950249656270352
"waveform-5000","Fold_1","gbm",0.4,0.6,0.974,0.941204139228598
"waveform-5000","Fold_1","gbm",0.4,0.7,0.97,0.932055370343528
"waveform-5000","Fold_1","gbm",0.4,0.75,0.969,0.92973708068903
"waveform-5000","Fold_1","gbm",0.4,0.8,0.965,0.920549885591835
"waveform-5000","Fold_1","gbm",0.4,0.9,0.959,0.907071622846781
"waveform-5000","Fold_1","gbm",0.4,1,0.953,0.893309846366179
"waveform-5000","Fold_1","gbm",0.5,0.1,0.994,0.986431724437369
"waveform-5000","Fold_1","gbm",0.5,0.2,0.99,0.977386207395615
"waveform-5000","Fold_1","gbm",0.5,0.25,0.989,0.975143714523302
