"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","mlpML",0.1,0.1,0.999,0.997477855571921
"waveform-5000","Fold_1","mlpML",0.1,0.2,0.998,0.994949928541489
"waveform-5000","Fold_1","mlpML",0.1,0.25,0.997,0.992416198998938
"waveform-5000","Fold_1","mlpML",0.1,0.3,0.996,0.989899857082978
"waveform-5000","Fold_1","mlpML",0.1,0.4,0.996,0.989899857082978
"waveform-5000","Fold_1","mlpML",0.1,0.5,0.995,0.987360331664897
"waveform-5000","Fold_1","mlpML",0.1,0.6,0.994,0.984814970414501
"waveform-5000","Fold_1","mlpML",0.1,0.7,0.993,0.982304464330856
"waveform-5000","Fold_1","mlpML",0.1,0.75,0.993,0.982304464330856
"waveform-5000","Fold_1","mlpML",0.1,0.8,0.992,0.979799714165955
"waveform-5000","Fold_1","mlpML",0.1,0.9,0.991,0.977248596996815
"waveform-5000","Fold_1","mlpML",0.1,1,0.99,0.974749642707444
"waveform-5000","Fold_1","mlpML",0.2,0.1,0.999,0.997477855571921
"waveform-5000","Fold_1","mlpML",0.2,0.2,0.999,0.997477855571921
"waveform-5000","Fold_1","mlpML",0.2,0.25,0.998,0.994949928541489
"waveform-5000","Fold_1","mlpML",0.2,0.3,0.998,0.994949928541489
"waveform-5000","Fold_1","mlpML",0.2,0.4,0.998,0.994949928541489
"waveform-5000","Fold_1","mlpML",0.2,0.5,0.995,0.987360331664897
"waveform-5000","Fold_1","mlpML",0.2,0.6,0.995,0.987360331664897
"waveform-5000","Fold_1","mlpML",0.2,0.7,0.994,0.984849785624467
"waveform-5000","Fold_1","mlpML",0.2,0.75,0.993,0.982304464330856
"waveform-5000","Fold_1","mlpML",0.2,0.8,0.993,0.982304464330856
"waveform-5000","Fold_1","mlpML",0.2,0.9,0.992,0.979753293886001
"waveform-5000","Fold_1","mlpML",0.2,1,0.992,0.979753293886001
"waveform-5000","Fold_1","mlpML",0.3,0.1,0.998,0.994949928541489
"waveform-5000","Fold_1","mlpML",0.3,0.2,0.996,0.989899857082978
"waveform-5000","Fold_1","mlpML",0.3,0.25,0.995,0.987360331664897
"waveform-5000","Fold_1","mlpML",0.3,0.3,0.992,0.979753293886001
"waveform-5000","Fold_1","mlpML",0.3,0.4,0.992,0.979753293886001
"waveform-5000","Fold_1","mlpML",0.3,0.5,0.989,0.972128755016824
"waveform-5000","Fold_1","mlpML",0.3,0.6,0.988,0.969559989650396
"waveform-5000","Fold_1","mlpML",0.3,0.7,0.987,0.966985300840097
"waveform-5000","Fold_1","mlpML",0.3,0.75,0.985,0.961818070743478
"waveform-5000","Fold_1","mlpML",0.3,0.8,0.984,0.959319620655463
"waveform-5000","Fold_1","mlpML",0.3,0.9,0.982,0.954234573237395
"waveform-5000","Fold_1","mlpML",0.3,1,0.981,0.95174774738168
"waveform-5000","Fold_1","mlpML",0.4,0.1,1,1
"waveform-5000","Fold_1","mlpML",0.4,0.2,0.997,0.992416198998938
"waveform-5000","Fold_1","mlpML",0.4,0.25,0.996,0.989876646943
"waveform-5000","Fold_1","mlpML",0.4,0.3,0.995,0.987331252280375
"waveform-5000","Fold_1","mlpML",0.4,0.4,0.994,0.984779994825198
"waveform-5000","Fold_1","mlpML",0.4,0.5,0.988,0.969419116110519
"waveform-5000","Fold_1","mlpML",0.4,0.6,0.985,0.961640752864157
"waveform-5000","Fold_1","mlpML",0.4,0.7,0.982,0.954022283866419
"waveform-5000","Fold_1","mlpML",0.4,0.75,0.98,0.948794887681586
"waveform-5000","Fold_1","mlpML",0.4,0.8,0.979,0.946172064839593
"waveform-5000","Fold_1","mlpML",0.4,0.9,0.977,0.941182487725041
"waveform-5000","Fold_1","mlpML",0.4,1,0.974,0.933433353986062
"waveform-5000","Fold_1","mlpML",0.5,0.1,0.997,0.992433566715764
"waveform-5000","Fold_1","mlpML",0.5,0.2,0.994,0.984849785624467
"waveform-5000","Fold_1","mlpML",0.5,0.25,0.992,0.979799714165955
"waveform-5000","Fold_1","mlpML",0.5,0.3,0.989,0.972128755016824
"waveform-5000","Fold_1","mlpML",0.5,0.4,0.984,0.959413319533862
"waveform-5000","Fold_1","mlpML",0.5,0.5,0.981,0.95174774738168
"waveform-5000","Fold_1","mlpML",0.5,0.6,0.981,0.95174774738168
"waveform-5000","Fold_1","mlpML",0.5,0.7,0.978,0.944321558186503
"waveform-5000","Fold_1","mlpML",0.5,0.75,0.974,0.934046644242526
"waveform-5000","Fold_1","mlpML",0.5,0.8,0.972,0.929136528601003
"waveform-5000","Fold_1","mlpML",0.5,0.9,0.971,0.926521263226173
"waveform-5000","Fold_1","mlpML",0.5,1,0.969,0.921453764138322
