"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","multinom",0.1,0.1,0.998,0.995664990462979
"waveform-5000","Fold_1","multinom",0.1,0.2,0.998,0.995664990462979
"waveform-5000","Fold_1","multinom",0.1,0.25,0.997,0.993501429685469
"waveform-5000","Fold_1","multinom",0.1,0.3,0.996,0.991329980925958
"waveform-5000","Fold_1","multinom",0.1,0.4,0.993,0.984836669266095
"waveform-5000","Fold_1","multinom",0.1,0.5,0.992,0.982659961851916
"waveform-5000","Fold_1","multinom",0.1,0.6,0.991,0.980504289056408
"waveform-5000","Fold_1","multinom",0.1,0.7,0.99,0.978324952314895
"waveform-5000","Fold_1","multinom",0.1,0.75,0.989,0.97617190884672
"waveform-5000","Fold_1","multinom",0.1,0.8,0.989,0.97617190884672
"waveform-5000","Fold_1","multinom",0.1,0.9,0.989,0.97617190884672
"waveform-5000","Fold_1","multinom",0.1,1,0.987,0.971805326624447
"waveform-5000","Fold_1","multinom",0.2,0.1,0.998,0.995659722222222
"waveform-5000","Fold_1","multinom",0.2,0.2,0.998,0.995659722222222
"waveform-5000","Fold_1","multinom",0.2,0.25,0.997,0.993485624945714
"waveform-5000","Fold_1","multinom",0.2,0.3,0.997,0.993485624945714
"waveform-5000","Fold_1","multinom",0.2,0.4,0.995,0.989142708242856
"waveform-5000","Fold_1","multinom",0.2,0.5,0.992,0.982617764644533
"waveform-5000","Fold_1","multinom",0.2,0.6,0.99,0.978272205805667
"waveform-5000","Fold_1","multinom",0.2,0.7,0.99,0.978272205805667
"waveform-5000","Fold_1","multinom",0.2,0.75,0.989,0.976113958134283
"waveform-5000","Fold_1","multinom",0.2,0.8,0.988,0.973958333333333
"waveform-5000","Fold_1","multinom",0.2,0.9,0.987,0.971771041431425
"waveform-5000","Fold_1","multinom",0.2,1,0.983,0.962995211144972
"waveform-5000","Fold_1","multinom",0.3,0.1,0.995,0.989142708242856
"waveform-5000","Fold_1","multinom",0.3,0.2,0.991,0.98043308113749
"waveform-5000","Fold_1","multinom",0.3,0.25,0.989,0.976055724858511
"waveform-5000","Fold_1","multinom",0.3,0.3,0.989,0.976055724858511
"waveform-5000","Fold_1","multinom",0.3,0.4,0.988,0.973894883397146
"waveform-5000","Fold_1","multinom",0.3,0.5,0.985,0.967388468562484
