"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","rbfDDA",0.1,0.1,1,1
"waveform-5000","Fold_1","rbfDDA",0.1,0.2,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.1,0.25,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.1,0.3,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.1,0.4,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.1,0.5,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.1,0.6,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.1,0.7,0.998,0.984639016897081
"waveform-5000","Fold_1","rbfDDA",0.1,0.75,0.998,0.984639016897081
"waveform-5000","Fold_1","rbfDDA",0.1,0.8,0.998,0.984639016897081
"waveform-5000","Fold_1","rbfDDA",0.1,0.9,0.997,0.976805319313437
"waveform-5000","Fold_1","rbfDDA",0.1,1,0.997,0.976805319313437
"waveform-5000","Fold_1","rbfDDA",0.2,0.1,1,1
"waveform-5000","Fold_1","rbfDDA",0.2,0.2,1,1
"waveform-5000","Fold_1","rbfDDA",0.2,0.25,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.2,0.3,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.2,0.4,0.997,0.977109720738593
"waveform-5000","Fold_1","rbfDDA",0.2,0.5,0.997,0.977109720738593
"waveform-5000","Fold_1","rbfDDA",0.2,0.6,0.997,0.977109720738593
"waveform-5000","Fold_1","rbfDDA",0.2,0.7,0.995,0.961342198855729
"waveform-5000","Fold_1","rbfDDA",0.2,0.75,0.995,0.961342198855729
"waveform-5000","Fold_1","rbfDDA",0.2,0.8,0.995,0.961342198855729
"waveform-5000","Fold_1","rbfDDA",0.2,0.9,0.994,0.953300124533001
"waveform-5000","Fold_1","rbfDDA",0.2,1,0.994,0.953300124533001
"waveform-5000","Fold_1","rbfDDA",0.3,0.1,0.999,0.992268439771146
"waveform-5000","Fold_1","rbfDDA",0.3,0.2,0.999,0.992268439771146
"waveform-5000","Fold_1","rbfDDA",0.3,0.25,0.999,0.992268439771146
"waveform-5000","Fold_1","rbfDDA",0.3,0.3,0.999,0.992268439771146
"waveform-5000","Fold_1","rbfDDA",0.3,0.4,0.997,0.976805319313437
"waveform-5000","Fold_1","rbfDDA",0.3,0.5,0.996,0.969278033794163
"waveform-5000","Fold_1","rbfDDA",0.3,0.6,0.995,0.961849534564322
"waveform-5000","Fold_1","rbfDDA",0.3,0.7,0.994,0.953917050691244
"waveform-5000","Fold_1","rbfDDA",0.3,0.75,0.994,0.953917050691244
"waveform-5000","Fold_1","rbfDDA",0.3,0.8,0.993,0.94658934839005
"waveform-5000","Fold_1","rbfDDA",0.3,0.9,0.993,0.94658934839005
"waveform-5000","Fold_1","rbfDDA",0.3,1,0.991,0.930415957940312
"waveform-5000","Fold_1","rbfDDA",0.4,0.1,0.999,0.992268439771146
"waveform-5000","Fold_1","rbfDDA",0.4,0.2,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.4,0.25,0.997,0.976805319313437
"waveform-5000","Fold_1","rbfDDA",0.4,0.3,0.997,0.976805319313437
"waveform-5000","Fold_1","rbfDDA",0.4,0.4,0.996,0.969278033794163
"waveform-5000","Fold_1","rbfDDA",0.4,0.5,0.992,0.939357186173438
"waveform-5000","Fold_1","rbfDDA",0.4,0.6,0.99,0.924196482716798
"waveform-5000","Fold_1","rbfDDA",0.4,0.7,0.989,0.916068976041507
"waveform-5000","Fold_1","rbfDDA",0.4,0.75,0.989,0.916068976041507
"waveform-5000","Fold_1","rbfDDA",0.4,0.8,0.988,0.909035779260157
"waveform-5000","Fold_1","rbfDDA",0.4,0.9,0.984,0.878714372346877
"waveform-5000","Fold_1","rbfDDA",0.4,1,0.982,0.861751152073732
"waveform-5000","Fold_1","rbfDDA",0.5,0.1,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.5,0.2,0.999,0.992369906912864
"waveform-5000","Fold_1","rbfDDA",0.5,0.25,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.5,0.3,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.5,0.4,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.5,0.5,0.995,0.961849534564322
"waveform-5000","Fold_1","rbfDDA",0.5,0.6,0.993,0.94658934839005
"waveform-5000","Fold_1","rbfDDA",0.5,0.7,0.989,0.913806613383482
"waveform-5000","Fold_1","rbfDDA",0.5,0.75,0.988,0.905332912590723
"waveform-5000","Fold_1","rbfDDA",0.5,0.8,0.988,0.905332912590723
"waveform-5000","Fold_1","rbfDDA",0.5,0.9,0.986,0.889555064689176
"waveform-5000","Fold_1","rbfDDA",0.5,1,0.984,0.872040946896993
"waveform-5000","Fold_1","rbfDDA",0.6,0.1,1,1
"waveform-5000","Fold_1","rbfDDA",0.6,0.2,0.997,0.977109720738593
"waveform-5000","Fold_1","rbfDDA",0.6,0.25,0.996,0.969678593086719
"waveform-5000","Fold_1","rbfDDA",0.6,0.3,0.995,0.962343726464829
"waveform-5000","Fold_1","rbfDDA",0.6,0.4,0.993,0.947281217050761
"waveform-5000","Fold_1","rbfDDA",0.6,0.5,0.99,0.925172104160431
"waveform-5000","Fold_1","rbfDDA",0.6,0.6,0.987,0.903345724907063
"waveform-5000","Fold_1","rbfDDA",0.6,0.7,0.984,0.880275366656689
"waveform-5000","Fold_1","rbfDDA",0.6,0.75,0.983,0.871968669980419
"waveform-5000","Fold_1","rbfDDA",0.6,0.8,0.982,0.865309787488776
"waveform-5000","Fold_1","rbfDDA",0.6,0.9,0.981,0.85690616056635
"waveform-5000","Fold_1","rbfDDA",0.6,1,0.977,0.826781141738213
"waveform-5000","Fold_1","rbfDDA",0.7,0.1,1,1
"waveform-5000","Fold_1","rbfDDA",0.7,0.2,0.999,0.992268439771146
"waveform-5000","Fold_1","rbfDDA",0.7,0.25,0.996,0.968444304196908
"waveform-5000","Fold_1","rbfDDA",0.7,0.3,0.993,0.94440031771247
"waveform-5000","Fold_1","rbfDDA",0.7,0.4,0.989,0.911418908036721
"waveform-5000","Fold_1","rbfDDA",0.7,0.5,0.985,0.882463563704748
"waveform-5000","Fold_1","rbfDDA",0.7,0.6,0.983,0.864972200158856
"waveform-5000","Fold_1","rbfDDA",0.7,0.7,0.98,0.837820304897827
"waveform-5000","Fold_1","rbfDDA",0.7,0.75,0.98,0.837820304897827
"waveform-5000","Fold_1","rbfDDA",0.7,0.8,0.977,0.817315329626688
"waveform-5000","Fold_1","rbfDDA",0.7,0.9,0.975,0.801429706115965
"waveform-5000","Fold_1","rbfDDA",0.7,1,0.97,0.769585253456221
"waveform-5000","Fold_1","rbfDDA",0.8,0.1,0.997,0.977109720738593
"waveform-5000","Fold_1","rbfDDA",0.8,0.2,0.997,0.977109720738593
"waveform-5000","Fold_1","rbfDDA",0.8,0.25,0.994,0.955103262496259
"waveform-5000","Fold_1","rbfDDA",0.8,0.3,0.994,0.955103262496259
"waveform-5000","Fold_1","rbfDDA",0.8,0.4,0.987,0.903345724907063
"waveform-5000","Fold_1","rbfDDA",0.8,0.5,0.983,0.876758010729302
"waveform-5000","Fold_1","rbfDDA",0.8,0.6,0.98,0.855907780979827
"waveform-5000","Fold_1","rbfDDA",0.8,0.7,0.976,0.827089337175792
"waveform-5000","Fold_1","rbfDDA",0.8,0.75,0.974,0.810329734461628
"waveform-5000","Fold_1","rbfDDA",0.8,0.8,0.972,0.798270893371758
"waveform-5000","Fold_1","rbfDDA",0.8,0.9,0.969,0.775264607800493
"waveform-5000","Fold_1","rbfDDA",0.8,1,0.968,0.766559673183542
"waveform-5000","Fold_1","rbfDDA",0.9,0.1,1,1
"waveform-5000","Fold_1","rbfDDA",0.9,0.2,0.997,0.977109720738593
"waveform-5000","Fold_1","rbfDDA",0.9,0.25,0.996,0.969278033794163
"waveform-5000","Fold_1","rbfDDA",0.9,0.3,0.995,0.961342198855729
"waveform-5000","Fold_1","rbfDDA",0.9,0.4,0.991,0.931329162215779
"waveform-5000","Fold_1","rbfDDA",0.9,0.5,0.983,0.87360594795539
"waveform-5000","Fold_1","rbfDDA",0.9,0.6,0.981,0.858736059479554
"waveform-5000","Fold_1","rbfDDA",0.9,0.7,0.98,0.850344208320862
"waveform-5000","Fold_1","rbfDDA",0.9,0.75,0.979,0.841843651152282
"waveform-5000","Fold_1","rbfDDA",0.9,0.8,0.976,0.822695035460993
"waveform-5000","Fold_1","rbfDDA",0.9,0.9,0.974,0.810329734461628
"waveform-5000","Fold_1","rbfDDA",0.9,1,0.969,0.772426956394068
"waveform-5000","Fold_1","rbfDDA",1,0.1,0.999,0.992268439771146
"waveform-5000","Fold_1","rbfDDA",1,0.2,0.994,0.953917050691244
"waveform-5000","Fold_1","rbfDDA",1,0.25,0.993,0.945879078398021
"waveform-5000","Fold_1","rbfDDA",1,0.3,0.992,0.937733499377335
"waveform-5000","Fold_1","rbfDDA",1,0.4,0.988,0.905332912590723
"waveform-5000","Fold_1","rbfDDA",1,0.5,0.982,0.857999368886084
"waveform-5000","Fold_1","rbfDDA",1,0.6,0.976,0.808061420345489
"waveform-5000","Fold_1","rbfDDA",1,0.7,0.973,0.779519843214111
"waveform-5000","Fold_1","rbfDDA",1,0.75,0.972,0.772948426856957
"waveform-5000","Fold_1","rbfDDA",1,0.8,0.969,0.753772835583796
"waveform-5000","Fold_1","rbfDDA",1,0.9,0.967,0.741419840150446
"waveform-5000","Fold_1","rbfDDA",1,1,0.966,0.731776585673714
"waveform-5000","Fold_2","rbfDDA",0.1,0.1,1,1
"waveform-5000","Fold_2","rbfDDA",0.1,0.2,1,1
"waveform-5000","Fold_2","rbfDDA",0.1,0.25,0.998998998998999,0.989571916199543
"waveform-5000","Fold_2","rbfDDA",0.1,0.3,0.998998998998999,0.989571916199543
"waveform-5000","Fold_2","rbfDDA",0.1,0.4,0.998998998998999,0.989571916199543
"waveform-5000","Fold_2","rbfDDA",0.1,0.5,0.997997997997998,0.978946702914586
"waveform-5000","Fold_2","rbfDDA",0.1,0.6,0.997997997997998,0.978946702914586
"waveform-5000","Fold_2","rbfDDA",0.1,0.7,0.997997997997998,0.978946702914586
"waveform-5000","Fold_2","rbfDDA",0.1,0.75,0.997997997997998,0.978946702914586
"waveform-5000","Fold_2","rbfDDA",0.1,0.8,0.997997997997998,0.978946702914586
"waveform-5000","Fold_2","rbfDDA",0.1,0.9,0.997997997997998,0.978946702914586
"waveform-5000","Fold_2","rbfDDA",0.1,1,0.995995995995996,0.95867460908414
"waveform-5000","Fold_2","rbfDDA",0.2,0.1,1,1
"waveform-5000","Fold_2","rbfDDA",0.2,0.2,1,1
"waveform-5000","Fold_2","rbfDDA",0.2,0.25,0.997997997997998,0.97933730454207
"waveform-5000","Fold_2","rbfDDA",0.2,0.3,0.996996996996997,0.969290830284959
"waveform-5000","Fold_2","rbfDDA",0.2,0.4,0.995995995995996,0.959427353030764
"waveform-5000","Fold_2","rbfDDA",0.2,0.5,0.993993993993994,0.939141029546147
"waveform-5000","Fold_2","rbfDDA",0.2,0.6,0.992992992992993,0.928345270664905
"waveform-5000","Fold_2","rbfDDA",0.2,0.7,0.992992992992993,0.928345270664905
"waveform-5000","Fold_2","rbfDDA",0.2,0.75,0.992992992992993,0.928345270664905
"waveform-5000","Fold_2","rbfDDA",0.2,0.8,0.992992992992993,0.928345270664905
"waveform-5000","Fold_2","rbfDDA",0.2,0.9,0.992992992992993,0.928345270664905
"waveform-5000","Fold_2","rbfDDA",0.2,1,0.991991991991992,0.918854706061529
"waveform-5000","Fold_2","rbfDDA",0.3,0.1,1,1
"waveform-5000","Fold_2","rbfDDA",0.3,0.2,1,1
"waveform-5000","Fold_2","rbfDDA",0.3,0.25,0.998998998998999,0.989571916199543
"waveform-5000","Fold_2","rbfDDA",0.3,0.3,0.997997997997998,0.97933730454207
"waveform-5000","Fold_2","rbfDDA",0.3,0.4,0.996996996996997,0.969290830284959
"waveform-5000","Fold_2","rbfDDA",0.3,0.5,0.995995995995996,0.959427353030764
