"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","rda",0.1,0.1,1,1
"waveform-5000","Fold_1","rda",0.1,0.2,1,1
"waveform-5000","Fold_1","rda",0.1,0.25,1,1
"waveform-5000","Fold_1","rda",0.1,0.3,1,1
"waveform-5000","Fold_1","rda",0.1,0.4,0.998,0.99594545830512
"waveform-5000","Fold_1","rda",0.1,0.5,0.998,0.99594545830512
"waveform-5000","Fold_1","rda",0.1,0.6,0.997,0.993916732230775
"waveform-5000","Fold_1","rda",0.1,0.7,0.996,0.991890916610241
"waveform-5000","Fold_1","rda",0.1,0.75,0.995,0.989866069980867
"waveform-5000","Fold_1","rda",0.1,0.8,0.994,0.987836374915361
"waveform-5000","Fold_1","rda",0.1,0.9,0.994,0.987836374915361
"waveform-5000","Fold_1","rda",0.1,1,0.994,0.987836374915361
"waveform-5000","Fold_1","rda",0.2,0.1,0.998,0.99594157491244
"waveform-5000","Fold_1","rda",0.2,0.2,0.998,0.99594157491244
"waveform-5000","Fold_1","rda",0.2,0.25,0.998,0.99594157491244
"waveform-5000","Fold_1","rda",0.2,0.3,0.994,0.987824724737318
"waveform-5000","Fold_1","rda",0.2,0.4,0.994,0.987824724737318
"waveform-5000","Fold_1","rda",0.2,0.5,0.993,0.985798912602451
"waveform-5000","Fold_1","rda",0.2,0.6,0.988,0.975649449474637
"waveform-5000","Fold_1","rda",0.2,0.7,0.985,0.969539931119631
"waveform-5000","Fold_1","rda",0.2,0.75,0.985,0.969539931119631
"waveform-5000","Fold_1","rda",0.2,0.8,0.985,0.969539931119631
"waveform-5000","Fold_1","rda",0.2,0.9,0.984,0.967501472589523
"waveform-5000","Fold_1","rda",0.2,1,0.982,0.963439156663214
"waveform-5000","Fold_1","rda",0.3,0.1,0.999,0.997971273228922
"waveform-5000","Fold_1","rda",0.3,0.2,0.999,0.997971273228922
"waveform-5000","Fold_1","rda",0.3,0.25,0.999,0.997971273228922
"waveform-5000","Fold_1","rda",0.3,0.3,0.998,0.99594157491244
"waveform-5000","Fold_1","rda",0.3,0.4,0.996,0.991887035076404
"waveform-5000","Fold_1","rda",0.3,0.5,0.995,0.989861220384625
"waveform-5000","Fold_1","rda",0.3,0.6,0.991,0.981758925965561
"waveform-5000","Fold_1","rda",0.3,0.7,0.988,0.975684383295171
"waveform-5000","Fold_1","rda",0.3,0.75,0.986,0.971645339911615
"waveform-5000","Fold_1","rda",0.3,0.8,0.986,0.971645339911615
"waveform-5000","Fold_1","rda",0.3,0.9,0.984,0.967610155835638
"waveform-5000","Fold_1","rda",0.3,1,0.982,0.963578825538527
"waveform-5000","Fold_1","rda",0.4,0.1,0.996,0.991887035076404
"waveform-5000","Fold_1","rda",0.4,0.2,0.995,0.989861220384625
"waveform-5000","Fold_1","rda",0.4,0.25,0.993,0.985805708538475
"waveform-5000","Fold_1","rda",0.4,0.3,0.991,0.981741459060294
"waveform-5000","Fold_1","rda",0.4,0.4,0.989,0.977694684846174
"waveform-5000","Fold_1","rda",0.4,0.5,0.988,0.975672749830723
"waveform-5000","Fold_1","rda",0.4,0.6,0.982,0.963509124746084
"waveform-5000","Fold_1","rda",0.4,0.7,0.977,0.953383921911989
"waveform-5000","Fold_1","rda",0.4,0.75,0.975,0.949330349904336
"waveform-5000","Fold_1","rda",0.4,0.8,0.973,0.945250590076974
"waveform-5000","Fold_1","rda",0.4,0.9,0.969,0.937109470096567
"waveform-5000","Fold_1","rda",0.4,1,0.967,0.93305201655441
"waveform-5000","Fold_1","rda",0.5,0.1,0.998,0.99594157491244
"waveform-5000","Fold_1","rda",0.5,0.2,0.997,0.993913819686765
"waveform-5000","Fold_1","rda",0.5,0.25,0.996,0.991883149824879
"waveform-5000","Fold_1","rda",0.5,0.3,0.995,0.989856366144608
"waveform-5000","Fold_1","rda",0.5,0.4,0.991,0.981732713057457
"waveform-5000","Fold_1","rda",0.5,0.5,0.989,0.977684005518137
"waveform-5000","Fold_1","rda",0.5,0.6,0.983,0.965511644891666
"waveform-5000","Fold_1","rda",0.5,0.7,0.977,0.953294561050101
"waveform-5000","Fold_1","rda",0.5,0.75,0.976,0.951275565101936
"waveform-5000","Fold_1","rda",0.5,0.8,0.974,0.947215195527097
"waveform-5000","Fold_1","rda",0.5,0.9,0.971,0.941110533497953
"waveform-5000","Fold_1","rda",0.5,1,0.968,0.935034086802581
"waveform-5000","Fold_1","rda",0.6,0.1,0.998,0.995943517538202
"waveform-5000","Fold_1","rda",0.6,0.2,0.991,0.981750196692325
"waveform-5000","Fold_1","rda",0.6,0.25,0.989,0.977705353957908
"waveform-5000","Fold_1","rda",0.6,0.3,0.985,0.969569098433823
"waveform-5000","Fold_1","rda",0.6,0.4,0.981,0.961472637461574
"waveform-5000","Fold_1","rda",0.6,0.5,0.976,0.951345499661446
"waveform-5000","Fold_1","rda",0.6,0.6,0.971,0.941195078230823
"waveform-5000","Fold_1","rda",0.6,0.7,0.966,0.931105752669652
"waveform-5000","Fold_1","rda",0.6,0.75,0.965,0.929096404579967
"waveform-5000","Fold_1","rda",0.6,0.8,0.963,0.925044770555965
"waveform-5000","Fold_1","rda",0.6,0.9,0.961,0.920993136531963
"waveform-5000","Fold_1","rda",0.6,1,0.96,0.918986685461756
"waveform-5000","Fold_1","rda",0.7,0.1,0.995,0.989856366144608
"waveform-5000","Fold_1","rda",0.7,0.2,0.992,0.983766299649758
"waveform-5000","Fold_1","rda",0.7,0.25,0.991,0.981732713057457
"waveform-5000","Fold_1","rda",0.7,0.3,0.987,0.973601273637013
"waveform-5000","Fold_1","rda",0.7,0.4,0.979,0.957355903567483
"waveform-5000","Fold_1","rda",0.7,0.5,0.976,0.951252208884285
"waveform-5000","Fold_1","rda",0.7,0.6,0.968,0.935002945179046
"waveform-5000","Fold_1","rda",0.7,0.7,0.962,0.922741929581302
"waveform-5000","Fold_1","rda",0.7,0.75,0.959,0.916582571047235
"waveform-5000","Fold_1","rda",0.7,0.8,0.955,0.908400302889665
"waveform-5000","Fold_1","rda",0.7,0.9,0.946,0.890053955003563
"waveform-5000","Fold_1","rda",0.7,1,0.943,0.883973716993576
"waveform-5000","Fold_1","rda",0.8,0.1,0.996,0.991883149824879
"waveform-5000","Fold_1","rda",0.8,0.2,0.989,0.977673315959114
"waveform-5000","Fold_1","rda",0.8,0.25,0.987,0.973601273637013
"waveform-5000","Fold_1","rda",0.8,0.3,0.981,0.961398746881425
"waveform-5000","Fold_1","rda",0.8,0.4,0.976,0.951228830264137
"waveform-5000","Fold_1","rda",0.8,0.5,0.97,0.939065261105356
"waveform-5000","Fold_1","rda",0.8,0.6,0.958,0.914732238928387
"waveform-5000","Fold_1","rda",0.8,0.7,0.953,0.904604168188941
"waveform-5000","Fold_1","rda",0.8,0.75,0.95,0.898539372810987
"waveform-5000","Fold_1","rda",0.8,0.8,0.949,0.896485373992255
"waveform-5000","Fold_1","rda",0.8,0.9,0.945,0.88825953044623
"waveform-5000","Fold_1","rda",0.8,1,0.941,0.880190395737215
"waveform-5000","Fold_1","rda",0.9,0.1,0.994,0.987813052221071
"waveform-5000","Fold_1","rda",0.9,0.2,0.989,0.977651906089246
"waveform-5000","Fold_1","rda",0.9,0.25,0.985,0.969525326485336
"waveform-5000","Fold_1","rda",0.9,0.3,0.982,0.963421622698102
