dataset,fold,method,noise_levels,instance_level,accuracy,kappa
wdbc,Fold_1,bayesglm,0.1,0.1,1,1
wdbc,Fold_1,bayesglm,0.1,0.2,1,1
wdbc,Fold_1,bayesglm,0.1,0.25,1,1
wdbc,Fold_1,bayesglm,0.1,0.3,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.1,0.4,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.1,0.5,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.1,0.6,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.1,0.7,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.1,0.75,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.1,0.8,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.1,0.9,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.1,1,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.2,0.1,1,1
wdbc,Fold_1,bayesglm,0.2,0.2,1,1
wdbc,Fold_1,bayesglm,0.2,0.25,1,1
wdbc,Fold_1,bayesglm,0.2,0.3,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.2,0.4,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.2,0.5,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.2,0.6,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.2,0.7,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.2,0.75,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.2,0.8,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.2,0.9,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.2,1,0.991304347826087,0.98151422600868
wdbc,Fold_1,bayesglm,0.3,0.1,0.982608695652174,0.962504075643952
wdbc,Fold_1,bayesglm,0.3,0.2,0.982608695652174,0.962504075643952
wdbc,Fold_1,bayesglm,0.3,0.25,0.982608695652174,0.962504075643952
wdbc,Fold_1,bayesglm,0.3,0.3,0.973913043478261,0.944020769105955
wdbc,Fold_1,bayesglm,0.3,0.4,0.973913043478261,0.944020769105955
wdbc,Fold_1,bayesglm,0.3,0.5,0.973913043478261,0.944020769105955
wdbc,Fold_1,bayesglm,0.3,0.6,0.973913043478261,0.944020769105955
wdbc,Fold_1,bayesglm,0.3,0.7,0.973913043478261,0.944020769105955
wdbc,Fold_1,bayesglm,0.3,0.75,0.973913043478261,0.944020769105955
wdbc,Fold_1,bayesglm,0.3,0.8,0.973913043478261,0.944020769105955
wdbc,Fold_1,bayesglm,0.3,0.9,0.973913043478261,0.944020769105955
wdbc,Fold_1,bayesglm,0.3,1,0.973913043478261,0.944020769105955
wdbc,Fold_1,bayesglm,0.4,0.1,0.991304347826087,0.981340256368652
wdbc,Fold_1,bayesglm,0.4,0.2,0.991304347826087,0.981340256368652
wdbc,Fold_1,bayesglm,0.4,0.25,0.991304347826087,0.981340256368652
wdbc,Fold_1,bayesglm,0.4,0.3,0.982608695652174,0.962855297157623
wdbc,Fold_1,bayesglm,0.4,0.4,0.973913043478261,0.944542678026041
wdbc,Fold_1,bayesglm,0.4,0.5,0.973913043478261,0.944542678026041
wdbc,Fold_1,bayesglm,0.4,0.6,0.973913043478261,0.944542678026041
wdbc,Fold_1,bayesglm,0.4,0.7,0.973913043478261,0.944542678026041
