"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","JRip",0.1,0.1,0.995867768595041,0.962092731829574
"wilt","Fold_1","JRip",0.1,0.2,0.993801652892562,0.944076413495609
"wilt","Fold_1","JRip",0.1,0.25,0.993801652892562,0.944076413495609
"wilt","Fold_1","JRip",0.1,0.3,0.993801652892562,0.944076413495609
"wilt","Fold_1","JRip",0.1,0.4,0.992768595041322,0.93421359223301
"wilt","Fold_1","JRip",0.1,0.5,0.987603305785124,0.888152826991219
"wilt","Fold_1","JRip",0.1,0.6,0.982438016528926,0.847821262114374
"wilt","Fold_1","JRip",0.1,0.7,0.980371900826446,0.832568640302964
"wilt","Fold_1","JRip",0.1,0.75,0.979338842975207,0.825119236883943
"wilt","Fold_1","JRip",0.1,0.8,0.976239669421488,0.803446571085529
"wilt","Fold_1","JRip",0.1,0.9,0.974173553719008,0.786354968571227
"wilt","Fold_1","JRip",0.1,1,0.97004132231405,0.752171763542623
"wilt","Fold_1","JRip",0.2,0.1,0.991735537190083,0.927815063385533
"wilt","Fold_1","JRip",0.2,0.2,0.985537190082645,0.879447765442642
"wilt","Fold_1","JRip",0.2,0.25,0.984504132231405,0.871812981142736
"wilt","Fold_1","JRip",0.2,0.3,0.979338842975207,0.835306927997822
"wilt","Fold_1","JRip",0.2,0.4,0.97004132231405,0.775882991633135
"wilt","Fold_1","JRip",0.2,0.5,0.956611570247934,0.694223826714801
"wilt","Fold_1","JRip",0.2,0.6,0.946280991735537,0.64431882419446
"wilt","Fold_1","JRip",0.2,0.7,0.933884297520661,0.577569277765656
"wilt","Fold_1","JRip",0.2,0.75,0.930785123966942,0.56537822334209
"wilt","Fold_1","JRip",0.2,0.8,0.924586776859504,0.537078769456527
"wilt","Fold_1","JRip",0.2,0.9,0.914256198347107,0.501612823184954
"wilt","Fold_1","JRip",0.2,1,0.90702479338843,0.478947368421053
"wilt","Fold_1","JRip",0.3,0.1,0.986570247933884,0.883628023969815
"wilt","Fold_1","JRip",0.3,0.2,0.97004132231405,0.769584345656314
"wilt","Fold_1","JRip",0.3,0.25,0.962809917355372,0.719871382636656
"wilt","Fold_1","JRip",0.3,0.3,0.951446280991736,0.651082888520769
"wilt","Fold_1","JRip",0.3,0.4,0.93698347107438,0.580219530228061
"wilt","Fold_1","JRip",0.3,0.5,0.920454545454545,0.511713222577433
"wilt","Fold_1","JRip",0.3,0.6,0.912190082644628,0.48412499373025
"wilt","Fold_1","JRip",0.3,0.7,0.895661157024793,0.424108194712785
"wilt","Fold_1","JRip",0.3,0.75,0.889462809917355,0.40781228559667
"wilt","Fold_1","JRip",0.3,0.8,0.878099173553719,0.374485236134233
"wilt","Fold_1","JRip",0.3,0.9,0.861570247933884,0.333415556651866
"wilt","Fold_1","JRip",0.3,1,0.847107438016529,0.300687285223367
"wilt","Fold_1","JRip",0.4,0.1,0.982438016528926,0.854721378628434
"wilt","Fold_1","JRip",0.4,0.2,0.959710743801653,0.714225155937746
"wilt","Fold_1","JRip",0.4,0.25,0.947314049586777,0.649036000682478
"wilt","Fold_1","JRip",0.4,0.3,0.93698347107438,0.595006858710562
"wilt","Fold_1","JRip",0.4,0.4,0.920454545454545,0.532677935496815
"wilt","Fold_1","JRip",0.4,0.5,0.897727272727273,0.446671901704467
"wilt","Fold_1","JRip",0.4,0.6,0.87603305785124,0.381285154252599
"wilt","Fold_1","JRip",0.4,0.7,0.856404958677686,0.334875627792937
"wilt","Fold_1","JRip",0.4,0.75,0.850206611570248,0.317713396850088
"wilt","Fold_1","JRip",0.4,0.8,0.840909090909091,0.290133333333333
"wilt","Fold_1","JRip",0.4,0.9,0.823347107438017,0.25718901453958
"wilt","Fold_1","JRip",0.4,1,0.798553719008264,0.190260475651189
"wilt","Fold_1","JRip",0.5,0.1,0.979338842975207,0.837671049101153
"wilt","Fold_1","JRip",0.5,0.2,0.956611570247934,0.701900516189582
"wilt","Fold_1","JRip",0.5,0.25,0.946280991735537,0.652721050888619
"wilt","Fold_1","JRip",0.5,0.3,0.932851239669422,0.596852734635297
"wilt","Fold_1","JRip",0.5,0.4,0.897727272727273,0.462608227535777
"wilt","Fold_1","JRip",0.5,0.5,0.877066115702479,0.410625844214318
"wilt","Fold_1","JRip",0.5,0.6,0.857438016528926,0.369029625151149
"wilt","Fold_1","JRip",0.5,0.7,0.841942148760331,0.335379644588045
"wilt","Fold_1","JRip",0.5,0.75,0.831611570247934,0.318133102852204
"wilt","Fold_1","JRip",0.5,0.8,0.823347107438017,0.300199546792032
"wilt","Fold_1","JRip",0.5,0.9,0.799586776859504,0.262148739548627
"wilt","Fold_1","JRip",0.5,1,0.774793388429752,0.227991102786233
"wilt","Fold_1","JRip",0.6,0.1,0.97004132231405,0.762921424228093
"wilt","Fold_1","JRip",0.6,0.2,0.951446280991736,0.655604675104464
"wilt","Fold_1","JRip",0.6,0.25,0.939049586776859,0.593982824318944
"wilt","Fold_1","JRip",0.6,0.3,0.923553719008264,0.528091071993254
"wilt","Fold_1","JRip",0.6,0.4,0.893595041322314,0.412704396588286
"wilt","Fold_1","JRip",0.6,0.5,0.868801652892562,0.336112671188491
"wilt","Fold_1","JRip",0.6,0.6,0.841942148760331,0.28006999805561
"wilt","Fold_1","JRip",0.6,0.7,0.81301652892562,0.225647915709083
"wilt","Fold_1","JRip",0.6,0.75,0.801652892561983,0.205634958626821
"wilt","Fold_1","JRip",0.6,0.8,0.790289256198347,0.192617427604116
"wilt","Fold_1","JRip",0.6,0.9,0.761363636363636,0.152768936982814
"wilt","Fold_1","JRip",0.6,1,0.740702479338843,0.113902261123267
"wilt","Fold_1","JRip",0.7,0.1,0.976239669421488,0.811972164042971
"wilt","Fold_1","JRip",0.7,0.2,0.944214876033058,0.630638778971171
"wilt","Fold_1","JRip",0.7,0.25,0.933884297520661,0.582443653618031
"wilt","Fold_1","JRip",0.7,0.3,0.915289256198347,0.510218185408234
"wilt","Fold_1","JRip",0.7,0.4,0.893595041322314,0.424315210864243
"wilt","Fold_1","JRip",0.7,0.5,0.868801652892562,0.365445761242103
"wilt","Fold_1","JRip",0.7,0.6,0.84400826446281,0.317864476386037
"wilt","Fold_1","JRip",0.7,0.7,0.81198347107438,0.252477936184658
"wilt","Fold_1","JRip",0.7,0.75,0.798553719008264,0.229852792375233
"wilt","Fold_1","JRip",0.7,0.8,0.783057851239669,0.201295027346452
"wilt","Fold_1","JRip",0.7,0.9,0.756198347107438,0.164247248887849
"wilt","Fold_1","JRip",0.7,1,0.734504132231405,0.135882401978492
"wilt","Fold_1","JRip",0.8,0.1,0.978305785123967,0.828322410647929
"wilt","Fold_1","JRip",0.8,0.2,0.953512396694215,0.68259982512387
"wilt","Fold_1","JRip",0.8,0.25,0.941115702479339,0.625955854438961
"wilt","Fold_1","JRip",0.8,0.3,0.929752066115702,0.571190327287888
"wilt","Fold_1","JRip",0.8,0.4,0.898760330578512,0.449540432643208
"wilt","Fold_1","JRip",0.8,0.5,0.879132231404959,0.382679980813674
"wilt","Fold_1","JRip",0.8,0.6,0.854338842975207,0.325305492941037
"wilt","Fold_1","JRip",0.8,0.7,0.829545454545455,0.277703411598712
"wilt","Fold_1","JRip",0.8,0.75,0.817148760330578,0.248447204968944
"wilt","Fold_1","JRip",0.8,0.8,0.799586776859504,0.203190767141888
"wilt","Fold_1","JRip",0.8,0.9,0.767561983471074,0.141356798183366
"wilt","Fold_1","JRip",0.8,1,0.740702479338843,0.102697432564186
"wilt","Fold_1","JRip",0.9,0.1,0.972107438016529,0.779271670833051
"wilt","Fold_1","JRip",0.9,0.2,0.93801652892562,0.594504021447721
"wilt","Fold_1","JRip",0.9,0.25,0.928719008264463,0.547209718531374
"wilt","Fold_1","JRip",0.9,0.3,0.914256198347107,0.49079754601227
"wilt","Fold_1","JRip",0.9,0.4,0.880165289256198,0.361128812016386
"wilt","Fold_1","JRip",0.9,0.5,0.854338842975207,0.295494900276665
"wilt","Fold_1","JRip",0.9,0.6,0.827479338842975,0.251564872773066
"wilt","Fold_1","JRip",0.9,0.7,0.803719008264463,0.202234714414602
"wilt","Fold_1","JRip",0.9,0.75,0.790289256198347,0.181096849474912
"wilt","Fold_1","JRip",0.9,0.8,0.774793388429752,0.147942373538342
"wilt","Fold_1","JRip",0.9,0.9,0.753099173553719,0.117704487903103
"wilt","Fold_1","JRip",0.9,1,0.724173553719008,0.0690430222170991
"wilt","Fold_1","JRip",1,0.1,0.973140495867769,0.7889723638315
"wilt","Fold_1","JRip",1,0.2,0.950413223140496,0.659314875645237
"wilt","Fold_1","JRip",1,0.25,0.935950413223141,0.590770237835479
"wilt","Fold_1","JRip",1,0.3,0.918388429752066,0.520539700055174
"wilt","Fold_1","JRip",1,0.4,0.890495867768595,0.427359585677293
"wilt","Fold_1","JRip",1,0.5,0.866735537190083,0.361098604232328
"wilt","Fold_1","JRip",1,0.6,0.840909090909091,0.31255072677636
"wilt","Fold_1","JRip",1,0.7,0.817148760330578,0.275645144925085
