"fold","index","original_test_index"
1,118,575
1,82,384
1,2,10
1,36,160
1,15,54
1,85,405
1,79,368
1,4,17
1,71,330
1,59,271
1,61,281
1,140,680
1,143,703
1,11,39
1,65,307
1,96,453
1,91,440
1,55,245
1,77,357
1,10,32
1,39,168
1,84,392
1,76,343
1,101,489
1,5,18
1,119,578
1,68,316
1,129,637
1,150,738
1,35,159
1,3,11
1,133,659
1,50,223
1,69,318
1,148,733
1,33,155
1,38,167
1,100,488
1,95,452
1,102,504
1,135,665
1,105,509
1,94,450
1,147,731
1,80,377
1,131,644
1,149,736
1,58,257
1,16,63
1,62,283
1,103,506
1,25,125
1,47,210
1,32,154
1,127,624
1,26,126
1,9,29
1,107,525
1,132,646
1,153,748
1,24,123
1,66,308
1,134,662
1,78,367
1,74,340
1,121,590
1,122,598
1,22,118
1,40,169
1,124,602
1,73,338
1,67,313
1,98,461
1,46,209
1,138,674
1,120,582
1,37,166
1,63,294
1,92,442
1,93,448
1,75,341
1,88,427
1,18,80
1,113,557
1,137,672
1,151,743
1,152,746
1,34,156
1,126,618
1,116,567
1,17,69
1,14,49
1,154,758
1,7,25
1,45,208
1,48,213
1,42,176
1,28,139
1,27,127
1,56,248
1,20,104
1,89,429
1,87,415
1,114,562
1,29,141
1,53,234
1,109,537
1,60,278
1,41,170
1,12,40
1,21,107
1,54,238
1,44,195
1,110,539
1,70,323
1,52,227
1,99,468
1,19,100
1,81,379
1,72,331
1,111,541
1,64,303
1,112,550
1,6,21
1,115,564
1,108,526
1,145,719
1,57,256
1,90,437
1,139,675
1,31,147
1,128,625
1,43,186
1,141,690
1,104,507
1,49,220
1,97,455
1,144,704
1,106,522
1,117,573
1,125,610
1,130,642
1,83,391
1,136,670
1,13,48
1,8,27
1,30,142
1,23,120
1,142,700
1,51,226
1,1,3
1,86,409
1,146,727
1,123,599
2,100,496
2,105,511
2,59,292
2,118,584
2,80,397
2,131,641
2,81,400
2,10,47
2,120,591
2,114,556
2,37,215
2,45,237
2,145,724
2,128,631
2,24,133
2,55,285
2,125,621
2,153,765
2,43,231
2,74,356
2,2,7
2,7,33
2,69,337
2,62,298
2,143,712
2,130,638
2,117,580
2,85,416
2,56,288
2,1,4
2,28,150
2,51,262
2,22,121
2,116,577
2,64,325
2,61,295
2,44,232
2,124,613
2,12,53
2,147,735
2,78,386
2,25,140
2,19,82
2,72,354
2,148,737
2,49,253
2,75,362
2,150,747
2,104,510
2,3,16
2,63,321
2,135,655
2,126,627
2,134,654
2,113,552
2,50,261
2,103,503
2,40,228
2,16,72
2,53,269
2,46,241
2,14,68
2,4,22
2,152,764
2,52,264
2,48,249
2,107,515
2,30,172
2,79,390
2,21,103
2,71,346
2,95,476
2,47,242
2,98,492
2,8,43
2,31,179
2,11,52
2,91,441
2,151,754
2,139,689
2,82,406
2,57,290
2,60,293
2,32,180
2,102,502
2,33,188
2,99,494
2,38,216
2,110,530
2,15,71
2,5,28
2,96,478
2,88,430
2,136,657
2,70,345
2,6,31
2,42,230
2,86,421
2,83,412
2,41,229
2,141,710
2,122,600
2,18,79
2,34,198
2,146,725
2,92,446
2,137,661
2,87,422
2,20,102
2,93,447
2,94,458
2,67,332
2,111,536
2,109,527
2,119,585
2,140,692
2,23,129
2,121,592
2,108,524
2,115,558
2,149,741
2,36,207
2,35,199
2,84,414
2,133,652
2,89,434
2,17,76
2,97,481
2,58,291
2,90,438
2,132,649
2,65,326
2,29,162
2,101,497
2,26,144
2,13,66
2,129,636
2,138,666
2,54,280
2,112,551
2,9,44
2,123,609
2,127,628
2,144,720
2,106,513
2,77,382
2,27,149
2,76,363
2,73,355
2,66,329
2,68,335
2,142,711
2,39,217
3,75,393
3,80,426
3,31,175
3,20,116
3,149,753
3,131,651
3,67,358
3,1,5
3,142,701
3,98,505
3,81,428
3,114,560
3,38,204
3,148,750
3,33,184
3,110,545
3,77,395
3,42,214
3,89,466
3,52,284
3,14,92
3,70,378
3,49,273
3,65,349
3,73,385
3,116,568
3,60,327
3,54,296
3,74,387
3,13,88
3,122,603
3,129,633
3,113,553
3,101,519
3,51,277
3,28,158
3,93,471
3,85,454
3,150,755
3,125,614
3,34,187
3,35,190
3,41,212
3,62,333
3,139,683
3,92,470
3,63,336
3,96,482
3,94,472
3,22,122
3,48,272
3,47,267
3,40,206
3,86,457
3,64,347
3,36,196
3,7,42
3,111,548
3,24,132
3,12,87
3,147,740
3,84,449
3,26,146
3,106,538
3,112,549
3,90,467
3,19,115
3,99,514
3,128,630
3,145,730
3,32,181
3,30,174
3,55,301
3,91,469
3,82,432
3,109,543
3,44,225
3,15,101
3,27,152
3,6,36
3,120,588
3,119,587
3,108,542
3,134,667
3,102,528
3,3,12
3,151,760
3,17,109
3,115,563
3,78,396
3,130,648
3,2,8
3,25,143
3,53,286
3,105,532
3,83,435
3,124,607
3,11,86
3,136,669
3,10,77
3,117,583
3,127,620
3,133,664
3,39,205
3,76,394
3,56,304
3,103,529
3,57,317
3,59,322
3,141,699
3,45,246
3,37,201
3,146,739
3,66,353
3,79,403
3,18,110
3,87,459
3,61,328
3,132,660
3,50,276
3,46,258
3,23,124
3,143,702
3,138,682
3,72,381
3,95,480
3,71,380
3,135,668
3,137,679
3,152,761
3,5,34
3,121,594
3,43,224
3,140,698
3,29,165
3,118,586
3,100,518
3,16,106
3,21,119
3,97,501
3,68,372
3,4,23
3,58,319
3,153,762
3,144,713
3,123,605
3,126,619
3,104,531
3,69,373
3,88,465
3,8,56
3,107,540
3,9,58
3,154,767
4,80,410
4,136,687
4,85,433
4,70,364
4,1,2
4,146,723
4,142,709
4,44,239
4,96,484
4,56,275
4,2,6
4,113,570
4,16,70
4,92,474
4,84,424
4,10,55
4,7,26
4,148,744
4,4,13
4,28,145
4,152,757
4,108,547
4,31,157
4,30,153
4,78,407
4,99,491
4,130,656
4,49,251
4,83,423
4,124,623
4,74,388
4,76,399
4,66,344
4,127,640
4,77,401
4,33,163
4,71,366
4,110,561
4,60,305
4,52,265
4,38,192
4,138,695
4,89,463
4,95,483
4,18,75
4,69,352
4,119,608
4,147,726
4,73,375
4,54,268
4,123,617
4,34,164
4,111,565
4,98,490
4,126,632
4,140,705
4,57,279
4,65,324
4,68,351
4,63,312
4,41,219
4,3,9
4,27,138
4,79,408
4,12,59
4,128,645
4,24,134
4,42,222
4,53,266
4,37,185
4,43,236
4,120,611
4,135,686
4,14,62
4,103,533
4,151,756
4,51,259
4,107,546
4,144,717
4,15,65
4,8,37
4,67,348
4,29,148
4,102,521
4,5,15
4,72,370
4,105,535
4,143,716
4,22,97
4,109,554
4,145,722
4,61,309
4,116,574
4,62,310
4,149,745
4,75,398
4,13,61
4,114,571
4,50,254
4,133,678
4,132,677
4,93,477
4,141,706
4,39,197
4,6,20
4,58,289
4,121,615
4,59,300
4,131,673
4,26,137
4,97,486
4,106,544
4,86,436
4,139,696
4,11,57
4,46,243
4,87,439
4,82,420
4,125,626
4,17,73
4,81,417
4,90,464
