"fold","index","original_test_index"
1,51,252
1,94,475
1,66,338
1,22,114
1,76,386
1,45,232
1,46,241
1,105,517
1,122,600
1,34,173
1,74,373
1,69,345
1,29,146
1,68,343
1,90,460
1,88,454
1,28,141
1,62,323
1,33,169
1,1,12
1,81,406
1,104,512
1,116,575
1,128,638
1,41,193
1,58,303
1,91,463
1,10,65
1,127,632
1,120,595
1,56,294
1,36,178
1,32,167
1,93,474
1,26,139
1,37,179
1,110,550
1,114,569
1,8,54
1,108,543
1,83,419
1,106,529
1,78,391
1,71,365
1,107,539
1,115,574
1,42,216
1,55,269
1,96,480
1,4,31
1,84,433
1,43,220
1,86,446
1,89,458
1,40,188
1,112,552
1,63,326
1,87,450
1,75,376
1,30,160
1,48,244
1,80,405
1,52,260
1,97,482
1,67,342
1,118,591
1,50,250
1,85,443
1,15,94
1,12,84
1,2,24
1,25,132
1,77,389
1,70,355
1,20,105
1,124,621
1,54,265
1,102,508
1,125,625
1,65,331
1,14,89
1,61,322
1,72,370
1,24,131
1,101,501
1,19,102
1,64,328
1,109,544
1,7,52
1,27,140
1,119,593
1,60,314
1,17,99
1,35,175
1,11,82
1,47,243
1,21,112
1,123,619
1,79,394
1,9,56
1,95,476
1,59,313
1,92,473
1,39,186
1,99,495
1,16,97
1,82,409
1,117,578
1,121,596
1,6,40
1,73,372
1,5,34
1,3,26
1,98,485
1,53,264
1,113,553
1,57,299
1,13,86
1,38,182
1,111,551
1,44,229
1,18,100
1,103,511
1,31,161
1,49,245
1,23,121
1,126,626
1,100,497
2,99,504
2,18,85
2,25,125
2,113,576
2,52,284
2,16,67
2,47,258
2,9,29
2,123,612
2,44,246
2,70,368
2,45,247
2,104,530
2,94,490
2,96,496
2,115,580
2,111,572
2,83,431
2,110,562
2,20,101
2,10,37
2,7,23
2,68,349
2,122,611
2,54,292
2,65,339
2,48,259
2,77,407
2,50,268
2,69,350
2,105,535
2,62,321
2,28,147
2,24,123
2,82,425
2,76,401
2,121,606
2,90,469
2,17,81
2,80,417
2,97,502
2,67,348
2,51,279
2,60,316
2,92,472
2,101,509
2,108,545
2,63,325
2,61,320
2,39,225
2,117,589
2,102,516
2,93,484
2,103,521
2,15,61
2,120,605
2,88,466
2,59,309
2,125,631
2,124,617
2,31,192
2,1,4
2,72,381
2,5,14
2,27,137
2,118,601
2,30,189
2,53,287
2,55,301
2,13,51
2,21,106
2,32,203
2,2,9
2,119,602
2,106,536
2,75,392
2,95,494
2,116,588
2,79,413
2,89,468
2,127,641
2,58,307
2,42,238
2,26,133
2,100,507
2,12,43
2,36,221
2,57,306
2,114,579
2,4,11
2,33,205
2,98,503
2,37,223
2,41,237
2,86,457
2,6,16
2,84,440
2,66,347
2,112,573
2,35,218
2,56,302
2,40,227
2,46,251
2,64,337
2,11,39
2,73,384
2,74,388
2,78,412
2,8,28
2,43,239
2,109,561
2,22,113
2,34,210
2,107,542
2,81,424
2,38,224
2,19,95
2,126,633
2,29,185
2,91,471
2,14,55
2,49,262
2,3,10
2,87,465
2,71,371
2,85,442
2,23,122
3,124,628
3,20,119
3,69,351
3,126,630
3,4,22
3,25,144
3,10,72
3,12,76
3,76,379
3,79,390
3,118,584
3,115,566
3,129,640
3,60,315
3,101,493
3,57,298
3,74,358
3,43,233
3,107,527
3,48,263
3,75,366
3,87,432
3,53,280
3,100,489
3,77,385
3,113,556
3,104,510
3,13,88
3,109,531
3,111,538
3,50,276
3,92,444
3,37,198
3,65,332
3,24,142
3,88,437
3,84,415
3,26,145
3,127,636
3,67,344
3,19,118
3,89,438
3,33,176
3,56,296
3,72,356
3,114,557
3,125,629
3,46,256
3,71,354
3,34,177
3,21,129
3,32,170
3,31,166
3,90,439
3,28,152
3,98,479
3,40,211
3,17,115
3,6,59
3,44,240
3,59,311
3,122,622
3,54,283
3,95,449
3,66,334
3,73,357
3,83,411
3,80,402
3,99,483
3,91,441
3,110,533
3,108,528
3,3,18
3,128,637
3,123,627
3,7,63
3,38,199
3,97,477
3,51,277
3,68,346
3,70,353
3,64,329
3,35,181
3,116,567
3,78,387
3,81,408
3,49,274
3,8,70
3,52,278
3,29,156
3,119,586
3,105,513
3,103,506
3,47,257
3,42,215
3,117,570
3,94,447
3,82,410
3,18,117
3,96,452
3,58,300
3,9,71
3,2,5
3,93,445
3,36,197
3,106,514
3,62,318
3,45,249
3,11,74
3,102,505
3,30,165
3,55,295
3,23,138
3,112,549
3,121,607
3,5,41
3,120,598
3,39,208
3,15,96
3,27,148
3,86,427
3,41,212
3,63,324
3,85,423
3,22,130
3,16,98
3,1,3
3,61,317
3,14,92
4,81,398
4,67,333
4,33,158
4,34,162
4,8,44
4,89,435
4,40,190
4,92,456
4,94,478
4,107,548
4,25,127
4,70,352
4,78,393
4,95,481
4,29,143
4,105,541
4,45,204
4,48,214
4,37,172
4,35,163
4,62,291
4,31,153
4,7,25
4,85,420
4,38,180
4,128,623
4,113,565
4,43,200
4,129,635
4,90,451
4,30,151
4,19,107
4,16,79
4,121,594
4,6,21
4,56,261
4,52,230
4,23,116
4,54,236
4,61,290
4,18,104
4,17,90
4,100,500
4,49,217
4,120,592
4,10,46
4,82,400
4,24,120
4,4,7
4,88,434
4,79,395
4,112,564
4,42,195
4,96,486
4,71,362
4,3,6
4,104,537
4,103,534
4,13,60
4,51,228
4,58,271
4,14,62
4,69,341
4,73,375
4,32,154
4,47,213
4,122,604
4,97,487
4,99,498
4,26,128
4,39,184
4,119,590
4,118,587
4,87,429
4,115,577
4,109,555
4,93,462
4,117,585
4,86,422
4,63,297
4,60,285
4,1,1
4,15,73
4,91,453
4,11,53
4,21,110
4,44,201
4,75,378
4,46,209
4,84,418
4,106,547
4,55,242
4,77,383
4,59,275
4,72,363
4,124,609
4,41,191
4,20,109
4,74,377
4,27,134
4,9,45
4,111,563
4,36,168
4,123,608
4,108,554
4,28,136
4,64,308
4,22,111
4,5,19
4,65,310
4,110,558
4,68,340
4,12,57
4,102,522
4,53,234
4,2,2
4,126,613
4,127,614
4,114,571
4,66,330
4,57,270
4,80,396
4,101,518
4,125,610
4,116,581
4,76,382
4,50,226
4,98,491
4,83,414
5,73,327
5,85,399
5,79,364
5,6,27
5,83,380
5,116,568
5,109,525
5,30,93
5,80,367
5,74,335
5,14,47
5,102,492
5,11,36
5,7,30
5,15,48
5,127,634
5,2,13
5,65,286
5,32,108
5,35,135
5,90,426
5,62,273
5,37,150
5,45,187
5,105,519
5,96,459
5,10,35
5,22,69
5,115,560
5,120,599
5,119,597
5,77,360
5,89,421
5,46,194
5,91,428
5,17,50
5,57,254
5,21,68
5,9,33
5,112,540
5,53,231
5,72,319
5,101,488
5,19,64
5,1,8
5,69,304
5,20,66
5,118,583
5,68,293
5,39,157
5,24,77
5,87,404
5,93,436
5,64,282
5,108,524
5,104,515
5,82,374
5,113,546
5,95,455
5,13,42
5,124,618
5,3,15
5,47,196
5,31,103
5,29,91
5,18,58
5,70,305
5,122,615
5,76,359
5,126,624
5,33,124
5,121,603
5,59,266
5,99,467
5,55,248
5,5,20
5,51,219
5,97,461
5,12,38
5,71,312
5,27,83
5,50,207
5,56,253
5,16,49
5,103,499
5,111,532
5,75,336
5,54,235
5,43,174
5,41,164
5,123,616
5,25,78
5,117,582
5,98,464
5,40,159
5,52,222
5,66,288
5,23,75
5,78,361
5,67,289
5,107,523
5,58,255
5,100,470
5,81,369
5,106,520
5,4,17
5,28,87
5,36,149
5,26,80
5,94,448
5,48,202
5,114,559
5,61,272
5,92,430
5,86,403
5,60,267
5,38,155
5,34,126
5,63,281
5,42,171
5,84,397
5,49,206
5,128,639
5,88,416
5,8,32
5,44,183
5,125,620
5,110,526
