"fold","index","original_test_index"
1,51,272
1,37,206
1,58,295
1,49,265
1,22,133
1,16,88
1,39,216
1,12,68
1,29,166
1,9,54
1,60,300
1,19,99
1,41,236
1,43,240
1,15,78
1,5,23
1,17,91
1,11,66
1,1,2
1,4,13
1,36,196
1,57,293
1,13,73
1,59,296
1,21,121
1,66,328
1,47,256
1,24,144
1,8,45
1,64,323
1,69,340
1,23,142
1,6,34
1,42,237
1,18,93
1,50,266
1,33,179
1,3,12
1,28,163
1,20,120
1,25,150
1,68,339
1,31,173
1,35,192
1,52,273
1,26,152
1,2,10
1,7,43
1,38,215
1,62,312
1,54,283
1,61,306
1,53,276
1,27,157
1,30,168
1,40,225
1,14,77
1,34,180
1,46,255
1,45,250
1,65,324
1,63,318
1,55,284
1,44,249
1,56,292
1,10,59
1,48,262
1,32,178
1,67,329
2,45,204
2,12,57
2,69,337
2,16,72
2,32,131
2,20,96
2,31,130
2,61,303
2,26,114
2,34,156
2,17,79
2,24,109
2,27,118
2,54,259
2,50,230
2,14,61
2,23,106
2,2,15
2,41,187
2,40,184
2,36,164
2,68,335
2,22,103
2,6,36
2,19,95
2,3,18
2,10,51
2,13,58
2,5,32
2,11,52
2,15,62
2,39,181
2,56,270
2,46,208
2,4,31
2,29,124
2,51,238
2,38,174
2,47,209
2,57,281
2,7,37
2,55,263
2,64,315
2,59,286
2,30,127
2,52,246
2,8,40
2,53,257
2,49,229
2,35,162
2,42,189
2,60,298
2,63,309
2,21,101
2,25,112
2,9,50
2,28,122
2,62,307
2,44,202
2,58,282
2,48,213
2,66,319
2,37,165
2,67,325
2,18,89
2,1,6
2,43,200
2,65,316
2,33,136
3,59,299
3,27,134
3,60,301
3,13,71
3,38,193
3,22,105
3,50,247
3,40,198
3,69,341
3,51,248
3,64,326
3,47,228
3,46,227
3,49,245
3,18,85
3,24,111
3,26,132
3,48,241
3,41,199
3,36,171
3,43,212
3,16,83
3,28,135
3,37,188
3,63,321
3,33,149
3,8,53
3,62,320
3,55,277
3,39,194
3,4,22
3,23,107
3,66,332
3,1,1
3,6,33
3,7,38
3,20,98
3,15,82
3,19,86
3,61,305
3,25,123
3,35,154
3,31,146
3,12,69
3,54,271
3,53,261
3,34,151
3,32,147
3,68,338
3,44,219
3,21,100
3,57,289
3,5,27
3,29,143
3,17,84
3,45,224
3,65,330
3,30,145
3,2,8
3,10,65
3,58,291
3,11,67
3,14,75
3,9,55
3,67,334
3,42,203
3,3,16
3,56,288
3,52,254
4,7,24
4,64,287
4,48,234
4,57,268
4,30,153
4,1,4
4,31,155
4,46,231
4,17,90
4,47,232
4,29,148
4,18,92
4,38,172
4,58,274
4,69,314
4,9,26
4,24,126
4,67,310
4,49,235
4,68,313
4,34,160
4,20,110
4,50,239
4,15,64
4,4,14
4,28,140
4,11,44
4,25,129
4,52,244
4,21,113
4,13,60
4,51,243
4,42,205
4,43,211
4,16,70
4,56,264
4,19,94
4,37,170
4,10,28
4,8,25
4,12,56
4,53,252
4,40,195
4,6,21
4,41,201
4,33,159
4,32,158
4,26,137
4,2,7
4,63,285
4,23,125
4,39,182
4,27,139
4,36,169
4,44,214
4,45,221
4,66,308
4,55,260
4,62,280
4,35,161
4,14,63
4,54,253
4,65,302
4,5,17
4,61,279
4,59,275
4,3,9
4,60,278
4,22,117
5,68,344
5,2,5
5,53,267
5,62,327
5,29,138
5,35,183
5,66,342
5,4,19
5,48,226
5,11,42
5,26,116
5,47,223
5,32,175
5,49,233
5,69,345
5,21,97
5,64,333
5,61,322
5,18,80
5,42,210
5,41,207
5,30,141
5,51,251
5,55,290
5,5,20
5,14,48
5,37,186
5,8,35
5,57,297
5,27,119
5,25,115
5,60,317
5,13,47
5,9,39
5,34,177
5,63,331
5,58,304
5,17,76
5,59,311
5,1,3
5,6,29
5,16,74
5,67,343
5,54,269
5,45,220
5,46,222
5,15,49
5,39,191
5,3,11
5,23,104
5,20,87
5,24,108
5,10,41
5,40,197
5,7,30
5,28,128
5,50,242
5,31,167
5,33,176
5,38,190
5,44,218
5,19,81
5,12,46
5,43,217
5,65,336
5,36,185
5,52,258
5,56,294
5,22,102
