"fold","index","original_test_index"
1,63,310
1,121,614
1,66,330
1,58,295
1,133,667
1,60,302
1,150,774
1,44,224
1,72,361
1,162,819
1,10,53
1,134,671
1,94,467
1,9,48
1,199,1003
1,135,673
1,176,886
1,35,165
1,206,1025
1,183,937
1,37,170
1,40,186
1,201,1005
1,177,891
1,104,520
1,7,42
1,187,952
1,90,444
1,6,36
1,27,127
1,12,55
1,88,439
1,50,248
1,82,398
1,8,43
1,136,690
1,191,970
1,125,630
1,68,339
1,130,654
1,38,172
1,116,591
1,193,975
1,152,777
1,192,972
1,157,796
1,70,357
1,16,80
1,165,834
1,19,94
1,180,903
1,22,100
1,14,62
1,140,707
1,205,1022
1,1,9
1,145,728
1,41,194
1,51,252
1,110,558
1,26,114
1,55,276
1,73,369
1,203,1009
1,144,726
1,151,775
1,57,286
1,131,660
1,87,431
1,117,592
1,43,215
1,155,788
1,194,976
1,185,942
1,174,876
1,47,236
1,129,649
1,28,129
1,48,240
1,138,701
1,148,766
1,141,708
1,24,106
1,91,446
1,182,926
1,34,159
1,83,404
1,147,739
1,21,97
1,80,385
1,128,646
1,153,782
1,158,804
1,29,132
1,123,627
1,93,459
1,64,313
1,54,274
1,89,442
1,65,324
1,190,963
1,196,990
1,52,263
1,11,54
1,59,301
1,23,101
1,204,1014
1,169,859
1,112,563
1,178,899
1,168,848
1,209,1040
1,69,344
1,97,474
1,109,556
1,106,528
1,46,235
1,127,644
1,49,247
1,20,95
1,114,576
1,186,949
1,189,961
1,5,29
1,119,599
1,33,153
1,45,229
1,75,372
1,39,176
1,202,1006
1,62,309
1,53,268
1,115,577
1,102,508
1,15,73
1,207,1029
1,156,789
1,197,992
1,170,863
1,100,497
1,32,147
1,17,85
1,181,913
1,159,805
1,160,812
1,61,306
1,161,813
1,118,594
1,208,1039
1,200,1004
1,173,873
1,179,901
1,79,384
1,163,831
1,143,716
1,111,562
1,13,56
1,92,448
1,149,771
1,210,1052
1,78,378
1,171,864
1,56,281
1,42,200
1,67,335
1,30,134
1,2,10
1,122,623
1,120,606
1,166,838
1,113,567
1,95,471
1,84,419
1,107,529
1,137,692
1,167,845
1,108,534
1,31,144
1,18,91
1,132,664
1,146,734
1,3,12
1,77,377
1,96,472
1,172,866
1,211,1055
1,139,702
1,85,425
1,98,476
1,188,960
1,184,939
1,142,715
1,164,833
1,101,504
1,74,370
1,4,26
1,105,521
1,124,628
1,103,516
1,76,375
1,36,167
1,195,979
1,71,360
1,99,482
1,86,427
1,198,995
1,81,390
1,154,786
1,126,643
1,25,110
1,175,885
2,115,555
2,202,988
2,168,808
2,113,545
2,199,977
2,78,349
2,10,45
2,124,619
2,195,955
2,136,676
2,91,433
2,105,503
2,167,802
2,186,904
2,189,916
2,50,238
2,149,738
2,190,919
2,60,271
2,57,262
2,48,232
2,56,261
2,80,354
2,85,394
2,201,987
2,148,730
2,198,973
2,106,512
2,49,237
2,121,603
2,79,350
2,150,741
2,175,837
2,67,300
2,204,1001
2,117,578
2,210,1047
2,112,541
2,89,410
2,38,177
2,4,18
2,42,205
2,12,52
2,83,387
2,172,829
2,139,688
2,196,958
2,120,587
2,86,399
2,110,533
2,153,749
2,71,315
2,143,706
2,138,681
2,163,781
2,100,481
2,77,345
2,170,815
2,37,175
2,161,772
2,15,66
2,53,255
2,200,986
2,82,366
2,94,445
2,14,63
2,2,4
2,166,799
2,74,328
2,87,403
2,191,925
2,156,757
2,116,559
2,180,871
2,19,82
2,134,670
2,13,60
2,5,25
2,70,312
2,45,221
2,68,305
2,31,136
2,52,246
2,158,762
2,1,2
2,8,33
2,97,465
2,157,760
2,102,494
2,208,1041
2,59,265
2,147,729
2,178,860
2,144,710
2,128,648
2,187,910
2,40,185
2,169,809
2,7,32
2,69,308
2,32,137
2,164,783
2,103,499
2,174,835
2,63,291
2,154,754
2,119,584
2,122,608
2,111,536
2,28,122
2,36,166
2,207,1036
2,146,717
2,33,143
2,41,198
2,160,770
2,73,327
2,43,208
2,90,430
2,141,697
2,98,469
2,84,392
2,130,652
2,6,27
2,137,679
2,26,118
2,203,997
2,72,325
2,65,296
2,24,111
2,16,71
2,108,527
2,162,776
2,35,157
2,133,668
2,184,898
2,155,756
2,54,256
2,3,13
2,209,1044
2,132,665
2,55,259
2,140,696
2,30,126
2,27,121
2,205,1010
2,75,333
2,76,334
2,51,244
2,152,747
2,92,436
2,46,228
2,58,264
2,104,500
2,62,290
2,99,478
2,185,902
2,22,103
2,183,894
2,109,530
2,88,408
2,182,892
2,29,124
2,25,112
2,20,83
2,177,856
2,18,75
2,11,46
2,159,764
2,129,651
2,135,674
2,179,862
2,17,72
2,9,34
2,118,581
2,21,86
2,151,743
2,47,230
2,131,662
2,126,637
2,142,698
2,39,182
2,81,364
2,181,883
2,176,852
2,165,797
2,93,438
2,125,626
2,197,971
2,96,464
2,123,616
2,44,218
2,192,927
2,188,912
2,193,940
2,206,1013
2,173,832
2,64,292
2,34,155
2,127,645
2,114,552
2,145,711
2,194,954
2,23,107
2,61,289
2,66,299
2,95,450
2,101,492
2,171,818
2,107,524
3,95,490
3,192,983
3,173,907
3,33,173
3,138,703
3,9,31
3,48,239
3,56,279
3,143,733
3,77,415
3,60,318
3,199,1002
3,158,820
3,35,187
3,160,828
3,114,573
3,110,553
3,63,355
3,151,793
3,210,1049
3,55,273
3,179,924
3,79,418
3,132,656
3,21,98
3,155,807
3,53,269
3,22,105
3,149,763
3,130,642
3,1,1
3,184,936
3,152,798
3,32,168
3,141,719
3,123,609
3,183,933
3,147,752
3,205,1031
3,74,401
3,122,601
3,116,580
3,115,574
3,99,498
3,25,133
3,58,311
3,144,737
3,202,1012
3,133,659
3,109,551
3,207,1034
3,206,1032
3,42,216
3,119,593
3,162,842
3,145,744
3,84,441
3,75,411
3,6,19
3,5,11
3,4,8
3,17,89
3,166,877
3,98,496
3,168,879
3,37,192
3,197,994
3,85,452
3,129,638
3,108,547
3,54,272
3,100,505
3,117,582
3,24,130
3,103,511
3,52,253
3,8,28
3,81,424
3,131,650
3,82,429
3,164,857
3,165,865
3,101,506
3,97,495
3,128,632
3,46,233
3,7,24
3,200,1007
3,124,611
3,170,889
3,136,684
3,28,141
3,27,140
3,91,480
3,30,154
3,76,414
3,189,965
3,209,1048
3,43,222
3,176,917
3,11,41
3,64,359
3,182,932
3,135,678
3,174,909
3,204,1030
3,89,473
3,90,477
3,187,947
3,104,515
3,88,470
3,111,557
3,120,595
3,191,978
3,198,996
3,134,669
3,201,1008
3,29,150
3,87,460
3,113,571
3,157,817
3,185,941
3,190,974
3,193,984
3,96,491
3,31,163
3,121,598
3,93,485
3,142,722
3,178,922
3,203,1020
3,127,617
3,150,787
3,153,800
3,137,693
3,68,380
3,80,421
3,140,709
3,177,920
3,78,416
3,44,225
3,19,93
3,65,365
3,49,242
3,67,376
3,156,810
3,10,38
3,83,437
3,105,542
3,163,843
3,139,704
3,57,284
3,41,213
3,102,507
3,161,841
3,154,803
3,181,931
3,45,226
3,36,190
3,71,386
3,172,900
3,20,96
3,62,329
3,26,135
3,59,317
3,39,203
3,3,7
3,16,88
3,194,985
3,118,585
3,12,58
3,125,613
3,47,234
3,94,489
3,15,79
3,86,453
3,34,181
3,107,544
3,148,755
3,14,70
3,13,61
3,146,751
3,18,90
3,211,1050
3,69,381
3,72,397
3,50,243
3,70,382
3,159,827
3,66,368
3,169,880
3,106,543
3,126,615
3,180,929
3,92,483
3,23,115
3,167,878
3,195,989
3,188,957
3,51,251
3,171,896
3,2,6
3,175,911
3,73,400
3,112,568
3,196,993
3,61,319
3,208,1046
3,186,946
3,40,210
3,38,197
4,10,47
4,88,449
4,67,343
4,7,23
4,177,868
4,203,1015
4,185,908
4,178,872
4,127,622
4,189,935
4,6,22
4,162,790
4,158,773
4,2,15
4,140,700
4,61,304
4,109,535
4,25,142
4,180,881
4,99,502
4,41,201
4,42,202
4,49,249
4,101,510
4,108,532
4,16,102
4,44,211
4,57,282
4,190,944
4,208,1033
4,210,1051
4,179,874
4,115,579
4,148,731
4,201,999
4,182,887
4,35,180
4,123,612
4,11,49
4,78,395
4,183,893
4,90,454
4,192,951
4,103,514
4,198,967
4,53,258
4,39,189
4,163,792
4,146,721
4,126,621
4,18,108
4,75,383
4,30,160
4,24,120
4,70,353
4,77,391
4,81,412
4,122,607
4,112,548
4,151,745
4,181,884
4,100,509
4,160,780
4,174,850
4,118,597
4,152,746
4,31,164
4,113,569
