"fold","index","original_test_index"
1,405,1991
1,264,1319
1,720,3508
1,548,2656
1,974,4847
1,767,3824
1,658,3263
1,860,4249
1,491,2356
1,698,3413
1,129,628
1,85,430
1,683,3345
1,563,2713
1,598,2886
1,366,1794
1,876,4312
1,984,4897
1,569,2756
1,900,4480
1,54,277
1,141,696
1,734,3650
1,33,191
1,96,466
1,736,3662
1,311,1532
1,685,3351
1,202,1032
1,663,3276
1,597,2873
1,795,3950
1,625,3115
1,763,3807
1,980,4872
1,953,4731
1,624,3086
1,352,1724
1,162,815
1,753,3752
1,524,2526
1,693,3387
1,229,1141
1,173,875
1,544,2642
1,493,2377
1,477,2286
1,526,2531
1,367,1798
1,716,3488
1,525,2530
1,732,3605
1,198,1016
1,211,1062
1,675,3308
1,413,2012
1,708,3452
1,745,3702
1,669,3292
1,715,3486
1,267,1333
1,639,3174
1,519,2515
1,730,3579
1,18,111
1,588,2854
1,850,4200
1,99,489
1,4,27
1,691,3375
1,560,2702
1,682,3338
1,807,4012
1,566,2727
1,568,2744
1,304,1505
1,69,357
1,798,3965
1,474,2278
1,747,3716
1,684,3349
1,117,569
1,704,3433
1,258,1303
1,410,2004
1,618,3036
1,381,1875
1,281,1404
1,429,2058
1,399,1970
1,824,4081
1,244,1221
1,31,185
1,558,2687
1,253,1285
1,135,658
1,326,1609
1,328,1619
1,452,2185
1,228,1140
1,608,2955
1,38,206
1,216,1093
1,156,775
1,773,3845
1,446,2158
1,827,4104
1,528,2545
1,414,2013
1,376,1853
1,942,4684
1,357,1741
1,533,2584
1,761,3804
1,986,4900
1,296,1468
1,9,65
1,941,4682
1,796,3957
1,937,4657
1,644,3199
1,20,115
1,337,1653
1,378,1859
1,389,1910
1,778,3865
1,800,3970
1,262,1314
1,16,94
1,907,4506
1,204,1036
1,44,219
1,464,2250
1,825,4098
1,278,1379
1,635,3161
1,111,545
1,696,3405
1,692,3380
1,442,2138
1,759,3787
1,788,3928
1,746,3710
1,159,788
1,810,4027
1,1000,4991
1,499,2416
1,324,1594
1,249,1245
1,420,2037
1,471,2272
1,364,1785
1,45,222
1,371,1823
1,818,4054
1,559,2700
1,836,4135
1,231,1150
1,312,1540
1,363,1782
1,771,3839
1,687,3361
1,417,2023
1,506,2449
1,977,4863
1,741,3680
1,835,4128
1,629,3133
1,494,2386
1,648,3218
1,615,2999
1,514,2498
1,670,3294
1,584,2820
1,750,3725
1,295,1465
1,215,1087
1,966,4794
1,516,2512
1,674,3303
1,136,663
1,653,3241
1,404,1988
1,845,4180
1,356,1738
1,619,3043
1,313,1553
1,948,4708
1,498,2413
1,373,1846
1,379,1865
1,621,3064
1,959,4765
1,436,2108
1,501,2427
1,522,2522
1,421,2039
1,496,2402
1,277,1378
1,61,324
1,757,3767
1,158,787
1,843,4167
1,820,4069
1,799,3968
1,19,113
1,387,1894
1,193,988
1,992,4934
1,551,2668
1,632,3145
1,246,1237
1,905,4492
1,789,3931
1,993,4944
1,822,4072
1,138,682
1,380,1868
1,562,2705
1,265,1328
1,106,522
1,504,2442
1,650,3220
1,316,1564
1,90,439
1,208,1046
1,225,1130
1,668,3291
1,813,4038
1,958,4749
1,74,379
1,553,2676
1,461,2238
1,108,536
1,752,3751
1,257,1301
1,903,4488
1,612,2986
1,317,1567
1,70,358
1,39,208
1,510,2488
1,823,4074
1,854,4223
1,515,2510
1,495,2394
1,781,3883
1,344,1690
1,456,2196
1,362,1779
1,933,4651
1,574,2789
1,877,4324
1,22,138
1,353,1725
1,557,2683
1,690,3373
