dataset,fold,method,noise_levels,instance_level,accuracy,kappa
badges2,Fold_1,bayesglm,0.1,0.1,1,1
badges2,Fold_1,bayesglm,0.1,0.2,1,1
badges2,Fold_1,bayesglm,0.1,0.25,1,1
badges2,Fold_1,bayesglm,0.1,0.3,1,1
badges2,Fold_1,bayesglm,0.1,0.4,1,1
badges2,Fold_1,bayesglm,0.1,0.5,1,1
badges2,Fold_1,bayesglm,0.1,0.6,1,1
badges2,Fold_1,bayesglm,0.1,0.7,1,1
badges2,Fold_1,bayesglm,0.1,0.75,0.966101694915254,0.917366946778711
badges2,Fold_1,bayesglm,0.1,0.8,0.966101694915254,0.917366946778711
badges2,Fold_1,bayesglm,0.1,0.9,0.966101694915254,0.917366946778711
badges2,Fold_1,bayesglm,0.1,1,0.966101694915254,0.917366946778711
badges2,Fold_1,bayesglm,0.2,0.1,0.983050847457627,0.957947255880257
badges2,Fold_1,bayesglm,0.2,0.2,0.949152542372881,0.878183069511356
badges2,Fold_1,bayesglm,0.2,0.25,0.949152542372881,0.878183069511356
badges2,Fold_1,bayesglm,0.2,0.3,0.932203389830508,0.834733893557423
badges2,Fold_1,bayesglm,0.2,0.4,0.932203389830508,0.834733893557423
badges2,Fold_1,bayesglm,0.2,0.5,0.932203389830508,0.834733893557423
badges2,Fold_1,bayesglm,0.2,0.6,0.915254237288136,0.789736279401283
badges2,Fold_1,bayesglm,0.2,0.7,0.898305084745763,0.743105950653121
badges2,Fold_1,bayesglm,0.2,0.75,0.898305084745763,0.743105950653121
badges2,Fold_1,bayesglm,0.2,0.8,0.898305084745763,0.743105950653121
badges2,Fold_1,bayesglm,0.2,0.9,0.88135593220339,0.694752402069475
badges2,Fold_1,bayesglm,0.2,1,0.88135593220339,0.694752402069475
badges2,Fold_1,bayesglm,0.3,0.1,0.983050847457627,0.959394356503785
badges2,Fold_1,bayesglm,0.3,0.2,0.966101694915254,0.920162381596752
badges2,Fold_1,bayesglm,0.3,0.25,0.949152542372881,0.882235528942116
badges2,Fold_1,bayesglm,0.3,0.3,0.949152542372881,0.882235528942116
badges2,Fold_1,bayesglm,0.3,0.4,0.932203389830508,0.840324763193505
badges2,Fold_1,bayesglm,0.3,0.5,0.915254237288136,0.796971782518926
badges2,Fold_1,bayesglm,0.3,0.6,0.915254237288136,0.796971782518926
badges2,Fold_1,bayesglm,0.3,0.7,0.898305084745763,0.760487144790257
badges2,Fold_1,bayesglm,0.3,0.75,0.864406779661017,0.680649526387009
badges2,Fold_1,bayesglm,0.3,0.8,0.864406779661017,0.680649526387009
badges2,Fold_1,bayesglm,0.3,0.9,0.830508474576271,0.600811907983762
badges2,Fold_1,bayesglm,0.3,1,0.813559322033898,0.553337921541638
badges2,Fold_2,bayesglm,0.1,0.1,1,1
badges2,Fold_2,bayesglm,0.1,0.2,1,1
badges2,Fold_2,bayesglm,0.1,0.25,1,1
badges2,Fold_2,bayesglm,0.1,0.3,1,1
badges2,Fold_2,bayesglm,0.1,0.4,1,1
badges2,Fold_2,bayesglm,0.1,0.5,0.982758620689655,0.957664233576642
badges2,Fold_2,bayesglm,0.1,0.6,0.948275862068966,0.867981790591806
badges2,Fold_2,bayesglm,0.1,0.7,0.931034482758621,0.827380952380952
badges2,Fold_2,bayesglm,0.1,0.75,0.931034482758621,0.827380952380952
badges2,Fold_2,bayesglm,0.1,0.8,0.931034482758621,0.827380952380952
badges2,Fold_2,bayesglm,0.1,0.9,0.931034482758621,0.827380952380952
badges2,Fold_2,bayesglm,0.1,1,0.913793103448276,0.788321167883212
badges2,Fold_2,bayesglm,0.2,0.1,0.982758620689655,0.955993930197269
badges2,Fold_2,bayesglm,0.2,0.2,0.982758620689655,0.955993930197269
