dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
banknote,C5.0,0.1,0.1,1,1,0,0,0
banknote,C5.0,0.1,0.2,1,1,0,0,0
banknote,C5.0,0.1,0.25,1,1,0,0,0
banknote,C5.0,0.1,0.3,1,1,0,0,0
banknote,C5.0,0.1,0.4,1,1,0,0,0
banknote,C5.0,0.1,0.5,1,1,0,0,0
banknote,C5.0,0.1,0.6,1,1,0,0,0
banknote,C5.0,0.1,0.7,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.75,0.999,0.999,0.001,0.002,0.003
banknote,C5.0,0.1,0.8,0.999,0.997,0.003,0.002,0.004
banknote,C5.0,0.1,0.9,0.997,0.994,0.006,0.002,0.003
banknote,C5.0,0.1,1,0.997,0.994,0.006,0.002,0.003
banknote,C5.0,0.2,0.1,0.999,0.997,0.003,0.002,0.004
banknote,C5.0,0.2,0.2,0.998,0.996,0.004,0.002,0.004
banknote,C5.0,0.2,0.25,0.997,0.994,0.006,0.003,0.006
banknote,C5.0,0.2,0.3,0.997,0.994,0.006,0.003,0.006
banknote,C5.0,0.2,0.4,0.996,0.993,0.007,0.003,0.005
banknote,C5.0,0.2,0.5,0.996,0.993,0.007,0.003,0.005
banknote,C5.0,0.2,0.6,0.996,0.993,0.007,0.003,0.005
banknote,C5.0,0.2,0.7,0.996,0.991,0.009,0.002,0.003
banknote,C5.0,0.2,0.75,0.994,0.988,0.012,0.002,0.004
banknote,C5.0,0.2,0.8,0.994,0.988,0.012,0.002,0.004
banknote,C5.0,0.2,0.9,0.993,0.987,0.013,0.003,0.006
banknote,C5.0,0.2,1,0.993,0.987,0.013,0.003,0.006
banknote,C5.0,0.3,0.1,0.999,0.997,0.003,0.002,0.004
banknote,C5.0,0.3,0.2,0.998,0.996,0.004,0.002,0.004
banknote,C5.0,0.3,0.25,0.998,0.996,0.004,0.002,0.004
banknote,C5.0,0.3,0.3,0.998,0.996,0.004,0.002,0.004
banknote,C5.0,0.3,0.4,0.998,0.996,0.004,0.002,0.004
banknote,C5.0,0.3,0.5,0.997,0.994,0.006,0.002,0.003
banknote,C5.0,0.3,0.6,0.996,0.993,0.007,0.003,0.005
banknote,C5.0,0.3,0.7,0.996,0.993,0.007,0.003,0.005
banknote,C5.0,0.3,0.75,0.996,0.991,0.009,0.004,0.008
banknote,C5.0,0.3,0.8,0.996,0.991,0.009,0.004,0.008
banknote,C5.0,0.3,0.9,0.994,0.988,0.012,0.006,0.011
banknote,C5.0,0.3,1,0.993,0.987,0.013,0.005,0.01
banknote,JRip,0.1,0.1,0.999,0.999,0.001,0.002,0.003
banknote,JRip,0.1,0.2,0.999,0.997,0.003,0.002,0.004
banknote,JRip,0.1,0.25,0.999,0.997,0.003,0.002,0.004
banknote,JRip,0.1,0.3,0.999,0.997,0.003,0.002,0.004
banknote,JRip,0.1,0.4,0.997,0.994,0.006,0.003,0.006
banknote,JRip,0.1,0.5,0.996,0.993,0.007,0.003,0.005
banknote,JRip,0.1,0.6,0.996,0.993,0.007,0.003,0.005
banknote,JRip,0.1,0.7,0.996,0.991,0.009,0.004,0.008
banknote,JRip,0.1,0.75,0.995,0.99,0.01,0.004,0.008
banknote,JRip,0.1,0.8,0.994,0.988,0.012,0.004,0.008
banknote,JRip,0.1,0.9,0.992,0.984,0.016,0.005,0.011
banknote,JRip,0.1,1,0.992,0.984,0.016,0.005,0.011
banknote,JRip,0.2,0.1,0.999,0.997,0.003,0.003,0.007
banknote,JRip,0.2,0.2,0.998,0.996,0.004,0.003,0.007
banknote,JRip,0.2,0.25,0.998,0.996,0.004,0.003,0.007
banknote,JRip,0.2,0.3,0.996,0.993,0.007,0.003,0.005
banknote,JRip,0.2,0.4,0.995,0.99,0.01,0.003,0.007
banknote,JRip,0.2,0.5,0.993,0.987,0.013,0.004,0.008
banknote,JRip,0.2,0.6,0.992,0.984,0.016,0.007,0.013
banknote,JRip,0.2,0.7,0.99,0.979,0.021,0.008,0.016
banknote,JRip,0.2,0.75,0.988,0.976,0.024,0.009,0.018
banknote,JRip,0.2,0.8,0.987,0.973,0.027,0.011,0.021
banknote,JRip,0.2,0.9,0.983,0.966,0.034,0.011,0.021
banknote,JRip,0.2,1,0.983,0.966,0.034,0.011,0.021
banknote,JRip,0.3,0.1,0.997,0.994,0.006,0.007,0.013
banknote,JRip,0.3,0.2,0.996,0.993,0.007,0.008,0.016
banknote,JRip,0.3,0.25,0.995,0.99,0.01,0.008,0.015
banknote,JRip,0.3,0.3,0.993,0.985,0.015,0.009,0.018
banknote,JRip,0.3,0.4,0.99,0.979,0.021,0.009,0.018
banknote,JRip,0.3,0.5,0.988,0.975,0.025,0.01,0.019
banknote,JRip,0.3,0.6,0.985,0.971,0.029,0.011,0.021
banknote,JRip,0.3,0.7,0.982,0.965,0.035,0.01,0.021
banknote,JRip,0.3,0.75,0.982,0.963,0.037,0.012,0.023
banknote,JRip,0.3,0.8,0.98,0.959,0.041,0.014,0.028
banknote,JRip,0.3,0.9,0.977,0.953,0.047,0.014,0.028
banknote,JRip,0.3,1,0.977,0.953,0.047,0.014,0.028
banknote,PART,0.1,0.1,1,1,0,0,0
banknote,PART,0.1,0.2,0.999,0.997,0.003,0.002,0.004
banknote,PART,0.1,0.25,0.999,0.997,0.003,0.002,0.004
banknote,PART,0.1,0.3,0.999,0.997,0.003,0.002,0.004
banknote,PART,0.1,0.4,0.998,0.996,0.004,0.002,0.004
banknote,PART,0.1,0.5,0.997,0.994,0.006,0.002,0.003
banknote,PART,0.1,0.6,0.996,0.993,0.007,0.003,0.005
banknote,PART,0.1,0.7,0.996,0.993,0.007,0.003,0.005
banknote,PART,0.1,0.75,0.996,0.993,0.007,0.003,0.005
banknote,PART,0.1,0.8,0.996,0.993,0.007,0.003,0.005
banknote,PART,0.1,0.9,0.996,0.993,0.007,0.003,0.005
banknote,PART,0.1,1,0.995,0.99,0.01,0.004,0.008
banknote,PART,0.2,0.1,0.999,0.999,0.001,0.002,0.003
banknote,PART,0.2,0.2,0.998,0.996,0.004,0.002,0.004
banknote,PART,0.2,0.25,0.998,0.996,0.004,0.002,0.004
banknote,PART,0.2,0.3,0.998,0.996,0.004,0.002,0.004
banknote,PART,0.2,0.4,0.997,0.994,0.006,0.002,0.003
banknote,PART,0.2,0.5,0.997,0.994,0.006,0.002,0.003
banknote,PART,0.2,0.6,0.997,0.994,0.006,0.002,0.003
banknote,PART,0.2,0.7,0.996,0.993,0.007,0.003,0.005
banknote,PART,0.2,0.75,0.995,0.99,0.01,0.002,0.004
banknote,PART,0.2,0.8,0.993,0.985,0.015,0.004,0.007
banknote,PART,0.2,0.9,0.991,0.982,0.018,0.006,0.012
banknote,PART,0.2,1,0.988,0.976,0.024,0.008,0.016
banknote,PART,0.3,0.1,0.999,0.997,0.003,0.002,0.004
banknote,PART,0.3,0.2,0.996,0.993,0.007,0,0
banknote,PART,0.3,0.25,0.995,0.99,0.01,0.002,0.004
banknote,PART,0.3,0.3,0.992,0.984,0.016,0.002,0.003
banknote,PART,0.3,0.4,0.988,0.976,0.024,0.002,0.003
banknote,PART,0.3,0.5,0.985,0.969,0.031,0.005,0.01
banknote,PART,0.3,0.6,0.983,0.965,0.035,0.007,0.013
banknote,PART,0.3,0.7,0.981,0.962,0.038,0.005,0.01
banknote,PART,0.3,0.75,0.98,0.959,0.041,0.007,0.013
banknote,PART,0.3,0.8,0.978,0.956,0.044,0.006,0.012
banknote,PART,0.3,0.9,0.974,0.948,0.052,0.006,0.012
banknote,PART,0.3,1,0.974,0.947,0.053,0.007,0.013
banknote,bayesglm,0.1,0.1,1,1,0,0,0
banknote,bayesglm,0.1,0.2,0.999,0.999,0.001,0.002,0.003
banknote,bayesglm,0.1,0.25,0.999,0.997,0.003,0.002,0.004
banknote,bayesglm,0.1,0.3,0.999,0.997,0.003,0.002,0.004
banknote,bayesglm,0.1,0.4,0.998,0.996,0.004,0.002,0.004
banknote,bayesglm,0.1,0.5,0.998,0.996,0.004,0.002,0.004
banknote,bayesglm,0.1,0.6,0.998,0.996,0.004,0.002,0.004
banknote,bayesglm,0.1,0.7,0.997,0.994,0.006,0.003,0.006
banknote,bayesglm,0.1,0.75,0.997,0.994,0.006,0.003,0.006
banknote,bayesglm,0.1,0.8,0.997,0.994,0.006,0.003,0.006
banknote,bayesglm,0.1,0.9,0.996,0.991,0.009,0.005,0.01
banknote,bayesglm,0.1,1,0.996,0.991,0.009,0.005,0.01
banknote,bayesglm,0.2,0.1,1,1,0,0,0
banknote,bayesglm,0.2,0.2,0.998,0.996,0.004,0.002,0.004
banknote,bayesglm,0.2,0.25,0.997,0.994,0.006,0.003,0.006
banknote,bayesglm,0.2,0.3,0.997,0.994,0.006,0.003,0.006
banknote,bayesglm,0.2,0.4,0.994,0.988,0.012,0.007,0.013
banknote,bayesglm,0.2,0.5,0.994,0.988,0.012,0.007,0.013
banknote,bayesglm,0.2,0.6,0.993,0.987,0.013,0.008,0.016
banknote,bayesglm,0.2,0.7,0.993,0.985,0.015,0.009,0.019
banknote,bayesglm,0.2,0.75,0.993,0.985,0.015,0.009,0.019
banknote,bayesglm,0.2,0.8,0.992,0.984,0.016,0.009,0.018
banknote,bayesglm,0.2,0.9,0.991,0.981,0.019,0.01,0.021
banknote,bayesglm,0.2,1,0.991,0.981,0.019,0.01,0.021
banknote,bayesglm,0.3,0.1,0.997,0.994,0.006,0.002,0.003
banknote,bayesglm,0.3,0.2,0.994,0.988,0.012,0.005,0.01
banknote,bayesglm,0.3,0.25,0.993,0.987,0.013,0.005,0.01
banknote,bayesglm,0.3,0.3,0.993,0.985,0.015,0.006,0.012
banknote,bayesglm,0.3,0.4,0.991,0.981,0.019,0.007,0.014
banknote,bayesglm,0.3,0.5,0.989,0.978,0.022,0.009,0.018
banknote,bayesglm,0.3,0.6,0.988,0.976,0.024,0.009,0.018
banknote,bayesglm,0.3,0.7,0.986,0.972,0.028,0.009,0.019
banknote,bayesglm,0.3,0.75,0.985,0.971,0.029,0.011,0.021
banknote,bayesglm,0.3,0.8,0.985,0.969,0.031,0.012,0.024
banknote,bayesglm,0.3,0.9,0.982,0.963,0.037,0.014,0.029
banknote,bayesglm,0.3,1,0.981,0.962,0.038,0.016,0.032
banknote,ctree,0.1,0.1,0.999,0.997,0.003,0.003,0.007
banknote,ctree,0.1,0.2,0.998,0.996,0.004,0.003,0.007
banknote,ctree,0.1,0.25,0.996,0.991,0.009,0.005,0.01
banknote,ctree,0.1,0.3,0.996,0.991,0.009,0.005,0.01
banknote,ctree,0.1,0.4,0.993,0.987,0.013,0.007,0.015
banknote,ctree,0.1,0.5,0.991,0.982,0.018,0.008,0.016
banknote,ctree,0.1,0.6,0.989,0.978,0.022,0.008,0.016
banknote,ctree,0.1,0.7,0.987,0.973,0.027,0.009,0.019
banknote,ctree,0.1,0.75,0.985,0.97,0.03,0.009,0.018
banknote,ctree,0.1,0.8,0.985,0.969,0.031,0.008,0.017
banknote,ctree,0.1,0.9,0.983,0.965,0.035,0.009,0.019
banknote,ctree,0.1,1,0.98,0.959,0.041,0.014,0.028
banknote,ctree,0.2,0.1,0.994,0.988,0.012,0.004,0.008
banknote,ctree,0.2,0.2,0.993,0.985,0.015,0.004,0.009
banknote,ctree,0.2,0.25,0.991,0.982,0.018,0.005,0.01
banknote,ctree,0.2,0.3,0.99,0.979,0.021,0.004,0.008
banknote,ctree,0.2,0.4,0.987,0.973,0.027,0.006,0.012
banknote,ctree,0.2,0.5,0.985,0.971,0.029,0.006,0.013
banknote,ctree,0.2,0.6,0.984,0.968,0.032,0.005,0.01
banknote,ctree,0.2,0.7,0.978,0.956,0.044,0.01,0.019
banknote,ctree,0.2,0.75,0.975,0.95,0.05,0.012,0.025
banknote,ctree,0.2,0.8,0.974,0.948,0.052,0.013,0.027
banknote,ctree,0.2,0.9,0.973,0.945,0.055,0.013,0.026
banknote,ctree,0.2,1,0.971,0.941,0.059,0.015,0.03
banknote,ctree,0.3,0.1,0.993,0.985,0.015,0.004,0.009
banknote,ctree,0.3,0.2,0.988,0.976,0.024,0.007,0.014
banknote,ctree,0.3,0.25,0.985,0.969,0.031,0.008,0.016
banknote,ctree,0.3,0.3,0.981,0.961,0.039,0.009,0.019
banknote,ctree,0.3,0.4,0.972,0.944,0.056,0.012,0.024
banknote,ctree,0.3,0.5,0.969,0.938,0.062,0.013,0.026
