dataset,fold,method,noise_levels,instance_level,accuracy,kappa
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.1,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.2,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.25,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.3,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.4,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.5,0.990740740740741,0.942307692307692
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.6,0.990740740740741,0.942307692307692
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.7,0.990740740740741,0.942307692307692
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.75,0.990740740740741,0.942307692307692
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.8,0.981481481481482,0.878923766816144
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.9,0.981481481481482,0.878923766816144
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,1,0.981481481481482,0.878923766816144
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.1,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.2,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.25,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.3,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.4,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.5,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.6,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.7,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.75,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.8,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.9,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,1,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.1,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.2,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.25,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.3,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.4,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.5,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.6,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.7,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.75,0.981481481481482,0.865168539325843
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.8,0.981481481481482,0.865168539325843
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.9,0.972222222222222,0.808962264150943
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,1,0.972222222222222,0.808962264150943
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.1,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.2,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.25,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.3,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.4,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.5,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.6,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.7,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.75,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.8,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.9,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,1,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.1,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.2,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.25,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.3,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.4,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.5,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.6,0.990740740740741,0.928381962864721
