dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
diabetes,C5.0,0.1,0.1,1,1,0,0,0
diabetes,C5.0,0.1,0.2,1,1,0,0,0
diabetes,C5.0,0.1,0.25,0.999,0.997,0.003,0.003,0.007
diabetes,C5.0,0.1,0.3,0.996,0.991,0.009,0.006,0.013
diabetes,C5.0,0.1,0.4,0.995,0.988,0.012,0.005,0.012
diabetes,C5.0,0.1,0.5,0.995,0.988,0.012,0.005,0.012
diabetes,C5.0,0.1,0.6,0.99,0.976,0.024,0.007,0.016
diabetes,C5.0,0.1,0.7,0.986,0.967,0.033,0.013,0.03
diabetes,C5.0,0.1,0.75,0.986,0.967,0.033,0.013,0.03
diabetes,C5.0,0.1,0.8,0.984,0.964,0.036,0.015,0.036
diabetes,C5.0,0.1,0.9,0.978,0.949,0.051,0.015,0.035
diabetes,C5.0,0.1,1,0.975,0.943,0.057,0.016,0.037
diabetes,C5.0,0.2,0.1,0.996,0.99,0.01,0.006,0.015
diabetes,C5.0,0.2,0.2,0.995,0.987,0.013,0.005,0.014
diabetes,C5.0,0.2,0.25,0.995,0.987,0.013,0.005,0.014
diabetes,C5.0,0.2,0.3,0.993,0.984,0.016,0.005,0.012
diabetes,C5.0,0.2,0.4,0.992,0.981,0.019,0.003,0.008
diabetes,C5.0,0.2,0.5,0.988,0.971,0.029,0.005,0.015
diabetes,C5.0,0.2,0.6,0.984,0.962,0.038,0.004,0.011
diabetes,C5.0,0.2,0.7,0.982,0.956,0.044,0.005,0.015
diabetes,C5.0,0.2,0.75,0.98,0.953,0.047,0.007,0.018
diabetes,C5.0,0.2,0.8,0.98,0.953,0.047,0.007,0.018
diabetes,C5.0,0.2,0.9,0.979,0.95,0.05,0.007,0.018
diabetes,C5.0,0.2,1,0.977,0.943,0.057,0.01,0.026
diabetes,C5.0,0.3,0.1,0.996,0.991,0.009,0.009,0.02
diabetes,C5.0,0.3,0.2,0.992,0.982,0.018,0.007,0.017
diabetes,C5.0,0.3,0.25,0.987,0.97,0.03,0.009,0.021
diabetes,C5.0,0.3,0.3,0.98,0.956,0.044,0.012,0.027
diabetes,C5.0,0.3,0.4,0.978,0.95,0.05,0.01,0.021
diabetes,C5.0,0.3,0.5,0.973,0.939,0.061,0.013,0.028
diabetes,C5.0,0.3,0.6,0.97,0.933,0.067,0.016,0.034
diabetes,C5.0,0.3,0.7,0.964,0.918,0.082,0.013,0.027
diabetes,C5.0,0.3,0.75,0.958,0.906,0.094,0.017,0.033
diabetes,C5.0,0.3,0.8,0.956,0.9,0.1,0.018,0.035
diabetes,C5.0,0.3,0.9,0.952,0.891,0.109,0.018,0.035
diabetes,C5.0,0.3,1,0.947,0.879,0.121,0.022,0.043
diabetes,JRip,0.1,0.1,0.997,0.994,0.006,0.006,0.013
diabetes,JRip,0.1,0.2,0.994,0.985,0.015,0.011,0.026
diabetes,JRip,0.1,0.25,0.991,0.979,0.021,0.011,0.025
diabetes,JRip,0.1,0.3,0.99,0.975,0.025,0.01,0.022
diabetes,JRip,0.1,0.4,0.984,0.962,0.038,0.013,0.03
diabetes,JRip,0.1,0.5,0.982,0.956,0.044,0.012,0.027
diabetes,JRip,0.1,0.6,0.979,0.95,0.05,0.012,0.027
diabetes,JRip,0.1,0.7,0.979,0.95,0.05,0.012,0.027
diabetes,JRip,0.1,0.75,0.978,0.948,0.052,0.013,0.027
