"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","mlpML",0.1,0.1,1,1
"waveform-5000","Fold_1","mlpML",0.1,0.2,0.999,0.997554031445372
"waveform-5000","Fold_1","mlpML",0.1,0.25,0.999,0.997554031445372
"waveform-5000","Fold_1","mlpML",0.1,0.3,0.997,0.992662094336115
"waveform-5000","Fold_1","mlpML",0.1,0.4,0.996,0.990226357558935
"waveform-5000","Fold_1","mlpML",0.1,0.5,0.996,0.990226357558935
"waveform-5000","Fold_1","mlpML",0.1,0.6,0.996,0.990226357558935
"waveform-5000","Fold_1","mlpML",0.1,0.7,0.996,0.990226357558935
"waveform-5000","Fold_1","mlpML",0.1,0.75,0.996,0.990226357558935
"waveform-5000","Fold_1","mlpML",0.1,0.8,0.996,0.990226357558935
"waveform-5000","Fold_1","mlpML",0.1,0.9,0.996,0.990226357558935
"waveform-5000","Fold_1","mlpML",0.1,1,0.994,0.985339536338403
"waveform-5000","Fold_1","mlpML",0.2,0.1,0.998,0.995143297021384
"waveform-5000","Fold_1","mlpML",0.2,0.2,0.995,0.987845905528654
"waveform-5000","Fold_1","mlpML",0.2,0.25,0.994,0.985400252088981
"waveform-5000","Fold_1","mlpML",0.2,0.3,0.993,0.982949618558609
"waveform-5000","Fold_1","mlpML",0.2,0.4,0.993,0.982949618558609
"waveform-5000","Fold_1","mlpML",0.2,0.5,0.993,0.982949618558609
"waveform-5000","Fold_1","mlpML",0.2,0.6,0.993,0.982949618558609
"waveform-5000","Fold_1","mlpML",0.2,0.7,0.99,0.97556768484268
"waveform-5000","Fold_1","mlpML",0.2,0.75,0.99,0.97556768484268
"waveform-5000","Fold_1","mlpML",0.2,0.8,0.99,0.97556768484268
"waveform-5000","Fold_1","mlpML",0.2,0.9,0.99,0.97556768484268
"waveform-5000","Fold_1","mlpML",0.2,1,0.989,0.973151872534854
"waveform-5000","Fold_1","mlpML",0.3,0.1,1,1
"waveform-5000","Fold_1","mlpML",0.3,0.2,0.998,0.994938246608625
"waveform-5000","Fold_1","mlpML",0.3,0.25,0.998,0.994938246608625
"waveform-5000","Fold_1","mlpML",0.3,0.3,0.997,0.992398520245274
"waveform-5000","Fold_1","mlpML",0.3,0.4,0.996,0.98987649321725
"waveform-5000","Fold_1","mlpML",0.3,0.5,0.994,0.984779299847793
"waveform-5000","Fold_1","mlpML",0.3,0.6,0.993,0.98226321390564
"waveform-5000","Fold_1","mlpML",0.3,0.7,0.992,0.979752986434501
"waveform-5000","Fold_1","mlpML",0.3,0.75,0.992,0.979752986434501
"waveform-5000","Fold_1","mlpML",0.3,0.8,0.989,0.972062782546858
"waveform-5000","Fold_1","mlpML",0.3,0.9,0.987,0.966905962018227
"waveform-5000","Fold_1","mlpML",0.3,1,0.985,0.961724929829038
"waveform-5000","Fold_2","mlpML",0.1,0.1,0.998998998998999,0.997343035641621
"waveform-5000","Fold_2","mlpML",0.1,0.2,0.996996996996997,0.992007978687943
"waveform-5000","Fold_2","mlpML",0.1,0.25,0.996996996996997,0.992007978687943
"waveform-5000","Fold_2","mlpML",0.1,0.3,0.996996996996997,0.992007978687943
"waveform-5000","Fold_2","mlpML",0.1,0.4,0.996996996996997,0.992007978687943
"waveform-5000","Fold_2","mlpML",0.1,0.5,0.996996996996997,0.992007978687943
"waveform-5000","Fold_2","mlpML",0.1,0.6,0.994994994994995,0.986715178208105
"waveform-5000","Fold_2","mlpML",0.1,0.7,0.994994994994995,0.986715178208105
"waveform-5000","Fold_2","mlpML",0.1,0.75,0.994994994994995,0.986715178208105
"waveform-5000","Fold_2","mlpML",0.1,0.8,0.994994994994995,0.986715178208105
"waveform-5000","Fold_2","mlpML",0.1,0.9,0.993993993993994,0.984079258413238
"waveform-5000","Fold_2","mlpML",0.1,1,0.990990990990991,0.976087320774589
"waveform-5000","Fold_2","mlpML",0.2,0.1,0.998998998998999,0.997532254837299
"waveform-5000","Fold_2","mlpML",0.2,0.2,0.996996996996997,0.992612640592763
"waveform-5000","Fold_2","mlpML",0.2,0.25,0.996996996996997,0.992612640592763
"waveform-5000","Fold_2","mlpML",0.2,0.3,0.996996996996997,0.992612640592763
"waveform-5000","Fold_2","mlpML",0.2,0.4,0.995995995995996,0.990139614763928
"waveform-5000","Fold_2","mlpML",0.2,0.5,0.993993993993994,0.98517760170925
"waveform-5000","Fold_2","mlpML",0.2,0.6,0.991991991991992,0.980236802278999
"waveform-5000","Fold_2","mlpML",0.2,0.7,0.991991991991992,0.980236802278999
"waveform-5000","Fold_2","mlpML",0.2,0.75,0.991991991991992,0.980236802278999
"waveform-5000","Fold_2","mlpML",0.2,0.8,0.991991991991992,0.980236802278999
"waveform-5000","Fold_2","mlpML",0.2,0.9,0.98998998998999,0.975296002848749
"waveform-5000","Fold_2","mlpML",0.2,1,0.988988988988989,0.972796340168287
"waveform-5000","Fold_2","mlpML",0.3,0.1,0.994994994994995,0.988009707456066
"waveform-5000","Fold_2","mlpML",0.3,0.2,0.991991991991992,0.980834348530921
"waveform-5000","Fold_2","mlpML",0.3,0.25,0.990990990990991,0.978417473420918
"waveform-5000","Fold_2","mlpML",0.3,0.3,0.98998998998999,0.975995847930453
"waveform-5000","Fold_2","mlpML",0.3,0.4,0.985985985985986,0.966394187102634
"waveform-5000","Fold_2","mlpML",0.3,0.5,0.985985985985986,0.966394187102634
"waveform-5000","Fold_2","mlpML",0.3,0.6,0.980980980980981,0.954436888333049
"waveform-5000","Fold_2","mlpML",0.3,0.7,0.97997997997998,0.952085871327303
"waveform-5000","Fold_2","mlpML",0.3,0.75,0.97997997997998,0.952085871327303
"waveform-5000","Fold_2","mlpML",0.3,0.8,0.978978978978979,0.949640771315476
"waveform-5000","Fold_2","mlpML",0.3,0.9,0.977977977977978,0.947190865446996
"waveform-5000","Fold_2","mlpML",0.3,1,0.975975975975976,0.94227657935285
"waveform-5000","Fold_3","mlpML",0.1,0.1,0.998,0.995050485052465
"waveform-5000","Fold_3","mlpML",0.1,0.2,0.998,0.995050485052465
"waveform-5000","Fold_3","mlpML",0.1,0.25,0.998,0.995050485052465
"waveform-5000","Fold_3","mlpML",0.1,0.3,0.998,0.995050485052465
"waveform-5000","Fold_3","mlpML",0.1,0.4,0.998,0.995050485052465
"waveform-5000","Fold_3","mlpML",0.1,0.5,0.996,0.990122286098105
"waveform-5000","Fold_3","mlpML",0.1,0.6,0.996,0.990122286098105
"waveform-5000","Fold_3","mlpML",0.1,0.7,0.996,0.990122286098105
"waveform-5000","Fold_3","mlpML",0.1,0.75,0.996,0.990122286098105
"waveform-5000","Fold_3","mlpML",0.1,0.8,0.995,0.9876395494863
"waveform-5000","Fold_3","mlpML",0.1,0.9,0.993,0.98269536928082
"waveform-5000","Fold_3","mlpML",0.1,1,0.992,0.980201940209859
"waveform-5000","Fold_3","mlpML",0.2,0.1,0.999,0.997639059401266
"waveform-5000","Fold_3","mlpML",0.2,0.2,0.999,0.997639059401266
"waveform-5000","Fold_3","mlpML",0.2,0.25,0.998,0.995282462554547
"waveform-5000","Fold_3","mlpML",0.2,0.3,0.996,0.990564925109093
"waveform-5000","Fold_3","mlpML",0.2,0.4,0.995,0.98821699580525
"waveform-5000","Fold_3","mlpML",0.2,0.5,0.994,0.98584738766364
"waveform-5000","Fold_3","mlpML",0.2,0.6,0.993,0.983503794127351
"waveform-5000","Fold_3","mlpML",0.2,0.7,0.991,0.97882950696274
"waveform-5000","Fold_3","mlpML",0.2,0.75,0.991,0.97882950696274
"waveform-5000","Fold_3","mlpML",0.2,0.8,0.99,0.976455630635933
"waveform-5000","Fold_3","mlpML",0.2,0.9,0.989,0.974077390771551
"waveform-5000","Fold_3","mlpML",0.2,1,0.988,0.971694775327279
"waveform-5000","Fold_3","mlpML",0.3,0.1,0.999,0.997820477053982
"waveform-5000","Fold_3","mlpML",0.3,0.2,0.997,0.993461431161947
"waveform-5000","Fold_3","mlpML",0.3,0.25,0.996,0.991287377152018
"waveform-5000","Fold_3","mlpML",0.3,0.3,0.995,0.989102385269912
"waveform-5000","Fold_3","mlpML",0.3,0.4,0.991,0.980359636871508
"waveform-5000","Fold_3","mlpML",0.3,0.5,0.99,0.978191081024496
"waveform-5000","Fold_3","mlpML",0.3,0.6,0.987,0.971666201701772
"waveform-5000","Fold_3","mlpML",0.3,0.7,0.983,0.96299456673168
"waveform-5000","Fold_3","mlpML",0.3,0.75,0.983,0.96299456673168
"waveform-5000","Fold_3","mlpML",0.3,0.8,0.982,0.960842325095719
"waveform-5000","Fold_3","mlpML",0.3,0.9,0.981,0.958692778628078
"waveform-5000","Fold_3","mlpML",0.3,1,0.98,0.956545922269346
"waveform-5000","Fold_4","mlpML",0.1,0.1,0.998001998001998,0.995545964225327
"waveform-5000","Fold_4","mlpML",0.1,0.2,0.997002997002997,0.993323714264753
"waveform-5000","Fold_4","mlpML",0.1,0.25,0.997002997002997,0.993323714264753
"waveform-5000","Fold_4","mlpML",0.1,0.3,0.997002997002997,0.993323714264753
"waveform-5000","Fold_4","mlpML",0.1,0.4,0.995004995004995,0.988888716219366
"waveform-5000","Fold_4","mlpML",0.1,0.5,0.995004995004995,0.988888716219366
"waveform-5000","Fold_4","mlpML",0.1,0.6,0.995004995004995,0.988888716219366
"waveform-5000","Fold_4","mlpML",0.1,0.7,0.995004995004995,0.988888716219366
"waveform-5000","Fold_4","mlpML",0.1,0.75,0.994005994005994,0.986656950782232
"waveform-5000","Fold_4","mlpML",0.1,0.8,0.994005994005994,0.986656950782232
"waveform-5000","Fold_4","mlpML",0.1,0.9,0.994005994005994,0.986656950782232
"waveform-5000","Fold_4","mlpML",0.1,1,0.993006993006993,0.984421999951089
"waveform-5000","Fold_4","mlpML",0.2,0.1,0.998001998001998,0.995030753726935
"waveform-5000","Fold_4","mlpML",0.2,0.2,0.997002997002997,0.992554280854609
"waveform-5000","Fold_4","mlpML",0.2,0.25,0.997002997002997,0.992554280854609
"waveform-5000","Fold_4","mlpML",0.2,0.3,0.996003996003996,0.990061507453869
"waveform-5000","Fold_4","mlpML",0.2,0.4,0.996003996003996,0.990061507453869
"waveform-5000","Fold_4","mlpML",0.2,0.5,0.995004995004995,0.987590468091015
"waveform-5000","Fold_4","mlpML",0.2,0.6,0.994005994005994,0.985092261180804
"waveform-5000","Fold_4","mlpML",0.2,0.7,0.993006993006993,0.982588579081943
"waveform-5000","Fold_4","mlpML",0.2,0.75,0.992007992007992,0.980079403775162
"waveform-5000","Fold_4","mlpML",0.2,0.8,0.991008991008991,0.97761388739107
"waveform-5000","Fold_4","mlpML",0.2,0.9,0.99000999000999,0.975099254718952
