"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","rbfDDA",0.1,0.1,0.999,0.992268439771146
"waveform-5000","Fold_1","rbfDDA",0.1,0.2,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,0.25,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,0.3,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,0.4,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,0.5,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,0.6,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,0.7,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,0.75,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,0.8,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,0.9,0.998,0.984433374844334
"waveform-5000","Fold_1","rbfDDA",0.1,1,0.997,0.976805319313437
"waveform-5000","Fold_1","rbfDDA",0.2,0.1,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.2,0.2,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.2,0.25,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.2,0.3,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.2,0.4,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.2,0.5,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.2,0.6,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.2,0.7,0.998,0.98483929654336
"waveform-5000","Fold_1","rbfDDA",0.2,0.75,0.997,0.977109720738593
"waveform-5000","Fold_1","rbfDDA",0.2,0.8,0.996,0.969678593086719
"waveform-5000","Fold_1","rbfDDA",0.2,0.9,0.995,0.961849534564322
"waveform-5000","Fold_1","rbfDDA",0.2,1,0.995,0.961849534564322
"waveform-5000","Fold_1","rbfDDA",0.3,0.1,0.998,0.984639016897081
"waveform-5000","Fold_1","rbfDDA",0.3,0.2,0.998,0.984639016897081
"waveform-5000","Fold_1","rbfDDA",0.3,0.25,0.998,0.984639016897081
"waveform-5000","Fold_1","rbfDDA",0.3,0.3,0.998,0.984639016897081
"waveform-5000","Fold_1","rbfDDA",0.3,0.4,0.997,0.976805319313437
"waveform-5000","Fold_1","rbfDDA",0.3,0.5,0.997,0.976805319313437
"waveform-5000","Fold_1","rbfDDA",0.3,0.6,0.996,0.969278033794163
"waveform-5000","Fold_1","rbfDDA",0.3,0.7,0.996,0.969278033794163
"waveform-5000","Fold_1","rbfDDA",0.3,0.75,0.996,0.969278033794163
"waveform-5000","Fold_1","rbfDDA",0.3,0.8,0.996,0.969278033794163
"waveform-5000","Fold_1","rbfDDA",0.3,0.9,0.993,0.945879078398021
"waveform-5000","Fold_1","rbfDDA",0.3,1,0.991,0.930415957940312
"waveform-5000","Fold_2","rbfDDA",0.1,0.1,1,1
"waveform-5000","Fold_2","rbfDDA",0.1,0.2,1,1
"waveform-5000","Fold_2","rbfDDA",0.1,0.25,1,1
"waveform-5000","Fold_2","rbfDDA",0.1,0.3,1,1
"waveform-5000","Fold_2","rbfDDA",0.1,0.4,1,1
"waveform-5000","Fold_2","rbfDDA",0.1,0.5,1,1
"waveform-5000","Fold_2","rbfDDA",0.1,0.6,0.998998998998999,0.990125433680278
"waveform-5000","Fold_2","rbfDDA",0.1,0.7,0.998998998998999,0.990125433680278
"waveform-5000","Fold_2","rbfDDA",0.1,0.75,0.998998998998999,0.990125433680278
"waveform-5000","Fold_2","rbfDDA",0.1,0.8,0.997997997997998,0.980074993019267
"waveform-5000","Fold_2","rbfDDA",0.1,0.9,0.996996996996997,0.970376301040832
"waveform-5000","Fold_2","rbfDDA",0.1,1,0.994994994994995,0.949739895153095
"waveform-5000","Fold_2","rbfDDA",0.2,0.1,1,1
"waveform-5000","Fold_2","rbfDDA",0.2,0.2,0.997997997997998,0.97971326456015
"waveform-5000","Fold_2","rbfDDA",0.2,0.25,0.997997997997998,0.97971326456015
"waveform-5000","Fold_2","rbfDDA",0.2,0.3,0.997997997997998,0.97971326456015
"waveform-5000","Fold_2","rbfDDA",0.2,0.4,0.996996996996997,0.969843937091856
"waveform-5000","Fold_2","rbfDDA",0.2,0.5,0.996996996996997,0.969843937091856
"waveform-5000","Fold_2","rbfDDA",0.2,0.6,0.995995995995996,0.960150780829294
"waveform-5000","Fold_2","rbfDDA",0.2,0.7,0.995995995995996,0.960150780829294
"waveform-5000","Fold_2","rbfDDA",0.2,0.75,0.995995995995996,0.960150780829294
"waveform-5000","Fold_2","rbfDDA",0.2,0.8,0.994994994994995,0.949739895153095
"waveform-5000","Fold_2","rbfDDA",0.2,0.9,0.994994994994995,0.949739895153095
"waveform-5000","Fold_2","rbfDDA",0.2,1,0.992992992992993,0.929635853214333
"waveform-5000","Fold_2","rbfDDA",0.3,0.1,0.997997997997998,0.980075390414648
"waveform-5000","Fold_2","rbfDDA",0.3,0.2,0.997997997997998,0.980075390414648
"waveform-5000","Fold_2","rbfDDA",0.3,0.25,0.997997997997998,0.980075390414648
"waveform-5000","Fold_2","rbfDDA",0.3,0.3,0.997997997997998,0.980075390414648
"waveform-5000","Fold_2","rbfDDA",0.3,0.4,0.996996996996997,0.970377472250501
"waveform-5000","Fold_2","rbfDDA",0.3,0.5,0.996996996996997,0.970377472250501
