"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","rfRules",0.1,0.1,0.999,0.997489329651017
"waveform-5000","Fold_1","rfRules",0.1,0.2,0.998,0.994984326018809
"waveform-5000","Fold_1","rfRules",0.1,0.25,0.998,0.994984326018809
"waveform-5000","Fold_1","rfRules",0.1,0.3,0.997,0.99248496993988
"waveform-5000","Fold_1","rfRules",0.1,0.4,0.997,0.99248496993988
"waveform-5000","Fold_1","rfRules",0.1,0.5,0.996,0.989991242337045
"waveform-5000","Fold_1","rfRules",0.1,0.6,0.995,0.987503124218945
"waveform-5000","Fold_1","rfRules",0.1,0.7,0.994,0.984986863505567
"waveform-5000","Fold_1","rfRules",0.1,0.75,0.993,0.982504373906523
"waveform-5000","Fold_1","rfRules",0.1,0.8,0.991,0.977454909819639
"waveform-5000","Fold_1","rfRules",0.1,0.9,0.989,0.972444889779559
"waveform-5000","Fold_1","rfRules",0.1,1,0.987,0.967434869739479
"waveform-5000","Fold_1","rfRules",0.2,0.1,0.995,0.98789510381159
"waveform-5000","Fold_1","rfRules",0.2,0.2,0.992,0.980612640558356
"waveform-5000","Fold_1","rfRules",0.2,0.25,0.991,0.978211186860862
"waveform-5000","Fold_1","rfRules",0.2,0.3,0.99,0.975814565436112
"waveform-5000","Fold_1","rfRules",0.2,0.4,0.986,0.966208388043562
"waveform-5000","Fold_1","rfRules",0.2,0.5,0.981,0.954185956790123
"waveform-5000","Fold_1","rfRules",0.2,0.6,0.981,0.954185956790123
"waveform-5000","Fold_1","rfRules",0.2,0.7,0.979,0.949464808255044
"waveform-5000","Fold_1","rfRules",0.2,0.75,0.977,0.944540895061728
"waveform-5000","Fold_1","rfRules",0.2,0.8,0.974,0.937244149223758
"waveform-5000","Fold_1","rfRules",0.2,0.9,0.973,0.934764960569043
"waveform-5000","Fold_1","rfRules",0.2,1,0.968,0.922606609395558
"waveform-5000","Fold_1","rfRules",0.3,0.1,0.995,0.987241382829963
"waveform-5000","Fold_1","rfRules",0.3,0.2,0.988,0.969270638607345
"waveform-5000","Fold_1","rfRules",0.3,0.25,0.987,0.966670426926193
"waveform-5000","Fold_1","rfRules",0.3,0.3,0.987,0.966670426926193
"waveform-5000","Fold_1","rfRules",0.3,0.4,0.981,0.951171875
"waveform-5000","Fold_1","rfRules",0.3,0.5,0.979,0.946159920419235
"waveform-5000","Fold_1","rfRules",0.3,0.6,0.976,0.938686355159288
"waveform-5000","Fold_1","rfRules",0.3,0.7,0.973,0.930777040539016
"waveform-5000","Fold_1","rfRules",0.3,0.75,0.969,0.920521787285537
"waveform-5000","Fold_1","rfRules",0.3,0.8,0.967,0.915394160658797
"waveform-5000","Fold_1","rfRules",0.3,0.9,0.965,0.910478606944814
"waveform-5000","Fold_1","rfRules",0.3,1,0.961,0.900482786073714
"waveform-5000","Fold_2","rfRules",0.1,0.1,0.997997997997998,0.994924554183814
"waveform-5000","Fold_2","rfRules",0.1,0.2,0.997997997997998,0.994924554183814
"waveform-5000","Fold_2","rfRules",0.1,0.25,0.997997997997998,0.994924554183814
"waveform-5000","Fold_2","rfRules",0.1,0.3,0.996996996996997,0.992377944104923
"waveform-5000","Fold_2","rfRules",0.1,0.4,0.995995995995996,0.989849108367627
"waveform-5000","Fold_2","rfRules",0.1,0.5,0.995995995995996,0.989849108367627
"waveform-5000","Fold_2","rfRules",0.1,0.6,0.992992992992993,0.982256628074262
