"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","rf",0.1,0.1,0.999,0.997564160024943
"waveform-5000","Fold_1","rf",0.1,0.2,0.997,0.992662094336115
"waveform-5000","Fold_1","rf",0.1,0.25,0.996,0.990185301507538
"waveform-5000","Fold_1","rf",0.1,0.3,0.995,0.987744617435978
"waveform-5000","Fold_1","rf",0.1,0.4,0.996,0.990185301507538
"waveform-5000","Fold_1","rf",0.1,0.5,0.995,0.987718970751501
"waveform-5000","Fold_1","rf",0.1,0.6,0.996,0.990164643861754
"waveform-5000","Fold_1","rf",0.1,0.7,0.994,0.985278530208456
"waveform-5000","Fold_1","rf",0.1,0.75,0.995,0.987718729428872
"waveform-5000","Fold_1","rf",0.1,0.8,0.995,0.987718970751501
"waveform-5000","Fold_1","rf",0.1,0.9,0.994,0.985278168996805
"waveform-5000","Fold_1","rf",0.1,1,0.995,0.987718729428872
"waveform-5000","Fold_1","rf",0.2,0.1,0.998,0.995113154898329
"waveform-5000","Fold_1","rf",0.2,0.2,0.995,0.987820800124715
"waveform-5000","Fold_1","rf",0.2,0.25,0.994,0.985369921534012
"waveform-5000","Fold_1","rf",0.2,0.3,0.992,0.980493228712017
"waveform-5000","Fold_1","rf",0.2,0.4,0.991,0.978032063423874
"waveform-5000","Fold_1","rf",0.2,0.5,0.992,0.98045271511787
"waveform-5000","Fold_1","rf",0.2,0.6,0.988,0.970739700374532
"waveform-5000","Fold_1","rf",0.2,0.7,0.989,0.97315029974029
"waveform-5000","Fold_1","rf",0.2,0.75,0.989,0.97315029974029
"waveform-5000","Fold_1","rf",0.2,0.8,0.987,0.968334388853705
"waveform-5000","Fold_1","rf",0.2,0.9,0.985,0.963537716585963
"waveform-5000","Fold_1","rf",0.2,1,0.982,0.956109764602037
"waveform-5000","Fold_1","rf",0.3,0.1,0.997,0.992662166128559
"waveform-5000","Fold_1","rf",0.3,0.2,0.997,0.992692480074829
"waveform-5000","Fold_1","rf",0.3,0.25,0.996,0.990226357558935
"waveform-5000","Fold_1","rf",0.3,0.3,0.993,0.982878220117602
"waveform-5000","Fold_1","rf",0.3,0.4,0.99,0.975515161012301
"waveform-5000","Fold_1","rf",0.3,0.5,0.987,0.968135692926124
"waveform-5000","Fold_1","rf",0.3,0.6,0.987,0.968001417783335
"waveform-5000","Fold_1","rf",0.3,0.7,0.982,0.955834506990416
"waveform-5000","Fold_1","rf",0.3,0.75,0.981,0.953333464327118
"waveform-5000","Fold_1","rf",0.3,0.8,0.979,0.948418663601261
"waveform-5000","Fold_1","rf",0.3,0.9,0.98,0.95082442845692
"waveform-5000","Fold_1","rf",0.3,1,0.975,0.938593647144359
"waveform-5000","Fold_2","rf",0.1,0.1,0.998998998998999,0.99742266046454
"waveform-5000","Fold_2","rf",0.1,0.2,0.998998998998999,0.99742266046454
"waveform-5000","Fold_2","rf",0.1,0.25,0.997997997997998,0.994839049641213
"waveform-5000","Fold_2","rf",0.1,0.3,0.996996996996997,0.992230054677393
"waveform-5000","Fold_2","rf",0.1,0.4,0.995995995995996,0.989627353054168
"waveform-5000","Fold_2","rf",0.1,0.5,0.995995995995996,0.989627353054168
"waveform-5000","Fold_2","rf",0.1,0.6,0.994994994994995,0.98705035971223
"waveform-5000","Fold_2","rf",0.1,0.7,0.994994994994995,0.987018252415073
"waveform-5000","Fold_2","rf",0.1,0.75,0.992992992992993,0.981870503597122
"waveform-5000","Fold_2","rf",0.1,0.8,0.994994994994995,0.987018252415073
"waveform-5000","Fold_2","rf",0.1,0.9,0.992992992992993,0.981871067592686
"waveform-5000","Fold_2","rf",0.1,1,0.994994994994995,0.987018252415073
"waveform-5000","Fold_2","rf",0.2,0.1,0.997997997997998,0.994876371301525
"waveform-5000","Fold_2","rf",0.2,0.2,0.996996996996997,0.992305302588776
"waveform-5000","Fold_2","rf",0.2,0.25,0.995995995995996,0.989728034548352
"waveform-5000","Fold_2","rf",0.2,0.3,0.995995995995996,0.989728034548352
