"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","rpart",0.1,0.1,0.997,0.993792110185906
"waveform-5000","Fold_1","rpart",0.1,0.2,0.997,0.993792110185906
"waveform-5000","Fold_1","rpart",0.1,0.25,0.997,0.993792110185906
"waveform-5000","Fold_1","rpart",0.1,0.3,0.997,0.993792110185906
"waveform-5000","Fold_1","rpart",0.1,0.4,0.994,0.987588945887804
"waveform-5000","Fold_1","rpart",0.1,0.5,0.99,0.979330643561082
"waveform-5000","Fold_1","rpart",0.1,0.6,0.988,0.975196772273298
"waveform-5000","Fold_1","rpart",0.1,0.7,0.986,0.971084894749017
"waveform-5000","Fold_1","rpart",0.1,0.75,0.985,0.969031299033776
"waveform-5000","Fold_1","rpart",0.1,0.8,0.985,0.969031299033776
"waveform-5000","Fold_1","rpart",0.1,0.9,0.984,0.966954165427448
"waveform-5000","Fold_1","rpart",0.1,1,0.978,0.954630943346422
"waveform-5000","Fold_1","rpart",0.2,0.1,0.995,0.989645632113451
"waveform-5000","Fold_1","rpart",0.2,0.2,0.994,0.987570022208227
"waveform-5000","Fold_1","rpart",0.2,0.25,0.992,0.983426696277636
"waveform-5000","Fold_1","rpart",0.2,0.3,0.991,0.981362137804211
"waveform-5000","Fold_1","rpart",0.2,0.4,0.989,0.977237737348321
"waveform-5000","Fold_1","rpart",0.2,0.5,0.984,0.966903855700811
"waveform-5000","Fold_1","rpart",0.2,0.6,0.982,0.962766837663412
"waveform-5000","Fold_1","rpart",0.2,0.7,0.977,0.952406178091943
"waveform-5000","Fold_1","rpart",0.2,0.75,0.977,0.952406178091943
"waveform-5000","Fold_1","rpart",0.2,0.8,0.977,0.952406178091943
"waveform-5000","Fold_1","rpart",0.2,0.9,0.974,0.946136762902317
"waveform-5000","Fold_1","rpart",0.2,1,0.969,0.935753958385145
"waveform-5000","Fold_1","rpart",0.3,0.1,0.995,0.98963773522341
"waveform-5000","Fold_1","rpart",0.3,0.2,0.988,0.975158982511924
"waveform-5000","Fold_1","rpart",0.3,0.25,0.988,0.975158982511924
