"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","JRip",0.1,0.1,0.995867768595041,0.962092731829574
"wilt","Fold_1","JRip",0.1,0.2,0.992768595041322,0.93528917411567
"wilt","Fold_1","JRip",0.1,0.25,0.992768595041322,0.93528917411567
"wilt","Fold_1","JRip",0.1,0.3,0.989669421487603,0.906794022492682
"wilt","Fold_1","JRip",0.1,0.4,0.987603305785124,0.889966656562595
"wilt","Fold_1","JRip",0.1,0.5,0.981404958677686,0.840135055783911
"wilt","Fold_1","JRip",0.1,0.6,0.978305785123967,0.817784152025816
"wilt","Fold_1","JRip",0.1,0.7,0.977272727272727,0.810560774267008
"wilt","Fold_1","JRip",0.1,0.75,0.976239669421488,0.803446571085529
"wilt","Fold_1","JRip",0.1,0.8,0.976239669421488,0.803446571085529
"wilt","Fold_1","JRip",0.1,0.9,0.973140495867769,0.776117278679192
"wilt","Fold_1","JRip",0.1,1,0.97004132231405,0.752171763542623
"wilt","Fold_1","JRip",0.2,0.1,0.985537190082645,0.871678818293722
"wilt","Fold_1","JRip",0.2,0.2,0.980371900826446,0.827259749042002
"wilt","Fold_1","JRip",0.2,0.25,0.975206611570248,0.790290841472441
"wilt","Fold_1","JRip",0.2,0.3,0.96797520661157,0.74311738118066
"wilt","Fold_1","JRip",0.2,0.4,0.959710743801653,0.690526937075778
"wilt","Fold_1","JRip",0.2,0.5,0.950413223140496,0.637062379903455
"wilt","Fold_1","JRip",0.2,0.6,0.943181818181818,0.597678566030892
"wilt","Fold_1","JRip",0.2,0.7,0.940082644628099,0.583865755495931
"wilt","Fold_1","JRip",0.2,0.75,0.933884297520661,0.557770004996788
"wilt","Fold_1","JRip",0.2,0.8,0.928719008264463,0.537451523545707
"wilt","Fold_1","JRip",0.2,0.9,0.918388429752066,0.50024833355117
"wilt","Fold_1","JRip",0.2,1,0.908057851239669,0.461267165261763
"wilt","Fold_1","JRip",0.3,0.1,0.975206611570248,0.810446957458266
"wilt","Fold_1","JRip",0.3,0.2,0.965909090909091,0.751431772908367
"wilt","Fold_1","JRip",0.3,0.25,0.961776859504132,0.728485657104737
"wilt","Fold_1","JRip",0.3,0.3,0.953512396694215,0.685968048907088
"wilt","Fold_1","JRip",0.3,0.4,0.940082644628099,0.625111844126014
"wilt","Fold_1","JRip",0.3,0.5,0.922520661157025,0.54854115364525
"wilt","Fold_1","JRip",0.3,0.6,0.908057851239669,0.486003388778847
"wilt","Fold_1","JRip",0.3,0.7,0.894628099173554,0.447358699667528
"wilt","Fold_1","JRip",0.3,0.75,0.885330578512397,0.417979329621043
"wilt","Fold_1","JRip",0.3,0.8,0.87603305785124,0.390434609208552
"wilt","Fold_1","JRip",0.3,0.9,0.858471074380165,0.342221693153186
"wilt","Fold_1","JRip",0.3,1,0.840909090909091,0.299019100732618
"wilt","Fold_2","JRip",0.1,0.1,0.996897621509824,0.966114167571924
"wilt","Fold_2","JRip",0.1,0.2,0.995863495346432,0.954351263955437
