"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","multinom",0.1,0.1,0.996900826446281,0.969237288135593
"wilt","Fold_1","multinom",0.1,0.2,0.995867768595041,0.959355908718746
"wilt","Fold_1","multinom",0.1,0.25,0.994834710743802,0.949652561061874
"wilt","Fold_1","multinom",0.1,0.3,0.993801652892562,0.940122476752098
"wilt","Fold_1","multinom",0.1,0.4,0.991735537190083,0.920163302336131
"wilt","Fold_1","multinom",0.1,0.5,0.987603305785124,0.880244953504196
"wilt","Fold_1","multinom",0.1,0.6,0.983471074380165,0.843127722070293
"wilt","Fold_1","multinom",0.1,0.7,0.981404958677686,0.823518687329079
"wilt","Fold_1","multinom",0.1,0.75,0.979338842975207,0.800408255840326
"wilt","Fold_1","multinom",0.1,0.8,0.976239669421488,0.776456885818708
"wilt","Fold_1","multinom",0.1,0.9,0.972107438016529,0.742065371861676
"wilt","Fold_1","multinom",0.1,1,0.96797520661157,0.71364226276815
"wilt","Fold_1","multinom",0.2,0.1,0.993801652892562,0.939033863078118
"wilt","Fold_1","multinom",0.2,0.2,0.984504132231405,0.854211012490462
"wilt","Fold_1","multinom",0.2,0.25,0.981404958677686,0.826561286854731
"wilt","Fold_1","multinom",0.2,0.3,0.976239669421488,0.783970502619833
"wilt","Fold_1","multinom",0.2,0.4,0.96900826446281,0.733875845384066
"wilt","Fold_1","multinom",0.2,0.5,0.956611570247934,0.633247334331643
"wilt","Fold_1","multinom",0.2,0.6,0.945247933884298,0.57381624854627
"wilt","Fold_1","multinom",0.2,0.7,0.935950413223141,0.518755512789672
"wilt","Fold_1","multinom",0.2,0.75,0.931818181818182,0.494724854083295
"wilt","Fold_1","multinom",0.2,0.8,0.923553719008264,0.455841018550874
"wilt","Fold_1","multinom",0.2,0.9,0.912190082644628,0.402469135802469
"wilt","Fold_1","multinom",0.2,1,0.899793388429752,0.358458595244602
"wilt","Fold_1","multinom",0.3,0.1,0.978305785123967,0.802755676305065
"wilt","Fold_1","multinom",0.3,0.2,0.960743801652893,0.673280869735135
"wilt","Fold_1","multinom",0.3,0.25,0.952479338842975,0.621945628364266
"wilt","Fold_1","multinom",0.3,0.3,0.946280991735537,0.584844036091912
"wilt","Fold_1","multinom",0.3,0.4,0.933884297520661,0.529376016043999
"wilt","Fold_1","multinom",0.3,0.5,0.918388429752066,0.464841563094838
"wilt","Fold_1","multinom",0.3,0.6,0.903925619834711,0.412713323939252
"wilt","Fold_1","multinom",0.3,0.7,0.885330578512397,0.336527774347321
