"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","naive_bayes",0.1,0.1,1,1
"wilt","Fold_1","naive_bayes",0.1,0.2,1,1
"wilt","Fold_1","naive_bayes",0.1,0.25,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.1,0.3,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.1,0.4,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.1,0.5,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.1,0.6,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.1,0.7,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.1,0.75,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.1,0.8,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.1,0.9,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.1,1,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.2,0.1,1,1
"wilt","Fold_1","naive_bayes",0.2,0.2,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.2,0.25,0.997933884297521,0.665745856353583
"wilt","Fold_1","naive_bayes",0.2,0.3,0.997933884297521,0.665745856353583
"wilt","Fold_1","naive_bayes",0.2,0.4,0.996900826446281,0.398508699254343
"wilt","Fold_1","naive_bayes",0.2,0.5,0.995867768595041,0.331491712707183
"wilt","Fold_1","naive_bayes",0.2,0.6,0.995867768595041,0.331491712707183
"wilt","Fold_1","naive_bayes",0.2,0.7,0.995867768595041,0.331491712707183
"wilt","Fold_1","naive_bayes",0.2,0.75,0.995867768595041,0.331491712707183
"wilt","Fold_1","naive_bayes",0.2,0.8,0.994834710743802,0.283599763173481
"wilt","Fold_1","naive_bayes",0.2,0.9,0.994834710743802,0.283599763173481
"wilt","Fold_1","naive_bayes",0.2,1,0.994834710743802,0.283599763173481
"wilt","Fold_1","naive_bayes",0.3,0.1,0.99896694214876,0.799502899751455
"wilt","Fold_1","naive_bayes",0.3,0.2,0.997933884297521,0.665745856353583
"wilt","Fold_1","naive_bayes",0.3,0.25,0.996900826446281,0.570159857904083
"wilt","Fold_1","naive_bayes",0.3,0.3,0.996900826446281,0.570159857904083
"wilt","Fold_1","naive_bayes",0.3,0.4,0.996900826446281,0.570159857904083
"wilt","Fold_1","naive_bayes",0.3,0.5,0.995867768595041,0.498445595854931
"wilt","Fold_1","naive_bayes",0.3,0.6,0.995867768595041,0.498445595854931
"wilt","Fold_1","naive_bayes",0.3,0.7,0.994834710743802,0.442653155228018
"wilt","Fold_1","naive_bayes",0.3,0.75,0.994834710743802,0.442653155228018
"wilt","Fold_1","naive_bayes",0.3,0.8,0.993801652892562,0.398009950248748
"wilt","Fold_1","naive_bayes",0.3,0.9,0.992768595041322,0.361477572559369
"wilt","Fold_1","naive_bayes",0.3,1,0.991735537190083,0.331029716655154
"wilt","Fold_2","naive_bayes",0.1,0.1,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.2,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.25,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.3,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.4,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.5,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.6,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.7,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.75,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.8,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,0.9,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.1,1,0.997931747673216,0.499223200414305
"wilt","Fold_2","naive_bayes",0.2,0.1,0.997931747673216,0.499223200414305
"wilt","Fold_2","naive_bayes",0.2,0.2,0.997931747673216,0.499223200414305
"wilt","Fold_2","naive_bayes",0.2,0.25,0.997931747673216,0.499223200414305
"wilt","Fold_2","naive_bayes",0.2,0.3,0.997931747673216,0.499223200414305
"wilt","Fold_2","naive_bayes",0.2,0.4,0.997931747673216,0.499223200414305
"wilt","Fold_2","naive_bayes",0.2,0.5,0.996897621509824,-0.00138073869518041
"wilt","Fold_2","naive_bayes",0.2,0.6,0.996897621509824,-0.00138073869518041
"wilt","Fold_2","naive_bayes",0.2,0.7,0.996897621509824,-0.00138073869518041
"wilt","Fold_2","naive_bayes",0.2,0.75,0.996897621509824,-0.00138073869518041
"wilt","Fold_2","naive_bayes",0.2,0.8,0.996897621509824,-0.00138073869518041
"wilt","Fold_2","naive_bayes",0.2,0.9,0.996897621509824,-0.00138073869518041
"wilt","Fold_2","naive_bayes",0.2,1,0.996897621509824,-0.00138073869518041
"wilt","Fold_2","naive_bayes",0.3,0.1,1,1
"wilt","Fold_2","naive_bayes",0.3,0.2,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.3,0.25,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.3,0.3,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.3,0.4,0.998965873836608,0.66620642043494
"wilt","Fold_2","naive_bayes",0.3,0.5,0.996897621509824,-0.00138073869518041
"wilt","Fold_2","naive_bayes",0.3,0.6,0.995863495346432,-0.00155359917138955
"wilt","Fold_2","naive_bayes",0.3,0.7,0.99482936918304,-0.00165734410608727
"wilt","Fold_2","naive_bayes",0.3,0.75,0.99482936918304,-0.00165734410608727
"wilt","Fold_2","naive_bayes",0.3,0.8,0.99482936918304,-0.00165734410608727
"wilt","Fold_2","naive_bayes",0.3,0.9,0.99482936918304,-0.00165734410608727
"wilt","Fold_2","naive_bayes",0.3,1,0.99482936918304,-0.00165734410608727
"wilt","Fold_3","naive_bayes",0.1,0.1,1,1
"wilt","Fold_3","naive_bayes",0.1,0.2,1,1
