dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
analcatdata_authorship,C5.0,0.1,0.1,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.2,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.25,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.3,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.4,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.5,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.6,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.7,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.75,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.8,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,0.9,1,1,0,0,0
analcatdata_authorship,C5.0,0.1,1,1,1,0,0,0
analcatdata_authorship,C5.0,0.2,0.1,1,1,0,0,0
analcatdata_authorship,C5.0,0.2,0.2,1,1,0,0,0
analcatdata_authorship,C5.0,0.2,0.25,1,1,0,0,0
analcatdata_authorship,C5.0,0.2,0.3,1,1,0,0,0
analcatdata_authorship,C5.0,0.2,0.4,1,1,0,0,0
analcatdata_authorship,C5.0,0.2,0.5,0.999,0.997,0.003,0.003,0.006
analcatdata_authorship,C5.0,0.2,0.6,0.999,0.997,0.003,0.003,0.006
analcatdata_authorship,C5.0,0.2,0.7,0.999,0.997,0.003,0.003,0.006
analcatdata_authorship,C5.0,0.2,0.75,0.999,0.997,0.003,0.003,0.006
analcatdata_authorship,C5.0,0.2,0.8,0.999,0.997,0.003,0.003,0.006
analcatdata_authorship,C5.0,0.2,0.9,0.998,0.995,0.005,0.003,0.007
analcatdata_authorship,C5.0,0.2,1,0.998,0.995,0.005,0.003,0.007
analcatdata_authorship,C5.0,0.3,0.1,1,1,0,0,0
analcatdata_authorship,C5.0,0.3,0.2,1,1,0,0,0
analcatdata_authorship,C5.0,0.3,0.25,0.999,0.997,0.003,0.003,0.006
analcatdata_authorship,C5.0,0.3,0.3,0.998,0.995,0.005,0.003,0.007
analcatdata_authorship,C5.0,0.3,0.4,0.996,0.992,0.008,0.003,0.007
analcatdata_authorship,C5.0,0.3,0.5,0.996,0.992,0.008,0.003,0.007
analcatdata_authorship,C5.0,0.3,0.6,0.996,0.992,0.008,0.003,0.007
analcatdata_authorship,C5.0,0.3,0.7,0.996,0.992,0.008,0.003,0.007
analcatdata_authorship,C5.0,0.3,0.75,0.996,0.992,0.008,0.003,0.007
analcatdata_authorship,C5.0,0.3,0.8,0.996,0.992,0.008,0.003,0.007
analcatdata_authorship,C5.0,0.3,0.9,0.996,0.992,0.008,0.003,0.007
analcatdata_authorship,C5.0,0.3,1,0.995,0.99,0.01,0.005,0.011
analcatdata_authorship,JRip,0.1,0.1,1,1,0,0,0
analcatdata_authorship,JRip,0.1,0.2,1,1,0,0,0
analcatdata_authorship,JRip,0.1,0.25,1,1,0,0,0
analcatdata_authorship,JRip,0.1,0.3,1,1,0,0,0
analcatdata_authorship,JRip,0.1,0.4,1,1,0,0,0
analcatdata_authorship,JRip,0.1,0.5,0.999,0.997,0.003,0.003,0.006
