dataset,fold,method,noise_levels,instance_level,accuracy,kappa
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.1,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.2,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.25,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.3,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.4,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.5,0.990740740740741,0.942307692307692
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.6,0.990740740740741,0.942307692307692
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.7,0.990740740740741,0.942307692307692
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.75,0.990740740740741,0.942307692307692
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.8,0.981481481481482,0.878923766816144
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,0.9,0.981481481481482,0.878923766816144
climate-model-simulation-crashes,Fold_1,bayesglm,0.1,1,0.981481481481482,0.878923766816144
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.1,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.2,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.25,0.990740740740741,0.918181818181818
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.3,0.990740740740741,0.918181818181818
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.4,0.990740740740741,0.918181818181818
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.5,0.981481481481482,0.847241867043848
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.6,0.981481481481482,0.847241867043848
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.7,0.981481481481482,0.847241867043848
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.75,0.972222222222222,0.754545454545454
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.8,0.972222222222222,0.754545454545454
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,0.9,0.972222222222222,0.754545454545454
climate-model-simulation-crashes,Fold_1,bayesglm,0.2,1,0.972222222222222,0.754545454545454
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.1,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.2,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.25,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.3,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.4,1,1
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.5,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.6,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.7,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.75,0.972222222222222,0.808962264150943
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.8,0.972222222222222,0.808962264150943
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,0.9,0.962962962962963,0.758659217877095
climate-model-simulation-crashes,Fold_1,bayesglm,0.3,1,0.962962962962963,0.758659217877095
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.1,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.2,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.25,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.3,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.4,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.5,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.6,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.7,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.75,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.8,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,0.9,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.1,1,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.1,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.2,1,1
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.25,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.3,0.990740740740741,0.928381962864721
climate-model-simulation-crashes,Fold_2,bayesglm,0.2,0.4,0.990740740740741,0.928381962864721
