dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
kc1,C5.0,0.1,0.1,0.999,0.99,0.01,0.001,0.013
kc1,C5.0,0.1,0.2,0.999,0.99,0.01,0.001,0.013
kc1,C5.0,0.1,0.25,0.999,0.99,0.01,0.001,0.013
kc1,C5.0,0.1,0.3,0.999,0.986,0.014,0.002,0.022
kc1,C5.0,0.1,0.4,0.998,0.976,0.024,0.003,0.034
kc1,C5.0,0.1,0.5,0.998,0.976,0.024,0.003,0.034
kc1,C5.0,0.1,0.6,0.997,0.971,0.029,0.004,0.043
kc1,C5.0,0.1,0.7,0.997,0.966,0.034,0.005,0.047
kc1,C5.0,0.1,0.75,0.997,0.966,0.034,0.005,0.047
kc1,C5.0,0.1,0.8,0.996,0.955,0.045,0.006,0.062
kc1,C5.0,0.1,0.9,0.996,0.955,0.045,0.006,0.062
kc1,C5.0,0.1,1,0.995,0.951,0.049,0.007,0.069
kc1,C5.0,0.2,0.1,1,1,0,0,0
kc1,C5.0,0.2,0.2,1,0.995,0.005,0.001,0.01
kc1,C5.0,0.2,0.25,0.998,0.974,0.026,0.003,0.038
kc1,C5.0,0.2,0.3,0.997,0.97,0.03,0.004,0.042
kc1,C5.0,0.2,0.4,0.997,0.965,0.035,0.005,0.048
kc1,C5.0,0.2,0.5,0.996,0.955,0.045,0.006,0.061
kc1,C5.0,0.2,0.6,0.994,0.94,0.06,0.008,0.087
kc1,C5.0,0.2,0.7,0.994,0.94,0.06,0.008,0.087
kc1,C5.0,0.2,0.75,0.994,0.94,0.06,0.008,0.087
kc1,C5.0,0.2,0.8,0.994,0.94,0.06,0.008,0.087
kc1,C5.0,0.2,0.9,0.994,0.935,0.065,0.008,0.091
kc1,C5.0,0.2,1,0.993,0.93,0.07,0.009,0.099
kc1,C5.0,0.3,0.1,0.999,0.989,0.011,0.001,0.01
kc1,C5.0,0.3,0.2,0.997,0.978,0.022,0.002,0.015
kc1,C5.0,0.3,0.25,0.997,0.978,0.022,0.002,0.015
kc1,C5.0,0.3,0.3,0.997,0.978,0.022,0.002,0.015
kc1,C5.0,0.3,0.4,0.995,0.962,0.038,0.004,0.032
kc1,C5.0,0.3,0.5,0.995,0.958,0.042,0.004,0.032
kc1,C5.0,0.3,0.6,0.994,0.954,0.046,0.004,0.036
kc1,C5.0,0.3,0.7,0.994,0.951,0.049,0.004,0.033
kc1,C5.0,0.3,0.75,0.994,0.951,0.049,0.004,0.033
kc1,C5.0,0.3,0.8,0.993,0.947,0.053,0.004,0.035
kc1,C5.0,0.3,0.9,0.993,0.943,0.057,0.005,0.038
kc1,C5.0,0.3,1,0.992,0.937,0.063,0.006,0.044
kc1,JRip,0.1,0.1,1,1,0,0,0
kc1,JRip,0.1,0.2,1,0.995,0.005,0.001,0.012
kc1,JRip,0.1,0.25,1,0.995,0.005,0.001,0.012
kc1,JRip,0.1,0.3,1,0.995,0.005,0.001,0.012
kc1,JRip,0.1,0.4,1,0.995,0.005,0.001,0.012
kc1,JRip,0.1,0.5,0.999,0.99,0.01,0.002,0.023
kc1,JRip,0.1,0.6,0.999,0.99,0.01,0.002,0.023
kc1,JRip,0.1,0.7,0.999,0.99,0.01,0.002,0.023
kc1,JRip,0.1,0.75,0.999,0.99,0.01,0.002,0.023
kc1,JRip,0.1,0.8,0.999,0.99,0.01,0.002,0.023
kc1,JRip,0.1,0.9,0.999,0.99,0.01,0.002,0.023
kc1,JRip,0.1,1,0.999,0.99,0.01,0.002,0.023
kc1,JRip,0.2,0.1,1,0.997,0.003,0.001,0.006
kc1,JRip,0.2,0.2,0.999,0.994,0.006,0.001,0.008
kc1,JRip,0.2,0.25,0.999,0.994,0.006,0.001,0.008
kc1,JRip,0.2,0.3,0.999,0.991,0.009,0.001,0.008
kc1,JRip,0.2,0.4,0.999,0.991,0.009,0.001,0.008
