dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
pc4,C5.0,0.1,0.1,0.999,0.992,0.008,0.002,0.011
pc4,C5.0,0.1,0.2,0.997,0.978,0.022,0.002,0.019
pc4,C5.0,0.1,0.25,0.995,0.969,0.031,0.002,0.014
pc4,C5.0,0.1,0.3,0.991,0.942,0.058,0.005,0.037
pc4,C5.0,0.1,0.4,0.989,0.928,0.072,0.007,0.05
pc4,C5.0,0.1,0.5,0.989,0.928,0.072,0.007,0.05
pc4,C5.0,0.1,0.6,0.986,0.909,0.091,0.009,0.064
pc4,C5.0,0.1,0.7,0.986,0.905,0.095,0.01,0.069
pc4,C5.0,0.1,0.75,0.984,0.896,0.104,0.008,0.059
pc4,C5.0,0.1,0.8,0.983,0.887,0.113,0.007,0.05
pc4,C5.0,0.1,0.9,0.981,0.874,0.126,0.005,0.039
pc4,C5.0,0.1,1,0.979,0.862,0.138,0.004,0.035
pc4,C5.0,0.2,0.1,0.996,0.975,0.025,0.003,0.016
pc4,C5.0,0.2,0.2,0.995,0.967,0.033,0.004,0.019
pc4,C5.0,0.2,0.25,0.994,0.964,0.036,0.005,0.023
pc4,C5.0,0.2,0.3,0.992,0.953,0.047,0.007,0.036
pc4,C5.0,0.2,0.4,0.988,0.927,0.073,0.011,0.055
pc4,C5.0,0.2,0.5,0.986,0.911,0.089,0.011,0.053
pc4,C5.0,0.2,0.6,0.983,0.89,0.11,0.01,0.047
pc4,C5.0,0.2,0.7,0.98,0.873,0.127,0.009,0.036
pc4,C5.0,0.2,0.75,0.979,0.866,0.134,0.01,0.035
pc4,C5.0,0.2,0.8,0.978,0.862,0.138,0.01,0.04
pc4,C5.0,0.2,0.9,0.974,0.835,0.165,0.012,0.039
pc4,C5.0,0.2,1,0.971,0.817,0.183,0.013,0.048
pc4,C5.0,0.3,0.1,0.999,0.997,0.003,0.002,0.008
pc4,C5.0,0.3,0.2,0.995,0.97,0.03,0.007,0.033
pc4,C5.0,0.3,0.25,0.993,0.962,0.038,0.008,0.041
pc4,C5.0,0.3,0.3,0.99,0.945,0.055,0.009,0.046
pc4,C5.0,0.3,0.4,0.984,0.907,0.093,0.014,0.073
pc4,C5.0,0.3,0.5,0.982,0.894,0.106,0.014,0.078
pc4,C5.0,0.3,0.6,0.979,0.871,0.129,0.015,0.08
pc4,C5.0,0.3,0.7,0.975,0.846,0.154,0.012,0.064
pc4,C5.0,0.3,0.75,0.973,0.838,0.162,0.013,0.072
pc4,C5.0,0.3,0.8,0.973,0.834,0.166,0.013,0.068
pc4,C5.0,0.3,0.9,0.97,0.817,0.183,0.015,0.08
pc4,C5.0,0.3,1,0.966,0.797,0.203,0.014,0.068
pc4,JRip,0.1,0.1,0.998,0.99,0.01,0.002,0.009
pc4,JRip,0.1,0.2,0.997,0.984,0.016,0.003,0.016
pc4,JRip,0.1,0.25,0.995,0.977,0.023,0.005,0.023
pc4,JRip,0.1,0.3,0.994,0.97,0.03,0.006,0.03
pc4,JRip,0.1,0.4,0.992,0.959,0.041,0.005,0.027
pc4,JRip,0.1,0.5,0.99,0.951,0.049,0.004,0.017
pc4,JRip,0.1,0.6,0.989,0.945,0.055,0.004,0.015
pc4,JRip,0.1,0.7,0.988,0.939,0.061,0.006,0.023
pc4,JRip,0.1,0.75,0.988,0.939,0.061,0.006,0.023
pc4,JRip,0.1,0.8,0.987,0.936,0.064,0.007,0.026
pc4,JRip,0.1,0.9,0.984,0.921,0.079,0.009,0.038
pc4,JRip,0.1,1,0.983,0.915,0.085,0.01,0.036
pc4,JRip,0.2,0.1,0.998,0.988,0.012,0.002,0.012
pc4,JRip,0.2,0.2,0.996,0.98,0.02,0.004,0.019
pc4,JRip,0.2,0.25,0.995,0.974,0.026,0.005,0.025
pc4,JRip,0.2,0.3,0.995,0.974,0.026,0.005,0.025
pc4,JRip,0.2,0.4,0.993,0.961,0.039,0.005,0.026
pc4,JRip,0.2,0.5,0.989,0.932,0.068,0.007,0.037
pc4,JRip,0.2,0.6,0.988,0.921,0.079,0.007,0.033
pc4,JRip,0.2,0.7,0.986,0.91,0.09,0.009,0.039
pc4,JRip,0.2,0.75,0.986,0.91,0.09,0.009,0.039
pc4,JRip,0.2,0.8,0.986,0.91,0.09,0.009,0.039
pc4,JRip,0.2,0.9,0.983,0.892,0.108,0.012,0.047
pc4,JRip,0.2,1,0.98,0.873,0.127,0.012,0.048
pc4,JRip,0.3,0.1,0.997,0.983,0.017,0.002,0.012
pc4,JRip,0.3,0.2,0.991,0.958,0.042,0.005,0.019
pc4,JRip,0.3,0.25,0.989,0.948,0.052,0.004,0.015
pc4,JRip,0.3,0.3,0.988,0.941,0.059,0.005,0.017
pc4,JRip,0.3,0.4,0.984,0.921,0.079,0.007,0.026
pc4,JRip,0.3,0.5,0.979,0.898,0.102,0.01,0.033
pc4,JRip,0.3,0.6,0.974,0.876,0.124,0.015,0.057
pc4,JRip,0.3,0.7,0.971,0.863,0.137,0.017,0.063
pc4,JRip,0.3,0.75,0.971,0.863,0.137,0.017,0.063
pc4,JRip,0.3,0.8,0.967,0.842,0.158,0.019,0.072
pc4,JRip,0.3,0.9,0.963,0.82,0.18,0.02,0.081
pc4,JRip,0.3,1,0.958,0.799,0.201,0.025,0.102
pc4,PART,0.1,0.1,0.997,0.987,0.013,0.004,0.016
pc4,PART,0.1,0.2,0.996,0.985,0.015,0.004,0.016
pc4,PART,0.1,0.25,0.994,0.979,0.021,0.007,0.023
pc4,PART,0.1,0.3,0.992,0.974,0.026,0.008,0.025
pc4,PART,0.1,0.4,0.991,0.969,0.031,0.009,0.029
pc4,PART,0.1,0.5,0.988,0.961,0.039,0.013,0.039
pc4,PART,0.1,0.6,0.986,0.953,0.047,0.017,0.05
pc4,PART,0.1,0.7,0.983,0.945,0.055,0.022,0.062
pc4,PART,0.1,0.75,0.982,0.942,0.058,0.022,0.063
pc4,PART,0.1,0.8,0.979,0.933,0.067,0.025,0.072
pc4,PART,0.1,0.9,0.976,0.921,0.079,0.029,0.083
pc4,PART,0.1,1,0.974,0.915,0.085,0.031,0.09
pc4,PART,0.2,0.1,0.995,0.971,0.029,0.004,0.024
pc4,PART,0.2,0.2,0.988,0.932,0.068,0.008,0.036
pc4,PART,0.2,0.25,0.984,0.916,0.084,0.01,0.047
pc4,PART,0.2,0.3,0.984,0.914,0.086,0.011,0.047
pc4,PART,0.2,0.4,0.975,0.873,0.127,0.014,0.046
pc4,PART,0.2,0.5,0.968,0.836,0.164,0.016,0.055
pc4,PART,0.2,0.6,0.962,0.803,0.197,0.02,0.072
pc4,PART,0.2,0.7,0.955,0.775,0.225,0.022,0.076
pc4,PART,0.2,0.75,0.953,0.764,0.236,0.02,0.07
pc4,PART,0.2,0.8,0.953,0.761,0.239,0.02,0.069
pc4,PART,0.2,0.9,0.947,0.737,0.263,0.023,0.075
pc4,PART,0.2,1,0.941,0.715,0.285,0.025,0.074
pc4,PART,0.3,0.1,0.993,0.963,0.037,0.006,0.035
pc4,PART,0.3,0.2,0.987,0.93,0.07,0.004,0.039
pc4,PART,0.3,0.25,0.984,0.916,0.084,0.004,0.043
pc4,PART,0.3,0.3,0.984,0.914,0.086,0.003,0.04
pc4,PART,0.3,0.4,0.979,0.897,0.103,0.002,0.031
pc4,PART,0.3,0.5,0.977,0.887,0.113,0.002,0.036
pc4,PART,0.3,0.6,0.977,0.884,0.116,0.003,0.035
pc4,PART,0.3,0.7,0.972,0.863,0.137,0.003,0.035
pc4,PART,0.3,0.75,0.971,0.857,0.143,0.004,0.043
pc4,PART,0.3,0.8,0.969,0.851,0.149,0.003,0.038
pc4,PART,0.3,0.9,0.966,0.839,0.161,0.005,0.045
pc4,PART,0.3,1,0.958,0.804,0.196,0.007,0.055
pc4,bayesglm,0.1,0.1,1,1,0,0,0
pc4,bayesglm,0.1,0.2,0.999,0.995,0.005,0.002,0.011
pc4,bayesglm,0.1,0.25,0.999,0.989,0.011,0.002,0.015
pc4,bayesglm,0.1,0.3,0.997,0.978,0.022,0.002,0.012
pc4,bayesglm,0.1,0.4,0.997,0.978,0.022,0.002,0.012
pc4,bayesglm,0.1,0.5,0.997,0.978,0.022,0.002,0.012
pc4,bayesglm,0.1,0.6,0.997,0.972,0.028,0.002,0.021
pc4,bayesglm,0.1,0.7,0.997,0.972,0.028,0.002,0.021
pc4,bayesglm,0.1,0.75,0.997,0.972,0.028,0.002,0.021
pc4,bayesglm,0.1,0.8,0.996,0.967,0.033,0.003,0.023
pc4,bayesglm,0.1,0.9,0.996,0.967,0.033,0.003,0.023
pc4,bayesglm,0.1,1,0.995,0.956,0.044,0.003,0.028
pc4,bayesglm,0.2,0.1,0.999,0.995,0.005,0.002,0.011
pc4,bayesglm,0.2,0.2,0.999,0.995,0.005,0.002,0.011
pc4,bayesglm,0.2,0.25,0.999,0.99,0.01,0.002,0.014
pc4,bayesglm,0.2,0.3,0.997,0.976,0.024,0.003,0.024
pc4,bayesglm,0.2,0.4,0.995,0.966,0.034,0.004,0.026
pc4,bayesglm,0.2,0.5,0.992,0.944,0.056,0.004,0.034
pc4,bayesglm,0.2,0.6,0.99,0.925,0.075,0.005,0.029
pc4,bayesglm,0.2,0.7,0.989,0.92,0.08,0.005,0.034
pc4,bayesglm,0.2,0.75,0.989,0.92,0.08,0.005,0.034
pc4,bayesglm,0.2,0.8,0.989,0.92,0.08,0.005,0.034
pc4,bayesglm,0.2,0.9,0.988,0.915,0.085,0.005,0.035
pc4,bayesglm,0.2,1,0.986,0.899,0.101,0.004,0.023
pc4,bayesglm,0.3,0.1,0.999,0.995,0.005,0.002,0.012
pc4,bayesglm,0.3,0.2,0.998,0.984,0.016,0.005,0.037
pc4,bayesglm,0.3,0.25,0.998,0.984,0.016,0.005,0.037
pc4,bayesglm,0.3,0.3,0.997,0.978,0.022,0.004,0.036
pc4,bayesglm,0.3,0.4,0.997,0.978,0.022,0.004,0.036
pc4,bayesglm,0.3,0.5,0.996,0.968,0.032,0.006,0.048
pc4,bayesglm,0.3,0.6,0.994,0.953,0.047,0.007,0.054
pc4,bayesglm,0.3,0.7,0.994,0.953,0.047,0.007,0.054
pc4,bayesglm,0.3,0.75,0.994,0.953,0.047,0.007,0.054
pc4,bayesglm,0.3,0.8,0.994,0.953,0.047,0.007,0.054
pc4,bayesglm,0.3,0.9,0.992,0.943,0.057,0.007,0.054
pc4,bayesglm,0.3,1,0.992,0.937,0.063,0.008,0.061
pc4,ctree,0.1,0.1,1,1,0,0,0
pc4,ctree,0.1,0.2,0.999,0.987,0.013,0.002,0.024
pc4,ctree,0.1,0.25,0.999,0.987,0.013,0.002,0.024
pc4,ctree,0.1,0.3,0.998,0.984,0.016,0.003,0.024
pc4,ctree,0.1,0.4,0.998,0.984,0.016,0.003,0.024
pc4,ctree,0.1,0.5,0.997,0.982,0.018,0.004,0.026
pc4,ctree,0.1,0.6,0.997,0.973,0.027,0.004,0.025
pc4,ctree,0.1,0.7,0.995,0.953,0.047,0.005,0.029
pc4,ctree,0.1,0.75,0.995,0.953,0.047,0.005,0.029
pc4,ctree,0.1,0.8,0.995,0.953,0.047,0.005,0.029
pc4,ctree,0.1,0.9,0.992,0.94,0.06,0.008,0.043
pc4,ctree,0.1,1,0.991,0.931,0.069,0.01,0.056
pc4,ctree,0.2,0.1,0.999,0.997,0.003,0.002,0.006
pc4,ctree,0.2,0.2,0.997,0.989,0.011,0.004,0.017
pc4,ctree,0.2,0.25,0.997,0.976,0.024,0.004,0.029
pc4,ctree,0.2,0.3,0.997,0.976,0.024,0.004,0.029
pc4,ctree,0.2,0.4,0.995,0.963,0.037,0.004,0.025
pc4,ctree,0.2,0.5,0.995,0.963,0.037,0.004,0.025
pc4,ctree,0.2,0.6,0.993,0.95,0.05,0.006,0.034
pc4,ctree,0.2,0.7,0.99,0.927,0.073,0.007,0.031
pc4,ctree,0.2,0.75,0.99,0.927,0.073,0.007,0.031
pc4,ctree,0.2,0.8,0.99,0.924,0.076,0.008,0.032
pc4,ctree,0.2,0.9,0.986,0.897,0.103,0.012,0.041
pc4,ctree,0.2,1,0.985,0.894,0.106,0.012,0.038
pc4,ctree,0.3,0.1,0.999,0.996,0.004,0.002,0.008
pc4,ctree,0.3,0.2,0.996,0.975,0.025,0.006,0.034
pc4,ctree,0.3,0.25,0.995,0.971,0.029,0.007,0.042
pc4,ctree,0.3,0.3,0.994,0.963,0.037,0.009,0.051
pc4,ctree,0.3,0.4,0.991,0.939,0.061,0.007,0.038
pc4,ctree,0.3,0.5,0.988,0.914,0.086,0.008,0.051
pc4,ctree,0.3,0.6,0.986,0.903,0.097,0.01,0.059
pc4,ctree,0.3,0.7,0.982,0.875,0.125,0.011,0.056
pc4,ctree,0.3,0.75,0.98,0.862,0.138,0.013,0.06
pc4,ctree,0.3,0.8,0.979,0.852,0.148,0.014,0.07
pc4,ctree,0.3,0.9,0.977,0.844,0.156,0.016,0.081
pc4,ctree,0.3,1,0.975,0.825,0.175,0.019,0.101
pc4,fda,0.1,0.1,1,1,0,0,0
pc4,fda,0.1,0.2,1,1,0,0,0
pc4,fda,0.1,0.25,1,1,0,0,0
pc4,fda,0.1,0.3,1,1,0,0,0
pc4,fda,0.1,0.4,1,1,0,0,0
pc4,fda,0.1,0.5,1,1,0,0,0
pc4,fda,0.1,0.6,1,1,0,0,0
pc4,fda,0.1,0.7,1,1,0,0,0
pc4,fda,0.1,0.75,1,1,0,0,0
pc4,fda,0.1,0.8,1,1,0,0,0
pc4,fda,0.1,0.9,1,1,0,0,0
pc4,fda,0.1,1,1,1,0,0,0
pc4,fda,0.2,0.1,1,1,0,0,0
pc4,fda,0.2,0.2,1,1,0,0,0
pc4,fda,0.2,0.25,0.999,0.996,0.004,0.002,0.01
pc4,fda,0.2,0.3,0.999,0.996,0.004,0.002,0.01
pc4,fda,0.2,0.4,0.999,0.996,0.004,0.002,0.01
pc4,fda,0.2,0.5,0.999,0.996,0.004,0.002,0.01
pc4,fda,0.2,0.6,0.999,0.996,0.004,0.002,0.01
pc4,fda,0.2,0.7,0.999,0.996,0.004,0.002,0.01
pc4,fda,0.2,0.75,0.999,0.996,0.004,0.002,0.01
pc4,fda,0.2,0.8,0.999,0.996,0.004,0.002,0.01
pc4,fda,0.2,0.9,0.999,0.996,0.004,0.002,0.01
pc4,fda,0.2,1,0.998,0.987,0.013,0.005,0.03
pc4,fda,0.3,0.1,1,1,0,0,0
pc4,fda,0.3,0.2,1,1,0,0,0
pc4,fda,0.3,0.25,1,1,0,0,0
pc4,fda,0.3,0.3,1,1,0,0,0
pc4,fda,0.3,0.4,1,1,0,0,0
pc4,fda,0.3,0.5,1,1,0,0,0
pc4,fda,0.3,0.6,1,1,0,0,0
pc4,fda,0.3,0.7,1,1,0,0,0
pc4,fda,0.3,0.75,1,1,0,0,0
pc4,fda,0.3,0.8,1,1,0,0,0
pc4,fda,0.3,0.9,1,1,0,0,0
pc4,fda,0.3,1,1,1,0,0,0
pc4,gbm,0.1,0.1,0.999,0.992,0.008,0.002,0.019
pc4,gbm,0.1,0.2,0.999,0.992,0.008,0.002,0.019
pc4,gbm,0.1,0.25,0.999,0.987,0.013,0.002,0.019
pc4,gbm,0.1,0.3,0.998,0.981,0.019,0.002,0.018
pc4,gbm,0.1,0.4,0.997,0.976,0.024,0.003,0.023
pc4,gbm,0.1,0.5,0.997,0.971,0.029,0.002,0.019
pc4,gbm,0.1,0.6,0.995,0.961,0.039,0.005,0.037
pc4,gbm,0.1,0.7,0.995,0.956,0.044,0.005,0.037
pc4,gbm,0.1,0.75,0.994,0.95,0.05,0.007,0.047
pc4,gbm,0.1,0.8,0.994,0.95,0.05,0.007,0.047
pc4,gbm,0.1,0.9,0.993,0.945,0.055,0.006,0.045
pc4,gbm,0.1,1,0.993,0.945,0.055,0.006,0.045
pc4,gbm,0.2,0.1,0.998,0.981,0.019,0.003,0.026
pc4,gbm,0.2,0.2,0.997,0.976,0.024,0.003,0.024
pc4,gbm,0.2,0.25,0.997,0.976,0.024,0.003,0.024
pc4,gbm,0.2,0.3,0.996,0.966,0.034,0.006,0.044
pc4,gbm,0.2,0.4,0.995,0.952,0.048,0.005,0.042
pc4,gbm,0.2,0.5,0.993,0.939,0.061,0.006,0.056
pc4,gbm,0.2,0.6,0.992,0.927,0.073,0.006,0.051
pc4,gbm,0.2,0.7,0.99,0.911,0.089,0.007,0.055
pc4,gbm,0.2,0.75,0.989,0.903,0.097,0.007,0.064
pc4,gbm,0.2,0.8,0.989,0.903,0.097,0.007,0.064
pc4,gbm,0.2,0.9,0.988,0.89,0.11,0.005,0.043
pc4,gbm,0.2,1,0.988,0.89,0.11,0.005,0.043
pc4,gbm,0.3,0.1,0.998,0.983,0.017,0.003,0.023
pc4,gbm,0.3,0.2,0.995,0.951,0.049,0.004,0.033
pc4,gbm,0.3,0.25,0.993,0.942,0.058,0.006,0.043
pc4,gbm,0.3,0.3,0.992,0.931,0.069,0.007,0.04
pc4,gbm,0.3,0.4,0.99,0.91,0.09,0.006,0.039
pc4,gbm,0.3,0.5,0.987,0.885,0.115,0.007,0.059
pc4,gbm,0.3,0.6,0.986,0.879,0.121,0.007,0.061
pc4,gbm,0.3,0.7,0.984,0.858,0.142,0.006,0.054
pc4,gbm,0.3,0.75,0.982,0.838,0.162,0.007,0.061
pc4,gbm,0.3,0.8,0.981,0.829,0.171,0.007,0.07
pc4,gbm,0.3,0.9,0.981,0.823,0.177,0.007,0.079
pc4,gbm,0.3,1,0.98,0.818,0.182,0.007,0.076
pc4,gcvEarth,0.1,0.1,1,1,0,0,0
pc4,gcvEarth,0.1,0.2,1,1,0,0,0
pc4,gcvEarth,0.1,0.25,1,1,0,0,0
pc4,gcvEarth,0.1,0.3,1,1,0,0,0
pc4,gcvEarth,0.1,0.4,1,1,0,0,0
pc4,gcvEarth,0.1,0.5,1,1,0,0,0
pc4,gcvEarth,0.1,0.6,1,1,0,0,0
pc4,gcvEarth,0.1,0.7,1,1,0,0,0
pc4,gcvEarth,0.1,0.75,1,1,0,0,0
pc4,gcvEarth,0.1,0.8,1,1,0,0,0
pc4,gcvEarth,0.1,0.9,1,1,0,0,0
pc4,gcvEarth,0.1,1,1,1,0,0,0
pc4,gcvEarth,0.2,0.1,1,1,0,0,0
pc4,gcvEarth,0.2,0.2,1,1,0,0,0
pc4,gcvEarth,0.2,0.25,1,1,0,0,0
pc4,gcvEarth,0.2,0.3,1,1,0,0,0
pc4,gcvEarth,0.2,0.4,1,1,0,0,0
pc4,gcvEarth,0.2,0.5,0.999,0.996,0.004,0.002,0.009
pc4,gcvEarth,0.2,0.6,0.999,0.992,0.008,0.003,0.018
pc4,gcvEarth,0.2,0.7,0.999,0.992,0.008,0.003,0.018
pc4,gcvEarth,0.2,0.75,0.999,0.992,0.008,0.003,0.018
pc4,gcvEarth,0.2,0.8,0.999,0.992,0.008,0.003,0.018
pc4,gcvEarth,0.2,0.9,0.999,0.992,0.008,0.003,0.018
pc4,gcvEarth,0.2,1,0.999,0.992,0.008,0.003,0.018
pc4,gcvEarth,0.3,0.1,1,1,0,0,0
pc4,gcvEarth,0.3,0.2,1,1,0,0,0
pc4,gcvEarth,0.3,0.25,1,1,0,0,0
pc4,gcvEarth,0.3,0.3,1,1,0,0,0
pc4,gcvEarth,0.3,0.4,1,1,0,0,0
pc4,gcvEarth,0.3,0.5,1,1,0,0,0
pc4,gcvEarth,0.3,0.6,1,1,0,0,0
pc4,gcvEarth,0.3,0.7,1,1,0,0,0
pc4,gcvEarth,0.3,0.75,1,1,0,0,0
pc4,gcvEarth,0.3,0.8,1,1,0,0,0
pc4,gcvEarth,0.3,0.9,1,1,0,0,0
pc4,gcvEarth,0.3,1,1,1,0,0,0
pc4,knn,0.1,0.1,0.999,0.995,0.005,0.002,0.012
pc4,knn,0.1,0.2,0.999,0.989,0.011,0.002,0.015
pc4,knn,0.1,0.25,0.999,0.989,0.011,0.002,0.015
pc4,knn,0.1,0.3,0.997,0.977,0.023,0.003,0.023
pc4,knn,0.1,0.4,0.997,0.977,0.023,0.003,0.023
pc4,knn,0.1,0.5,0.996,0.966,0.034,0.002,0.012
pc4,knn,0.1,0.6,0.996,0.966,0.034,0.002,0.012
pc4,knn,0.1,0.7,0.996,0.966,0.034,0.002,0.012
pc4,knn,0.1,0.75,0.996,0.966,0.034,0.002,0.012
pc4,knn,0.1,0.8,0.995,0.955,0.045,0.002,0.015
pc4,knn,0.1,0.9,0.994,0.949,0.051,0.003,0.026
pc4,knn,0.1,1,0.993,0.943,0.057,0.004,0.037
pc4,knn,0.2,0.1,0.999,0.995,0.005,0.002,0.012
pc4,knn,0.2,0.2,0.999,0.989,0.011,0.002,0.015
pc4,knn,0.2,0.25,0.997,0.978,0.022,0.004,0.036
pc4,knn,0.2,0.3,0.996,0.964,0.036,0.004,0.038
pc4,knn,0.2,0.4,0.995,0.959,0.041,0.007,0.06
pc4,knn,0.2,0.5,0.995,0.959,0.041,0.006,0.048
pc4,knn,0.2,0.6,0.995,0.958,0.042,0.006,0.05
pc4,knn,0.2,0.7,0.995,0.953,0.047,0.006,0.05
pc4,knn,0.2,0.75,0.994,0.947,0.053,0.006,0.053
pc4,knn,0.2,0.8,0.993,0.941,0.059,0.006,0.054
pc4,knn,0.2,0.9,0.993,0.941,0.059,0.006,0.054
pc4,knn,0.2,1,0.992,0.935,0.065,0.007,0.056
pc4,knn,0.3,0.1,0.999,0.995,0.005,0.002,0.012
pc4,knn,0.3,0.2,0.997,0.976,0.024,0.003,0.023
pc4,knn,0.3,0.25,0.997,0.971,0.029,0.003,0.028
pc4,knn,0.3,0.3,0.995,0.957,0.043,0.005,0.041
pc4,knn,0.3,0.4,0.995,0.957,0.043,0.005,0.041
pc4,knn,0.3,0.5,0.993,0.94,0.06,0.005,0.047
pc4,knn,0.3,0.6,0.989,0.908,0.092,0.006,0.047
pc4,knn,0.3,0.7,0.986,0.877,0.123,0.007,0.068
pc4,knn,0.3,0.75,0.984,0.865,0.135,0.006,0.058
pc4,knn,0.3,0.8,0.984,0.86,0.14,0.007,0.068
pc4,knn,0.3,0.9,0.982,0.849,0.151,0.009,0.081
pc4,knn,0.3,1,0.982,0.848,0.152,0.011,0.093
pc4,lvq,0.1,0.1,1,1,0,0,0
pc4,lvq,0.1,0.2,1,1,0,0,0
pc4,lvq,0.1,0.25,1,1,0,0,0
pc4,lvq,0.1,0.3,1,1,0,0,0
pc4,lvq,0.1,0.4,1,1,0,0,0
pc4,lvq,0.1,0.5,1,1,0,0,0
pc4,lvq,0.1,0.6,1,1,0,0,0
pc4,lvq,0.1,0.7,1,1,0,0,0
pc4,lvq,0.1,0.75,1,1,0,0,0
pc4,lvq,0.1,0.8,1,1,0,0,0
pc4,lvq,0.1,0.9,1,1,0,0,0
pc4,lvq,0.1,1,1,1,0,0,0
pc4,lvq,0.2,0.1,1,1,0,0,0
pc4,lvq,0.2,0.2,1,1,0,0,0
pc4,lvq,0.2,0.25,1,1,0,0,0
pc4,lvq,0.2,0.3,1,1,0,0,0
pc4,lvq,0.2,0.4,1,1,0,0,0
pc4,lvq,0.2,0.5,1,1,0,0,0
pc4,lvq,0.2,0.6,1,1,0,0,0
pc4,lvq,0.2,0.7,1,1,0,0,0
pc4,lvq,0.2,0.75,1,1,0,0,0
pc4,lvq,0.2,0.8,1,1,0,0,0
pc4,lvq,0.2,0.9,1,1,0,0,0
pc4,lvq,0.2,1,1,1,0,0,0
pc4,lvq,0.3,0.1,1,1,0,0,0
pc4,lvq,0.3,0.2,1,1,0,0,0
pc4,lvq,0.3,0.25,1,1,0,0,0
pc4,lvq,0.3,0.3,1,1,0,0,0
pc4,lvq,0.3,0.4,1,1,0,0,0
pc4,lvq,0.3,0.5,1,1,0,0,0
pc4,lvq,0.3,0.6,1,1,0,0,0
pc4,lvq,0.3,0.7,1,1,0,0,0
pc4,lvq,0.3,0.75,1,1,0,0,0
pc4,lvq,0.3,0.8,1,1,0,0,0
pc4,lvq,0.3,0.9,1,1,0,0,0
pc4,lvq,0.3,1,1,1,0,0,0
pc4,mlpML,0.1,0.1,1,1,0,0,0
pc4,mlpML,0.1,0.2,1,1,0,0,0
pc4,mlpML,0.1,0.25,1,1,0,0,0
pc4,mlpML,0.1,0.3,1,1,0,0,0
pc4,mlpML,0.1,0.4,1,1,0,0,0
pc4,mlpML,0.1,0.5,1,1,0,0,0
pc4,mlpML,0.1,0.6,1,1,0,0,0
pc4,mlpML,0.1,0.7,1,1,0,0,0
pc4,mlpML,0.1,0.75,1,1,0,0,0
pc4,mlpML,0.1,0.8,1,1,0,0,0
pc4,mlpML,0.1,0.9,1,1,0,0,0
pc4,mlpML,0.1,1,1,1,0,0,0
pc4,mlpML,0.2,0.1,1,1,0,0,0
pc4,mlpML,0.2,0.2,1,1,0,0,0
pc4,mlpML,0.2,0.25,1,1,0,0,0
pc4,mlpML,0.2,0.3,1,1,0,0,0
pc4,mlpML,0.2,0.4,1,1,0,0,0
pc4,mlpML,0.2,0.5,1,1,0,0,0
pc4,mlpML,0.2,0.6,1,1,0,0,0
pc4,mlpML,0.2,0.7,1,1,0,0,0
pc4,mlpML,0.2,0.75,1,1,0,0,0
pc4,mlpML,0.2,0.8,1,1,0,0,0
pc4,mlpML,0.2,0.9,1,1,0,0,0
pc4,mlpML,0.2,1,1,1,0,0,0
pc4,mlpML,0.3,0.1,1,1,0,0,0
pc4,mlpML,0.3,0.2,1,1,0,0,0
pc4,mlpML,0.3,0.25,1,1,0,0,0
pc4,mlpML,0.3,0.3,1,1,0,0,0
pc4,mlpML,0.3,0.4,1,1,0,0,0
pc4,mlpML,0.3,0.5,1,1,0,0,0
