dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
phoneme,C5.0,0.1,0.1,0.996,0.992,0.008,0.003,0.006
phoneme,C5.0,0.1,0.2,0.992,0.985,0.015,0.003,0.005
phoneme,C5.0,0.1,0.25,0.991,0.982,0.018,0.003,0.007
phoneme,C5.0,0.1,0.3,0.99,0.98,0.02,0.004,0.008
phoneme,C5.0,0.1,0.4,0.986,0.972,0.028,0.004,0.007
phoneme,C5.0,0.1,0.5,0.985,0.969,0.031,0.004,0.008
phoneme,C5.0,0.1,0.6,0.982,0.963,0.037,0.004,0.008
phoneme,C5.0,0.1,0.7,0.98,0.961,0.039,0.005,0.009
phoneme,C5.0,0.1,0.75,0.979,0.958,0.042,0.004,0.009
phoneme,C5.0,0.1,0.8,0.977,0.954,0.046,0.006,0.012
phoneme,C5.0,0.1,0.9,0.974,0.949,0.051,0.005,0.01
phoneme,C5.0,0.1,1,0.97,0.94,0.06,0.004,0.009
phoneme,C5.0,0.2,0.1,0.997,0.994,0.006,0.001,0.001
phoneme,C5.0,0.2,0.2,0.992,0.984,0.016,0.003,0.006
phoneme,C5.0,0.2,0.25,0.988,0.976,0.024,0.004,0.008
phoneme,C5.0,0.2,0.3,0.985,0.971,0.029,0.005,0.01
phoneme,C5.0,0.2,0.4,0.977,0.954,0.046,0.005,0.01
phoneme,C5.0,0.2,0.5,0.972,0.943,0.057,0.005,0.01
phoneme,C5.0,0.2,0.6,0.968,0.935,0.065,0.008,0.016
phoneme,C5.0,0.2,0.7,0.963,0.927,0.073,0.008,0.017
phoneme,C5.0,0.2,0.75,0.961,0.921,0.079,0.009,0.017
phoneme,C5.0,0.2,0.8,0.96,0.919,0.081,0.008,0.016
phoneme,C5.0,0.2,0.9,0.953,0.905,0.095,0.01,0.021
phoneme,C5.0,0.2,1,0.945,0.889,0.111,0.012,0.024
phoneme,C5.0,0.3,0.1,0.996,0.992,0.008,0.002,0.004
phoneme,C5.0,0.3,0.2,0.991,0.982,0.018,0.002,0.005
phoneme,C5.0,0.3,0.25,0.988,0.976,0.024,0.002,0.004
phoneme,C5.0,0.3,0.3,0.985,0.971,0.029,0.001,0.003
phoneme,C5.0,0.3,0.4,0.98,0.959,0.041,0.006,0.011
phoneme,C5.0,0.3,0.5,0.977,0.953,0.047,0.008,0.015
phoneme,C5.0,0.3,0.6,0.972,0.943,0.057,0.009,0.018
phoneme,C5.0,0.3,0.7,0.965,0.929,0.071,0.011,0.022
phoneme,C5.0,0.3,0.75,0.962,0.923,0.077,0.011,0.021
phoneme,C5.0,0.3,0.8,0.957,0.914,0.086,0.012,0.023
phoneme,C5.0,0.3,0.9,0.951,0.902,0.098,0.015,0.03
