"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","gbm",0.1,0.1,0.998,0.995504486522451
"waveform-5000","Fold_1","gbm",0.1,0.2,0.997,0.99325169382485
"waveform-5000","Fold_1","gbm",0.1,0.25,0.996,0.991008973044901
"waveform-5000","Fold_1","gbm",0.1,0.3,0.993,0.984253952257983
"waveform-5000","Fold_1","gbm",0.1,0.4,0.991,0.979724797923819
"waveform-5000","Fold_1","gbm",0.1,0.5,0.988,0.972986601354272
"waveform-5000","Fold_1","gbm",0.1,0.6,0.985,0.96625846912425
"waveform-5000","Fold_1","gbm",0.1,0.7,0.985,0.96625846912425
"waveform-5000","Fold_1","gbm",0.1,0.75,0.985,0.96625846912425
"waveform-5000","Fold_1","gbm",0.1,0.8,0.984,0.963982135139029
"waveform-5000","Fold_1","gbm",0.1,0.9,0.983,0.961759598340816
"waveform-5000","Fold_1","gbm",0.1,1,0.982,0.959479902031408
"waveform-5000","Fold_1","gbm",0.2,0.1,0.997,0.99325169382485
"waveform-5000","Fold_1","gbm",0.2,0.2,0.994,0.986493239866553
"waveform-5000","Fold_1","gbm",0.2,0.25,0.994,0.986493239866553
"waveform-5000","Fold_1","gbm",0.2,0.3,0.992,0.981990986488738
"waveform-5000","Fold_1","gbm",0.2,0.4,0.991,0.979724615218253
"waveform-5000","Fold_1","gbm",0.2,0.5,0.99,0.977488733110922
"waveform-5000","Fold_1","gbm",0.2,0.6,0.987,0.970757339907683
"waveform-5000","Fold_1","gbm",0.2,0.7,0.984,0.964036053856009
"waveform-5000","Fold_1","gbm",0.2,0.75,0.984,0.964036053856009
"waveform-5000","Fold_1","gbm",0.2,0.8,0.984,0.964036053856009
"waveform-5000","Fold_1","gbm",0.2,0.9,0.984,0.964036053856009
"waveform-5000","Fold_1","gbm",0.2,1,0.981,0.957260727557383
"waveform-5000","Fold_1","gbm",0.3,0.1,0.998,0.995549997997499
"waveform-5000","Fold_1","gbm",0.3,0.2,0.995,0.988898559477078
"waveform-5000","Fold_1","gbm",0.3,0.25,0.995,0.988898559477078
"waveform-5000","Fold_1","gbm",0.3,0.3,0.991,0.98001740705874
"waveform-5000","Fold_1","gbm",0.3,0.4,0.987,0.97117695575441
"waveform-5000","Fold_1","gbm",0.3,0.5,0.979,0.953505260547664
"waveform-5000","Fold_1","gbm",0.3,0.6,0.977,0.949077190123632
"waveform-5000","Fold_1","gbm",0.3,0.7,0.976,0.946825716855805
"waveform-5000","Fold_1","gbm",0.3,0.75,0.975,0.944571068758481
"waveform-5000","Fold_1","gbm",0.3,0.8,0.973,0.940221049275568
"waveform-5000","Fold_1","gbm",0.3,0.9,0.97,0.933532146069756
"waveform-5000","Fold_1","gbm",0.3,1,0.967,0.926730492548713
"waveform-5000","Fold_2","gbm",0.1,0.1,0.997997997997998,0.995254044039051
"waveform-5000","Fold_2","gbm",0.1,0.2,0.997997997997998,0.995254044039051
"waveform-5000","Fold_2","gbm",0.1,0.25,0.997997997997998,0.995254044039051
"waveform-5000","Fold_2","gbm",0.1,0.3,0.996996996996997,0.992887772997268
"waveform-5000","Fold_2","gbm",0.1,0.4,0.996996996996997,0.992887772997268
"waveform-5000","Fold_2","gbm",0.1,0.5,0.995995995995996,0.990508088078102
"waveform-5000","Fold_2","gbm",0.1,0.6,0.994994994994995,0.988123910764088
"waveform-5000","Fold_2","gbm",0.1,0.7,0.994994994994995,0.988123910764088
"waveform-5000","Fold_2","gbm",0.1,0.75,0.993993993993994,0.985762132117152
"waveform-5000","Fold_2","gbm",0.1,0.8,0.992992992992993,0.983373475069723
"waveform-5000","Fold_2","gbm",0.1,0.9,0.992992992992993,0.983373475069723
"waveform-5000","Fold_2","gbm",0.1,1,0.992992992992993,0.983373475069723
"waveform-5000","Fold_2","gbm",0.2,0.1,0.998998998998999,0.997646659740921
"waveform-5000","Fold_2","gbm",0.2,0.2,0.997997997997998,0.995297606439314
"waveform-5000","Fold_2","gbm",0.2,0.25,0.997997997997998,0.995297606439314
"waveform-5000","Fold_2","gbm",0.2,0.3,0.997997997997998,0.995297606439314
"waveform-5000","Fold_2","gbm",0.2,0.4,0.997997997997998,0.995297606439314
"waveform-5000","Fold_2","gbm",0.2,0.5,0.994994994994995,0.988233298704603
"waveform-5000","Fold_2","gbm",0.2,0.6,0.992992992992993,0.983556599580979
"waveform-5000","Fold_2","gbm",0.2,0.7,0.991991991991992,0.981224627875507
"waveform-5000","Fold_2","gbm",0.2,0.75,0.98998998998999,0.976530784844384
"waveform-5000","Fold_2","gbm",0.2,0.8,0.987987987987988,0.97188805875649
"waveform-5000","Fold_2","gbm",0.2,0.9,0.985985985985986,0.967143098782138
"waveform-5000","Fold_2","gbm",0.2,1,0.984984984984985,0.964764141959241
"waveform-5000","Fold_2","gbm",0.3,0.1,0.996996996996997,0.992901014513008
"waveform-5000","Fold_2","gbm",0.3,0.2,0.994994994994995,0.988190456375617
"waveform-5000","Fold_2","gbm",0.3,0.25,0.992992992992993,0.983497461964871
"waveform-5000","Fold_2","gbm",0.3,0.3,0.991991991991992,0.981157520488131
"waveform-5000","Fold_2","gbm",0.3,0.4,0.98998998998999,0.976446900610164
"waveform-5000","Fold_2","gbm",0.3,0.5,0.984984984984985,0.96457136912685
"waveform-5000","Fold_2","gbm",0.3,0.6,0.983983983983984,0.962244719599016
"waveform-5000","Fold_2","gbm",0.3,0.7,0.980980980980981,0.955039758582382
"waveform-5000","Fold_2","gbm",0.3,0.75,0.97997997997998,0.952717669108877
"waveform-5000","Fold_2","gbm",0.3,0.8,0.975975975975976,0.943367079398523
"waveform-5000","Fold_2","gbm",0.3,0.9,0.971971971971972,0.93405132170846
"waveform-5000","Fold_2","gbm",0.3,1,0.96996996996997,0.929340701830493
"waveform-5000","Fold_3","gbm",0.1,0.1,0.997,0.993178655558486
"waveform-5000","Fold_3","gbm",0.1,0.2,0.995,0.988631092597477
"waveform-5000","Fold_3","gbm",0.1,0.25,0.995,0.988631092597477
"waveform-5000","Fold_3","gbm",0.1,0.3,0.995,0.988631092597477
"waveform-5000","Fold_3","gbm",0.1,0.4,0.995,0.988631092597477
"waveform-5000","Fold_3","gbm",0.1,0.5,0.994,0.986346507436602
"waveform-5000","Fold_3","gbm",0.1,0.6,0.992,0.981795343248803
"waveform-5000","Fold_3","gbm",0.1,0.7,0.991,0.979535966675459
"waveform-5000","Fold_3","gbm",0.1,0.75,0.991,0.979535966675459
"waveform-5000","Fold_3","gbm",0.1,0.8,0.99,0.977244179061004
"waveform-5000","Fold_3","gbm",0.1,0.9,0.988,0.972649697323317
"waveform-5000","Fold_3","gbm",0.1,1,0.986,0.96809131354387
"waveform-5000","Fold_3","gbm",0.2,0.1,0.999,0.997707872997827
"waveform-5000","Fold_3","gbm",0.2,0.2,0.998,0.995419504665235
"waveform-5000","Fold_3","gbm",0.2,0.25,0.998,0.995419504665235
"waveform-5000","Fold_3","gbm",0.2,0.3,0.998,0.995419504665235
"waveform-5000","Fold_3","gbm",0.2,0.4,0.997,0.993134885764499
"waveform-5000","Fold_3","gbm",0.2,0.5,0.995,0.988558142940832
"waveform-5000","Fold_3","gbm",0.2,0.6,0.995,0.988558142940832
"waveform-5000","Fold_3","gbm",0.2,0.7,0.994,0.986258513995704
"waveform-5000","Fold_3","gbm",0.2,0.75,0.991,0.979370856980444
"waveform-5000","Fold_3","gbm",0.2,0.8,0.99,0.977097523326173
"waveform-5000","Fold_3","gbm",0.2,0.9,0.99,0.977097523326173
"waveform-5000","Fold_3","gbm",0.2,1,0.989,0.974786602976098
"waveform-5000","Fold_3","gbm",0.3,0.1,0.997,0.993066148939121
