"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","knn",0.1,0.1,0.997,0.993189371787654
"waveform-5000","Fold_1","knn",0.1,0.2,1,1
"waveform-5000","Fold_1","knn",0.1,0.25,0.999,0.997729790595885
"waveform-5000","Fold_1","knn",0.1,0.3,0.998,0.995463144857248
"waveform-5000","Fold_1","knn",0.1,0.4,0.999,0.997729790595885
"waveform-5000","Fold_1","knn",0.1,0.5,0.997,0.993199992746659
"waveform-5000","Fold_1","knn",0.1,0.6,0.995,0.988684198614946
"waveform-5000","Fold_1","knn",0.1,0.7,0.996,0.990954360224513
"waveform-5000","Fold_1","knn",0.1,0.75,0.993,0.984182649722518
"waveform-5000","Fold_1","knn",0.1,0.8,0.995,0.988701892658942
"waveform-5000","Fold_1","knn",0.1,0.9,0.993,0.984206773940275
"waveform-5000","Fold_1","knn",0.1,1,0.991,0.979694973377854
"waveform-5000","Fold_1","knn",0.2,0.1,0.999,0.997729790595885
"waveform-5000","Fold_1","knn",0.2,0.2,1,1
"waveform-5000","Fold_1","knn",0.2,0.25,0.997,0.993199992746659
"waveform-5000","Fold_1","knn",0.2,0.3,0.996,0.9909262485482
"waveform-5000","Fold_1","knn",0.2,0.4,0.994,0.986410581627106
"waveform-5000","Fold_1","knn",0.2,0.5,0.993,0.984133316408871
"waveform-5000","Fold_1","knn",0.2,0.6,0.991,0.979663406786095
"waveform-5000","Fold_1","knn",0.2,0.7,0.991,0.979663039155429
"waveform-5000","Fold_1","knn",0.2,0.75,0.99,0.977386207395615
"waveform-5000","Fold_1","knn",0.2,0.8,0.989,0.975105913024586
"waveform-5000","Fold_1","knn",0.2,0.9,0.985,0.96615737272916
"waveform-5000","Fold_1","knn",0.2,1,0.984,0.963929030367248
"waveform-5000","Fold_1","knn",0.3,0.1,0.998,0.9954631242741
"waveform-5000","Fold_1","knn",0.3,0.2,0.998,0.995456011923425
"waveform-5000","Fold_1","knn",0.3,0.25,0.998,0.9954631242741
"waveform-5000","Fold_1","knn",0.3,0.3,0.995,0.988631195998181
"waveform-5000","Fold_1","knn",0.3,0.4,0.994,0.986325035668865
"waveform-5000","Fold_1","knn",0.3,0.5,0.993,0.984058736723205
"waveform-5000","Fold_1","knn",0.3,0.6,0.992,0.98176712978157
"waveform-5000","Fold_1","knn",0.3,0.7,0.989,0.974949443422179
"waveform-5000","Fold_1","knn",0.3,0.75,0.986,0.96819222799811
"waveform-5000","Fold_1","knn",0.3,0.8,0.985,0.965947168166505
"waveform-5000","Fold_1","knn",0.3,0.9,0.981,0.956933287395507
"waveform-5000","Fold_1","knn",0.3,1,0.981,0.956933287395507
"waveform-5000","Fold_2","knn",0.1,0.1,0.997997997997998,0.995379150207684
"waveform-5000","Fold_2","knn",0.1,0.2,0.997997997997998,0.995379171581211
"waveform-5000","Fold_2","knn",0.1,0.25,0.996996996996997,0.993062869337975
"waveform-5000","Fold_2","knn",0.1,0.3,0.996996996996997,0.993062869337975
"waveform-5000","Fold_2","knn",0.1,0.4,0.995995995995996,0.990742671281431
"waveform-5000","Fold_2","knn",0.1,0.5,0.994994994994995,0.988438115563292
"waveform-5000","Fold_2","knn",0.1,0.6,0.993993993993994,0.986137450623052
"waveform-5000","Fold_2","knn",0.1,0.7,0.991991991991992,0.981516600830735
"waveform-5000","Fold_2","knn",0.1,0.75,0.991991991991992,0.981516600830735
"waveform-5000","Fold_2","knn",0.1,0.8,0.990990990990991,0.97915318962459
"waveform-5000","Fold_2","knn",0.1,0.9,0.988988988988989,0.97452080140415
"waveform-5000","Fold_2","knn",0.1,1,0.987987987987988,0.972274901246103
"waveform-5000","Fold_2","knn",0.2,0.1,0.997997997997998,0.995371314194637
"waveform-5000","Fold_2","knn",0.2,0.2,0.997997997997998,0.995371314194637
"waveform-5000","Fold_2","knn",0.2,0.25,0.996996996996997,0.993062869337975
"waveform-5000","Fold_2","knn",0.2,0.3,0.996996996996997,0.993062869337975
"waveform-5000","Fold_2","knn",0.2,0.4,0.993993993993994,0.986114006922147
"waveform-5000","Fold_2","knn",0.2,0.5,0.990990990990991,0.979188608013925
"waveform-5000","Fold_2","knn",0.2,0.6,0.990990990990991,0.97915318962459
"waveform-5000","Fold_2","knn",0.2,0.7,0.988988988988989,0.974563854239242
"waveform-5000","Fold_2","knn",0.2,0.75,0.987987987987988,0.972275029487269
"waveform-5000","Fold_2","knn",0.2,0.8,0.987987987987988,0.972275029487269
"waveform-5000","Fold_2","knn",0.2,0.9,0.983983983983984,0.963095507459861
"waveform-5000","Fold_2","knn",0.2,1,0.982982982982983,0.960755904638443
"waveform-5000","Fold_2","knn",0.3,0.1,0.997997997997998,0.995379150207684
"waveform-5000","Fold_2","knn",0.3,0.2,0.998998998998999,0.997691523802261
"waveform-5000","Fold_2","knn",0.3,0.25,0.995995995995996,0.990758300415368
"waveform-5000","Fold_2","knn",0.3,0.3,0.996996996996997,0.993062869337975
"waveform-5000","Fold_2","knn",0.3,0.4,0.994994994994995,0.988438115563292
"waveform-5000","Fold_2","knn",0.3,0.5,0.98998998998999,0.976895751038419
"waveform-5000","Fold_2","knn",0.3,0.6,0.98998998998999,0.976895751038419
"waveform-5000","Fold_2","knn",0.3,0.7,0.987987987987988,0.972321630594896
"waveform-5000","Fold_2","knn",0.3,0.75,0.985985985985986,0.967708569027378
"waveform-5000","Fold_2","knn",0.3,0.8,0.985985985985986,0.967708569027378
"waveform-5000","Fold_2","knn",0.3,0.9,0.982982982982983,0.960755904638443
"waveform-5000","Fold_2","knn",0.3,1,0.982982982982983,0.960755904638443
"waveform-5000","Fold_3","knn",0.1,0.1,0.999,0.997692598779846
"waveform-5000","Fold_3","knn",0.1,0.2,0.999,0.997696468225083
"waveform-5000","Fold_3","knn",0.1,0.25,0.997,0.993077860228154
"waveform-5000","Fold_3","knn",0.1,0.3,0.999,0.997692598779846
"waveform-5000","Fold_3","knn",0.1,0.4,0.996,0.990778140504251
"waveform-5000","Fold_3","knn",0.1,0.5,0.994,0.986167274538102
"waveform-5000","Fold_3","knn",0.1,0.6,0.995,0.988482341125413
"waveform-5000","Fold_3","knn",0.1,0.7,0.994,0.986143891072509
"waveform-5000","Fold_3","knn",0.1,0.75,0.994,0.986143955069465
"waveform-5000","Fold_3","knn",0.1,0.8,0.993,0.983848191458924
"waveform-5000","Fold_3","knn",0.1,0.9,0.993,0.983848191458924
"waveform-5000","Fold_3","knn",0.1,1,0.993,0.983875277575579
"waveform-5000","Fold_3","knn",0.2,0.1,0.998,0.99538129702417
"waveform-5000","Fold_3","knn",0.2,0.2,0.996,0.990762764704524
"waveform-5000","Fold_3","knn",0.2,0.25,0.996,0.990746952277406
"waveform-5000","Fold_3","knn",0.2,0.3,0.995,0.988443795242542
"waveform-5000","Fold_3","knn",0.2,0.4,0.996,0.990762636712977
"waveform-5000","Fold_3","knn",0.2,0.5,0.994,0.986143955069465
"waveform-5000","Fold_3","knn",0.2,0.6,0.993,0.983820864612995
"waveform-5000","Fold_3","knn",0.2,0.7,0.993,0.983821014191282
"waveform-5000","Fold_3","knn",0.2,0.75,0.992,0.981494589480599
"waveform-5000","Fold_3","knn",0.2,0.8,0.991,0.979163386829408
"waveform-5000","Fold_3","knn",0.2,0.9,0.991,0.979163386829408
"waveform-5000","Fold_3","knn",0.2,1,0.992,0.981462514887918
"waveform-5000","Fold_3","knn",0.3,0.1,0.997,0.993077796339539
"waveform-5000","Fold_3","knn",0.3,0.2,0.995,0.988462993899231
"waveform-5000","Fold_3","knn",0.3,0.25,0.995,0.988462993899231
"waveform-5000","Fold_3","knn",0.3,0.3,0.993,0.983848191458924
"waveform-5000","Fold_3","knn",0.3,0.4,0.991,0.979268405049295
"waveform-5000","Fold_3","knn",0.3,0.5,0.992,0.981556281008503
"waveform-5000","Fold_3","knn",0.3,0.6,0.991,0.979233389018616
"waveform-5000","Fold_3","knn",0.3,0.7,0.991,0.979233389018616
"waveform-5000","Fold_3","knn",0.3,0.75,0.99,0.976983874902757
"waveform-5000","Fold_3","knn",0.3,0.8,0.989,0.97466115047591
"waveform-5000","Fold_3","knn",0.3,0.9,0.988,0.972334549076204
"waveform-5000","Fold_3","knn",0.3,1,0.986,0.967723491764879
"waveform-5000","Fold_4","knn",0.1,0.1,0.999000999000999,0.997631290627152
"waveform-5000","Fold_4","knn",0.1,0.2,0.997002997002997,0.992907131368052
"waveform-5000","Fold_4","knn",0.1,0.25,0.998001998001998,0.995275828381841
"waveform-5000","Fold_4","knn",0.1,0.3,0.998001998001998,0.995267027589305
"waveform-5000","Fold_4","knn",0.1,0.4,0.998001998001998,0.995275806086234
"waveform-5000","Fold_4","knn",0.1,0.5,0.997002997002997,0.992907131368052
"waveform-5000","Fold_4","knn",0.1,0.6,0.995004995004995,0.988178663964647
"waveform-5000","Fold_4","knn",0.1,0.7,0.995004995004995,0.988200569107416
"waveform-5000","Fold_4","knn",0.1,0.75,0.994005994005994,0.985827485145524
"waveform-5000","Fold_4","knn",0.1,0.8,0.994005994005994,0.985827485145524
"waveform-5000","Fold_4","knn",0.1,0.9,0.996003996003996,0.990569237436641
"waveform-5000","Fold_4","knn",0.1,1,0.993006993006993,0.983480796750383
"waveform-5000","Fold_4","knn",0.2,0.1,0.999000999000999,0.997626831737392
"waveform-5000","Fold_4","knn",0.2,0.2,0.994005994005994,0.985801082767914
"waveform-5000","Fold_4","knn",0.2,0.25,0.995004995004995,0.988178552280087
"waveform-5000","Fold_4","knn",0.2,0.3,0.994005994005994,0.985801082767914
"waveform-5000","Fold_4","knn",0.2,0.4,0.991008991008991,0.978721394104156
"waveform-5000","Fold_4","knn",0.2,0.5,0.989010989010989,0.973944196898671
