"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","multinom",0.1,0.1,0.998,0.995659722222222
"waveform-5000","Fold_1","multinom",0.1,0.2,0.998,0.995659722222222
"waveform-5000","Fold_1","multinom",0.1,0.25,0.998,0.995659722222222
"waveform-5000","Fold_1","multinom",0.1,0.3,0.998,0.995659722222222
"waveform-5000","Fold_1","multinom",0.1,0.4,0.996,0.991319444444444
"waveform-5000","Fold_1","multinom",0.1,0.5,0.996,0.991319444444444
"waveform-5000","Fold_1","multinom",0.1,0.6,0.995,0.989142708242856
"waveform-5000","Fold_1","multinom",0.1,0.7,0.992,0.982638888888889
"waveform-5000","Fold_1","multinom",0.1,0.75,0.992,0.982638888888889
"waveform-5000","Fold_1","multinom",0.1,0.8,0.991,0.980456874837141
"waveform-5000","Fold_1","multinom",0.1,0.9,0.988,0.973958333333333
"waveform-5000","Fold_1","multinom",0.1,1,0.987,0.971805326624447
"waveform-5000","Fold_1","multinom",0.2,0.1,1,1
"waveform-5000","Fold_1","multinom",0.2,0.2,0.997,0.993493536913334
"waveform-5000","Fold_1","multinom",0.2,0.25,0.996,0.991319444444444
"waveform-5000","Fold_1","multinom",0.2,0.3,0.995,0.989155894855557
"waveform-5000","Fold_1","multinom",0.2,0.4,0.995,0.989155894855557
"waveform-5000","Fold_1","multinom",0.2,0.5,0.995,0.989155894855557
"waveform-5000","Fold_1","multinom",0.2,0.6,0.994,0.986979166666667
"waveform-5000","Fold_1","multinom",0.2,0.7,0.991,0.980456874837141
"waveform-5000","Fold_1","multinom",0.2,0.75,0.991,0.980456874837141
"waveform-5000","Fold_1","multinom",0.2,0.8,0.988,0.9739266469668
"waveform-5000","Fold_1","multinom",0.2,0.9,0.983,0.962995211144972
"waveform-5000","Fold_1","multinom",0.2,1,0.983,0.962995211144972
"waveform-5000","Fold_1","multinom",0.3,0.1,0.995,0.989142708242856
"waveform-5000","Fold_1","multinom",0.3,0.2,0.995,0.989142708242856
"waveform-5000","Fold_1","multinom",0.3,0.25,0.995,0.989142708242856
"waveform-5000","Fold_1","multinom",0.3,0.3,0.994,0.9869633234834
"waveform-5000","Fold_1","multinom",0.3,0.4,0.992,0.982596588931431
"waveform-5000","Fold_1","multinom",0.3,0.5,0.989,0.976026501612763
"waveform-5000","Fold_1","multinom",0.3,0.6,0.987,0.971633062756393
"waveform-5000","Fold_1","multinom",0.3,0.7,0.981,0.958692060179146
"waveform-5000","Fold_1","multinom",0.3,0.75,0.98,0.956491472328576
"waveform-5000","Fold_1","multinom",0.3,0.8,0.978,0.952140619561434
"waveform-5000","Fold_1","multinom",0.3,0.9,0.975,0.945581192860252
"waveform-5000","Fold_1","multinom",0.3,1,0.97,0.934895833333333
"waveform-5000","Fold_2","multinom",0.1,0.1,1,1
"waveform-5000","Fold_2","multinom",0.1,0.2,1,1
"waveform-5000","Fold_2","multinom",0.1,0.25,1,1
"waveform-5000","Fold_2","multinom",0.1,0.3,1,1
"waveform-5000","Fold_2","multinom",0.1,0.4,0.998998998998999,0.997778533832329
"waveform-5000","Fold_2","multinom",0.1,0.5,0.997997997997998,0.995560177592896
"waveform-5000","Fold_2","multinom",0.1,0.6,0.997997997997998,0.995560177592896
"waveform-5000","Fold_2","multinom",0.1,0.7,0.997997997997998,0.995560177592896
"waveform-5000","Fold_2","multinom",0.1,0.75,0.997997997997998,0.995560177592896
"waveform-5000","Fold_2","multinom",0.1,0.8,0.997997997997998,0.995560177592896
"waveform-5000","Fold_2","multinom",0.1,0.9,0.996996996996997,0.993335601496988
"waveform-5000","Fold_2","multinom",0.1,1,0.995995995995996,0.991120355185793
"waveform-5000","Fold_2","multinom",0.2,0.1,0.998998998998999,0.997775417359761
"waveform-5000","Fold_2","multinom",0.2,0.2,0.996996996996997,0.993335601496988
"waveform-5000","Fold_2","multinom",0.2,0.25,0.995995995995996,0.991107906753184
"waveform-5000","Fold_2","multinom",0.2,0.3,0.992992992992993,0.984406044915407
"waveform-5000","Fold_2","multinom",0.2,0.4,0.992992992992993,0.984406044915407
"waveform-5000","Fold_2","multinom",0.2,0.5,0.98998998998999,0.977707262210797
"waveform-5000","Fold_2","multinom",0.2,0.6,0.986986986986987,0.971080425676894
"waveform-5000","Fold_2","multinom",0.2,0.7,0.985985985985986,0.968877673636145
"waveform-5000","Fold_2","multinom",0.2,0.75,0.983983983983984,0.964431627012737
"waveform-5000","Fold_2","multinom",0.2,0.8,0.981981981981982,0.959929405158237
"waveform-5000","Fold_2","multinom",0.2,0.9,0.977977977977978,0.951024828526734
"waveform-5000","Fold_2","multinom",0.2,1,0.976976976976977,0.948762719007767
"waveform-5000","Fold_2","multinom",0.3,0.1,0.996996996996997,0.993335601496988
"waveform-5000","Fold_2","multinom",0.3,0.2,0.995995995995996,0.991120355185793
"waveform-5000","Fold_2","multinom",0.3,0.25,0.994994994994995,0.988892669161647
"waveform-5000","Fold_2","multinom",0.3,0.3,0.991991991991992,0.982190846736994
"waveform-5000","Fold_2","multinom",0.3,0.4,0.991991991991992,0.982190846736994
"waveform-5000","Fold_2","multinom",0.3,0.5,0.987987987987988,0.973361065557378
"waveform-5000","Fold_2","multinom",0.3,0.6,0.980980980980981,0.957968790481695
"waveform-5000","Fold_2","multinom",0.3,0.7,0.97997997997998,0.95572573890152
"waveform-5000","Fold_2","multinom",0.3,0.75,0.976976976976977,0.949049035064961
"waveform-5000","Fold_2","multinom",0.3,0.8,0.973973973973974,0.942362997283911
"waveform-5000","Fold_2","multinom",0.3,0.9,0.968968968968969,0.931134548802209
"waveform-5000","Fold_2","multinom",0.3,1,0.967967967967968,0.928863254025475
"waveform-5000","Fold_3","multinom",0.1,0.1,1,1
"waveform-5000","Fold_3","multinom",0.1,0.2,0.998,0.995615881032548
"waveform-5000","Fold_3","multinom",0.1,0.25,0.996,0.991220368744513
"waveform-5000","Fold_3","multinom",0.1,0.3,0.996,0.991220368744513
"waveform-5000","Fold_3","multinom",0.1,0.4,0.995,0.98903258637935
"waveform-5000","Fold_3","multinom",0.1,0.5,0.993,0.98464562093109
"waveform-5000","Fold_3","multinom",0.1,0.6,0.991,0.980284257198437
"waveform-5000","Fold_3","multinom",0.1,0.7,0.989,0.975934190951256
"waveform-5000","Fold_3","multinom",0.1,0.75,0.988,0.973729377561386
"waveform-5000","Fold_3","multinom",0.1,0.8,0.988,0.973729377561386
"waveform-5000","Fold_3","multinom",0.1,0.9,0.986,0.969350940488283
"waveform-5000","Fold_3","multinom",0.1,1,0.985,0.967140428664061
"waveform-5000","Fold_3","multinom",0.2,0.1,1,1
"waveform-5000","Fold_3","multinom",0.2,0.2,0.998,0.995615881032548
"waveform-5000","Fold_3","multinom",0.2,0.25,0.998,0.995615881032548
"waveform-5000","Fold_3","multinom",0.2,0.3,0.997,0.99341955182761
"waveform-5000","Fold_3","multinom",0.2,0.4,0.995,0.989046809554687
"waveform-5000","Fold_3","multinom",0.2,0.5,0.994,0.986847643097643
"waveform-5000","Fold_3","multinom",0.2,0.6,0.992,0.98248625170759
"waveform-5000","Fold_3","multinom",0.2,0.7,0.989,0.975902981020312
"waveform-5000","Fold_3","multinom",0.2,0.75,0.987,0.971521704842186
"waveform-5000","Fold_3","multinom",0.2,0.8,0.985,0.967140428664061
"waveform-5000","Fold_3","multinom",0.2,0.9,0.984,0.964972503415181
"waveform-5000","Fold_3","multinom",0.2,1,0.982,0.960594066342078
"waveform-5000","Fold_3","multinom",0.3,0.1,0.998,0.995610184372256
"waveform-5000","Fold_3","multinom",0.3,0.2,0.995,0.98903258637935
"waveform-5000","Fold_3","multinom",0.3,0.25,0.993,0.98464562093109
"waveform-5000","Fold_3","multinom",0.3,0.3,0.993,0.98464562093109
"waveform-5000","Fold_3","multinom",0.3,0.4,0.99,0.978050921861282
"waveform-5000","Fold_3","multinom",0.3,0.5,0.987,0.971410475201886
"waveform-5000","Fold_3","multinom",0.3,0.6,0.985,0.967054978651626
"waveform-5000","Fold_3","multinom",0.3,0.7,0.983,0.96266230913851
"waveform-5000","Fold_3","multinom",0.3,0.75,0.983,0.96266230913851
"waveform-5000","Fold_3","multinom",0.3,0.8,0.981,0.958215309910449
"waveform-5000","Fold_3","multinom",0.3,0.9,0.977,0.949418533049491
"waveform-5000","Fold_3","multinom",0.3,1,0.975,0.944948471769576
"waveform-5000","Fold_4","multinom",0.1,0.1,0.997002997002997,0.993633921889939
"waveform-5000","Fold_4","multinom",0.1,0.2,0.997002997002997,0.993633921889939
"waveform-5000","Fold_4","multinom",0.1,0.25,0.997002997002997,0.993633921889939
"waveform-5000","Fold_4","multinom",0.1,0.3,0.997002997002997,0.993633921889939
