"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","simpls",0.1,0.1,1,1
"waveform-5000","Fold_1","simpls",0.1,0.2,0.999,0.997953336062219
"waveform-5000","Fold_1","simpls",0.1,0.25,0.997,0.993856185592346
"waveform-5000","Fold_1","simpls",0.1,0.3,0.996,0.991810796645702
"waveform-5000","Fold_1","simpls",0.1,0.4,0.996,0.991810796645702
"waveform-5000","Fold_1","simpls",0.1,0.5,0.994,0.987708545019502
"waveform-5000","Fold_1","simpls",0.1,0.6,0.992,0.983611393359337
"waveform-5000","Fold_1","simpls",0.1,0.7,0.991,0.981557074706143
"waveform-5000","Fold_1","simpls",0.1,0.75,0.991,0.981557074706143
"waveform-5000","Fold_1","simpls",0.1,0.8,0.99,0.979514241699171
"waveform-5000","Fold_1","simpls",0.1,0.9,0.99,0.979514241699171
"waveform-5000","Fold_1","simpls",0.1,1,0.989,0.977472680505267
"waveform-5000","Fold_1","simpls",0.2,0.1,0.999,0.997953336062219
"waveform-5000","Fold_1","simpls",0.2,0.2,0.997,0.993860008186656
"waveform-5000","Fold_1","simpls",0.2,0.25,0.995,0.989760309320576
"waveform-5000","Fold_1","simpls",0.2,0.3,0.995,0.989760309320576
"waveform-5000","Fold_1","simpls",0.2,0.4,0.992,0.983611393359337
"waveform-5000","Fold_1","simpls",0.2,0.5,0.99,0.979514241699171
"waveform-5000","Fold_1","simpls",0.2,0.6,0.988,0.975417090039005
"waveform-5000","Fold_1","simpls",0.2,0.7,0.985,0.969261791176904
"waveform-5000","Fold_1","simpls",0.2,0.75,0.985,0.969261791176904
"waveform-5000","Fold_1","simpls",0.2,0.8,0.984,0.967222786718673
"waveform-5000","Fold_1","simpls",0.2,0.9,0.983,0.965163363333825
"waveform-5000","Fold_1","simpls",0.2,1,0.978,0.954959381551363
"waveform-5000","Fold_1","simpls",0.3,0.1,0.998,0.995902848339834
"waveform-5000","Fold_1","simpls",0.3,0.2,0.994,0.987708545019502
"waveform-5000","Fold_1","simpls",0.3,0.25,0.99,0.979501475893736
"waveform-5000","Fold_1","simpls",0.3,0.3,0.988,0.975386433001871
"waveform-5000","Fold_1","simpls",0.3,0.4,0.986,0.971284171835516
"waveform-5000","Fold_1","simpls",0.3,0.5,0.984,0.967181910669161
"waveform-5000","Fold_1","simpls",0.3,0.6,0.981,0.961040665343416
"waveform-5000","Fold_1","simpls",0.3,0.7,0.98,0.958977388336451
"waveform-5000","Fold_1","simpls",0.3,0.75,0.978,0.954903246966218
"waveform-5000","Fold_1","simpls",0.3,0.8,0.977,0.952838700152557
"waveform-5000","Fold_1","simpls",0.3,0.9,0.975,0.948705743315332
"waveform-5000","Fold_1","simpls",0.3,1,0.972,0.942568343671031
"waveform-5000","Fold_2","simpls",0.1,0.1,0.998998998998999,0.997909092621546
"waveform-5000","Fold_2","simpls",0.1,0.2,0.997997997997998,0.995816390202229
"waveform-5000","Fold_2","simpls",0.1,0.25,0.997997997997998,0.995816390202229
"waveform-5000","Fold_2","simpls",0.1,0.3,0.996996996996997,0.993727277864637
"waveform-5000","Fold_2","simpls",0.1,0.4,0.994994994994995,0.989545463107729
"waveform-5000","Fold_2","simpls",0.1,0.5,0.992992992992993,0.985376197476751
"waveform-5000","Fold_2","simpls",0.1,0.6,0.990990990990991,0.981181833593912
"waveform-5000","Fold_2","simpls",0.1,0.7,0.990990990990991,0.981181833593912
"waveform-5000","Fold_2","simpls",0.1,0.75,0.98998998998999,0.979081951011144
"waveform-5000","Fold_2","simpls",0.1,0.8,0.98998998998999,0.979081951011144
"waveform-5000","Fold_2","simpls",0.1,0.9,0.987987987987988,0.974898341213373
