"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","fda",0.1,0.1,0.993801652892562,0.946699948608766
"wilt","Fold_1","fda",0.1,0.2,0.991735537190083,0.928933264811688
"wilt","Fold_1","fda",0.1,0.25,0.989669421487603,0.912534335694665
"wilt","Fold_1","fda",0.1,0.3,0.986570247933884,0.887163301172841
"wilt","Fold_1","fda",0.1,0.4,0.984504132231405,0.87176316812096
"wilt","Fold_1","fda",0.1,0.5,0.983471074380165,0.864235624123423
"wilt","Fold_1","fda",0.1,0.6,0.977272727272727,0.818738935040174
"wilt","Fold_1","fda",0.1,0.7,0.973140495867769,0.785782377774752
"wilt","Fold_1","fda",0.1,0.75,0.971074380165289,0.772602188066313
"wilt","Fold_1","fda",0.1,0.8,0.971074380165289,0.772602188066313
"wilt","Fold_1","fda",0.1,0.9,0.96900826446281,0.759793541556379
"wilt","Fold_1","fda",0.1,1,0.965909090909091,0.741243560250138
"wilt","Fold_1","fda",0.2,0.1,0.986570247933884,0.89050917064003
"wilt","Fold_1","fda",0.2,0.2,0.977272727272727,0.821330290623532
"wilt","Fold_1","fda",0.2,0.25,0.97004132231405,0.775703921505961
"wilt","Fold_1","fda",0.2,0.3,0.966942148760331,0.75080447934097
"wilt","Fold_1","fda",0.2,0.4,0.961776859504132,0.721415015089761
"wilt","Fold_1","fda",0.2,0.5,0.955578512396694,0.684599763586215
"wilt","Fold_1","fda",0.2,0.6,0.948347107438017,0.64911263194525
"wilt","Fold_1","fda",0.2,0.7,0.93801652892562,0.59398243946088
"wilt","Fold_1","fda",0.2,0.75,0.93698347107438,0.589659485753996
"wilt","Fold_1","fda",0.2,0.8,0.928719008264463,0.551767642874399
"wilt","Fold_1","fda",0.2,0.9,0.921487603305785,0.514620500369471
"wilt","Fold_1","fda",0.2,1,0.911157024793388,0.474391352661885
"wilt","Fold_1","fda",0.3,0.1,0.982438016528926,0.858911485304709
"wilt","Fold_1","fda",0.3,0.2,0.963842975206612,0.732933942929213
"wilt","Fold_1","fda",0.3,0.25,0.954545454545455,0.683396764985728
"wilt","Fold_1","fda",0.3,0.3,0.947314049586777,0.644292013718765
"wilt","Fold_1","fda",0.3,0.4,0.928719008264463,0.566634657807999
"wilt","Fold_1","fda",0.3,0.5,0.915289256198347,0.519515738498789
"wilt","Fold_1","fda",0.3,0.6,0.893595041322314,0.445114757017876
"wilt","Fold_1","fda",0.3,0.7,0.87603305785124,0.385578876100203
"wilt","Fold_1","fda",0.3,0.75,0.866735537190083,0.365242675016775
