"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","rfRules",0.1,0.1,1,1
"wilt","Fold_1","rfRules",0.1,0.2,0.996900826446281,0.960410077434835
"wilt","Fold_1","rfRules",0.1,0.25,0.994834710743802,0.934016795724725
"wilt","Fold_1","rfRules",0.1,0.3,0.994834710743802,0.934016795724725
"wilt","Fold_1","rfRules",0.1,0.4,0.994834710743802,0.934016795724725
"wilt","Fold_1","rfRules",0.1,0.5,0.994834710743802,0.934016795724725
"wilt","Fold_1","rfRules",0.1,0.6,0.992768595041322,0.907623514014614
"wilt","Fold_1","rfRules",0.1,0.7,0.989669421487603,0.869615581476792
"wilt","Fold_1","rfRules",0.1,0.75,0.988636363636364,0.858276100729383
"wilt","Fold_1","rfRules",0.1,0.8,0.986570247933884,0.832508119043816
"wilt","Fold_1","rfRules",0.1,0.9,0.985537190082645,0.817461814067509
"wilt","Fold_1","rfRules",0.1,1,0.984504132231405,0.802050387174174
"wilt","Fold_1","rfRules",0.2,0.1,1,1
"wilt","Fold_1","rfRules",0.2,0.2,1,1
"wilt","Fold_1","rfRules",0.2,0.25,0.99896694214876,0.983073372036092
"wilt","Fold_1","rfRules",0.2,0.3,0.997933884297521,0.965600568585642
"wilt","Fold_1","rfRules",0.2,0.4,0.997933884297521,0.965600568585642
"wilt","Fold_1","rfRules",0.2,0.5,0.996900826446281,0.949220116108274
"wilt","Fold_1","rfRules",0.2,0.6,0.994834710743802,0.915366860180458
"wilt","Fold_1","rfRules",0.2,0.7,0.993801652892562,0.900027540622417
"wilt","Fold_1","rfRules",0.2,0.75,0.989669421487603,0.83842969688877
"wilt","Fold_1","rfRules",0.2,0.8,0.988636363636364,0.819537658463833
"wilt","Fold_1","rfRules",0.2,0.9,0.986570247933884,0.786726323639075
"wilt","Fold_1","rfRules",0.2,1,0.984504132231405,0.761262742518909
"wilt","Fold_1","rfRules",0.3,0.1,0.996900826446281,0.962238635181525
"wilt","Fold_1","rfRules",0.3,0.2,0.990702479338843,0.894055842007977
"wilt","Fold_1","rfRules",0.3,0.25,0.986570247933884,0.853305977804719
"wilt","Fold_1","rfRules",0.3,0.3,0.983471074380165,0.821303304412037
"wilt","Fold_1","rfRules",0.3,0.4,0.977272727272727,0.75429204356655
"wilt","Fold_1","rfRules",0.3,0.5,0.973140495867769,0.721049831530413
"wilt","Fold_1","rfRules",0.3,0.6,0.971074380165289,0.705391304347826
"wilt","Fold_1","rfRules",0.3,0.7,0.965909090909091,0.662553874757036
"wilt","Fold_1","rfRules",0.3,0.75,0.962809917355372,0.621217391304348
"wilt","Fold_1","rfRules",0.3,0.8,0.959710743801653,0.593575058134527
"wilt","Fold_1","rfRules",0.3,0.9,0.952479338842975,0.54249547920434
"wilt","Fold_1","rfRules",0.3,1,0.947314049586777,0.488096225632518
"wilt","Fold_2","rfRules",0.1,0.1,1,1
"wilt","Fold_2","rfRules",0.1,0.2,0.997931747673216,0.943390703664676
"wilt","Fold_2","rfRules",0.1,0.25,0.997931747673216,0.943390703664676
"wilt","Fold_2","rfRules",0.1,0.3,0.997931747673216,0.943390703664676
"wilt","Fold_2","rfRules",0.1,0.4,0.997931747673216,0.943390703664676
"wilt","Fold_2","rfRules",0.1,0.5,0.996897621509824,0.912707248818945
"wilt","Fold_2","rfRules",0.1,0.6,0.996897621509824,0.912707248818945
