"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","rf",0.1,0.1,0.99896694214876,0.989745762711865
"wilt","Fold_1","rf",0.1,0.2,0.996900826446281,0.969791536637124
"wilt","Fold_1","rf",0.1,0.25,0.994834710743802,0.950543611542549
"wilt","Fold_1","rf",0.1,0.3,0.993801652892562,0.940122476752098
"wilt","Fold_1","rf",0.1,0.4,0.991735537190083,0.920163302336131
"wilt","Fold_1","rf",0.1,0.5,0.989669421487603,0.900204127920163
"wilt","Fold_1","rf",0.1,0.6,0.988636363636364,0.889235634336121
"wilt","Fold_1","rf",0.1,0.7,0.986570247933884,0.86909665876087
"wilt","Fold_1","rf",0.1,0.75,0.985537190082645,0.860285779088228
"wilt","Fold_1","rf",0.1,0.8,0.985537190082645,0.860285779088228
"wilt","Fold_1","rf",0.1,0.9,0.981404958677686,0.820367430256294
"wilt","Fold_1","rf",0.1,1,0.979338842975207,0.803909652587866
"wilt","Fold_1","rf",0.2,0.1,0.992768595041322,0.93311749842072
"wilt","Fold_1","rf",0.2,0.2,0.986570247933884,0.879886988393402
"wilt","Fold_1","rf",0.2,0.25,0.983471074380165,0.855737704918033
"wilt","Fold_1","rf",0.2,0.3,0.979338842975207,0.825295986139185
"wilt","Fold_1","rf",0.2,0.4,0.972107438016529,0.772998888271261
"wilt","Fold_1","rf",0.2,0.5,0.966942148760331,0.736885023104105
"wilt","Fold_1","rf",0.2,0.6,0.955578512396694,0.668345232024477
"wilt","Fold_1","rf",0.2,0.7,0.946280991735537,0.622328931572629
"wilt","Fold_1","rf",0.2,0.75,0.944214876033058,0.612822943825552
"wilt","Fold_1","rf",0.2,0.8,0.93801652892562,0.580540790385949
"wilt","Fold_1","rf",0.2,0.9,0.929752066115702,0.530472494864186
"wilt","Fold_1","rf",0.2,1,0.922520661157025,0.50355579868709
"wilt","Fold_1","rf",0.3,0.1,0.986570247933884,0.877872670807453
"wilt","Fold_1","rf",0.3,0.2,0.972107438016529,0.76954006772009
"wilt","Fold_1","rf",0.3,0.25,0.964876033057851,0.71198543825259
"wilt","Fold_1","rf",0.3,0.3,0.959710743801653,0.676957831325301
"wilt","Fold_1","rf",0.3,0.4,0.943181818181818,0.587158808933003
"wilt","Fold_1","rf",0.3,0.5,0.931818181818182,0.526783598009007
"wilt","Fold_1","rf",0.3,0.6,0.916322314049587,0.457429140832595
"wilt","Fold_1","rf",0.3,0.7,0.900826446280992,0.396634115936007
"wilt","Fold_1","rf",0.3,0.75,0.895661157024793,0.382528294260308
"wilt","Fold_1","rf",0.3,0.8,0.884297520661157,0.347331920631863
"wilt","Fold_1","rf",0.3,0.9,0.866735537190083,0.288948615160351
"wilt","Fold_1","rf",0.3,1,0.854338842975207,0.26613041982106
"wilt","Fold_2","rf",0.1,0.1,0.996897621509824,0.966114167571924
"wilt","Fold_2","rf",0.1,0.2,0.99482936918304,0.942342320855742
"wilt","Fold_2","rf",0.1,0.25,0.99482936918304,0.942342320855742
"wilt","Fold_2","rf",0.1,0.3,0.99482936918304,0.942342320855742
"wilt","Fold_2","rf",0.1,0.4,0.99482936918304,0.942342320855742
"wilt","Fold_2","rf",0.1,0.5,0.992761116856256,0.919279249198039
"wilt","Fold_2","rf",0.1,0.6,0.992761116856256,0.919279249198039
"wilt","Fold_2","rf",0.1,0.7,0.985522233712513,0.840229423844029
"wilt","Fold_2","rf",0.1,0.75,0.985522233712513,0.840229423844029
"wilt","Fold_2","rf",0.1,0.8,0.985522233712513,0.840229423844029
"wilt","Fold_2","rf",0.1,0.9,0.983453981385729,0.821108130607714
"wilt","Fold_2","rf",0.1,1,0.981385729058945,0.798746646933678
