dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
ozone-level-8hr,C5.0,0.1,0.1,1,0.992,0.008,0.001,0.017
ozone-level-8hr,C5.0,0.1,0.2,1,0.992,0.008,0.001,0.017
ozone-level-8hr,C5.0,0.1,0.25,1,0.992,0.008,0.001,0.017
ozone-level-8hr,C5.0,0.1,0.3,1,0.992,0.008,0.001,0.017
ozone-level-8hr,C5.0,0.1,0.4,1,0.992,0.008,0.001,0.017
ozone-level-8hr,C5.0,0.1,0.5,1,0.992,0.008,0.001,0.017
ozone-level-8hr,C5.0,0.1,0.6,1,0.992,0.008,0.001,0.017
ozone-level-8hr,C5.0,0.1,0.7,1,0.992,0.008,0.001,0.017
ozone-level-8hr,C5.0,0.1,0.75,1,0.992,0.008,0.001,0.017
ozone-level-8hr,C5.0,0.1,0.8,0.999,0.986,0.014,0.001,0.019
ozone-level-8hr,C5.0,0.1,0.9,0.999,0.978,0.022,0.001,0.02
ozone-level-8hr,C5.0,0.1,1,0.998,0.97,0.03,0.001,0.017
ozone-level-8hr,C5.0,0.2,0.1,1,1,0,0,0
ozone-level-8hr,C5.0,0.2,0.2,1,1,0,0,0
ozone-level-8hr,C5.0,0.2,0.25,1,0.988,0.012,0.001,0.027
ozone-level-8hr,C5.0,0.2,0.3,1,0.988,0.012,0.001,0.027
ozone-level-8hr,C5.0,0.2,0.4,0.999,0.98,0.02,0.001,0.028
ozone-level-8hr,C5.0,0.2,0.5,0.999,0.98,0.02,0.001,0.028
ozone-level-8hr,C5.0,0.2,0.6,0.998,0.959,0.041,0.002,0.059
ozone-level-8hr,C5.0,0.2,0.7,0.998,0.959,0.041,0.002,0.059
ozone-level-8hr,C5.0,0.2,0.75,0.998,0.951,0.049,0.002,0.055
ozone-level-8hr,C5.0,0.2,0.8,0.998,0.951,0.049,0.002,0.055
ozone-level-8hr,C5.0,0.2,0.9,0.998,0.951,0.049,0.002,0.055
ozone-level-8hr,C5.0,0.2,1,0.998,0.936,0.064,0.003,0.084
ozone-level-8hr,C5.0,0.3,0.1,1,1,0,0,0
ozone-level-8hr,C5.0,0.3,0.2,1,1,0,0,0
ozone-level-8hr,C5.0,0.3,0.25,1,1,0,0,0
ozone-level-8hr,C5.0,0.3,0.3,1,1,0,0,0
ozone-level-8hr,C5.0,0.3,0.4,0.999,0.986,0.014,0.001,0.019
ozone-level-8hr,C5.0,0.3,0.5,0.999,0.979,0.021,0.001,0.019
ozone-level-8hr,C5.0,0.3,0.6,0.998,0.972,0.028,0.001,0.016
ozone-level-8hr,C5.0,0.3,0.7,0.998,0.964,0.036,0.001,0.028
ozone-level-8hr,C5.0,0.3,0.75,0.998,0.964,0.036,0.001,0.028
ozone-level-8hr,C5.0,0.3,0.8,0.998,0.957,0.043,0.002,0.03
ozone-level-8hr,C5.0,0.3,0.9,0.998,0.957,0.043,0.002,0.03
ozone-level-8hr,C5.0,0.3,1,0.997,0.942,0.058,0.001,0.021
ozone-level-8hr,JRip,0.1,0.1,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.2,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.25,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.3,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.4,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.5,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.6,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.7,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.75,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.8,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,0.9,1,0.996,0.004,0.001,0.01
ozone-level-8hr,JRip,0.1,1,0.999,0.991,0.009,0.002,0.02
