"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"phoneme","Fold_1","JRip",0.1,0.1,0.996850393700787,0.993649682484124
"phoneme","Fold_1","JRip",0.1,0.2,0.993700787401575,0.987299364968248
"phoneme","Fold_1","JRip",0.1,0.25,0.992125984251969,0.984119521234826
"phoneme","Fold_1","JRip",0.1,0.3,0.992125984251969,0.984119521234826
"phoneme","Fold_1","JRip",0.1,0.4,0.988976377952756,0.977780443791271
"phoneme","Fold_1","JRip",0.1,0.5,0.984251968503937,0.968267135746697
"phoneme","Fold_1","JRip",0.1,0.6,0.984251968503937,0.968267135746697
"phoneme","Fold_1","JRip",0.1,0.7,0.984251968503937,0.968267135746697
"phoneme","Fold_1","JRip",0.1,0.75,0.981102362204724,0.961920562896036
"phoneme","Fold_1","JRip",0.1,0.8,0.977952755905512,0.955573990045375
"phoneme","Fold_1","JRip",0.1,0.9,0.974803149606299,0.949197459872994
"phoneme","Fold_1","JRip",0.1,1,0.971653543307087,0.942847142357118
"phoneme","Fold_1","JRip",0.2,0.1,0.995275590551181,0.990535337225189
"phoneme","Fold_1","JRip",0.2,0.2,0.990551181102362,0.98107321338089
"phoneme","Fold_1","JRip",0.2,0.25,0.985826771653543,0.971598391817951
"phoneme","Fold_1","JRip",0.2,0.3,0.982677165354331,0.965277605173811
"phoneme","Fold_1","JRip",0.2,0.4,0.976377952755906,0.952663986363252
"phoneme","Fold_1","JRip",0.2,0.5,0.971653543307087,0.943204404515821
"phoneme","Fold_1","JRip",0.2,0.6,0.963779527559055,0.927418112423654
"phoneme","Fold_1","JRip",0.2,0.7,0.959055118110236,0.917939898804139
"phoneme","Fold_1","JRip",0.2,0.75,0.946456692913386,0.89260416252139
"phoneme","Fold_1","JRip",0.2,0.8,0.943307086614173,0.886286760316765
"phoneme","Fold_1","JRip",0.2,0.9,0.932283464566929,0.864121104149768
"phoneme","Fold_1","JRip",0.2,1,0.92755905511811,0.854621647986303
