"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"phoneme","Fold_1","fda",0.1,0.1,0.996850393700787,0.993625522004497
"phoneme","Fold_1","fda",0.1,0.2,0.995275590551181,0.990441593368824
"phoneme","Fold_1","fda",0.1,0.25,0.995275590551181,0.990441593368824
"phoneme","Fold_1","fda",0.1,0.3,0.995275590551181,0.990441593368824
"phoneme","Fold_1","fda",0.1,0.4,0.995275590551181,0.990441593368824
"phoneme","Fold_1","fda",0.1,0.5,0.992125984251969,0.984080345368759
"phoneme","Fold_1","fda",0.1,0.6,0.990551181102362,0.980889802879069
"phoneme","Fold_1","fda",0.1,0.7,0.990551181102362,0.980889802879069
"phoneme","Fold_1","fda",0.1,0.75,0.990551181102362,0.980889802879069
"phoneme","Fold_1","fda",0.1,0.8,0.990551181102362,0.980889802879069
"phoneme","Fold_1","fda",0.1,0.9,0.985826771653543,0.971324780106472
"phoneme","Fold_1","fda",0.1,1,0.982677165354331,0.964928224620035
"phoneme","Fold_1","fda",0.2,0.1,0.996850393700787,0.993668993020937
"phoneme","Fold_1","fda",0.2,0.2,0.996850393700787,0.993668993020937
"phoneme","Fold_1","fda",0.2,0.25,0.993700787401575,0.987343664357965
"phoneme","Fold_1","fda",0.2,0.3,0.993700787401575,0.987343664357965
"phoneme","Fold_1","fda",0.2,0.4,0.993700787401575,0.987343664357965
"phoneme","Fold_1","fda",0.2,0.5,0.990551181102362,0.981015496536948
"phoneme","Fold_1","fda",0.2,0.6,0.988976377952756,0.977856377811543
"phoneme","Fold_1","fda",0.2,0.7,0.979527559055118,0.958894559940247
"phoneme","Fold_1","fda",0.2,0.75,0.974803149606299,0.949420022900383
"phoneme","Fold_1","fda",0.2,0.8,0.973228346456693,0.946246732229553
"phoneme","Fold_1","fda",0.2,0.9,0.963779527559055,0.927307567876963
"phoneme","Fold_1","fda",0.2,1,0.960629921259842,0.920986486822786
"phoneme","Fold_1","fda",0.3,0.1,0.995275590551181,0.990448015644195
"phoneme","Fold_1","fda",0.3,0.2,0.992125984251969,0.984069642005971
"phoneme","Fold_1","fda",0.3,0.25,0.98740157480315,0.974486464768219
"phoneme","Fold_1","fda",0.3,0.3,0.985826771653543,0.971287899721168
"phoneme","Fold_1","fda",0.3,0.4,0.982677165354331,0.964930337642776
