"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"phoneme","Fold_1","knn",0.1,0.1,0.998425196850394,0.99684886981118
"phoneme","Fold_1","knn",0.1,0.2,0.990551181102362,0.981091811414392
"phoneme","Fold_1","knn",0.1,0.25,0.988976377952756,0.977942088678262
"phoneme","Fold_1","knn",0.1,0.3,0.98740157480315,0.974789081885856
"phoneme","Fold_1","knn",0.1,0.4,0.985826771653543,0.97163560562821
"phoneme","Fold_1","knn",0.1,0.5,0.981102362204724,0.962183622828784
"phoneme","Fold_1","knn",0.1,0.6,0.979527559055118,0.959035307545344
"phoneme","Fold_1","knn",0.1,0.7,0.973228346456693,0.946438760574561
"phoneme","Fold_1","knn",0.1,0.75,0.973228346456693,0.946438760574561
"phoneme","Fold_1","knn",0.1,0.8,0.97007874015748,0.940146347513332
"phoneme","Fold_1","knn",0.1,0.9,0.963779527559055,0.927545578568771
"phoneme","Fold_1","knn",0.1,1,0.962204724409449,0.924401011954958
"phoneme","Fold_1","knn",0.2,0.1,0.988976377952756,0.977947341525975
"phoneme","Fold_1","knn",0.2,0.2,0.984251968503937,0.968494795439436
"phoneme","Fold_1","knn",0.2,0.25,0.984251968503937,0.968494795439436
"phoneme","Fold_1","knn",0.2,0.3,0.981102362204724,0.962193754527323
"phoneme","Fold_1","knn",0.2,0.4,0.974803149606299,0.949596174071796
"phoneme","Fold_1","knn",0.2,0.5,0.97007874015748,0.940137438289216
"phoneme","Fold_1","knn",0.2,0.6,0.960629921259842,0.921240505449909
"phoneme","Fold_1","knn",0.2,0.7,0.954330708661417,0.908638986321894
"phoneme","Fold_1","knn",0.2,0.75,0.954330708661417,0.908638986321894
"phoneme","Fold_1","knn",0.2,0.8,0.952755905511811,0.905492826384617
"phoneme","Fold_1","knn",0.2,0.9,0.951181102362205,0.902346947380954
"phoneme","Fold_1","knn",0.2,1,0.943307086614173,0.886611642395143
"phoneme","Fold_1","knn",0.3,0.1,0.993700787401575,0.987396417406838
"phoneme","Fold_1","knn",0.3,0.2,0.984251968503937,0.968486665144763
"phoneme","Fold_1","knn",0.3,0.25,0.976377952755906,0.952733985381031
"phoneme","Fold_1","knn",0.3,0.3,0.976377952755906,0.952733985381031
"phoneme","Fold_1","knn",0.3,0.4,0.97007874015748,0.940146347513332
"phoneme","Fold_1","knn",0.3,0.5,0.960629921259842,0.921256913271
"phoneme","Fold_1","knn",0.3,0.6,0.949606299212598,0.899208349040694
"phoneme","Fold_1","knn",0.3,0.7,0.940157480314961,0.880350271728351
