"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"phoneme","Fold_1","naive_bayes",0.1,0.1,0.998425196850394,0.996766983519253
"phoneme","Fold_1","naive_bayes",0.1,0.2,0.993700787401575,0.987061280627579
"phoneme","Fold_1","naive_bayes",0.1,0.25,0.993700787401575,0.987061280627579
"phoneme","Fold_1","naive_bayes",0.1,0.3,0.993700787401575,0.987061280627579
"phoneme","Fold_1","naive_bayes",0.1,0.4,0.990551181102362,0.980591920941368
"phoneme","Fold_1","naive_bayes",0.1,0.5,0.988976377952756,0.977368884634771
"phoneme","Fold_1","naive_bayes",0.1,0.6,0.98740157480315,0.974149161374369
"phoneme","Fold_1","naive_bayes",0.1,0.7,0.985826771653543,0.970902851673277
"phoneme","Fold_1","naive_bayes",0.1,0.75,0.985826771653543,0.970902851673277
"phoneme","Fold_1","naive_bayes",0.1,0.8,0.985826771653543,0.970902851673277
"phoneme","Fold_1","naive_bayes",0.1,0.9,0.982677165354331,0.964436818711783
"phoneme","Fold_1","naive_bayes",0.1,1,0.982677165354331,0.964436818711783
"phoneme","Fold_1","naive_bayes",0.2,0.1,0.996850393700787,0.993556570268899
"phoneme","Fold_1","naive_bayes",0.2,0.2,0.996850393700787,0.993556570268899
"phoneme","Fold_1","naive_bayes",0.2,0.25,0.995275590551181,0.99033019466511
"phoneme","Fold_1","naive_bayes",0.2,0.3,0.993700787401575,0.987113140537798
"phoneme","Fold_1","naive_bayes",0.2,0.4,0.98740157480315,0.974226281075596
"phoneme","Fold_1","naive_bayes",0.2,0.5,0.981102362204724,0.96141381405712
"phoneme","Fold_1","naive_bayes",0.2,0.6,0.974803149606299,0.948650561002729
"phoneme","Fold_1","naive_bayes",0.2,0.7,0.971653543307087,0.94223188112807
"phoneme","Fold_1","naive_bayes",0.2,0.75,0.971653543307087,0.94223188112807
"phoneme","Fold_1","naive_bayes",0.2,0.8,0.97007874015748,0.938993249563876
"phoneme","Fold_1","naive_bayes",0.2,0.9,0.965354330708661,0.929326655537006
"phoneme","Fold_1","naive_bayes",0.2,1,0.965354330708661,0.929326655537006
"phoneme","Fold_1","naive_bayes",0.3,0.1,0.996850393700787,0.993580281861011
"phoneme","Fold_1","naive_bayes",0.3,0.2,0.993700787401575,0.987160563722021
"phoneme","Fold_1","naive_bayes",0.3,0.25,0.992125984251969,0.983943643452799
"phoneme","Fold_1","naive_bayes",0.3,0.3,0.988976377952756,0.977540863502009
"phoneme","Fold_1","naive_bayes",0.3,0.4,0.985826771653543,0.971149331865979
"phoneme","Fold_1","naive_bayes",0.3,0.5,0.981102362204724,0.961549329888584
"phoneme","Fold_1","naive_bayes",0.3,0.6,0.974803149606299,0.948822308637747
"phoneme","Fold_1","naive_bayes",0.3,0.7,0.971653543307087,0.942425097217465
"phoneme","Fold_1","naive_bayes",0.3,0.75,0.97007874015748,0.939253112868874
"phoneme","Fold_1","naive_bayes",0.3,0.8,0.968503937007874,0.936027885797183
"phoneme","Fold_1","naive_bayes",0.3,0.9,0.963779527559055,0.92646429452548
"phoneme","Fold_1","naive_bayes",0.3,1,0.962204724409449,0.92323346295662
"phoneme","Fold_2","naive_bayes",0.1,0.1,0.998422712933754,0.996738112632868
"phoneme","Fold_2","naive_bayes",0.1,0.2,0.998422712933754,0.996738112632868
"phoneme","Fold_2","naive_bayes",0.1,0.25,0.998422712933754,0.996738112632868
"phoneme","Fold_2","naive_bayes",0.1,0.3,0.998422712933754,0.996738112632868
"phoneme","Fold_2","naive_bayes",0.1,0.4,0.998422712933754,0.996738112632868
