"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"phoneme","Fold_1","rfRules",0.1,0.1,1,1
"phoneme","Fold_1","rfRules",0.1,0.2,0.998425196850394,0.99664810367125
"phoneme","Fold_1","rfRules",0.1,0.25,0.998425196850394,0.99664810367125
"phoneme","Fold_1","rfRules",0.1,0.3,0.998425196850394,0.99664810367125
"phoneme","Fold_1","rfRules",0.1,0.4,0.995275590551181,0.989960950468752
"phoneme","Fold_1","rfRules",0.1,0.5,0.993700787401575,0.986603516840539
"phoneme","Fold_1","rfRules",0.1,0.6,0.993700787401575,0.986603516840539
"phoneme","Fold_1","rfRules",0.1,0.7,0.993700787401575,0.986603516840539
"phoneme","Fold_1","rfRules",0.1,0.75,0.993700787401575,0.986603516840539
"phoneme","Fold_1","rfRules",0.1,0.8,0.993700787401575,0.986603516840539
"phoneme","Fold_1","rfRules",0.1,0.9,0.993700787401575,0.986603516840539
"phoneme","Fold_1","rfRules",0.1,1,0.993700787401575,0.986603516840539
"phoneme","Fold_1","rfRules",0.2,0.1,1,1
"phoneme","Fold_1","rfRules",0.2,0.2,0.996850393700787,0.993446852425181
"phoneme","Fold_1","rfRules",0.2,0.25,0.995275590551181,0.99016393442623
"phoneme","Fold_1","rfRules",0.2,0.3,0.995275590551181,0.99016393442623
"phoneme","Fold_1","rfRules",0.2,0.4,0.988976377952756,0.976989776109745
"phoneme","Fold_1","rfRules",0.2,0.5,0.988976377952756,0.976989776109745
"phoneme","Fold_1","rfRules",0.2,0.6,0.985826771653543,0.970415426426815
"phoneme","Fold_1","rfRules",0.2,0.7,0.982677165354331,0.963794220552028
"phoneme","Fold_1","rfRules",0.2,0.75,0.982677165354331,0.963794220552028
"phoneme","Fold_1","rfRules",0.2,0.8,0.982677165354331,0.963794220552028
"phoneme","Fold_1","rfRules",0.2,0.9,0.982677165354331,0.963794220552028
"phoneme","Fold_1","rfRules",0.2,1,0.979527559055118,0.957155832360192
"phoneme","Fold_1","rfRules",0.3,0.1,0.998425196850394,0.996703610455005
"phoneme","Fold_1","rfRules",0.3,0.2,0.993700787401575,0.986823675883177
"phoneme","Fold_1","rfRules",0.3,0.25,0.993700787401575,0.986823675883177
"phoneme","Fold_1","rfRules",0.3,0.3,0.990551181102362,0.980207792207792
"phoneme","Fold_1","rfRules",0.3,0.4,0.98740157480315,0.973647351766354
"phoneme","Fold_1","rfRules",0.3,0.5,0.985826771653543,0.97033249409505
"phoneme","Fold_1","rfRules",0.3,0.6,0.985826771653543,0.97033249409505
"phoneme","Fold_1","rfRules",0.3,0.7,0.985826771653543,0.97033249409505
"phoneme","Fold_1","rfRules",0.3,0.75,0.984251968503937,0.967012987012987
"phoneme","Fold_1","rfRules",0.3,0.8,0.982677165354331,0.963688820731422
"phoneme","Fold_1","rfRules",0.3,0.9,0.982677165354331,0.963688820731422
"phoneme","Fold_1","rfRules",0.3,1,0.982677165354331,0.963688820731422
"phoneme","Fold_2","rfRules",0.1,0.1,1,1
"phoneme","Fold_2","rfRules",0.1,0.2,1,1
"phoneme","Fold_2","rfRules",0.1,0.25,1,1
"phoneme","Fold_2","rfRules",0.1,0.3,0.998422712933754,0.996790425951988
"phoneme","Fold_2","rfRules",0.1,0.4,0.996845425867508,0.993583515504817
"phoneme","Fold_2","rfRules",0.1,0.5,0.996845425867508,0.993583515504817
"phoneme","Fold_2","rfRules",0.1,0.6,0.996845425867508,0.993583515504817
"phoneme","Fold_2","rfRules",0.1,0.7,0.996845425867508,0.993583515504817
"phoneme","Fold_2","rfRules",0.1,0.75,0.996845425867508,0.993583515504817
"phoneme","Fold_2","rfRules",0.1,0.8,0.996845425867508,0.993583515504817
"phoneme","Fold_2","rfRules",0.1,0.9,0.996845425867508,0.993583515504817
"phoneme","Fold_2","rfRules",0.1,1,0.996845425867508,0.993583515504817
"phoneme","Fold_2","rfRules",0.2,0.1,1,1
"phoneme","Fold_2","rfRules",0.2,0.2,0.995268138801262,0.989967190285793
"phoneme","Fold_2","rfRules",0.2,0.25,0.993690851735016,0.986633637274021
"phoneme","Fold_2","rfRules",0.2,0.3,0.990536277602524,0.979950455911031
"phoneme","Fold_2","rfRules",0.2,0.4,0.988958990536278,0.976627589766276
"phoneme","Fold_2","rfRules",0.2,0.5,0.987381703470032,0.973310039256133
"phoneme","Fold_2","rfRules",0.2,0.6,0.985804416403785,0.969949758270926
"phoneme","Fold_2","rfRules",0.2,0.7,0.984227129337539,0.966584093185052
"phoneme","Fold_2","rfRules",0.2,0.75,0.982649842271293,0.963271926775576
"phoneme","Fold_2","rfRules",0.2,0.8,0.982649842271293,0.963271926775576
"phoneme","Fold_2","rfRules",0.2,0.9,0.981072555205047,0.959900911822063
"phoneme","Fold_2","rfRules",0.2,1,0.977917981072555,0.953217730459073
"phoneme","Fold_2","rfRules",0.3,0.1,1,1
"phoneme","Fold_2","rfRules",0.3,0.2,0.995268138801262,0.989357773525363
"phoneme","Fold_2","rfRules",0.3,0.25,0.995268138801262,0.989357773525363
"phoneme","Fold_2","rfRules",0.3,0.3,0.993690851735016,0.985793831296145
"phoneme","Fold_2","rfRules",0.3,0.4,0.99211356466877,0.982262955875606
"phoneme","Fold_2","rfRules",0.3,0.5,0.990536277602524,0.978740289498687
"phoneme","Fold_2","rfRules",0.3,0.6,0.988958990536278,0.975168138225848
"phoneme","Fold_2","rfRules",0.3,0.7,0.988958990536278,0.975168138225848
"phoneme","Fold_2","rfRules",0.3,0.75,0.988958990536278,0.975168138225848
"phoneme","Fold_2","rfRules",0.3,0.8,0.988958990536278,0.975168138225848
"phoneme","Fold_2","rfRules",0.3,0.9,0.985804416403785,0.96807332057609
"phoneme","Fold_2","rfRules",0.3,1,0.984227129337539,0.964484578240362
"phoneme","Fold_3","rfRules",0.1,0.1,1,1
"phoneme","Fold_3","rfRules",0.1,0.2,1,1
"phoneme","Fold_3","rfRules",0.1,0.25,1,1
"phoneme","Fold_3","rfRules",0.1,0.3,1,1
"phoneme","Fold_3","rfRules",0.1,0.4,0.998422712933754,0.996766592886504
"phoneme","Fold_3","rfRules",0.1,0.5,0.993690851735016,0.98704655272809
"phoneme","Fold_3","rfRules",0.1,0.6,0.993690851735016,0.98704655272809
"phoneme","Fold_3","rfRules",0.1,0.7,0.993690851735016,0.98704655272809
"phoneme","Fold_3","rfRules",0.1,0.75,0.993690851735016,0.98704655272809
"phoneme","Fold_3","rfRules",0.1,0.8,0.993690851735016,0.98704655272809
"phoneme","Fold_3","rfRules",0.1,0.9,0.99211356466877,0.983799916188841
"phoneme","Fold_3","rfRules",0.1,1,0.990536277602524,0.980569829092135
"phoneme","Fold_3","rfRules",0.2,0.1,1,1
"phoneme","Fold_3","rfRules",0.2,0.2,0.998422712933754,0.996671321915722
"phoneme","Fold_3","rfRules",0.2,0.25,0.996845425867508,0.993337606792699
"phoneme","Fold_3","rfRules",0.2,0.3,0.99211356466877,0.983331405315021
"phoneme","Fold_3","rfRules",0.2,0.4,0.990536277602524,0.980012820378096
"phoneme","Fold_3","rfRules",0.2,0.5,0.987381703470032,0.973310039256133
"phoneme","Fold_3","rfRules",0.2,0.6,0.985804416403785,0.969951024277213
"phoneme","Fold_3","rfRules",0.2,0.7,0.982649842271293,0.963273474116594
"phoneme","Fold_3","rfRules",0.2,0.75,0.982649842271293,0.963273474116594
"phoneme","Fold_3","rfRules",0.2,0.8,0.982649842271293,0.963273474116594
"phoneme","Fold_3","rfRules",0.2,0.9,0.981072555205047,0.9599650588842
"phoneme","Fold_3","rfRules",0.2,1,0.981072555205047,0.9599650588842
"phoneme","Fold_3","rfRules",0.3,0.1,1,1
"phoneme","Fold_3","rfRules",0.3,0.2,1,1
"phoneme","Fold_3","rfRules",0.3,0.25,1,1
"phoneme","Fold_3","rfRules",0.3,0.3,0.995268138801262,0.990202643534878
"phoneme","Fold_3","rfRules",0.3,0.4,0.99211356466877,0.98369056316434
"phoneme","Fold_3","rfRules",0.3,0.5,0.990536277602524,0.980416988416988
"phoneme","Fold_3","rfRules",0.3,0.6,0.987381703470032,0.973889317889318
"phoneme","Fold_3","rfRules",0.3,0.7,0.979495268138801,0.957595464227283
"phoneme","Fold_3","rfRules",0.3,0.75,0.979495268138801,0.957595464227283
"phoneme","Fold_3","rfRules",0.3,0.8,0.977917981072555,0.954360814882611
"phoneme","Fold_3","rfRules",0.3,0.9,0.970031545741325,0.93802414002449
"phoneme","Fold_3","rfRules",0.3,1,0.968454258675079,0.934801164118016
"phoneme","Fold_4","rfRules",0.1,0.1,1,1
"phoneme","Fold_4","rfRules",0.1,0.2,1,1
"phoneme","Fold_4","rfRules",0.1,0.25,1,1
"phoneme","Fold_4","rfRules",0.1,0.3,0.998425196850394,0.996540697199327
"phoneme","Fold_4","rfRules",0.1,0.4,0.996850393700787,0.993074187989442
"phoneme","Fold_4","rfRules",0.1,0.5,0.995275590551181,0.98962209159798
"phoneme","Fold_4","rfRules",0.1,0.6,0.995275590551181,0.98962209159798
"phoneme","Fold_4","rfRules",0.1,0.7,0.993700787401575,0.986148375978884
"phoneme","Fold_4","rfRules",0.1,0.75,0.993700787401575,0.986148375978884
"phoneme","Fold_4","rfRules",0.1,0.8,0.992125984251969,0.98266741638052
"phoneme","Fold_4","rfRules",0.1,0.9,0.992125984251969,0.98266741638052
"phoneme","Fold_4","rfRules",0.1,1,0.992125984251969,0.98266741638052
"phoneme","Fold_4","rfRules",0.2,0.1,0.998425196850394,0.996607235404434
"phoneme","Fold_4","rfRules",0.2,0.2,0.996850393700787,0.993208338235452
"phoneme","Fold_4","rfRules",0.2,0.25,0.996850393700787,0.993208338235452
"phoneme","Fold_4","rfRules",0.2,0.3,0.995275590551181,0.989803291850662
"phoneme","Fold_4","rfRules",0.2,0.4,0.995275590551181,0.989803291850662
"phoneme","Fold_4","rfRules",0.2,0.5,0.993700787401575,0.986392079547403
"phoneme","Fold_4","rfRules",0.2,0.6,0.990551181102362,0.979588119321104
"phoneme","Fold_4","rfRules",0.2,0.7,0.990551181102362,0.979588119321104
"phoneme","Fold_4","rfRules",0.2,0.75,0.990551181102362,0.979588119321104
"phoneme","Fold_4","rfRules",0.2,0.8,0.990551181102362,0.979588119321104
"phoneme","Fold_4","rfRules",0.2,0.9,0.990551181102362,0.979588119321104
"phoneme","Fold_4","rfRules",0.2,1,0.988976377952756,0.976207680984879
"phoneme","Fold_4","rfRules",0.3,0.1,1,1
"phoneme","Fold_4","rfRules",0.3,0.2,1,1
"phoneme","Fold_4","rfRules",0.3,0.25,1,1
"phoneme","Fold_4","rfRules",0.3,0.3,1,1
"phoneme","Fold_4","rfRules",0.3,0.4,0.998425196850394,0.996816005214732
"phoneme","Fold_4","rfRules",0.3,0.5,0.998425196850394,0.996816005214732
"phoneme","Fold_4","rfRules",0.3,0.6,0.995275590551181,0.990441785203582
"phoneme","Fold_4","rfRules",0.3,0.7,0.995275590551181,0.990441785203582
"phoneme","Fold_4","rfRules",0.3,0.75,0.993700787401575,0.987251555912467
