"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"phoneme","Fold_1","rf",0.1,0.1,0.998425196850394,0.996849620217996
"phoneme","Fold_1","rf",0.1,0.2,0.995275590551181,0.990547828977727
"phoneme","Fold_1","rf",0.1,0.25,0.993700787401575,0.987396417406838
"phoneme","Fold_1","rf",0.1,0.3,0.992125984251969,0.984246381629544
"phoneme","Fold_1","rf",0.1,0.4,0.98740157480315,0.97479008277587
"phoneme","Fold_1","rf",0.1,0.5,0.981102362204724,0.962185124163805
"phoneme","Fold_1","rf",0.1,0.6,0.981102362204724,0.962185124163805
"phoneme","Fold_1","rf",0.1,0.7,0.976377952755906,0.95272882474677
"phoneme","Fold_1","rf",0.1,0.75,0.973228346456693,0.946420151383546
"phoneme","Fold_1","rf",0.1,0.8,0.973228346456693,0.946420151383546
"phoneme","Fold_1","rf",0.1,0.9,0.971653543307087,0.943265298018505
"phoneme","Fold_1","rf",0.1,1,0.97007874015748,0.940110100122609
"phoneme","Fold_1","rf",0.2,0.1,0.995275590551181,0.99053279727265
"phoneme","Fold_1","rf",0.2,0.2,0.990551181102362,0.981068322981366
"phoneme","Fold_1","rf",0.2,0.25,0.984251968503937,0.968438108871128
"phoneme","Fold_1","rf",0.2,0.3,0.984251968503937,0.968438422616977
"phoneme","Fold_1","rf",0.2,0.4,0.977952755905512,0.955790059974339
"phoneme","Fold_1","rf",0.2,0.5,0.968503937007874,0.936821578167129
"phoneme","Fold_1","rf",0.2,0.6,0.959055118110236,0.91789582566663
"phoneme","Fold_1","rf",0.2,0.7,0.949606299212598,0.898948708512776
"phoneme","Fold_1","rf",0.2,0.75,0.949606299212598,0.898914525067407
"phoneme","Fold_1","rf",0.2,0.8,0.948031496062992,0.895776861518261
"phoneme","Fold_1","rf",0.2,0.9,0.948031496062992,0.895740562916378
"phoneme","Fold_1","rf",0.2,1,0.941732283464567,0.883103055391091
"phoneme","Fold_1","rf",0.3,0.1,0.993700787401575,0.987387906293137
"phoneme","Fold_1","rf",0.3,0.2,0.981102362204724,0.962155074795876
"phoneme","Fold_1","rf",0.3,0.25,0.974803149606299,0.949517033032556
"phoneme","Fold_1","rf",0.3,0.3,0.974803149606299,0.949517033032556
"phoneme","Fold_1","rf",0.3,0.4,0.966929133858268,0.93373353277047
"phoneme","Fold_1","rf",0.3,0.5,0.962204724409449,0.924258237662144
"phoneme","Fold_1","rf",0.3,0.6,0.95748031496063,0.914761286858472
"phoneme","Fold_1","rf",0.3,0.7,0.948031496062992,0.895771677551244
"phoneme","Fold_1","rf",0.3,0.75,0.941732283464567,0.883111197345313
"phoneme","Fold_1","rf",0.3,0.8,0.940157480314961,0.879938302318639
"phoneme","Fold_1","rf",0.3,0.9,0.92755905511811,0.854595595555733
"phoneme","Fold_1","rf",0.3,1,0.922834645669291,0.845094964279491
"phoneme","Fold_2","rf",0.1,0.1,0.998422712933754,0.996821513440887
"phoneme","Fold_2","rf",0.1,0.2,0.993690851735016,0.987282483325811
"phoneme","Fold_2","rf",0.1,0.25,0.990536277602524,0.980923916313963
"phoneme","Fold_2","rf",0.1,0.3,0.988958990536278,0.97775059408621
"phoneme","Fold_2","rf",0.1,0.4,0.984227129337539,0.968206527189938
"phoneme","Fold_2","rf",0.1,0.5,0.981072555205047,0.96182715851162
"phoneme","Fold_2","rf",0.1,0.6,0.977917981072555,0.955465018263557
"phoneme","Fold_2","rf",0.1,0.7,0.976340694006309,0.952271016311167
"phoneme","Fold_2","rf",0.1,0.75,0.977917981072555,0.955438635245449
"phoneme","Fold_2","rf",0.1,0.8,0.976340694006309,0.952271016311167
"phoneme","Fold_2","rf",0.1,0.9,0.974763406940063,0.949075282636198
"phoneme","Fold_2","rf",0.1,1,0.970031545741325,0.939510500045194
"phoneme","Fold_2","rf",0.2,0.1,1,1
"phoneme","Fold_2","rf",0.2,0.2,0.996845425867508,0.993629997287223
"phoneme","Fold_2","rf",0.2,0.25,0.990536277602524,0.980901505186316
"phoneme","Fold_2","rf",0.2,0.3,0.987381703470032,0.974550672861745
"phoneme","Fold_2","rf",0.2,0.4,0.981072555205047,0.961803010372631
"phoneme","Fold_2","rf",0.2,0.5,0.976340694006309,0.952239375646602
"phoneme","Fold_2","rf",0.2,0.6,0.971608832807571,0.942739013938926
"phoneme","Fold_2","rf",0.2,0.7,0.966876971608833,0.933215622147092
"phoneme","Fold_2","rf",0.2,0.75,0.965299684542587,0.930056464311145
"phoneme","Fold_2","rf",0.2,0.8,0.965299684542587,0.930056464311145
"phoneme","Fold_2","rf",0.2,0.9,0.962145110410095,0.923697961066704
"phoneme","Fold_2","rf",0.2,1,0.960567823343849,0.920494788270348
"phoneme","Fold_2","rf",0.3,0.1,0.998422712933754,0.996823233487328
"phoneme","Fold_2","rf",0.3,0.2,0.995268138801262,0.990464731538577
"phoneme","Fold_2","rf",0.3,0.25,0.990536277602524,0.980923916313963
"phoneme","Fold_2","rf",0.3,0.3,0.985804416403785,0.971409101385952
"phoneme","Fold_2","rf",0.3,0.4,0.981072555205047,0.961868866591153
"phoneme","Fold_2","rf",0.3,0.5,0.973186119873817,0.945938625442653
"phoneme","Fold_2","rf",0.3,0.6,0.963722397476341,0.926781751172436
"phoneme","Fold_2","rf",0.3,0.7,0.962145110410095,0.923571485976051
"phoneme","Fold_2","rf",0.3,0.75,0.958990536277603,0.917202443140722
"phoneme","Fold_2","rf",0.3,0.8,0.95583596214511,0.910785003517942
"phoneme","Fold_2","rf",0.3,0.9,0.952681388012618,0.904423071124913
"phoneme","Fold_2","rf",0.3,1,0.946372239747634,0.891608672915242
"phoneme","Fold_3","rf",0.1,0.1,1,1
"phoneme","Fold_3","rf",0.1,0.2,0.995268138801262,0.990500354613471
"phoneme","Fold_3","rf",0.1,0.25,0.99211356466877,0.984160928959018
"phoneme","Fold_3","rf",0.1,0.3,0.99211356466877,0.984160928959018
"phoneme","Fold_3","rf",0.1,0.4,0.99211356466877,0.984160928959018
"phoneme","Fold_3","rf",0.1,0.5,0.990536277602524,0.980996912747654
"phoneme","Fold_3","rf",0.1,0.6,0.987381703470032,0.974662550330206
"phoneme","Fold_3","rf",0.1,0.7,0.985804416403785,0.971501063840414
"phoneme","Fold_3","rf",0.1,0.75,0.984227129337539,0.968328187912758
"phoneme","Fold_3","rf",0.1,0.8,0.981072555205047,0.961993825495309
"phoneme","Fold_3","rf",0.1,0.9,0.971608832807571,0.942967945706604
"phoneme","Fold_3","rf",0.1,1,0.970031545741325,0.939811530044269
"phoneme","Fold_3","rf",0.2,0.1,0.995268138801262,0.990496557375411
"phoneme","Fold_3","rf",0.2,0.2,0.988958990536278,0.977807558831471
"phoneme","Fold_3","rf",0.2,0.25,0.985804416403785,0.97145544227556
"phoneme","Fold_3","rf",0.2,0.3,0.985804416403785,0.97145544227556
"phoneme","Fold_3","rf",0.2,0.4,0.982649842271293,0.965126163878027
"phoneme","Fold_3","rf",0.2,0.5,0.979495268138801,0.958785466401304
"phoneme","Fold_3","rf",0.2,0.6,0.977917981072555,0.955623993840554
"phoneme","Fold_3","rf",0.2,0.7,0.976340694006309,0.952463785502204
"phoneme","Fold_3","rf",0.2,0.75,0.973186119873817,0.946104071447859
"phoneme","Fold_3","rf",0.2,0.8,0.971608832807571,0.942922305914834
"phoneme","Fold_3","rf",0.2,0.9,0.962145110410095,0.923957260942138
"phoneme","Fold_3","rf",0.2,1,0.960567823343849,0.920804644795091
"phoneme","Fold_3","rf",0.3,0.1,0.993690851735016,0.987320760754355
"phoneme","Fold_3","rf",0.3,0.2,0.99211356466877,0.984147305041857
"phoneme","Fold_3","rf",0.3,0.25,0.988958990536278,0.9778062270586
"phoneme","Fold_3","rf",0.3,0.3,0.984227129337539,0.96828731492597
"phoneme","Fold_3","rf",0.3,0.4,0.981072555205047,0.961944777911165
"phoneme","Fold_3","rf",0.3,0.5,0.973186119873817,0.946125623569165
"phoneme","Fold_3","rf",0.3,0.6,0.965299684542587,0.930296245952105
"phoneme","Fold_3","rf",0.3,0.7,0.957413249211357,0.914552696996017
"phoneme","Fold_3","rf",0.3,0.75,0.954258675078864,0.90818110086795
"phoneme","Fold_3","rf",0.3,0.8,0.952681388012618,0.905036747084199
"phoneme","Fold_3","rf",0.3,0.9,0.94794952681388,0.895564407439576
"phoneme","Fold_3","rf",0.3,1,0.938485804416404,0.876689374519993
"phoneme","Fold_4","rf",0.1,0.1,0.996850393700787,0.993645996978096
"phoneme","Fold_4","rf",0.1,0.2,1,1
"phoneme","Fold_4","rf",0.1,0.25,0.995275590551181,0.990477333053402
"phoneme","Fold_4","rf",0.1,0.3,0.993700787401575,0.98729974599492
"phoneme","Fold_4","rf",0.1,0.4,0.988976377952756,0.977780443791271
"phoneme","Fold_4","rf",0.1,0.5,0.984251968503937,0.968266184246035
"phoneme","Fold_4","rf",0.1,0.6,0.979527559055118,0.958736760023393
"phoneme","Fold_4","rf",0.1,0.7,0.977952755905512,0.955572657944448
"phoneme","Fold_4","rf",0.1,0.75,0.977952755905512,0.955547777388869
"phoneme","Fold_4","rf",0.1,0.8,0.974803149606299,0.949196951817109
"phoneme","Fold_4","rf",0.1,0.9,0.974803149606299,0.949196951817109
"phoneme","Fold_4","rf",0.1,1,0.973228346456693,0.946006372198408
"phoneme","Fold_4","rf",0.2,0.1,0.992125984251969,0.984119521234826
"phoneme","Fold_4","rf",0.2,0.2,0.988976377952756,0.977767329728756
"phoneme","Fold_4","rf",0.2,0.25,0.984251968503937,0.968248094885693
"phoneme","Fold_4","rf",0.2,0.3,0.984251968503937,0.968266184246035
"phoneme","Fold_4","rf",0.2,0.4,0.976377952755906,0.95241283179872
"phoneme","Fold_4","rf",0.2,0.5,0.97007874015748,0.939757231379167
"phoneme","Fold_4","rf",0.2,0.6,0.968503937007874,0.93657167400837
"phoneme","Fold_4","rf",0.2,0.7,0.960629921259842,0.92059760617413
"phoneme","Fold_4","rf",0.2,0.75,0.955905511811024,0.911094665679941
"phoneme","Fold_4","rf",0.2,0.8,0.954330708661417,0.907838829305401
"phoneme","Fold_4","rf",0.2,0.9,0.943307086614173,0.885627945605732
"phoneme","Fold_4","rf",0.2,1,0.937007874015748,0.872918667947486
"phoneme","Fold_4","rf",0.3,0.1,0.995275590551181,0.990492256554354
"phoneme","Fold_4","rf",0.3,0.2,0.992125984251969,0.984161507724695
"phoneme","Fold_4","rf",0.3,0.25,0.988976377952756,0.977815265293492
"phoneme","Fold_4","rf",0.3,0.3,0.984251968503937,0.968315270542682
"phoneme","Fold_4","rf",0.3,0.4,0.977952755905512,0.955641378759755
"phoneme","Fold_4","rf",0.3,0.5,0.971653543307087,0.94299536182734
"phoneme","Fold_4","rf",0.3,0.6,0.962204724409449,0.92403094592439
"phoneme","Fold_4","rf",0.3,0.7,0.954330708661417,0.908181632337616
"phoneme","Fold_4","rf",0.3,0.75,0.952755905511811,0.905038682405487
"phoneme","Fold_4","rf",0.3,0.8,0.949606299212598,0.898707927899187
"phoneme","Fold_4","rf",0.3,0.9,0.937007874015748,0.873323026282978
"phoneme","Fold_4","rf",0.3,1,0.925984251968504,0.851263599077032
"phoneme","Fold_5","rf",0.1,0.1,1,1
"phoneme","Fold_5","rf",0.1,0.2,0.993690851735016,0.987360446570973
"phoneme","Fold_5","rf",0.1,0.25,0.993690851735016,0.987360446570973
"phoneme","Fold_5","rf",0.1,0.3,0.993690851735016,0.987360446570973
"phoneme","Fold_5","rf",0.1,0.4,0.988958990536278,0.977883647453978
"phoneme","Fold_5","rf",0.1,0.5,0.988958990536278,0.977883647453978
"phoneme","Fold_5","rf",0.1,0.6,0.982649842271293,0.965245731713394
"phoneme","Fold_5","rf",0.1,0.7,0.981072555205047,0.962091164570586
"phoneme","Fold_5","rf",0.1,0.75,0.979495268138801,0.958937414681294
"phoneme","Fold_5","rf",0.1,0.8,0.979495268138801,0.958937414681294
"phoneme","Fold_5","rf",0.1,0.9,0.976340694006309,0.952632365393236
"phoneme","Fold_5","rf",0.1,1,0.976340694006309,0.952632365393236
"phoneme","Fold_5","rf",0.2,0.1,0.996845425867508,0.993683308591298
"phoneme","Fold_5","rf",0.2,0.2,0.990536277602524,0.981046148940199
"phoneme","Fold_5","rf",0.2,0.25,0.990536277602524,0.981046148940199
"phoneme","Fold_5","rf",0.2,0.3,0.987381703470032,0.974733234365192
"phoneme","Fold_5","rf",0.2,0.4,0.985804416403785,0.971572056317819
"phoneme","Fold_5","rf",0.2,0.5,0.982649842271293,0.965247809924356
"phoneme","Fold_5","rf",0.2,0.6,0.968454258675079,0.936782698002772
"phoneme","Fold_5","rf",0.2,0.7,0.966876971608833,0.933615213554184
"phoneme","Fold_5","rf",0.2,0.75,0.962145110410095,0.924154363018274
"phoneme","Fold_5","rf",0.2,0.8,0.960567823343849,0.921002003608489
"phoneme","Fold_5","rf",0.2,0.9,0.954258675078864,0.908325771098635
"phoneme","Fold_5","rf",0.2,1,0.94794952681388,0.895701851464122
"phoneme","Fold_5","rf",0.3,0.1,0.99211356466877,0.984194098465282
"phoneme","Fold_5","rf",0.3,0.2,0.985804416403785,0.971557319030576
"phoneme","Fold_5","rf",0.3,0.25,0.984227129337539,0.968401431405189
"phoneme","Fold_5","rf",0.3,0.3,0.981072555205047,0.962092297880397
"phoneme","Fold_5","rf",0.3,0.4,0.976340694006309,0.952608760651816
"phoneme","Fold_5","rf",0.3,0.5,0.971608832807571,0.943106697376686
"phoneme","Fold_5","rf",0.3,0.6,0.968454258675079,0.936802862810379
"phoneme","Fold_5","rf",0.3,0.7,0.963722397476341,0.927313148633695
"phoneme","Fold_5","rf",0.3,0.75,0.963722397476341,0.927313148633695
"phoneme","Fold_5","rf",0.3,0.8,0.960567823343849,0.921014601086361
"phoneme","Fold_5","rf",0.3,0.9,0.94794952681388,0.895768360850114
"phoneme","Fold_5","rf",0.3,1,0.94006309148265,0.879958943287925
