"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"phoneme","Fold_1","rpart",0.1,0.1,0.996850393700787,0.993645996978096
"phoneme","Fold_1","rpart",0.1,0.2,0.993700787401575,0.987291993956192
"phoneme","Fold_1","rpart",0.1,0.25,0.98740157480315,0.97459949198984
"phoneme","Fold_1","rpart",0.1,0.3,0.985826771653543,0.971415710105784
"phoneme","Fold_1","rpart",0.1,0.4,0.984251968503937,0.9682493649873
"phoneme","Fold_1","rpart",0.1,0.5,0.979527559055118,0.958686371757593
"phoneme","Fold_1","rpart",0.1,0.6,0.973228346456693,0.94594147958596
"phoneme","Fold_1","rpart",0.1,0.7,0.966929133858268,0.933221827723833
"phoneme","Fold_1","rpart",0.1,0.75,0.965354330708661,0.930020537995291
"phoneme","Fold_1","rpart",0.1,0.8,0.95748031496063,0.914194772111925
"phoneme","Fold_1","rpart",0.1,0.9,0.955905511811024,0.910989627137651
"phoneme","Fold_1","rpart",0.1,1,0.952755905511811,0.904631743361769
"phoneme","Fold_1","rpart",0.2,0.1,0.996850393700787,0.993494785584035
"phoneme","Fold_1","rpart",0.2,0.2,0.993700787401575,0.9870046148966
"phoneme","Fold_1","rpart",0.2,0.25,0.993700787401575,0.9870046148966
"phoneme","Fold_1","rpart",0.2,0.3,0.992125984251969,0.983746371729437
"phoneme","Fold_1","rpart",0.2,0.4,0.988976377952756,0.977271216514034
"phoneme","Fold_1","rpart",0.2,0.5,0.98740157480315,0.974039247751431
"phoneme","Fold_1","rpart",0.2,0.6,0.981102362204724,0.961058871627146
"phoneme","Fold_1","rpart",0.2,0.7,0.977952755905512,0.954516152138099
"phoneme","Fold_1","rpart",0.2,0.75,0.977952755905512,0.954516152138099
"phoneme","Fold_1","rpart",0.2,0.8,0.973228346456693,0.944737663880087
"phoneme","Fold_1","rpart",0.2,0.9,0.97007874015748,0.938236212571862
"phoneme","Fold_1","rpart",0.2,1,0.968503937007874,0.935023074482998
"phoneme","Fold_1","rpart",0.3,0.1,0.995275590551181,0.990236527176281
"phoneme","Fold_1","rpart",0.3,0.2,0.990551181102362,0.98046173885396
"phoneme","Fold_1","rpart",0.3,0.25,0.990551181102362,0.98046173885396
"phoneme","Fold_1","rpart",0.3,0.3,0.988976377952756,0.977192145272437
"phoneme","Fold_1","rpart",0.3,0.4,0.984251968503937,0.967436231423268
