"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"phoneme","Fold_1","simpls",0.1,0.1,1,1
"phoneme","Fold_1","simpls",0.1,0.2,0.996850393700787,0.993629934293023
"phoneme","Fold_1","simpls",0.1,0.25,0.996850393700787,0.993629934293023
"phoneme","Fold_1","simpls",0.1,0.3,0.996850393700787,0.993629934293023
"phoneme","Fold_1","simpls",0.1,0.4,0.993700787401575,0.987251044008994
"phoneme","Fold_1","simpls",0.1,0.5,0.992125984251969,0.984058283918198
"phoneme","Fold_1","simpls",0.1,0.6,0.990551181102362,0.980876566013492
"phoneme","Fold_1","simpls",0.1,0.7,0.990551181102362,0.980876566013492
"phoneme","Fold_1","simpls",0.1,0.75,0.990551181102362,0.980876566013492
"phoneme","Fold_1","simpls",0.1,0.8,0.990551181102362,0.980876566013492
"phoneme","Fold_1","simpls",0.1,0.9,0.985826771653543,0.971304911052756
"phoneme","Fold_1","simpls",0.1,1,0.985826771653543,0.971304911052756
"phoneme","Fold_1","simpls",0.2,0.1,0.996850393700787,0.993616422381728
"phoneme","Fold_1","simpls",0.2,0.2,0.992125984251969,0.984046909622603
"phoneme","Fold_1","simpls",0.2,0.25,0.990551181102362,0.980849267145184
"phoneme","Fold_1","simpls",0.2,0.3,0.990551181102362,0.980849267145184
"phoneme","Fold_1","simpls",0.2,0.4,0.984251968503937,0.968082111908639
"phoneme","Fold_1","simpls",0.2,0.5,0.984251968503937,0.968082111908639
"phoneme","Fold_1","simpls",0.2,0.6,0.977952755905512,0.955347725195134
"phoneme","Fold_1","simpls",0.2,0.7,0.976377952755906,0.952175812258055
"phoneme","Fold_1","simpls",0.2,0.75,0.974803149606299,0.94900622364987
"phoneme","Fold_1","simpls",0.2,0.8,0.974803149606299,0.94900622364987
"phoneme","Fold_1","simpls",0.2,0.9,0.974803149606299,0.94900622364987
"phoneme","Fold_1","simpls",0.2,1,0.971653543307087,0.942674009208269
"phoneme","Fold_1","simpls",0.3,0.1,0.992125984251969,0.984069322281373
"phoneme","Fold_1","simpls",0.3,0.2,0.98740157480315,0.974519481561735
"phoneme","Fold_1","simpls",0.3,0.25,0.985826771653543,0.971324780106472
"phoneme","Fold_1","simpls",0.3,0.3,0.985826771653543,0.971324780106472
"phoneme","Fold_1","simpls",0.3,0.4,0.982677165354331,0.964952509019021
"phoneme","Fold_1","simpls",0.3,0.5,0.977952755905512,0.955409092733036
"phoneme","Fold_1","simpls",0.3,0.6,0.971653543307087,0.942630273949226
"phoneme","Fold_1","simpls",0.3,0.7,0.968503937007874,0.936298703904338
"phoneme","Fold_1","simpls",0.3,0.75,0.968503937007874,0.936298703904338
"phoneme","Fold_1","simpls",0.3,0.8,0.965354330708661,0.929975639341961
"phoneme","Fold_1","simpls",0.3,0.9,0.960629921259842,0.92040013036829
"phoneme","Fold_1","simpls",0.3,1,0.95748031496063,0.914032140797754
"phoneme","Fold_2","simpls",0.1,0.1,1,1
"phoneme","Fold_2","simpls",0.1,0.2,1,1
"phoneme","Fold_2","simpls",0.1,0.25,0.998422712933754,0.996829461008371
"phoneme","Fold_2","simpls",0.1,0.3,0.996845425867508,0.99365752643531
"phoneme","Fold_2","simpls",0.1,0.4,0.995268138801262,0.990488383025114
"phoneme","Fold_2","simpls",0.1,0.5,0.993690851735016,0.98731505287062
"phoneme","Fold_2","simpls",0.1,0.6,0.993690851735016,0.98731505287062
"phoneme","Fold_2","simpls",0.1,0.7,0.990536277602524,0.980980950952452
"phoneme","Fold_2","simpls",0.1,0.75,0.988958990536278,0.977815989682786
"phoneme","Fold_2","simpls",0.1,0.8,0.988958990536278,0.977815989682786
"phoneme","Fold_2","simpls",0.1,0.9,0.987381703470032,0.974641267936603
"phoneme","Fold_2","simpls",0.1,1,0.984227129337539,0.968301584920754
"phoneme","Fold_2","simpls",0.2,0.1,0.996845425867508,0.9936545429069
"phoneme","Fold_2","simpls",0.2,0.2,0.996845425867508,0.9936545429069
"phoneme","Fold_2","simpls",0.2,0.25,0.995268138801262,0.99047962278884
"phoneme","Fold_2","simpls",0.2,0.3,0.993690851735016,0.987303240277166
"phoneme","Fold_2","simpls",0.2,0.4,0.990536277602524,0.980954860415749
"phoneme","Fold_2","simpls",0.2,0.5,0.988958990536278,0.977785786507293
"phoneme","Fold_2","simpls",0.2,0.6,0.988958990536278,0.977785786507293
"phoneme","Fold_2","simpls",0.2,0.7,0.984227129337539,0.968258100692915
"phoneme","Fold_2","simpls",0.2,0.75,0.981072555205047,0.9619272574414
"phoneme","Fold_2","simpls",0.2,0.8,0.977917981072555,0.955561340970081
"phoneme","Fold_2","simpls",0.2,0.9,0.974763406940063,0.949189557412194
"phoneme","Fold_2","simpls",0.2,1,0.970031545741325,0.939676498572788
"phoneme","Fold_2","simpls",0.3,0.1,0.996845425867508,0.993660316984151
"phoneme","Fold_2","simpls",0.3,0.2,0.995268138801262,0.990488383025114
"phoneme","Fold_2","simpls",0.3,0.25,0.99211356466877,0.984147305041857
"phoneme","Fold_2","simpls",0.3,0.3,0.99211356466877,0.984147305041857
"phoneme","Fold_2","simpls",0.3,0.4,0.990536277602524,0.980980950952452
"phoneme","Fold_2","simpls",0.3,0.5,0.984227129337539,0.968301584920754
"phoneme","Fold_2","simpls",0.3,0.6,0.979495268138801,0.958782993108829
"phoneme","Fold_2","simpls",0.3,0.7,0.971608832807571,0.942967945706604
"phoneme","Fold_2","simpls",0.3,0.75,0.970031545741325,0.939786257710418
"phoneme","Fold_2","simpls",0.3,0.8,0.968454258675079,0.936603169841508
"phoneme","Fold_2","simpls",0.3,0.9,0.966876971608833,0.9334186811758
"phoneme","Fold_2","simpls",0.3,1,0.962145110410095,0.923890317223717
"phoneme","Fold_3","simpls",0.1,0.1,0.998422712933754,0.996829461008371
"phoneme","Fold_3","simpls",0.1,0.2,0.998422712933754,0.996829461008371
"phoneme","Fold_3","simpls",0.1,0.25,0.998422712933754,0.996829461008371
"phoneme","Fold_3","simpls",0.1,0.3,0.995268138801262,0.990492757100441
"phoneme","Fold_3","simpls",0.1,0.4,0.995268138801262,0.990492757100441
"phoneme","Fold_3","simpls",0.1,0.5,0.993690851735016,0.98732659017311
"phoneme","Fold_3","simpls",0.1,0.6,0.993690851735016,0.98732659017311
"phoneme","Fold_3","simpls",0.1,0.7,0.988958990536278,0.977816433234362
"phoneme","Fold_3","simpls",0.1,0.75,0.988958990536278,0.977816433234362
"phoneme","Fold_3","simpls",0.1,0.8,0.988958990536278,0.977816433234362
"phoneme","Fold_3","simpls",0.1,0.9,0.987381703470032,0.97465318034622
"phoneme","Fold_3","simpls",0.1,1,0.984227129337539,0.968331035585127
"phoneme","Fold_3","simpls",0.2,0.1,0.995268138801262,0.990488383025114
"phoneme","Fold_3","simpls",0.2,0.2,0.993690851735016,0.987320760754355
"phoneme","Fold_3","simpls",0.2,0.25,0.99211356466877,0.984154595167402
"phoneme","Fold_3","simpls",0.2,0.3,0.984227129337539,0.968331035585127
"phoneme","Fold_3","simpls",0.2,0.4,0.981072555205047,0.961997242702152
"phoneme","Fold_3","simpls",0.2,0.5,0.979495268138801,0.958820884336748
"phoneme","Fold_3","simpls",0.2,0.6,0.976340694006309,0.952463785502204
"phoneme","Fold_3","simpls",0.2,0.7,0.974763406940063,0.94930636069244
"phoneme","Fold_3","simpls",0.2,0.75,0.974763406940063,0.94930636069244
"phoneme","Fold_3","simpls",0.2,0.8,0.971608832807571,0.942969655778995
"phoneme","Fold_3","simpls",0.2,0.9,0.968454258675079,0.936662071170253
"phoneme","Fold_3","simpls",0.2,1,0.962145110410095,0.924029397667359
"phoneme","Fold_3","simpls",0.3,0.1,0.987381703470032,0.974641521508709
"phoneme","Fold_3","simpls",0.3,0.2,0.984227129337539,0.968301901885887
"phoneme","Fold_3","simpls",0.3,0.25,0.981072555205047,0.96197977051933
"phoneme","Fold_3","simpls",0.3,0.3,0.979495268138801,0.958801947435244
"phoneme","Fold_3","simpls",0.3,0.4,0.976340694006309,0.952463785502204
"phoneme","Fold_3","simpls",0.3,0.5,0.970031545741325,0.939787461636125
"phoneme","Fold_3","simpls",0.3,0.6,0.968454258675079,0.936603803771774
"phoneme","Fold_3","simpls",0.3,0.7,0.960567823343849,0.920772975837007
"phoneme","Fold_3","simpls",0.3,0.75,0.960567823343849,0.920772975837007
"phoneme","Fold_3","simpls",0.3,0.8,0.957413249211357,0.914434813903968
"phoneme","Fold_3","simpls",0.3,0.9,0.95583596214511,0.911245325280483
"phoneme","Fold_3","simpls",0.3,1,0.946372239747634,0.892176870748299
"phoneme","Fold_4","simpls",0.1,0.1,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.2,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.25,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.3,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.4,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.5,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.6,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.7,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.75,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.8,0.996850393700787,0.993689440993789
"phoneme","Fold_4","simpls",0.1,0.9,0.995275590551181,0.990532985464033
"phoneme","Fold_4","simpls",0.1,1,0.995275590551181,0.990532985464033
"phoneme","Fold_4","simpls",0.2,0.1,0.998425196850394,0.996843355885526
"phoneme","Fold_4","simpls",0.2,0.2,0.995275590551181,0.990532985464033
"phoneme","Fold_4","simpls",0.2,0.25,0.995275590551181,0.990532985464033
"phoneme","Fold_4","simpls",0.2,0.3,0.995275590551181,0.990532985464033
"phoneme","Fold_4","simpls",0.2,0.4,0.992125984251969,0.984226502456691
"phoneme","Fold_4","simpls",0.2,0.5,0.990551181102362,0.981068887387208
"phoneme","Fold_4","simpls",0.2,0.6,0.988976377952756,0.977910299416077
"phoneme","Fold_4","simpls",0.2,0.7,0.985826771653543,0.971598956392098
"phoneme","Fold_4","simpls",0.2,0.75,0.984251968503937,0.968438422616977
"phoneme","Fold_4","simpls",0.2,0.8,0.982677165354331,0.96528761336812
"phoneme","Fold_4","simpls",0.2,0.9,0.979527559055118,0.958963626511834
"phoneme","Fold_4","simpls",0.2,1,0.976377952755906,0.952650338282885
"phoneme","Fold_4","simpls",0.3,0.1,0.990551181102362,0.981081671565901
"phoneme","Fold_4","simpls",0.3,0.2,0.988976377952756,0.977930918063879
"phoneme","Fold_4","simpls",0.3,0.25,0.985826771653543,0.97161954799847
"phoneme","Fold_4","simpls",0.3,0.3,0.984251968503937,0.968462875589769
"phoneme","Fold_4","simpls",0.3,0.4,0.979527559055118,0.959006013775568
"phoneme","Fold_4","simpls",0.3,0.5,0.977952755905512,0.955848025825677
"phoneme","Fold_4","simpls",0.3,0.6,0.976377952755906,0.952699246664118
"phoneme","Fold_4","simpls",0.3,0.7,0.974803149606299,0.949551124175737
"phoneme","Fold_4","simpls",0.3,0.75,0.973228346456693,0.946392479552666
"phoneme","Fold_4","simpls",0.3,0.8,0.97007874015748,0.940073213496317
"phoneme","Fold_4","simpls",0.3,0.9,0.965354330708661,0.930618326297492
"phoneme","Fold_4","simpls",0.3,1,0.962204724409449,0.924310901415446
"phoneme","Fold_5","simpls",0.1,0.1,1,1
"phoneme","Fold_5","simpls",0.1,0.2,0.998422712933754,0.996845237502861
"phoneme","Fold_5","simpls",0.1,0.25,0.998422712933754,0.996845237502861
"phoneme","Fold_5","simpls",0.1,0.3,0.998422712933754,0.996845237502861
"phoneme","Fold_5","simpls",0.1,0.4,0.996845425867508,0.993690600587152
"phoneme","Fold_5","simpls",0.1,0.5,0.990536277602524,0.981071048257879
"phoneme","Fold_5","simpls",0.1,0.6,0.988958990536278,0.977916662520028
"phoneme","Fold_5","simpls",0.1,0.7,0.988958990536278,0.977916662520028
"phoneme","Fold_5","simpls",0.1,0.75,0.988958990536278,0.977916662520028
"phoneme","Fold_5","simpls",0.1,0.8,0.988958990536278,0.977916662520028
"phoneme","Fold_5","simpls",0.1,0.9,0.988958990536278,0.977916662520028
"phoneme","Fold_5","simpls",0.1,1,0.988958990536278,0.977916662520028
"phoneme","Fold_5","simpls",0.2,0.1,0.996845425867508,0.993690286624204
"phoneme","Fold_5","simpls",0.2,0.2,0.995268138801262,0.990535147347154
"phoneme","Fold_5","simpls",0.2,0.25,0.995268138801262,0.990535147347154
"phoneme","Fold_5","simpls",0.2,0.3,0.99211356466877,0.984224303530372
