"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"phoneme","Fold_1","svmLinear",0.1,0.1,1,1
"phoneme","Fold_1","svmLinear",0.1,0.2,1,1
"phoneme","Fold_1","svmLinear",0.1,0.25,1,1
"phoneme","Fold_1","svmLinear",0.1,0.3,0.998425196850394,0.996829137974943
"phoneme","Fold_1","svmLinear",0.1,0.4,0.996850393700787,0.993656597138975
"phoneme","Fold_1","svmLinear",0.1,0.5,0.995275590551181,0.990487413924828
"phoneme","Fold_1","svmLinear",0.1,0.6,0.992125984251969,0.984137293597462
"phoneme","Fold_1","svmLinear",0.1,0.7,0.988976377952756,0.977780443791271
"phoneme","Fold_1","svmLinear",0.1,0.75,0.988976377952756,0.977780443791271
"phoneme","Fold_1","svmLinear",0.1,0.8,0.988976377952756,0.977780443791271
"phoneme","Fold_1","svmLinear",0.1,0.9,0.988976377952756,0.977780443791271
"phoneme","Fold_1","svmLinear",0.1,1,0.984251968503937,0.9682493649873
"phoneme","Fold_1","svmLinear",0.2,0.1,0.996850393700787,0.993530574403488
"phoneme","Fold_1","svmLinear",0.2,0.2,0.996850393700787,0.993530574403488
"phoneme","Fold_1","svmLinear",0.2,0.25,0.996850393700787,0.993530574403488
"phoneme","Fold_1","svmLinear",0.2,0.3,0.995275590551181,0.990290767309702
"phoneme","Fold_1","svmLinear",0.2,0.4,0.995275590551181,0.990290767309702
"phoneme","Fold_1","svmLinear",0.2,0.5,0.993700787401575,0.987061148806977
"phoneme","Fold_1","svmLinear",0.2,0.6,0.992125984251969,0.983834917596265
"phoneme","Fold_1","svmLinear",0.2,0.7,0.985826771653543,0.970872301929105
"phoneme","Fold_1","svmLinear",0.2,0.75,0.985826771653543,0.970872301929105
"phoneme","Fold_1","svmLinear",0.2,0.8,0.985826771653543,0.970872301929105
"phoneme","Fold_1","svmLinear",0.2,0.9,0.982677165354331,0.964436818711783
"phoneme","Fold_1","svmLinear",0.2,1,0.981102362204724,0.96118344642093
"phoneme","Fold_1","svmLinear",0.3,0.1,0.995275590551181,0.990413888539439
"phoneme","Fold_1","svmLinear",0.3,0.2,0.993700787401575,0.987213563690548
"phoneme","Fold_1","svmLinear",0.3,0.25,0.992125984251969,0.984010756857749
"phoneme","Fold_1","svmLinear",0.3,0.3,0.992125984251969,0.984010756857749
"phoneme","Fold_1","svmLinear",0.3,0.4,0.98740157480315,0.974407286870132
"phoneme","Fold_1","svmLinear",0.3,0.5,0.981102362204724,0.961610930305198
"phoneme","Fold_1","svmLinear",0.3,0.6,0.976377952755906,0.951995040747517
"phoneme","Fold_1","svmLinear",0.3,0.7,0.971653543307087,0.942371684985379
"phoneme","Fold_1","svmLinear",0.3,0.75,0.97007874015748,0.939193718280188
"phoneme","Fold_1","svmLinear",0.3,0.8,0.965354330708661,0.929620038892863
"phoneme","Fold_1","svmLinear",0.3,0.9,0.965354330708661,0.929620038892863
"phoneme","Fold_1","svmLinear",0.3,1,0.963779527559055,0.926392395812859
"phoneme","Fold_2","svmLinear",0.1,0.1,1,1
"phoneme","Fold_2","svmLinear",0.1,0.2,1,1
"phoneme","Fold_2","svmLinear",0.1,0.25,1,1
"phoneme","Fold_2","svmLinear",0.1,0.3,0.998422712933754,0.996766592886504
"phoneme","Fold_2","svmLinear",0.1,0.4,0.995268138801262,0.990309662825177
