"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","gcvEarth",0.1,0.1,1,1
"waveform-5000","Fold_1","gcvEarth",0.1,0.2,1,1
"waveform-5000","Fold_1","gcvEarth",0.1,0.25,1,1
"waveform-5000","Fold_1","gcvEarth",0.1,0.3,0.999,0.997767039719897
"waveform-5000","Fold_1","gcvEarth",0.1,0.4,0.998,0.995530866073464
"waveform-5000","Fold_1","gcvEarth",0.1,0.5,0.996,0.991048850896234
"waveform-5000","Fold_1","gcvEarth",0.1,0.6,0.996,0.991048850896234
"waveform-5000","Fold_1","gcvEarth",0.1,0.7,0.994,0.986573276344351
"waveform-5000","Fold_1","gcvEarth",0.1,0.75,0.994,0.986573276344351
"waveform-5000","Fold_1","gcvEarth",0.1,0.8,0.993,0.984346768278502
"waveform-5000","Fold_1","gcvEarth",0.1,0.9,0.992,0.982123464293854
"waveform-5000","Fold_1","gcvEarth",0.1,1,0.991,0.979903357479077
"waveform-5000","Fold_1","gcvEarth",0.2,0.1,0.998,0.995543691873031
"waveform-5000","Fold_1","gcvEarth",0.2,0.2,0.997,0.99331073849447
"waveform-5000","Fold_1","gcvEarth",0.2,0.25,0.996,0.991087383746062
"waveform-5000","Fold_1","gcvEarth",0.2,0.3,0.996,0.991087383746062
"waveform-5000","Fold_1","gcvEarth",0.2,0.4,0.993,0.984391723153764
"waveform-5000","Fold_1","gcvEarth",0.2,0.5,0.987,0.970971516358667
"waveform-5000","Fold_1","gcvEarth",0.2,0.6,0.986,0.968716062514245
"waveform-5000","Fold_1","gcvEarth",0.2,0.7,0.982,0.959835593696866
"waveform-5000","Fold_1","gcvEarth",0.2,0.75,0.981,0.957573754678052
"waveform-5000","Fold_1","gcvEarth",0.2,0.8,0.979,0.953175169461291
"waveform-5000","Fold_1","gcvEarth",0.2,0.9,0.977,0.948715661790938
"waveform-5000","Fold_1","gcvEarth",0.2,1,0.976,0.946447458262488
"waveform-5000","Fold_1","gcvEarth",0.3,0.1,0.999,0.997770246164823
"waveform-5000","Fold_1","gcvEarth",0.3,0.2,0.996,0.991061732146927
"waveform-5000","Fold_1","gcvEarth",0.3,0.25,0.993,0.984369278039282
"waveform-5000","Fold_1","gcvEarth",0.3,0.3,0.993,0.984369278039282
"waveform-5000","Fold_1","gcvEarth",0.3,0.4,0.987,0.970929712517218
"waveform-5000","Fold_1","gcvEarth",0.3,0.5,0.985,0.966457360596791
"waveform-5000","Fold_1","gcvEarth",0.3,0.6,0.981,0.957451382606125
