"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","svmRadial",0.1,0.1,0.999,0.997688694944714
"waveform-5000","Fold_1","svmRadial",0.1,0.2,0.999,0.997688694944714
"waveform-5000","Fold_1","svmRadial",0.1,0.25,0.999,0.997688694944714
"waveform-5000","Fold_1","svmRadial",0.1,0.3,0.999,0.997688694944714
"waveform-5000","Fold_1","svmRadial",0.1,0.4,0.999,0.997688694944714
"waveform-5000","Fold_1","svmRadial",0.1,0.5,0.998,0.995373476138703
"waveform-5000","Fold_1","svmRadial",0.1,0.6,0.997,0.993054333632769
"waveform-5000","Fold_1","svmRadial",0.1,0.7,0.997,0.993054333632769
"waveform-5000","Fold_1","svmRadial",0.1,0.75,0.997,0.993054333632769
"waveform-5000","Fold_1","svmRadial",0.1,0.8,0.996,0.990731257443959
"waveform-5000","Fold_1","svmRadial",0.1,0.9,0.995,0.988404237555428
"waveform-5000","Fold_1","svmRadial",0.1,1,0.993,0.983738326441481
"waveform-5000","Fold_1","svmRadial",0.2,0.1,0.998,0.995357582228825
"waveform-5000","Fold_1","svmRadial",0.2,0.2,0.997,0.993042413447623
"waveform-5000","Fold_1","svmRadial",0.2,0.25,0.996,0.990731257443959
"waveform-5000","Fold_1","svmRadial",0.2,0.3,0.995,0.988404022412705
"waveform-5000","Fold_1","svmRadial",0.2,0.4,0.994,0.986072746686474
"waveform-5000","Fold_1","svmRadial",0.2,0.5,0.99,0.976828143609897
"waveform-5000","Fold_1","svmRadial",0.2,0.6,0.989,0.974533028347055
"waveform-5000","Fold_1","svmRadial",0.2,0.7,0.989,0.974533028347055
"waveform-5000","Fold_1","svmRadial",0.2,0.75,0.988,0.972241884220899
"waveform-5000","Fold_1","svmRadial",0.2,0.8,0.988,0.972241884220899
"waveform-5000","Fold_1","svmRadial",0.2,0.9,0.985,0.96533234723121
"waveform-5000","Fold_1","svmRadial",0.2,1,0.982,0.958362826331349
"waveform-5000","Fold_1","svmRadial",0.3,0.1,0.999,0.99768078296767
"waveform-5000","Fold_1","svmRadial",0.3,0.2,0.997,0.993054333632769
"waveform-5000","Fold_1","svmRadial",0.3,0.25,0.994,0.986096692866677
"waveform-5000","Fold_1","svmRadial",0.3,0.3,0.994,0.986096692866677
"waveform-5000","Fold_1","svmRadial",0.3,0.4,0.993,0.983793445143127
"waveform-5000","Fold_1","svmRadial",0.3,0.5,0.989,0.974576349533592
"waveform-5000","Fold_1","svmRadial",0.3,0.6,0.987,0.969953867630608
"waveform-5000","Fold_1","svmRadial",0.3,0.7,0.985,0.965271668163844
"waveform-5000","Fold_1","svmRadial",0.3,0.75,0.985,0.965271668163844
"waveform-5000","Fold_1","svmRadial",0.3,0.8,0.985,0.965271668163844
"waveform-5000","Fold_1","svmRadial",0.3,0.9,0.979,0.951547257574779
"waveform-5000","Fold_1","svmRadial",0.3,1,0.978,0.949196379087382
"waveform-5000","Fold_2","svmRadial",0.1,0.1,1,1
"waveform-5000","Fold_2","svmRadial",0.1,0.2,0.997997997997998,0.995226946966077
"waveform-5000","Fold_2","svmRadial",0.1,0.25,0.997997997997998,0.995226946966077
"waveform-5000","Fold_2","svmRadial",0.1,0.3,0.997997997997998,0.995226946966077
"waveform-5000","Fold_2","svmRadial",0.1,0.4,0.996996996996997,0.992833555316966
"waveform-5000","Fold_2","svmRadial",0.1,0.5,0.996996996996997,0.992833555316966
"waveform-5000","Fold_2","svmRadial",0.1,0.6,0.996996996996997,0.992833555316966
"waveform-5000","Fold_2","svmRadial",0.1,0.7,0.994994994994995,0.988078787401462
"waveform-5000","Fold_2","svmRadial",0.1,0.75,0.994994994994995,0.988078787401462
"waveform-5000","Fold_2","svmRadial",0.1,0.8,0.994994994994995,0.988078787401462
"waveform-5000","Fold_2","svmRadial",0.1,0.9,0.994994994994995,0.988078787401462
"waveform-5000","Fold_2","svmRadial",0.1,1,0.994994994994995,0.988078787401462
"waveform-5000","Fold_2","svmRadial",0.2,0.1,1,1
"waveform-5000","Fold_2","svmRadial",0.2,0.2,0.998998998998999,0.997611185105655
"waveform-5000","Fold_2","svmRadial",0.2,0.25,0.998998998998999,0.997611185105655
"waveform-5000","Fold_2","svmRadial",0.2,0.3,0.998998998998999,0.997611185105655
"waveform-5000","Fold_2","svmRadial",0.2,0.4,0.997997997997998,0.995226946966077
"waveform-5000","Fold_2","svmRadial",0.2,0.5,0.996996996996997,0.992847272440877
"waveform-5000","Fold_2","svmRadial",0.2,0.6,0.996996996996997,0.992847272440877
"waveform-5000","Fold_2","svmRadial",0.2,0.7,0.993993993993994,0.985708222659882
"waveform-5000","Fold_2","svmRadial",0.2,0.75,0.993993993993994,0.985708222659882
"waveform-5000","Fold_2","svmRadial",0.2,0.8,0.993993993993994,0.985708222659882
"waveform-5000","Fold_2","svmRadial",0.2,0.9,0.992992992992993,0.983310302362047
"waveform-5000","Fold_2","svmRadial",0.2,1,0.991991991991992,0.980944296879843
"waveform-5000","Fold_2","svmRadial",0.3,0.1,0.996996996996997,0.992847340723858
"waveform-5000","Fold_2","svmRadial",0.3,0.2,0.995995995995996,0.990472284744211
"waveform-5000","Fold_2","svmRadial",0.3,0.25,0.995995995995996,0.990472284744211
"waveform-5000","Fold_2","svmRadial",0.3,0.3,0.994994994994995,0.988078901206429
"waveform-5000","Fold_2","svmRadial",0.3,0.4,0.992992992992993,0.983278295739588
"waveform-5000","Fold_2","svmRadial",0.3,0.5,0.991991991991992,0.980907879083234
"waveform-5000","Fold_2","svmRadial",0.3,0.6,0.98998998998999,0.976134848854043
"waveform-5000","Fold_2","svmRadial",0.3,0.7,0.987987987987988,0.971361818624851
"waveform-5000","Fold_2","svmRadial",0.3,0.75,0.987987987987988,0.971361818624851
"waveform-5000","Fold_2","svmRadial",0.3,0.8,0.987987987987988,0.971361818624851
"waveform-5000","Fold_2","svmRadial",0.3,0.9,0.986986986986987,0.968945406373521
"waveform-5000","Fold_2","svmRadial",0.3,1,0.985985985985986,0.96658878839566
"waveform-5000","Fold_3","svmRadial",0.1,0.1,1,1
"waveform-5000","Fold_3","svmRadial",0.1,0.2,0.999,0.997676774247507
"waveform-5000","Fold_3","svmRadial",0.1,0.25,0.999,0.997676774247507
"waveform-5000","Fold_3","svmRadial",0.1,0.3,0.999,0.997676774247507
"waveform-5000","Fold_3","svmRadial",0.1,0.4,0.999,0.997676774247507
"waveform-5000","Fold_3","svmRadial",0.1,0.5,0.998,0.995349529372373
"waveform-5000","Fold_3","svmRadial",0.1,0.6,0.997,0.993030322742522
"waveform-5000","Fold_3","svmRadial",0.1,0.7,0.996,0.990699058744745
"waveform-5000","Fold_3","svmRadial",0.1,0.75,0.995,0.988383871237536
"waveform-5000","Fold_3","svmRadial",0.1,0.8,0.995,0.988383871237536
"waveform-5000","Fold_3","svmRadial",0.1,0.9,0.995,0.988383871237536
"waveform-5000","Fold_3","svmRadial",0.1,1,0.994,0.986048588117117
"waveform-5000","Fold_3","svmRadial",0.2,0.1,0.999,0.997676774247507
"waveform-5000","Fold_3","svmRadial",0.2,0.2,0.997,0.993030322742522
"waveform-5000","Fold_3","svmRadial",0.2,0.25,0.997,0.993030322742522
"waveform-5000","Fold_3","svmRadial",0.2,0.3,0.997,0.993030322742522
"waveform-5000","Fold_3","svmRadial",0.2,0.4,0.995,0.988383871237536
"waveform-5000","Fold_3","svmRadial",0.2,0.5,0.994,0.986048588117117
"waveform-5000","Fold_3","svmRadial",0.2,0.6,0.993,0.98373741973255
"waveform-5000","Fold_3","svmRadial",0.2,0.7,0.993,0.98373741973255
"waveform-5000","Fold_3","svmRadial",0.2,0.75,0.992,0.981430242706728
"waveform-5000","Fold_3","svmRadial",0.2,0.8,0.991,0.979127046709031
"waveform-5000","Fold_3","svmRadial",0.2,0.9,0.989,0.974488612644371
"waveform-5000","Fold_3","svmRadial",0.2,1,0.989,0.974488612644371
"waveform-5000","Fold_3","svmRadial",0.3,0.1,0.997,0.993006014827249
"waveform-5000","Fold_3","svmRadial",0.3,0.2,0.994,0.986024215376158
"waveform-5000","Fold_3","svmRadial",0.3,0.25,0.994,0.986024215376158
"waveform-5000","Fold_3","svmRadial",0.3,0.3,0.989,0.97431058964203
"waveform-5000","Fold_3","svmRadial",0.3,0.4,0.984,0.962535415739808
"waveform-5000","Fold_3","svmRadial",0.3,0.5,0.983,0.960158989069501
"waveform-5000","Fold_3","svmRadial",0.3,0.6,0.982,0.957852342707284
"waveform-5000","Fold_3","svmRadial",0.3,0.7,0.981,0.955471811312972
"waveform-5000","Fold_3","svmRadial",0.3,0.75,0.981,0.955471811312972
"waveform-5000","Fold_3","svmRadial",0.3,0.8,0.981,0.955471811312972
"waveform-5000","Fold_3","svmRadial",0.3,0.9,0.98,0.953169269674761
"waveform-5000","Fold_3","svmRadial",0.3,1,0.975,0.941307389634415
"waveform-5000","Fold_4","svmRadial",0.1,0.1,1,1
"waveform-5000","Fold_4","svmRadial",0.1,0.2,0.998001998001998,0.995391238288174
"waveform-5000","Fold_4","svmRadial",0.1,0.25,0.998001998001998,0.995391238288174
"waveform-5000","Fold_4","svmRadial",0.1,0.3,0.997002997002997,0.993081075601287
"waveform-5000","Fold_4","svmRadial",0.1,0.4,0.997002997002997,0.993081075601287
"waveform-5000","Fold_4","svmRadial",0.1,0.5,0.996003996003996,0.990767045454546
"waveform-5000","Fold_4","svmRadial",0.1,0.6,0.995004995004995,0.988468459335479
"waveform-5000","Fold_4","svmRadial",0.1,0.7,0.994005994005994,0.986173714864523
"waveform-5000","Fold_4","svmRadial",0.1,0.75,0.994005994005994,0.986173714864523
"waveform-5000","Fold_4","svmRadial",0.1,0.8,0.994005994005994,0.986173714864523
"waveform-5000","Fold_4","svmRadial",0.1,0.9,0.994005994005994,0.986173714864523
"waveform-5000","Fold_4","svmRadial",0.1,1,0.994005994005994,0.986173714864523
"waveform-5000","Fold_4","svmRadial",0.2,0.1,0.999000999000999,0.997697543202692
"waveform-5000","Fold_4","svmRadial",0.2,0.2,0.993006993006993,0.983882802418845
"waveform-5000","Fold_4","svmRadial",0.2,0.25,0.992007992007992,0.981595712407726
"waveform-5000","Fold_4","svmRadial",0.2,0.3,0.991008991008991,0.979312435272424
"waveform-5000","Fold_4","svmRadial",0.2,0.4,0.99000999000999,0.976994640509657
"waveform-5000","Fold_4","svmRadial",0.2,0.5,0.989010989010989,0.974672975229613
"waveform-5000","Fold_4","svmRadial",0.2,0.6,0.988011988011988,0.972347429729045
"waveform-5000","Fold_4","svmRadial",0.2,0.7,0.988011988011988,0.972347429729045
"waveform-5000","Fold_4","svmRadial",0.2,0.75,0.987012987012987,0.970017994272246
"waveform-5000","Fold_4","svmRadial",0.2,0.8,0.986013986013986,0.96773866801722
"waveform-5000","Fold_4","svmRadial",0.2,0.9,0.985014985014985,0.965463148040381
"waveform-5000","Fold_4","svmRadial",0.2,1,0.984015984015984,0.963191424815452
