"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","C5.0",0.1,0.1,0.99896694214876,0.989147008700332
"wilt","Fold_1","C5.0",0.1,0.2,0.99896694214876,0.989147008700332
"wilt","Fold_1","C5.0",0.1,0.25,0.997933884297521,0.978504174809024
"wilt","Fold_1","C5.0",0.1,0.3,0.997933884297521,0.978504174809024
"wilt","Fold_1","C5.0",0.1,0.4,0.994834710743802,0.947777298230471
"wilt","Fold_1","C5.0",0.1,0.5,0.991735537190083,0.918737407656145
"wilt","Fold_1","C5.0",0.1,0.6,0.988636363636364,0.889277098411114
"wilt","Fold_1","C5.0",0.1,0.7,0.986570247933884,0.871476427812729
"wilt","Fold_1","C5.0",0.1,0.75,0.985537190082645,0.860346248969497
"wilt","Fold_1","C5.0",0.1,0.8,0.985537190082645,0.860346248969497
"wilt","Fold_1","C5.0",0.1,0.9,0.983471074380165,0.837474815312291
"wilt","Fold_1","C5.0",0.1,1,0.980371900826446,0.81215785603399
"wilt","Fold_1","C5.0",0.2,0.1,0.988636363636364,0.896645441838795
"wilt","Fold_1","C5.0",0.2,0.2,0.978305785123967,0.817921249686504
"wilt","Fold_1","C5.0",0.2,0.25,0.975206611570248,0.793504346434856
"wilt","Fold_1","C5.0",0.2,0.3,0.972107438016529,0.77291210509853
"wilt","Fold_1","C5.0",0.2,0.4,0.963842975206612,0.722267764042365
"wilt","Fold_1","C5.0",0.2,0.5,0.954545454545455,0.671727837467051
"wilt","Fold_1","C5.0",0.2,0.6,0.945247933884298,0.622153483576374
"wilt","Fold_1","C5.0",0.2,0.7,0.93698347107438,0.586139224536713
"wilt","Fold_1","C5.0",0.2,0.75,0.930785123966942,0.561333261187165
"wilt","Fold_1","C5.0",0.2,0.8,0.927685950413223,0.54956991105734
"wilt","Fold_1","C5.0",0.2,0.9,0.920454545454545,0.512900274473925
"wilt","Fold_1","C5.0",0.2,1,0.912190082644628,0.479872559927177
"wilt","Fold_1","C5.0",0.3,0.1,0.986570247933884,0.883692557950386
"wilt","Fold_1","C5.0",0.3,0.2,0.973140495867769,0.782948410576608
"wilt","Fold_1","C5.0",0.3,0.25,0.965909090909091,0.734384354420275
"wilt","Fold_1","C5.0",0.3,0.3,0.954545454545455,0.667307181578167
"wilt","Fold_1","C5.0",0.3,0.4,0.941115702479339,0.593636765355723
"wilt","Fold_1","C5.0",0.3,0.5,0.926652892561983,0.535144202153563
"wilt","Fold_1","C5.0",0.3,0.6,0.903925619834711,0.411684747091884
"wilt","Fold_1","C5.0",0.3,0.7,0.887396694214876,0.367479557825576
"wilt","Fold_1","C5.0",0.3,0.75,0.878099173553719,0.345683679899181
"wilt","Fold_1","C5.0",0.3,0.8,0.87396694214876,0.336606410587693
"wilt","Fold_1","C5.0",0.3,0.9,0.864669421487603,0.297867156873602
"wilt","Fold_1","C5.0",0.3,1,0.850206611570248,0.264930766491401
"wilt","Fold_2","C5.0",0.1,0.1,0.996897621509824,0.965405392513445
"wilt","Fold_2","C5.0",0.1,0.2,0.995863495346432,0.953386358158592
"wilt","Fold_2","C5.0",0.1,0.25,0.995863495346432,0.953386358158592
"wilt","Fold_2","C5.0",0.1,0.3,0.99482936918304,0.942342320855742
"wilt","Fold_2","C5.0",0.1,0.4,0.992761116856256,0.919279249198039
"wilt","Fold_2","C5.0",0.1,0.5,0.991726990692865,0.908702527910874
"wilt","Fold_2","C5.0",0.1,0.6,0.989658738366081,0.885878159888592
"wilt","Fold_2","C5.0",0.1,0.7,0.987590486039297,0.860159074475777
"wilt","Fold_2","C5.0",0.1,0.75,0.985522233712513,0.840229423844029
"wilt","Fold_2","C5.0",0.1,0.8,0.984488107549121,0.827026962567227
"wilt","Fold_2","C5.0",0.1,0.9,0.983453981385729,0.817405055821748
"wilt","Fold_2","C5.0",0.1,1,0.981385729058945,0.794580687799466
"wilt","Fold_2","C5.0",0.2,0.1,0.992761116856256,0.920933057667823
"wilt","Fold_2","C5.0",0.2,0.2,0.981385729058945,0.813847535934291
"wilt","Fold_2","C5.0",0.2,0.25,0.977249224405377,0.780707541335092
"wilt","Fold_2","C5.0",0.2,0.3,0.974146845915202,0.757383860381562
"wilt","Fold_2","C5.0",0.2,0.4,0.972078593588418,0.742507174768484
"wilt","Fold_2","C5.0",0.2,0.5,0.963805584281282,0.68268031764783
"wilt","Fold_2","C5.0",0.2,0.6,0.958634953464323,0.646079238722664
"wilt","Fold_2","C5.0",0.2,0.7,0.949327817993795,0.589505236985507
"wilt","Fold_2","C5.0",0.2,0.75,0.942088934850052,0.548032784148764
"wilt","Fold_2","C5.0",0.2,0.8,0.9358841778697,0.506827454593314
"wilt","Fold_2","C5.0",0.2,0.9,0.928645294725957,0.477530597383072
"wilt","Fold_2","C5.0",0.2,1,0.917269906928645,0.429498525073747
"wilt","Fold_2","C5.0",0.3,0.1,0.986556359875905,0.858941415410855
"wilt","Fold_2","C5.0",0.3,0.2,0.968976215098242,0.711400716275367
"wilt","Fold_2","C5.0",0.3,0.25,0.961737331954498,0.653139572083644
"wilt","Fold_2","C5.0",0.3,0.3,0.952430196483971,0.599420049710025
"wilt","Fold_2","C5.0",0.3,0.4,0.940020682523268,0.538645038167939
"wilt","Fold_2","C5.0",0.3,0.5,0.923474663908997,0.450981294787399
"wilt","Fold_2","C5.0",0.3,0.6,0.916235780765253,0.418607067835484
"wilt","Fold_2","C5.0",0.3,0.7,0.901758014477766,0.335424036576455
"wilt","Fold_2","C5.0",0.3,0.75,0.897621509824199,0.324582507284515
"wilt","Fold_2","C5.0",0.3,0.8,0.894519131334023,0.316797118514927
"wilt","Fold_2","C5.0",0.3,0.9,0.879007238883144,0.265412259685618
"wilt","Fold_2","C5.0",0.3,1,0.866597724922441,0.233704165566046
"wilt","Fold_3","C5.0",0.1,0.1,0.997936016511868,0.978505357024024
"wilt","Fold_3","C5.0",0.1,0.2,0.99484004127967,0.947780256733598
"wilt","Fold_3","C5.0",0.1,0.25,0.993808049535604,0.936741088915002
"wilt","Fold_3","C5.0",0.1,0.3,0.992776057791538,0.926892359427038
"wilt","Fold_3","C5.0",0.1,0.4,0.991744066047472,0.917227240694472
"wilt","Fold_3","C5.0",0.1,0.5,0.991744066047472,0.917227240694472
"wilt","Fold_3","C5.0",0.1,0.6,0.988648090815273,0.885116564813917
"wilt","Fold_3","C5.0",0.1,0.7,0.987616099071207,0.873482177830004
"wilt","Fold_3","C5.0",0.1,0.75,0.986584107327141,0.864228667507356
"wilt","Fold_3","C5.0",0.1,0.8,0.986584107327141,0.864228667507356
"wilt","Fold_3","C5.0",0.1,0.9,0.984520123839009,0.846234409216415
"wilt","Fold_3","C5.0",0.1,1,0.982456140350877,0.822452872894234
"wilt","Fold_3","C5.0",0.2,0.1,0.993808049535604,0.935516071072071
"wilt","Fold_3","C5.0",0.2,0.2,0.985552115583075,0.852395874135005
"wilt","Fold_3","C5.0",0.2,0.25,0.984520123839009,0.843340770200796
"wilt","Fold_3","C5.0",0.2,0.3,0.981424148606811,0.81376129156256
"wilt","Fold_3","C5.0",0.2,0.4,0.979360165118679,0.79685534591195
"wilt","Fold_3","C5.0",0.2,0.5,0.976264189886481,0.76850207223209
"wilt","Fold_3","C5.0",0.2,0.6,0.966976264189886,0.680810326724723
"wilt","Fold_3","C5.0",0.2,0.7,0.957688338493292,0.615241581684534
"wilt","Fold_3","C5.0",0.2,0.75,0.954592363261094,0.597302504816956
"wilt","Fold_3","C5.0",0.2,0.8,0.952528379772962,0.578998073217726
"wilt","Fold_3","C5.0",0.2,0.9,0.945304437564499,0.526641780727222
"wilt","Fold_3","C5.0",0.2,1,0.937048503611971,0.480282767534489
"wilt","Fold_3","C5.0",0.3,0.1,0.979360165118679,0.810712611345523
"wilt","Fold_3","C5.0",0.3,0.2,0.968008255933953,0.727515171306501
"wilt","Fold_3","C5.0",0.3,0.25,0.96078431372549,0.673737373737374
"wilt","Fold_3","C5.0",0.3,0.3,0.95562435500516,0.644555342290467
"wilt","Fold_3","C5.0",0.3,0.4,0.942208462332301,0.577955107564516
"wilt","Fold_3","C5.0",0.3,0.5,0.937048503611971,0.555367499379415
"wilt","Fold_3","C5.0",0.3,0.6,0.918472652218782,0.47264761196189
"wilt","Fold_3","C5.0",0.3,0.7,0.902992776057791,0.411452275723036
"wilt","Fold_3","C5.0",0.3,0.75,0.895768833849329,0.371171379556276
"wilt","Fold_3","C5.0",0.3,0.8,0.890608875128999,0.358045524430945
"wilt","Fold_3","C5.0",0.3,0.9,0.878224974200206,0.322345494630538
"wilt","Fold_3","C5.0",0.3,1,0.86171310629515,0.289293924466338
"wilt","Fold_4","C5.0",0.1,0.1,0.99896694214876,0.98935468261998
"wilt","Fold_4","C5.0",0.1,0.2,0.997933884297521,0.978911134833663
"wilt","Fold_4","C5.0",0.1,0.25,0.997933884297521,0.978911134833663
"wilt","Fold_4","C5.0",0.1,0.3,0.995867768595041,0.958606829017981
"wilt","Fold_4","C5.0",0.1,0.4,0.990702479338843,0.907723594458331
"wilt","Fold_4","C5.0",0.1,0.5,0.987603305785124,0.880274576900085
"wilt","Fold_4","C5.0",0.1,0.6,0.985537190082645,0.8627812316478
"wilt","Fold_4","C5.0",0.1,0.7,0.983471074380165,0.845893614057432
"wilt","Fold_4","C5.0",0.1,0.75,0.981404958677686,0.826630315814611
"wilt","Fold_4","C5.0",0.1,0.8,0.981404958677686,0.826630315814611
"wilt","Fold_4","C5.0",0.1,0.9,0.980371900826446,0.815400674482095
"wilt","Fold_4","C5.0",0.1,1,0.975206611570248,0.776576715200708
"wilt","Fold_4","C5.0",0.2,0.1,0.993801652892562,0.939044100669591
"wilt","Fold_4","C5.0",0.2,0.2,0.983471074380165,0.843178550454629
"wilt","Fold_4","C5.0",0.2,0.25,0.982438016528926,0.834832182431347
"wilt","Fold_4","C5.0",0.2,0.3,0.975206611570248,0.780253873365997
"wilt","Fold_4","C5.0",0.2,0.4,0.96797520661157,0.73162093514113
"wilt","Fold_4","C5.0",0.2,0.5,0.964876033057851,0.712363007114016
"wilt","Fold_4","C5.0",0.2,0.6,0.950413223140496,0.611641396833888
"wilt","Fold_4","C5.0",0.2,0.7,0.93698347107438,0.530366175675245
"wilt","Fold_4","C5.0",0.2,0.75,0.931818181818182,0.502205045893004
"wilt","Fold_4","C5.0",0.2,0.8,0.927685950413223,0.479097799849326
"wilt","Fold_4","C5.0",0.2,0.9,0.919421487603306,0.44195946844836
"wilt","Fold_4","C5.0",0.2,1,0.90599173553719,0.399176056530161
"wilt","Fold_4","C5.0",0.3,0.1,0.984504132231405,0.859083850931677
"wilt","Fold_4","C5.0",0.3,0.2,0.973140495867769,0.772884781980942
"wilt","Fold_4","C5.0",0.3,0.25,0.96797520661157,0.739369093941078
"wilt","Fold_4","C5.0",0.3,0.3,0.960743801652893,0.696461579086348
"wilt","Fold_4","C5.0",0.3,0.4,0.945247933884298,0.602171215880893
"wilt","Fold_4","C5.0",0.3,0.5,0.930785123966942,0.534508497932935
"wilt","Fold_4","C5.0",0.3,0.6,0.916322314049587,0.476218469431381
"wilt","Fold_4","C5.0",0.3,0.7,0.909090909090909,0.446914606274673
"wilt","Fold_4","C5.0",0.3,0.75,0.899793388429752,0.406982619240097
"wilt","Fold_4","C5.0",0.3,0.8,0.895661157024793,0.389194322271092
"wilt","Fold_4","C5.0",0.3,0.9,0.888429752066116,0.357269329136338
"wilt","Fold_4","C5.0",0.3,1,0.875,0.319656133828997
"wilt","Fold_5","C5.0",0.1,0.1,0.997931747673216,0.973921954639842
"wilt","Fold_5","C5.0",0.1,0.2,0.996897621509824,0.961346284526522
"wilt","Fold_5","C5.0",0.1,0.25,0.995863495346432,0.947843909279685
"wilt","Fold_5","C5.0",0.1,0.3,0.99482936918304,0.935577140877536
"wilt","Fold_5","C5.0",0.1,0.4,0.991726990692865,0.900460639748835
"wilt","Fold_5","C5.0",0.1,0.5,0.988624612202689,0.864681262482985
"wilt","Fold_5","C5.0",0.1,0.6,0.985522233712513,0.829702123377277
"wilt","Fold_5","C5.0",0.1,0.7,0.983453981385729,0.805373855288316
"wilt","Fold_5","C5.0",0.1,0.75,0.982419855222337,0.790871042019158
"wilt","Fold_5","C5.0",0.1,0.8,0.979317476732161,0.756717319110395
"wilt","Fold_5","C5.0",0.1,0.9,0.978283350568769,0.747378242209367
"wilt","Fold_5","C5.0",0.1,1,0.975180972078594,0.720560612628233
"wilt","Fold_5","C5.0",0.2,0.1,0.989658738366081,0.881019760316952
"wilt","Fold_5","C5.0",0.2,0.2,0.983453981385729,0.817611693976187
"wilt","Fold_5","C5.0",0.2,0.25,0.980351602895553,0.785660122026621
"wilt","Fold_5","C5.0",0.2,0.3,0.975180972078594,0.742602369016459
"wilt","Fold_5","C5.0",0.2,0.4,0.966907962771458,0.675972271670611
"wilt","Fold_5","C5.0",0.2,0.5,0.959669079627715,0.622654913300581
"wilt","Fold_5","C5.0",0.2,0.6,0.954498448810755,0.585342559204756
"wilt","Fold_5","C5.0",0.2,0.7,0.945191313340228,0.529085847123575
"wilt","Fold_5","C5.0",0.2,0.75,0.94105480868666,0.501686089086981
"wilt","Fold_5","C5.0",0.2,0.8,0.9358841778697,0.478914615491587
"wilt","Fold_5","C5.0",0.2,0.9,0.926577042399173,0.44207156033383
"wilt","Fold_5","C5.0",0.2,1,0.917269906928645,0.393264419381657
"wilt","Fold_5","C5.0",0.3,0.1,0.977249224405377,0.780870174282065
"wilt","Fold_5","C5.0",0.3,0.2,0.96277145811789,0.671256161822199
"wilt","Fold_5","C5.0",0.3,0.25,0.956566701137539,0.628817927580472
"wilt","Fold_5","C5.0",0.3,0.3,0.954498448810755,0.617305270732147
"wilt","Fold_5","C5.0",0.3,0.4,0.937952430196484,0.536862607362943
"wilt","Fold_5","C5.0",0.3,0.5,0.923474663908997,0.473249514162888
"wilt","Fold_5","C5.0",0.3,0.6,0.912099276111686,0.435237290348291
"wilt","Fold_5","C5.0",0.3,0.7,0.90382626680455,0.410624758334589
"wilt","Fold_5","C5.0",0.3,0.75,0.895553257497415,0.388185548282018
"wilt","Fold_5","C5.0",0.3,0.8,0.891416752843847,0.363955272966454
"wilt","Fold_5","C5.0",0.3,0.9,0.882109617373319,0.3421140579122
"wilt","Fold_5","C5.0",0.3,1,0.869700103412616,0.30918389331761
