dataset,fold,method,noise_levels,instance_level,accuracy,kappa
cmc,Fold_1,bayesglm,0.1,0.1,0.996610169491525,0.99241742706593
cmc,Fold_1,bayesglm,0.1,0.2,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.25,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.3,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.4,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.5,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.6,0.989830508474576,0.977365150003837
cmc,Fold_1,bayesglm,0.1,0.7,0.989830508474576,0.977365150003837
cmc,Fold_1,bayesglm,0.1,0.75,0.989830508474576,0.977365150003837
cmc,Fold_1,bayesglm,0.1,0.8,0.989830508474576,0.977365150003837
cmc,Fold_1,bayesglm,0.1,0.9,0.986440677966102,0.969894887233391
cmc,Fold_1,bayesglm,0.1,1,0.986440677966102,0.969894887233391
cmc,Fold_1,bayesglm,0.2,0.1,0.996610169491525,0.992299861658532
cmc,Fold_1,bayesglm,0.2,0.2,0.993220338983051,0.984640216598979
cmc,Fold_1,bayesglm,0.2,0.25,0.993220338983051,0.984640216598979
cmc,Fold_1,bayesglm,0.2,0.3,0.993220338983051,0.984640216598979
cmc,Fold_1,bayesglm,0.2,0.4,0.989830508474576,0.976899584975595
cmc,Fold_1,bayesglm,0.2,0.5,0.983050847457627,0.961701243735882
cmc,Fold_1,bayesglm,0.2,0.6,0.983050847457627,0.961701243735882
cmc,Fold_1,bayesglm,0.2,0.7,0.979661016949153,0.954161703009271
cmc,Fold_1,bayesglm,0.2,0.75,0.979661016949153,0.954161703009271
cmc,Fold_1,bayesglm,0.2,0.8,0.976271186440678,0.946381741230234
cmc,Fold_1,bayesglm,0.2,0.9,0.969491525423729,0.931421929484696
cmc,Fold_1,bayesglm,0.2,1,0.966101694915254,0.924000412201154
cmc,Fold_1,bayesglm,0.3,0.1,0.996610169491525,0.992379427036243
cmc,Fold_1,bayesglm,0.3,0.2,0.986440677966102,0.969441135339514
cmc,Fold_1,bayesglm,0.3,0.25,0.983050847457627,0.961897135181215
cmc,Fold_1,bayesglm,0.3,0.3,0.983050847457627,0.961897135181215
cmc,Fold_1,bayesglm,0.3,0.4,0.983050847457627,0.961897135181215
cmc,Fold_1,bayesglm,0.3,0.5,0.966101694915254,0.924362853187016
cmc,Fold_1,bayesglm,0.3,0.6,0.96271186440678,0.916591697725228
cmc,Fold_1,bayesglm,0.3,0.7,0.959322033898305,0.909235423824419
cmc,Fold_1,bayesglm,0.3,0.75,0.959322033898305,0.909235423824419
cmc,Fold_1,bayesglm,0.3,0.8,0.959322033898305,0.909235423824419
cmc,Fold_1,bayesglm,0.3,0.9,0.959322033898305,0.909235423824419
cmc,Fold_1,bayesglm,0.3,1,0.955932203389831,0.901426551857088
cmc,Fold_2,bayesglm,0.1,0.1,0.993197278911565,0.984085742124066
cmc,Fold_2,bayesglm,0.1,0.2,0.993197278911565,0.984085742124066
cmc,Fold_2,bayesglm,0.1,0.25,0.989795918367347,0.976054732041049
cmc,Fold_2,bayesglm,0.1,0.3,0.989795918367347,0.976054732041049
