dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
liver-disorders,C5.0,0.1,0.1,0.994,0.986,0.014,0.008,0.019
liver-disorders,C5.0,0.1,0.2,0.988,0.974,0.026,0.006,0.015
liver-disorders,C5.0,0.1,0.25,0.988,0.974,0.026,0.006,0.015
liver-disorders,C5.0,0.1,0.3,0.988,0.974,0.026,0.006,0.015
liver-disorders,C5.0,0.1,0.4,0.988,0.974,0.026,0.006,0.015
liver-disorders,C5.0,0.1,0.5,0.988,0.974,0.026,0.006,0.015
liver-disorders,C5.0,0.1,0.6,0.986,0.968,0.032,0.01,0.021
liver-disorders,C5.0,0.1,0.7,0.98,0.957,0.043,0.017,0.033
liver-disorders,C5.0,0.1,0.75,0.98,0.957,0.043,0.017,0.033
liver-disorders,C5.0,0.1,0.8,0.977,0.951,0.049,0.019,0.039
liver-disorders,C5.0,0.1,0.9,0.968,0.933,0.067,0.031,0.063
liver-disorders,C5.0,0.1,1,0.968,0.933,0.067,0.031,0.063
liver-disorders,C5.0,0.2,0.1,0.988,0.972,0.028,0.019,0.048
liver-disorders,C5.0,0.2,0.2,0.983,0.959,0.041,0.024,0.06
liver-disorders,C5.0,0.2,0.25,0.983,0.959,0.041,0.024,0.06
liver-disorders,C5.0,0.2,0.3,0.983,0.959,0.041,0.024,0.06
liver-disorders,C5.0,0.2,0.4,0.968,0.927,0.073,0.031,0.078
liver-disorders,C5.0,0.2,0.5,0.965,0.921,0.079,0.038,0.092
liver-disorders,C5.0,0.2,0.6,0.962,0.913,0.087,0.044,0.109
liver-disorders,C5.0,0.2,0.7,0.959,0.907,0.093,0.051,0.123
liver-disorders,C5.0,0.2,0.75,0.957,0.901,0.099,0.05,0.122
liver-disorders,C5.0,0.2,0.8,0.954,0.893,0.107,0.049,0.118
liver-disorders,C5.0,0.2,0.9,0.939,0.864,0.136,0.073,0.167
liver-disorders,C5.0,0.2,1,0.928,0.842,0.158,0.084,0.185
liver-disorders,C5.0,0.3,0.1,0.988,0.976,0.024,0.019,0.038
liver-disorders,C5.0,0.3,0.2,0.974,0.944,0.056,0.026,0.055
liver-disorders,C5.0,0.3,0.25,0.965,0.925,0.075,0.026,0.054
liver-disorders,C5.0,0.3,0.3,0.962,0.919,0.081,0.026,0.054
liver-disorders,C5.0,0.3,0.4,0.959,0.913,0.087,0.031,0.063
liver-disorders,C5.0,0.3,0.5,0.954,0.901,0.099,0.031,0.063
liver-disorders,C5.0,0.3,0.6,0.954,0.901,0.099,0.031,0.063
liver-disorders,C5.0,0.3,0.7,0.954,0.901,0.099,0.031,0.063
liver-disorders,C5.0,0.3,0.75,0.951,0.895,0.105,0.033,0.067
liver-disorders,C5.0,0.3,0.8,0.951,0.895,0.105,0.033,0.067
liver-disorders,C5.0,0.3,0.9,0.942,0.877,0.123,0.04,0.079
liver-disorders,C5.0,0.3,1,0.925,0.839,0.161,0.05,0.1
liver-disorders,JRip,0.1,0.1,0.997,0.994,0.006,0.006,0.013
liver-disorders,JRip,0.1,0.2,0.997,0.994,0.006,0.006,0.013
liver-disorders,JRip,0.1,0.25,0.994,0.988,0.012,0.008,0.016
liver-disorders,JRip,0.1,0.3,0.994,0.988,0.012,0.008,0.016
liver-disorders,JRip,0.1,0.4,0.991,0.982,0.018,0.013,0.027
liver-disorders,JRip,0.1,0.5,0.988,0.976,0.024,0.016,0.033
liver-disorders,JRip,0.1,0.6,0.983,0.964,0.036,0.012,0.025
