dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
phoneme,C5.0,0.1,0.1,0.998,0.996,0.004,0.002,0.004
phoneme,C5.0,0.1,0.2,0.994,0.989,0.011,0.004,0.008
phoneme,C5.0,0.1,0.25,0.993,0.987,0.013,0.005,0.01
phoneme,C5.0,0.1,0.3,0.992,0.984,0.016,0.005,0.011
phoneme,C5.0,0.1,0.4,0.988,0.975,0.025,0.003,0.007
phoneme,C5.0,0.1,0.5,0.985,0.969,0.031,0.004,0.009
phoneme,C5.0,0.1,0.6,0.982,0.964,0.036,0.003,0.006
phoneme,C5.0,0.1,0.7,0.98,0.959,0.041,0.003,0.005
phoneme,C5.0,0.1,0.75,0.978,0.956,0.044,0.002,0.005
phoneme,C5.0,0.1,0.8,0.977,0.954,0.046,0.002,0.005
phoneme,C5.0,0.1,0.9,0.974,0.948,0.052,0.002,0.004
phoneme,C5.0,0.1,1,0.969,0.937,0.063,0.001,0.003
phoneme,C5.0,0.2,0.1,0.995,0.99,0.01,0.003,0.006
phoneme,C5.0,0.2,0.2,0.987,0.975,0.025,0.004,0.007
phoneme,C5.0,0.2,0.25,0.984,0.968,0.032,0.006,0.012
phoneme,C5.0,0.2,0.3,0.981,0.962,0.038,0.006,0.012
phoneme,C5.0,0.2,0.4,0.973,0.946,0.054,0.008,0.015
phoneme,C5.0,0.2,0.5,0.968,0.936,0.064,0.007,0.013
phoneme,C5.0,0.2,0.6,0.965,0.93,0.07,0.007,0.015
phoneme,C5.0,0.2,0.7,0.96,0.92,0.08,0.008,0.016
phoneme,C5.0,0.2,0.75,0.957,0.914,0.086,0.009,0.018
phoneme,C5.0,0.2,0.8,0.955,0.91,0.09,0.009,0.019
phoneme,C5.0,0.2,0.9,0.951,0.901,0.099,0.009,0.018
phoneme,C5.0,0.2,1,0.942,0.883,0.117,0.009,0.018
phoneme,C5.0,0.3,0.1,0.995,0.99,0.01,0.003,0.007
phoneme,C5.0,0.3,0.2,0.991,0.982,0.018,0.006,0.012
phoneme,C5.0,0.3,0.25,0.989,0.978,0.022,0.006,0.011
phoneme,C5.0,0.3,0.3,0.985,0.97,0.03,0.007,0.014
phoneme,C5.0,0.3,0.4,0.978,0.956,0.044,0.01,0.02
phoneme,C5.0,0.3,0.5,0.971,0.942,0.058,0.009,0.018
phoneme,C5.0,0.3,0.6,0.964,0.929,0.071,0.009,0.018
phoneme,C5.0,0.3,0.7,0.955,0.91,0.09,0.008,0.017
phoneme,C5.0,0.3,0.75,0.953,0.906,0.094,0.008,0.017
phoneme,C5.0,0.3,0.8,0.949,0.897,0.103,0.008,0.016
phoneme,C5.0,0.3,0.9,0.941,0.882,0.118,0.009,0.019
phoneme,C5.0,0.3,1,0.937,0.873,0.127,0.011,0.021
phoneme,JRip,0.1,0.1,0.998,0.996,0.004,0.002,0.004
