"dataset_name","technique","most_important_attribute"
"badges2","C5.0","second_char_vowel"
"badges2","ctree","second_char_vowel"
"badges2","fda","second_char_vowel"
"badges2","gbm","second_char_vowel"
"badges2","gcvEarth","second_char_vowel"
"badges2","JRip","second_char_vowel"
"badges2","lvq","second_char_vowel"
"badges2","mlpML","second_char_vowel"
"badges2","multinom","second_char_vowel"
"badges2","naive_bayes","second_char_vowel"
"badges2","PART","second_char_vowel"
"badges2","rbfDDA","second_char_vowel"
"badges2","rda","second_char_vowel"
"badges2","rf","second_char_vowel"
"badges2","rpart","second_char_vowel"
"badges2","simpls","second_char_vowel"
"badges2","svmLinear","second_char_vowel"
"badges2","svmRadial","second_char_vowel"
"badges2","rfRules","second_char_vowel"
"badges2","knn","second_char_vowel"
"badges2","bayesglm","second_char_vowel"
