"dataset_name","technique","most_important_attribute"
"analcatdata_authorship","C5.0","her"
"analcatdata_authorship","ctree","be"
"analcatdata_authorship","fda","be"
"analcatdata_authorship","gbm","be"
"analcatdata_authorship","gcvEarth","be"
"analcatdata_authorship","JRip","any"
"analcatdata_authorship","lvq","at"
"analcatdata_authorship","mlpML","any"
"analcatdata_authorship","multinom","not"
"analcatdata_authorship","naive_bayes","to"
"analcatdata_authorship","PART","be"
"analcatdata_authorship","rbfDDA","her"
"analcatdata_authorship","rda","an"
"analcatdata_authorship","rf","a"
"analcatdata_authorship","rpart","her"
"analcatdata_authorship","simpls","any"
"analcatdata_authorship","svmLinear","any"
"analcatdata_authorship","svmRadial","at"
"analcatdata_authorship","rfRules","be"
"analcatdata_authorship","knn","her"
"analcatdata_authorship","bayesglm","at"
"badges2","C5.0","second_char_vowel"
"badges2","ctree","second_char_vowel"
"badges2","fda","second_char_vowel"
"badges2","gbm","second_char_vowel"
"badges2","gcvEarth","second_char_vowel"
"badges2","JRip","second_char_vowel"
"badges2","lvq","second_char_vowel"
"badges2","mlpML","second_char_vowel"
"badges2","multinom","second_char_vowel"
"badges2","naive_bayes","second_char_vowel"
"badges2","PART","second_char_vowel"
"badges2","rbfDDA","second_char_vowel"
"badges2","rda","second_char_vowel"
"badges2","rf","second_char_vowel"
"badges2","rpart","second_char_vowel"
"badges2","simpls","second_char_vowel"
"badges2","svmLinear","second_char_vowel"
"badges2","svmRadial","second_char_vowel"
"badges2","rfRules","second_char_vowel"
"badges2","knn","second_char_vowel"
"badges2","bayesglm","second_char_vowel"
"banknote","C5.0","variance"
"banknote","ctree","variance"
"banknote","fda","variance"
"banknote","gbm","variance"
"banknote","gcvEarth","variance"
"banknote","JRip","variance"
"banknote","lvq","variance"
"banknote","mlpML","variance"
"banknote","multinom","variance"
"banknote","naive_bayes","variance"
"banknote","PART","variance"
"banknote","rbfDDA","variance"
"banknote","rda","variance"
"banknote","rf","variance"
"banknote","rpart","variance"
"banknote","simpls","variance"
"banknote","svmLinear","variance"
"banknote","svmRadial","skewness"
"banknote","rfRules","variance"
"banknote","knn","variance"
"banknote","bayesglm","variance"
"blood-transfusion-service-center","C5.0","V2"
"blood-transfusion-service-center","ctree","V3"
"blood-transfusion-service-center","fda","V3"
