"V1","V2","V3","V4","class","dataset_name","altered_attribute","noise_level"
2,50,11747.01,98,"2","blood-transfusion-service-center","V3",0.8
0,13,5384.56,28,"2","blood-transfusion-service-center","V3",0.8
1,16,3040.52,35,"2","blood-transfusion-service-center","V3",0.8
2,20,5029.37,45,"2","blood-transfusion-service-center","V3",0.8
1,24,7434.9,77,"1","blood-transfusion-service-center","V3",0.8
4,4,2341.24,4,"1","blood-transfusion-service-center","V3",0.8
2,7,5222.83,14,"2","blood-transfusion-service-center","V3",0.8
1,12,3578.28,35,"1","blood-transfusion-service-center","V3",0.8
2,9,1749.23,22,"2","blood-transfusion-service-center","V3",0.8
5,46,9567.82,98,"2","blood-transfusion-service-center","V3",0.8
4,23,5770.54,58,"1","blood-transfusion-service-center","V3",0.8
0,3,365.42,4,"1","blood-transfusion-service-center","V3",0.8
2,10,2796.2,28,"2","blood-transfusion-service-center","V3",0.8
1,13,4642.34,47,"1","blood-transfusion-service-center","V3",0.8
2,6,611.04,15,"2","blood-transfusion-service-center","V3",0.8
2,5,1833.61,11,"2","blood-transfusion-service-center","V3",0.8
2,14,3056.53,48,"2","blood-transfusion-service-center","V3",0.8
2,15,4407.02,49,"2","blood-transfusion-service-center","V3",0.8
2,6,1883.09,15,"2","blood-transfusion-service-center","V3",0.8
2,3,1227.7,4,"2","blood-transfusion-service-center","V3",0.8
2,3,-107.96,4,"2","blood-transfusion-service-center","V3",0.8
4,11,1724.55,28,"1","blood-transfusion-service-center","V3",0.8
2,6,1686.37,16,"2","blood-transfusion-service-center","V3",0.8
2,6,2114.1,16,"2","blood-transfusion-service-center","V3",0.8
9,9,1789.1,16,"1","blood-transfusion-service-center","V3",0.8
4,14,4694.23,40,"1","blood-transfusion-service-center","V3",0.8
4,6,391.25,14,"1","blood-transfusion-service-center","V3",0.8
4,12,2416.54,34,"2","blood-transfusion-service-center","V3",0.8
4,5,985.13,11,"2","blood-transfusion-service-center","V3",0.8
4,8,25.02,21,"1","blood-transfusion-service-center","V3",0.8
1,14,4641.97,58,"1","blood-transfusion-service-center","V3",0.8
4,10,1385.85,28,"2","blood-transfusion-service-center","V3",0.8
4,10,1679.59,28,"2","blood-transfusion-service-center","V3",0.8
4,9,1943.75,26,"2","blood-transfusion-service-center","V3",0.8
2,16,2716.63,64,"1","blood-transfusion-service-center","V3",0.8
2,8,1696.44,28,"2","blood-transfusion-service-center","V3",0.8
2,12,3916.86,47,"2","blood-transfusion-service-center","V3",0.8
4,6,144.01,16,"2","blood-transfusion-service-center","V3",0.8
2,14,2335.57,57,"2","blood-transfusion-service-center","V3",0.8
4,7,856.69,22,"2","blood-transfusion-service-center","V3",0.8
2,13,2514.03,53,"2","blood-transfusion-service-center","V3",0.8
2,5,516.86,16,"1","blood-transfusion-service-center","V3",0.8
2,5,652.35,16,"2","blood-transfusion-service-center","V3",0.8
2,5,2063.44,16,"1","blood-transfusion-service-center","V3",0.8
4,20,3397.16,69,"2","blood-transfusion-service-center","V3",0.8
4,9,3607.5,28,"2","blood-transfusion-service-center","V3",0.8
2,9,4010.55,36,"1","blood-transfusion-service-center","V3",0.8
2,2,691.04,2,"1","blood-transfusion-service-center","V3",0.8
2,2,706.33,2,"1","blood-transfusion-service-center","V3",0.8
2,2,829.71,2,"1","blood-transfusion-service-center","V3",0.8
2,11,2288.39,46,"1","blood-transfusion-service-center","V3",0.8
2,11,3055.88,46,"2","blood-transfusion-service-center","V3",0.8
2,6,-83.63,22,"1","blood-transfusion-service-center","V3",0.8
2,12,3764.47,52,"1","blood-transfusion-service-center","V3",0.8
4,5,1294.39,14,"2","blood-transfusion-service-center","V3",0.8
4,19,6508.74,69,"2","blood-transfusion-service-center","V3",0.8
4,8,284.58,26,"2","blood-transfusion-service-center","V3",0.8
2,7,2201.33,28,"2","blood-transfusion-service-center","V3",0.8
2,16,3967.81,81,"1","blood-transfusion-service-center","V3",0.8
3,6,2105.21,21,"1","blood-transfusion-service-center","V3",0.8
2,7,1448.32,29,"1","blood-transfusion-service-center","V3",0.8
2,8,-535.82,35,"2","blood-transfusion-service-center","V3",0.8
2,10,4665.53,49,"1","blood-transfusion-service-center","V3",0.8
4,5,3228.51,16,"2","blood-transfusion-service-center","V3",0.8
2,3,-550.05,9,"2","blood-transfusion-service-center","V3",0.8
3,16,3452.43,74,"1","blood-transfusion-service-center","V3",0.8
2,4,217.27,14,"2","blood-transfusion-service-center","V3",0.8
0,2,72.3,4,"1","blood-transfusion-service-center","V3",0.8
4,7,2693.02,25,"1","blood-transfusion-service-center","V3",0.8
1,9,2366.17,51,"1","blood-transfusion-service-center","V3",0.8
2,4,-1488.22,16,"1","blood-transfusion-service-center","V3",0.8
2,4,1783.7,16,"1","blood-transfusion-service-center","V3",0.8
4,17,5486.01,71,"2","blood-transfusion-service-center","V3",0.8
2,2,1499.44,4,"1","blood-transfusion-service-center","V3",0.8
2,2,962.11,4,"2","blood-transfusion-service-center","V3",0.8
2,2,1126.74,4,"2","blood-transfusion-service-center","V3",0.8
2,4,1305.68,16,"2","blood-transfusion-service-center","V3",0.8
2,2,1353.65,4,"1","blood-transfusion-service-center","V3",0.8
2,2,1305.48,4,"1","blood-transfusion-service-center","V3",0.8
2,2,-728.63,4,"1","blood-transfusion-service-center","V3",0.8
4,6,758.33,23,"2","blood-transfusion-service-center","V3",0.8
2,4,205.5,16,"1","blood-transfusion-service-center","V3",0.8
2,4,2132.86,16,"1","blood-transfusion-service-center","V3",0.8
2,4,-1176.44,16,"1","blood-transfusion-service-center","V3",0.8
2,6,777.89,28,"2","blood-transfusion-service-center","V3",0.8
2,6,3266.99,28,"1","blood-transfusion-service-center","V3",0.8
4,2,2112.52,4,"1","blood-transfusion-service-center","V3",0.8
4,2,-30.02,4,"1","blood-transfusion-service-center","V3",0.8
4,2,594.29,4,"1","blood-transfusion-service-center","V3",0.8
2,7,418.06,35,"2","blood-transfusion-service-center","V3",0.8
4,2,1997.3,4,"2","blood-transfusion-service-center","V3",0.8
4,2,388.93,4,"1","blood-transfusion-service-center","V3",0.8
4,2,2312.68,4,"1","blood-transfusion-service-center","V3",0.8
4,2,345.65,4,"1","blood-transfusion-service-center","V3",0.8
12,11,2291.38,23,"1","blood-transfusion-service-center","V3",0.8
4,7,1743.91,28,"1","blood-transfusion-service-center","V3",0.8
3,17,5853.53,86,"1","blood-transfusion-service-center","V3",0.8
4,9,971.55,38,"2","blood-transfusion-service-center","V3",0.8
4,4,1849.24,14,"2","blood-transfusion-service-center","V3",0.8
5,7,1280.2,26,"2","blood-transfusion-service-center","V3",0.8
4,8,-646.69,34,"2","blood-transfusion-service-center","V3",0.8
2,13,1876.22,76,"2","blood-transfusion-service-center","V3",0.8
4,9,2173.58,40,"1","blood-transfusion-service-center","V3",0.8
2,5,623.52,26,"1","blood-transfusion-service-center","V3",0.8
2,5,1405.79,26,"1","blood-transfusion-service-center","V3",0.8
6,17,3212.04,70,"1","blood-transfusion-service-center","V3",0.8
0,8,1394.13,59,"1","blood-transfusion-service-center","V3",0.8
3,5,1092.77,26,"1","blood-transfusion-service-center","V3",0.8
2,3,-52.07,14,"1","blood-transfusion-service-center","V3",0.8
2,10,2473.44,64,"1","blood-transfusion-service-center","V3",0.8
4,5,672.46,23,"2","blood-transfusion-service-center","V3",0.8
4,9,3148.16,46,"1","blood-transfusion-service-center","V3",0.8
4,5,528.44,23,"1","blood-transfusion-service-center","V3",0.8
4,8,-46.51,40,"2","blood-transfusion-service-center","V3",0.8
2,12,2822.31,82,"1","blood-transfusion-service-center","V3",0.8
11,24,4974.79,64,"1","blood-transfusion-service-center","V3",0.8
2,7,1577.41,46,"2","blood-transfusion-service-center","V3",0.8
4,11,2307.42,61,"1","blood-transfusion-service-center","V3",0.8
1,7,1395.55,57,"1","blood-transfusion-service-center","V3",0.8
2,11,4985.54,79,"2","blood-transfusion-service-center","V3",0.8
2,3,998.99,16,"2","blood-transfusion-service-center","V3",0.8
4,5,939.63,26,"2","blood-transfusion-service-center","V3",0.8
2,6,2773.87,41,"2","blood-transfusion-service-center","V3",0.8
2,5,1166.23,33,"2","blood-transfusion-service-center","V3",0.8
2,4,-575.15,26,"1","blood-transfusion-service-center","V3",0.8
2,5,1244.57,34,"1","blood-transfusion-service-center","V3",0.8
4,8,1528.14,46,"2","blood-transfusion-service-center","V3",0.8
2,4,1668.37,26,"1","blood-transfusion-service-center","V3",0.8
4,8,907.16,48,"2","blood-transfusion-service-center","V3",0.8
2,2,-322.7,10,"2","blood-transfusion-service-center","V3",0.8
4,5,367.47,28,"1","blood-transfusion-service-center","V3",0.8
2,12,3311.94,95,"1","blood-transfusion-service-center","V3",0.8
2,2,875.14,10,"1","blood-transfusion-service-center","V3",0.8
4,6,446.96,35,"1","blood-transfusion-service-center","V3",0.8
2,11,3469.93,88,"1","blood-transfusion-service-center","V3",0.8
2,3,427.68,19,"1","blood-transfusion-service-center","V3",0.8
2,5,774.96,37,"1","blood-transfusion-service-center","V3",0.8
2,12,2517.27,98,"1","blood-transfusion-service-center","V3",0.8
9,5,1117.22,19,"1","blood-transfusion-service-center","V3",0.8
2,2,-951.52,11,"1","blood-transfusion-service-center","V3",0.8
2,9,2308.16,74,"1","blood-transfusion-service-center","V3",0.8
5,14,2957.37,86,"1","blood-transfusion-service-center","V3",0.8
4,3,-301.54,16,"1","blood-transfusion-service-center","V3",0.8
4,3,2555.42,16,"1","blood-transfusion-service-center","V3",0.8
4,2,501.95,9,"2","blood-transfusion-service-center","V3",0.8
4,3,957.46,16,"2","blood-transfusion-service-center","V3",0.8
6,3,-442.39,14,"1","blood-transfusion-service-center","V3",0.8
2,2,1089.41,11,"1","blood-transfusion-service-center","V3",0.8
2,2,-113.61,11,"2","blood-transfusion-service-center","V3",0.8
