"V1","V2","V3","V4","class","dataset_name","altered_attribute","noise_level"
2,50,12500,143.13,"2","blood-transfusion-service-center","V4",1
0,13,3250,19.8,"2","blood-transfusion-service-center","V4",1
1,16,4000,36.7,"2","blood-transfusion-service-center","V4",1
2,20,5000,40.89,"2","blood-transfusion-service-center","V4",1
1,24,6000,84.52,"1","blood-transfusion-service-center","V4",1
4,4,1000,-45.83,"1","blood-transfusion-service-center","V4",1
2,7,1750,-6.91,"2","blood-transfusion-service-center","V4",1
1,12,3000,61.7,"1","blood-transfusion-service-center","V4",1
2,9,2250,34.99,"2","blood-transfusion-service-center","V4",1
5,46,11500,118.81,"2","blood-transfusion-service-center","V4",1
4,23,5750,36.79,"1","blood-transfusion-service-center","V4",1
0,3,750,5.56,"1","blood-transfusion-service-center","V4",1
2,10,2500,50.42,"2","blood-transfusion-service-center","V4",1
1,13,3250,56.71,"1","blood-transfusion-service-center","V4",1
2,6,1500,13.76,"2","blood-transfusion-service-center","V4",1
2,5,1250,37.23,"2","blood-transfusion-service-center","V4",1
2,14,3500,46.08,"2","blood-transfusion-service-center","V4",1
2,15,3750,54.74,"2","blood-transfusion-service-center","V4",1
2,6,1500,-22.44,"2","blood-transfusion-service-center","V4",1
2,3,750,13.96,"2","blood-transfusion-service-center","V4",1
2,3,750,3.23,"2","blood-transfusion-service-center","V4",1
4,11,2750,24.02,"1","blood-transfusion-service-center","V4",1
2,6,1500,45.22,"2","blood-transfusion-service-center","V4",1
2,6,1500,39.5,"2","blood-transfusion-service-center","V4",1
9,9,2250,-21,"1","blood-transfusion-service-center","V4",1
4,14,3500,4.92,"1","blood-transfusion-service-center","V4",1
4,6,1500,9.1,"1","blood-transfusion-service-center","V4",1
4,12,3000,75.09,"2","blood-transfusion-service-center","V4",1
4,5,1250,5.31,"2","blood-transfusion-service-center","V4",1
4,8,2000,54.45,"1","blood-transfusion-service-center","V4",1
1,14,3500,84.55,"1","blood-transfusion-service-center","V4",1
4,10,2500,-10.04,"2","blood-transfusion-service-center","V4",1
4,10,2500,8.15,"2","blood-transfusion-service-center","V4",1
4,9,2250,25.46,"2","blood-transfusion-service-center","V4",1
2,16,4000,88.05,"1","blood-transfusion-service-center","V4",1
2,8,2000,6.05,"2","blood-transfusion-service-center","V4",1
2,12,3000,58.75,"2","blood-transfusion-service-center","V4",1
4,6,1500,-6.01,"2","blood-transfusion-service-center","V4",1
2,14,3500,48.24,"2","blood-transfusion-service-center","V4",1
4,7,1750,18.64,"2","blood-transfusion-service-center","V4",1
2,13,3250,42.15,"2","blood-transfusion-service-center","V4",1
2,5,1250,67.23,"1","blood-transfusion-service-center","V4",1
2,5,1250,19.23,"2","blood-transfusion-service-center","V4",1
2,5,1250,18.54,"1","blood-transfusion-service-center","V4",1
4,20,5000,81.13,"2","blood-transfusion-service-center","V4",1
4,9,2250,16.92,"2","blood-transfusion-service-center","V4",1
2,9,2250,47.26,"1","blood-transfusion-service-center","V4",1
2,2,500,-10,"1","blood-transfusion-service-center","V4",1
2,2,500,46.42,"1","blood-transfusion-service-center","V4",1
2,2,500,-27.5,"1","blood-transfusion-service-center","V4",1
2,11,2750,72.2,"1","blood-transfusion-service-center","V4",1
2,11,2750,34.62,"2","blood-transfusion-service-center","V4",1
2,6,1500,29.5,"1","blood-transfusion-service-center","V4",1
2,12,3000,-6.45,"1","blood-transfusion-service-center","V4",1
4,5,1250,-22.29,"2","blood-transfusion-service-center","V4",1
4,19,4750,53.01,"2","blood-transfusion-service-center","V4",1
4,8,2000,69.72,"2","blood-transfusion-service-center","V4",1
2,7,1750,39.4,"2","blood-transfusion-service-center","V4",1
2,16,4000,106.5,"1","blood-transfusion-service-center","V4",1
3,6,1500,-1.04,"1","blood-transfusion-service-center","V4",1
2,7,1750,23.12,"1","blood-transfusion-service-center","V4",1
2,8,2000,57.59,"2","blood-transfusion-service-center","V4",1
2,10,2500,61.42,"1","blood-transfusion-service-center","V4",1
4,5,1250,56.52,"2","blood-transfusion-service-center","V4",1
2,3,750,0.94,"2","blood-transfusion-service-center","V4",1
3,16,4000,110.81,"1","blood-transfusion-service-center","V4",1
2,4,1000,-33.55,"2","blood-transfusion-service-center","V4",1
0,2,500,32.47,"1","blood-transfusion-service-center","V4",1
4,7,1750,31.04,"1","blood-transfusion-service-center","V4",1
1,9,2250,53.93,"1","blood-transfusion-service-center","V4",1
2,4,1000,-11.53,"1","blood-transfusion-service-center","V4",1
2,4,1000,33.25,"1","blood-transfusion-service-center","V4",1
4,17,4250,73.69,"2","blood-transfusion-service-center","V4",1
2,2,500,16.73,"1","blood-transfusion-service-center","V4",1
2,2,500,10.2,"2","blood-transfusion-service-center","V4",1
2,2,500,-3.55,"2","blood-transfusion-service-center","V4",1
2,4,1000,32.95,"2","blood-transfusion-service-center","V4",1
2,2,500,28.84,"1","blood-transfusion-service-center","V4",1
2,2,500,33.44,"1","blood-transfusion-service-center","V4",1
2,2,500,13.89,"1","blood-transfusion-service-center","V4",1
4,6,1500,12.09,"2","blood-transfusion-service-center","V4",1
2,4,1000,-12.88,"1","blood-transfusion-service-center","V4",1
2,4,1000,0.4,"1","blood-transfusion-service-center","V4",1
2,4,1000,33.6,"1","blood-transfusion-service-center","V4",1
2,6,1500,48.71,"2","blood-transfusion-service-center","V4",1
2,6,1500,6.86,"1","blood-transfusion-service-center","V4",1
4,2,500,4.8,"1","blood-transfusion-service-center","V4",1
4,2,500,-7.32,"1","blood-transfusion-service-center","V4",1
4,2,500,-27.64,"1","blood-transfusion-service-center","V4",1
2,7,1750,16.94,"2","blood-transfusion-service-center","V4",1
4,2,500,23.6,"2","blood-transfusion-service-center","V4",1
4,2,500,-4.24,"1","blood-transfusion-service-center","V4",1
4,2,500,2.01,"1","blood-transfusion-service-center","V4",1
4,2,500,-2.92,"1","blood-transfusion-service-center","V4",1
12,11,2750,-6.21,"1","blood-transfusion-service-center","V4",1
4,7,1750,-11.36,"1","blood-transfusion-service-center","V4",1
3,17,4250,100.6,"1","blood-transfusion-service-center","V4",1
4,9,2250,27.49,"2","blood-transfusion-service-center","V4",1
4,4,1000,-1.67,"2","blood-transfusion-service-center","V4",1
5,7,1750,32.38,"2","blood-transfusion-service-center","V4",1
4,8,2000,36.47,"2","blood-transfusion-service-center","V4",1
2,13,3250,128.8,"2","blood-transfusion-service-center","V4",1
4,9,2250,46.11,"1","blood-transfusion-service-center","V4",1
2,5,1250,62.08,"1","blood-transfusion-service-center","V4",1
2,5,1250,33.49,"1","blood-transfusion-service-center","V4",1
6,17,4250,79.39,"1","blood-transfusion-service-center","V4",1
0,8,2000,60.61,"1","blood-transfusion-service-center","V4",1
3,5,1250,31.37,"1","blood-transfusion-service-center","V4",1
2,3,750,18.31,"1","blood-transfusion-service-center","V4",1
2,10,2500,71.8,"1","blood-transfusion-service-center","V4",1
4,5,1250,21.82,"2","blood-transfusion-service-center","V4",1
4,9,2250,66.67,"1","blood-transfusion-service-center","V4",1
4,5,1250,31.38,"1","blood-transfusion-service-center","V4",1
4,8,2000,60.07,"2","blood-transfusion-service-center","V4",1
2,12,3000,52.02,"1","blood-transfusion-service-center","V4",1
11,24,6000,56.15,"1","blood-transfusion-service-center","V4",1
2,7,1750,51.76,"2","blood-transfusion-service-center","V4",1
4,11,2750,65.33,"1","blood-transfusion-service-center","V4",1
1,7,1750,31.05,"1","blood-transfusion-service-center","V4",1
2,11,2750,56.86,"2","blood-transfusion-service-center","V4",1
2,3,750,51.34,"2","blood-transfusion-service-center","V4",1
4,5,1250,19.21,"2","blood-transfusion-service-center","V4",1
2,6,1500,63.17,"2","blood-transfusion-service-center","V4",1
2,5,1250,74.21,"2","blood-transfusion-service-center","V4",1
2,4,1000,25.5,"1","blood-transfusion-service-center","V4",1
2,5,1250,48.34,"1","blood-transfusion-service-center","V4",1
4,8,2000,57.77,"2","blood-transfusion-service-center","V4",1
2,4,1000,11.32,"1","blood-transfusion-service-center","V4",1
4,8,2000,54.99,"2","blood-transfusion-service-center","V4",1
2,2,500,19.32,"2","blood-transfusion-service-center","V4",1
4,5,1250,-3.75,"1","blood-transfusion-service-center","V4",1
2,12,3000,47.6,"1","blood-transfusion-service-center","V4",1
2,2,500,-3.19,"1","blood-transfusion-service-center","V4",1
4,6,1500,34.23,"1","blood-transfusion-service-center","V4",1
2,11,2750,73.51,"1","blood-transfusion-service-center","V4",1
2,3,750,-3.25,"1","blood-transfusion-service-center","V4",1
2,5,1250,40.2,"1","blood-transfusion-service-center","V4",1
2,12,3000,77.3,"1","blood-transfusion-service-center","V4",1
9,5,1250,1.25,"1","blood-transfusion-service-center","V4",1
2,2,500,-19.86,"1","blood-transfusion-service-center","V4",1
2,9,2250,72.33,"1","blood-transfusion-service-center","V4",1
5,14,3500,78.27,"1","blood-transfusion-service-center","V4",1
4,3,750,-19.78,"1","blood-transfusion-service-center","V4",1
4,3,750,-11.5,"1","blood-transfusion-service-center","V4",1
4,2,500,10.67,"2","blood-transfusion-service-center","V4",1
4,3,750,27.4,"2","blood-transfusion-service-center","V4",1
6,3,750,34.65,"1","blood-transfusion-service-center","V4",1
2,2,500,10.62,"1","blood-transfusion-service-center","V4",1
2,2,500,70.51,"2","blood-transfusion-service-center","V4",1
2,2,500,26.52,"1","blood-transfusion-service-center","V4",1
2,7,1750,63.87,"2","blood-transfusion-service-center","V4",1
4,6,1500,8.68,"1","blood-transfusion-service-center","V4",1
4,11,2750,69.55,"1","blood-transfusion-service-center","V4",1
2,1,250,-17.58,"2","blood-transfusion-service-center","V4",1
2,1,250,-15.98,"1","blood-transfusion-service-center","V4",1
2,1,250,20.36,"1","blood-transfusion-service-center","V4",1
2,1,250,-71.73,"1","blood-transfusion-service-center","V4",1
2,1,250,-22.19,"1","blood-transfusion-service-center","V4",1
2,1,250,17.25,"1","blood-transfusion-service-center","V4",1
2,1,250,-0.94,"1","blood-transfusion-service-center","V4",1
2,1,250,21.49,"1","blood-transfusion-service-center","V4",1
2,1,250,26.46,"1","blood-transfusion-service-center","V4",1
2,1,250,7.83,"1","blood-transfusion-service-center","V4",1
2,1,250,-3.45,"2","blood-transfusion-service-center","V4",1
2,1,250,-6.56,"2","blood-transfusion-service-center","V4",1
2,1,250,7.54,"2","blood-transfusion-service-center","V4",1
2,1,250,-12.45,"1","blood-transfusion-service-center","V4",1
2,1,250,-26.02,"1","blood-transfusion-service-center","V4",1
2,1,250,-5.41,"1","blood-transfusion-service-center","V4",1
2,1,250,24.8,"1","blood-transfusion-service-center","V4",1
2,1,250,-51.94,"1","blood-transfusion-service-center","V4",1
2,1,250,-19.85,"1","blood-transfusion-service-center","V4",1
2,1,250,40.53,"1","blood-transfusion-service-center","V4",1
2,1,250,-7.77,"1","blood-transfusion-service-center","V4",1
2,1,250,-35.26,"1","blood-transfusion-service-center","V4",1
11,10,2500,23.55,"1","blood-transfusion-service-center","V4",1
11,4,1000,-20.21,"2","blood-transfusion-service-center","V4",1
4,5,1250,56.86,"2","blood-transfusion-service-center","V4",1
4,6,1500,49.76,"2","blood-transfusion-service-center","V4",1
2,3,750,10.15,"1","blood-transfusion-service-center","V4",1
4,4,1000,32.2,"2","blood-transfusion-service-center","V4",1
10,4,1000,21.94,"1","blood-transfusion-service-center","V4",1
2,4,1000,-3.29,"1","blood-transfusion-service-center","V4",1
4,12,3000,97.97,"1","blood-transfusion-service-center","V4",1
13,8,2000,47.35,"1","blood-transfusion-service-center","V4",1
11,9,2250,38.02,"1","blood-transfusion-service-center","V4",1
4,5,1250,29.76,"1","blood-transfusion-service-center","V4",1
4,4,1000,16.79,"1","blood-transfusion-service-center","V4",1
8,15,3750,74.46,"1","blood-transfusion-service-center","V4",1
4,5,1250,20.34,"2","blood-transfusion-service-center","V4",1
4,7,1750,59.33,"1","blood-transfusion-service-center","V4",1
4,7,1750,83.95,"1","blood-transfusion-service-center","V4",1
2,4,1000,34.41,"1","blood-transfusion-service-center","V4",1
11,11,2750,16.1,"1","blood-transfusion-service-center","V4",1
2,2,500,16.67,"1","blood-transfusion-service-center","V4",1
2,5,1250,29.13,"2","blood-transfusion-service-center","V4",1
9,8,2000,5.64,"2","blood-transfusion-service-center","V4",1
4,6,1500,76.78,"1","blood-transfusion-service-center","V4",1
11,7,1750,75.73,"1","blood-transfusion-service-center","V4",1
9,9,2250,11.77,"1","blood-transfusion-service-center","V4",1
4,6,1500,54.87,"1","blood-transfusion-service-center","V4",1
4,7,1750,21.04,"1","blood-transfusion-service-center","V4",1
6,2,500,30.52,"2","blood-transfusion-service-center","V4",1
4,7,1750,46.14,"1","blood-transfusion-service-center","V4",1
11,9,2250,43.72,"1","blood-transfusion-service-center","V4",1
11,6,1500,49.02,"1","blood-transfusion-service-center","V4",1
2,2,500,18.99,"1","blood-transfusion-service-center","V4",1
2,7,1750,41.41,"1","blood-transfusion-service-center","V4",1
11,6,1500,21.83,"1","blood-transfusion-service-center","V4",1
11,3,750,41.7,"1","blood-transfusion-service-center","V4",1
4,1,250,8.51,"1","blood-transfusion-service-center","V4",1
4,1,250,-1.88,"1","blood-transfusion-service-center","V4",1
4,1,250,-37.82,"1","blood-transfusion-service-center","V4",1
4,1,250,-27.16,"1","blood-transfusion-service-center","V4",1
4,1,250,26.96,"1","blood-transfusion-service-center","V4",1
4,1,250,36.04,"2","blood-transfusion-service-center","V4",1
4,1,250,-14.29,"1","blood-transfusion-service-center","V4",1
4,1,250,-44.98,"1","blood-transfusion-service-center","V4",1
