"Wifes_age","Wifes_education","Husbands_education","Number_of_children_ever_born","Wifes_religion","Wifes_now_working","Husbands_occupation","Standard_of_living_index","Media_exposure","class","dataset_name","altered_attribute","noise_level"
24,"2","3",4.98,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",0.9
45,"1","3",8.97,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",0.9
43,"2","3",6.37,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",0.9
42,"3","2",8.47,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",0.9
36,"3","3",5.69,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.9
19,"4","4",0.26,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",0.9
38,"2","3",3.46,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.9
21,"3","3",0.95,"1","0","3","2","0","P","cmc","Number_of_children_ever_born",0.9
27,"2","3",3.66,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",0.9
45,"1","1",9.76,"1","1","2","2","1","P","cmc","Number_of_children_ever_born",0.9
38,"1","3",5.13,"1","0","3","3","1","P","cmc","Number_of_children_ever_born",0.9
42,"1","4",3.68,"1","1","1","3","0","P","cmc","Number_of_children_ever_born",0.9
44,"4","4",-1.64,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",0.9
42,"2","4",0.54,"1","0","3","3","0","P","cmc","Number_of_children_ever_born",0.9
38,"3","4",-0.54,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",0.9
26,"2","4",-0.09,"1","1","4","1","0","P","cmc","Number_of_children_ever_born",0.9
48,"1","1",2.68,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",0.9
39,"2","2",3.51,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",0.9
37,"2","2",5.96,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",0.9
39,"2","1",3.51,"1","1","2","1","1","P","cmc","Number_of_children_ever_born",0.9
26,"3","4",6.01,"1","0","4","1","0","P","cmc","Number_of_children_ever_born",0.9
24,"3","4",1.44,"1","0","3","1","0","P","cmc","Number_of_children_ever_born",0.9
46,"4","4",-1.46,"0","1","1","4","0","P","cmc","Number_of_children_ever_born",0.9
39,"4","4",-0.32,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",0.9
48,"4","4",3.76,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",0.9
40,"2","4",5.18,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",0.9
38,"4","4",-0.02,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",0.9
29,"4","4",6.74,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",0.9
24,"4","4",-0.96,"1","0","2","2","0","P","cmc","Number_of_children_ever_born",0.9
43,"1","2",7.88,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",0.9
31,"3","4",1.82,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",0.9
31,"4","4",3.43,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.9
26,"2","4",-3.43,"1","0","1","2","0","P","cmc","Number_of_children_ever_born",0.9
33,"2","2",3.05,"1","1","3","1","0","P","cmc","Number_of_children_ever_born",0.9
24,"2","3",-0.16,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",0.9
42,"1","3",8.56,"1","1","3","2","1","P","cmc","Number_of_children_ever_born",0.9
43,"1","2",6.45,"1","0","3","1","0","P","cmc","Number_of_children_ever_born",0.9
25,"3","3",5.68,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.9
42,"2","2",-1.18,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",0.9
28,"2","2",3.15,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",0.9
28,"1","1",3.08,"1","1","3","1","0","P","cmc","Number_of_children_ever_born",0.9
47,"2","3",1.82,"1","0","1","3","0","P","cmc","Number_of_children_ever_born",0.9
48,"2","4",4.73,"1","1","1","3","0","P","cmc","Number_of_children_ever_born",0.9
40,"4","4",1.84,"0","1","1","4","0","P","cmc","Number_of_children_ever_born",0.9
28,"2","2",3.47,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.9
25,"1","4",3.22,"1","1","2","1","0","P","cmc","Number_of_children_ever_born",0.9
32,"4","4",3.24,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",0.9
45,"4","4",-2.49,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",0.9
26,"4","4",3.34,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",0.9
26,"4","4",2.44,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",0.9
31,"4","4",2.84,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",0.9
49,"4","4",6.15,"0","1","2","4","0","P","cmc","Number_of_children_ever_born",0.9
40,"3","4",9.39,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",0.9
34,"4","4",-0.51,"0","0","2","3","0","P","cmc","Number_of_children_ever_born",0.9
