"Wifes_age","Wifes_education","Husbands_education","Number_of_children_ever_born","Wifes_religion","Wifes_now_working","Husbands_occupation","Standard_of_living_index","Media_exposure","class","dataset_name","altered_attribute","noise_level"
24.24,"2","3",3,"1","1","2","3","0","P","cmc","Wifes_age",0.6
46.52,"1","3",10,"1","1","3","4","0","P","cmc","Wifes_age",0.6
37.62,"2","3",7,"1","1","3","4","0","P","cmc","Wifes_age",0.6
40.32,"3","2",9,"1","1","3","3","0","P","cmc","Wifes_age",0.6
35.77,"3","3",8,"1","1","3","2","0","P","cmc","Wifes_age",0.6
24.53,"4","4",0,"1","1","3","3","0","P","cmc","Wifes_age",0.6
35.45,"2","3",6,"1","1","3","2","0","P","cmc","Wifes_age",0.6
19.89,"3","3",1,"1","0","3","2","0","P","cmc","Wifes_age",0.6
34.76,"2","3",3,"1","1","3","4","0","P","cmc","Wifes_age",0.6
49.79,"1","1",8,"1","1","2","2","1","P","cmc","Wifes_age",0.6
38.02,"1","3",2,"1","0","3","3","1","P","cmc","Wifes_age",0.6
44.54,"1","4",4,"1","1","1","3","0","P","cmc","Wifes_age",0.6
46.27,"4","4",1,"1","0","1","4","0","P","cmc","Wifes_age",0.6
45.6,"2","4",1,"1","0","3","3","0","P","cmc","Wifes_age",0.6
47.91,"3","4",2,"1","1","2","3","0","P","cmc","Wifes_age",0.6
11.45,"2","4",0,"1","1","4","1","0","P","cmc","Wifes_age",0.6
45.42,"1","1",7,"1","1","2","4","0","P","cmc","Wifes_age",0.6
40.62,"2","2",6,"1","1","2","4","0","P","cmc","Wifes_age",0.6
40.64,"2","2",8,"1","1","2","3","0","P","cmc","Wifes_age",0.6
37.22,"2","1",5,"1","1","2","1","1","P","cmc","Wifes_age",0.6
32.91,"3","4",1,"1","0","4","1","0","P","cmc","Wifes_age",0.6
28.75,"3","4",0,"1","0","3","1","0","P","cmc","Wifes_age",0.6
44.72,"4","4",1,"0","1","1","4","0","P","cmc","Wifes_age",0.6
39.18,"4","4",1,"1","1","1","4","0","P","cmc","Wifes_age",0.6
46.3,"4","4",5,"1","1","1","4","0","P","cmc","Wifes_age",0.6
40.66,"2","4",8,"1","1","3","3","0","P","cmc","Wifes_age",0.6
38.18,"4","4",1,"1","0","1","4","0","P","cmc","Wifes_age",0.6
32.35,"4","4",0,"1","0","1","4","0","P","cmc","Wifes_age",0.6
25.88,"4","4",0,"1","0","2","2","0","P","cmc","Wifes_age",0.6
35.28,"1","2",8,"1","1","2","4","0","P","cmc","Wifes_age",0.6
32.36,"3","4",2,"1","1","1","4","0","P","cmc","Wifes_age",0.6
27.48,"4","4",2,"1","1","3","2","0","P","cmc","Wifes_age",0.6
23.3,"2","4",0,"1","0","1","2","0","P","cmc","Wifes_age",0.6
30.35,"2","2",2,"1","1","3","1","0","P","cmc","Wifes_age",0.6
25.45,"2","3",1,"1","1","3","3","0","P","cmc","Wifes_age",0.6
40.37,"1","3",9,"1","1","3","2","1","P","cmc","Wifes_age",0.6
38.06,"1","2",8,"1","0","3","1","0","P","cmc","Wifes_age",0.6
25.83,"3","3",4,"1","1","3","2","0","P","cmc","Wifes_age",0.6
53.15,"2","2",3,"1","1","3","4","0","P","cmc","Wifes_age",0.6
26.16,"2","2",1,"1","1","2","4","0","P","cmc","Wifes_age",0.6
31.08,"1","1",3,"1","1","3","1","0","P","cmc","Wifes_age",0.6
45.77,"2","3",0,"1","0","1","3","0","P","cmc","Wifes_age",0.6
41.44,"2","4",2,"1","1","1","3","0","P","cmc","Wifes_age",0.6
37.59,"4","4",2,"0","1","1","4","0","P","cmc","Wifes_age",0.6
28.66,"2","2",1,"1","1","3","2","0","P","cmc","Wifes_age",0.6
