"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,1.4,0.36,"Iris_setosa","iris","petalwidth",0.3
4.9,3,1.4,0.33,"Iris_setosa","iris","petalwidth",0.3
4.7,3.2,1.3,0.17,"Iris_setosa","iris","petalwidth",0.3
4.6,3.1,1.5,0.55,"Iris_setosa","iris","petalwidth",0.3
5,3.6,1.4,0.14,"Iris_setosa","iris","petalwidth",0.3
5.4,3.9,1.7,0.86,"Iris_setosa","iris","petalwidth",0.3
4.6,3.4,1.4,0.03,"Iris_setosa","iris","petalwidth",0.3
5,3.4,1.5,0.5,"Iris_setosa","iris","petalwidth",0.3
4.4,2.9,1.4,0.08,"Iris_setosa","iris","petalwidth",0.3
4.9,3.1,1.5,0.18,"Iris_setosa","iris","petalwidth",0.3
5.4,3.7,1.5,0.18,"Iris_setosa","iris","petalwidth",0.3
4.8,3.4,1.6,0.17,"Iris_setosa","iris","petalwidth",0.3
4.8,3,1.4,0.08,"Iris_setosa","iris","petalwidth",0.3
4.3,3,1.1,0.31,"Iris_setosa","iris","petalwidth",0.3
5.8,4,1.2,0.21,"Iris_setosa","iris","petalwidth",0.3
5.7,4.4,1.5,0.71,"Iris_setosa","iris","petalwidth",0.3
5.4,3.9,1.3,0.43,"Iris_setosa","iris","petalwidth",0.3
5.1,3.5,1.4,0.34,"Iris_setosa","iris","petalwidth",0.3
5.7,3.8,1.7,0.29,"Iris_setosa","iris","petalwidth",0.3
5.1,3.8,1.5,0.2,"Iris_setosa","iris","petalwidth",0.3
5.4,3.4,1.7,0.25,"Iris_setosa","iris","petalwidth",0.3
5.1,3.7,1.5,0.63,"Iris_setosa","iris","petalwidth",0.3
4.6,3.6,1,0.39,"Iris_setosa","iris","petalwidth",0.3
5.1,3.3,1.7,0.73,"Iris_setosa","iris","petalwidth",0.3
4.8,3.4,1.9,0.6,"Iris_setosa","iris","petalwidth",0.3
5,3,1.6,0.28,"Iris_setosa","iris","petalwidth",0.3
5,3.4,1.6,0.44,"Iris_setosa","iris","petalwidth",0.3
5.2,3.5,1.5,0.56,"Iris_setosa","iris","petalwidth",0.3
5.2,3.4,1.4,0.19,"Iris_setosa","iris","petalwidth",0.3
4.7,3.2,1.6,-0.03,"Iris_setosa","iris","petalwidth",0.3
4.8,3.1,1.6,0,"Iris_setosa","iris","petalwidth",0.3
5.4,3.4,1.5,0.25,"Iris_setosa","iris","petalwidth",0.3
5.2,4.1,1.5,-0.23,"Iris_setosa","iris","petalwidth",0.3
5.5,4.2,1.4,0.52,"Iris_setosa","iris","petalwidth",0.3
4.9,3.1,1.5,-0.04,"Iris_setosa","iris","petalwidth",0.3
5,3.2,1.2,0.46,"Iris_setosa","iris","petalwidth",0.3
5.5,3.5,1.3,0.75,"Iris_setosa","iris","petalwidth",0.3
4.9,3.1,1.5,0.01,"Iris_setosa","iris","petalwidth",0.3
4.4,3,1.3,0.28,"Iris_setosa","iris","petalwidth",0.3
5.1,3.4,1.5,0.07,"Iris_setosa","iris","petalwidth",0.3
5,3.5,1.3,0.97,"Iris_setosa","iris","petalwidth",0.3
4.5,2.3,1.3,0.05,"Iris_setosa","iris","petalwidth",0.3
4.4,3.2,1.3,0.47,"Iris_setosa","iris","petalwidth",0.3
5,3.5,1.6,0.8,"Iris_setosa","iris","petalwidth",0.3
5.1,3.8,1.9,0.61,"Iris_setosa","iris","petalwidth",0.3
4.8,3,1.4,0.53,"Iris_setosa","iris","petalwidth",0.3
