"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,186.03,2,2,2,2,1.2,1.2,1.2,1.2,1.4,"false","kc1","t",0.2
1,1,1,1,1,1,1,1,1,1,1,-242.43,1,1,1,1,1,1,1,1,1,"true","kc1","t",0.2
83,11,1,11,171,927.89,0.04,23.04,40.27,21378.61,0.31,1421.13,65,10,6,0,18,25,107,64,21,"true","kc1","t",0.2
46,8,6,8,141,769.78,0.07,14.86,51.81,11436.73,0.26,723.59,37,2,5,0,16,28,89,52,15,"true","kc1","t",0.2
25,3,1,3,58,254.75,0.11,9.35,27.25,2381.95,0.08,417.31,21,0,2,0,11,10,41,17,5,"true","kc1","t",0.2
43,3,1,3,115,569.73,0.09,11.27,50.53,6423.73,0.19,123.73,35,2,4,0,11,20,74,41,5,"true","kc1","t",0.2
48,6,1,6,149,751.61,0.06,15.43,48.72,11596.34,0.25,652.61,41,2,2,0,12,21,95,54,11,"true","kc1","t",0.2
69,12,1,12,231,1212.27,0.04,27.27,44.45,33061.94,0.4,1471.24,62,3,2,0,16,22,156,75,23,"true","kc1","t",0.2
47,6,1,6,149,745,0.06,16.2,45.99,12069,0.25,662.98,41,2,1,0,12,20,95,54,11,"true","kc1","t",0.2
48,7,1,7,155,801.34,0.06,17.82,44.97,14278.39,0.27,781.27,42,2,1,0,14,22,99,56,13,"true","kc1","t",0.2
58,9,1,9,193,1027.13,0.05,20.7,49.62,21261.63,0.34,1479.19,50,2,2,0,15,25,124,69,17,"true","kc1","t",0.2
65,6,1,5,155,801.34,0.05,19.73,40.62,15808.22,0.27,772.54,54,4,5,0,14,22,93,62,11,"true","kc1","t",0.2
116,11,4,8,289,1700.08,0.04,26.6,63.91,45222.23,0.57,2721.05,88,14,12,0,19,40,177,112,21,"true","kc1","t",0.2
24,4,1,4,74,347.83,0.09,11.37,30.6,3953.7,0.12,339.65,20,0,0,0,11,15,43,31,7,"true","kc1","t",0.2
77,19,12,19,231,1245.63,0.03,29.25,42.59,36434.54,0.42,2349.05,61,7,7,0,18,24,153,78,37,"true","kc1","t",0.2
9,1,1,1,13,46.6,0.29,3.5,13.32,163.12,0.02,334.63,5,0,0,0,7,5,8,5,1,"true","kc1","t",0.2
16,2,1,2,43,191.76,0.18,5.43,35.32,1040.96,0.06,194.16,13,0,1,0,8,14,24,19,3,"true","kc1","t",0.2
93,7,3,6,257,1499.05,0.03,29.86,50.21,44757.43,0.5,2430.87,71,4,15,0,22,35,162,95,12,"true","kc1","t",0.2
23,1,1,1,67,307.19,0.21,4.74,64.87,1454.65,0.1,53.34,18,0,1,0,7,17,44,23,1,"true","kc1","t",0.2
